entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-8,-7,-6,0.06894652506374445,819,82,0.10012210012210013,-550.0,-6.7073170731707314,50.0,2019-07-24,-50.0,2018-06-29,14.053897842409775,-7.576215426804844,0.12195121951219512,10,3.9634146341463414,-17.378048780487806,-0.13414634146341464,-0.5365853658536586,@C#
-10,-7,-4,0.12561273541523257,819,82,0.10012210012210013,-775.0,-9.451219512195122,37.5,2020-06-26,-75.0,2021-04-14,20.084790903938313,-7.470003507175059,0.1951219512195122,16,7.094594594594595,-23.055555555555557,-0.18902439024390244,-0.7560975609756098,@C#
-10,-9,-7,0.07172581547015612,819,82,0.10012210012210013,-600.0,-7.317073170731708,37.5,2020-11-12,-62.5,2019-08-01,16.309981832525015,-7.121708460525693,0.12195121951219512,10,5.3125,-19.345238095238095,-0.14634146341463414,-0.5853658536585366,@C#
-6,-5,-4,0.06587615283266679,819,163,0.199023199023199,-1000.0,-6.134969325153374,25.0,2018-11-30,-50.0,2018-06-15,13.775096216384776,-7.069977391254337,0.17177914110429449,28,4.5588235294117645,-17.78846153846154,-0.12269938650306748,-0.49079754601226994,@C#
-6,-5,-3,0.07176693217236796,819,82,0.10012210012210013,-675.0,-8.231707317073171,25.0,2019-06-18,-62.5,2018-06-15,18.759720956944292,-6.965684769970217,0.1951219512195122,16,6.875,-22.61904761904762,-0.16463414634146342,-0.6585365853658537,@C#
-6,-5,-3,0.06587615283266679,819,163,0.199023199023199,-1212.5,-7.438650306748467,25.0,2021-03-25,-62.5,2019-05-08,16.98980930997477,-6.950337738073177,0.18404907975460122,30,5.864197530864198,-20.579268292682926,-0.14877300613496933,-0.5950920245398773,@C#
-10,-7,-3,0.12561273541523257,819,82,0.10012210012210013,-887.5,-10.823170731707316,50.0,2019-07-24,-100.0,2021-04-14,24.9816441194082,-6.877550096323018,0.2073170731707317,17,8.881578947368421,-27.84090909090909,-0.21646341463414634,-0.8658536585365854,@C#
-10,-7,4,0.12561273541523257,819,82,0.10012210012210013,-1525.0,-18.597560975609756,187.5,2021-02-26,-125.0,2020-11-05,44.92981076314795,-6.57085180169707,0.2682926829268293,22,22.265625,-44.75,-0.3719512195121951,-1.4878048780487805,@C#
-10,-9,-3,0.07172581547015612,819,82,0.10012210012210013,-975.0,-11.890243902439025,75.0,2020-06-26,-87.5,2018-06-19,28.860993411185937,-6.540030264148096,0.21951219512195122,18,12.857142857142858,-30.319148936170212,-0.23780487804878048,-0.9512195121951219,@C#
-10,-7,3,0.12561273541523257,819,82,0.10012210012210013,-1500.0,-18.29268292682927,175.0,2021-02-26,-150.0,2020-11-05,45.14188545400677,-6.432769391414726,0.25609756097560976,21,20.955882352941178,-46.09375,-0.36585365853658536,-1.4634146341463414,@C#
-6,-5,-4,0.07176693217236796,819,82,0.10012210012210013,-475.0,-5.7926829268292686,25.0,2019-02-01,-50.0,2021-01-25,14.325784234994122,-6.418914956489136,0.1951219512195122,16,4.829545454545454,-18.092105263157894,-0.11585365853658537,-0.4634146341463415,@C#
-3,-2,0,-0.07094733212828053,819,81,0.0989010989010989,-1250.0,-15.432098765432098,75.0,2021-04-09,-187.5,2020-03-25,38.28713500368137,-6.398414851964411,0.18518518518518517,15,16.129032258064516,-35.0,-0.30864197530864196,-1.2345679012345678,@C#
-10,-9,-1,0.07172581547015612,819,81,0.0989010989010989,-1125.0,-13.88888888888889,137.5,2020-06-26,-112.5,2020-07-14,34.68609231377902,-6.356417261637282,0.24691358024691357,20,15.909090909090908,-34.375,-0.2777777777777778,-1.1111111111111112,@C#
-8,-7,-6,0.06412723474942261,819,164,0.20024420024420025,-875.0,-5.335365853658536,50.0,2019-07-24,-50.0,2018-06-29,13.57077672231494,-6.2410802968033945,0.13414634146341464,22,4.166666666666667,-16.89189189189189,-0.10670731707317073,-0.4268292682926829,@C#
-5,-4,-3,0.0703631627914403,819,82,0.10012210012210013,-450.0,-5.487804878048781,25.0,2018-07-11,-37.5,2019-05-09,14.177223868001546,-6.1447997518336015,0.18292682926829268,15,4.891304347826087,-18.75,-0.10975609756097561,-0.43902439024390244,@C#
-5,-4,4,0.0703631627914403,819,82,0.10012210012210013,-1325.0,-16.158536585365855,87.5,2021-02-01,-162.5,2021-04-01,41.91996180618463,-6.119013593563373,0.23170731707317074,19,18.214285714285715,-41.755319148936174,-0.3231707317073171,-1.2926829268292683,@C#
-10,-7,2,0.12561273541523257,819,82,0.10012210012210013,-1325.0,-16.158536585365855,162.5,2021-02-26,-125.0,2020-11-05,42.69507720551709,-6.00792486915927,0.2682926829268293,22,18.243243243243242,-44.44444444444444,-0.3231707317073171,-1.2926829268292683,@C#
-10,-9,-6,0.07172581547015612,819,82,0.10012210012210013,-700.0,-8.536585365853659,50.0,2021-01-11,-112.5,2019-08-01,22.72674234961879,-5.962759178488499,0.1951219512195122,16,7.6923076923076925,-23.25581395348837,-0.17073170731707318,-0.6829268292682927,@C#
-10,-8,-4,0.08620689655172153,819,81,0.0989010989010989,-712.5,-8.796296296296296,62.5,2020-06-26,-100.0,2019-05-21,23.505687845947225,-5.9405568416372425,0.2345679012345679,19,10.197368421052632,-25.58139534883721,-0.17592592592592593,-0.7037037037037037,@C#
-10,-8,-7,0.08620689655172153,819,81,0.0989010989010989,-425.0,-5.246913580246914,25.0,2021-01-28,-37.5,2018-07-31,14.095682729294749,-5.909055453609279,0.14814814814814814,12,4.619565217391305,-18.214285714285715,-0.10493827160493827,-0.41975308641975306,@C#
-10,-8,-3,0.08620689655172153,819,81,0.0989010989010989,-712.5,-8.796296296296296,62.5,2020-06-26,-75.0,2021-02-02,23.753654689565373,-5.8785427579685905,0.24691358024691357,20,9.75609756097561,-27.8125,-0.17592592592592593,-0.7037037037037037,@C#
-5,-4,0,-0.07604562737643095,819,81,0.0989010989010989,-1112.5,-13.734567901234568,75.0,2018-06-28,-162.5,2020-03-25,37.11284198392056,-5.874772572901991,0.3333333333333333,27,16.776315789473685,-40.69767441860465,-0.27469135802469136,-1.0987654320987654,@C#
-10,-9,-3,0.06650705680836921,819,164,0.20024420024420025,-1562.5,-9.527439024390244,75.0,2020-06-26,-87.5,2020-04-24,25.787549490763766,-5.864977817817893,0.22560975609756098,37,11.5,-27.247191011235955,-0.19054878048780488,-0.7621951219512195,@C#
-5,-4,3,0.0703631627914403,819,82,0.10012210012210013,-1212.5,-14.786585365853659,100.0,2021-04-06,-137.5,2021-04-01,40.25996008104319,-5.830352668873602,0.2804878048780488,23,22.580645161290324,-37.5,-0.29573170731707316,-1.1829268292682926,@C#
-3,-2,0,0.0,819,212,0.2588522588522589,-2400.0,-11.320754716981131,87.5,2019-07-18,-187.5,2020-03-25,31.02839921300391,-5.791836329501792,0.24528301886792453,52,13.873626373626374,-30.268595041322314,-0.22641509433962265,-0.9056603773584906,@C#
-3,-2,0,0.0,819,212,0.2588522588522589,-2400.0,-11.320754716981131,87.5,2019-07-18,-187.5,2020-03-25,31.02839921300391,-5.791836329501792,0.24528301886792453,52,13.873626373626374,-30.268595041322314,-0.22641509433962265,-0.9056603773584906,@C#
-10,-9,-1,0.06650705680836921,819,163,0.199023199023199,-1800.0,-11.042944785276074,137.5,2020-06-26,-112.5,2020-07-14,30.536377758066727,-5.740737007212304,0.26993865030674846,44,14.612676056338028,-30.842391304347824,-0.22085889570552147,-0.8834355828220859,@C#
-3,-2,0,-0.06467474473796253,819,163,0.199023199023199,-1850.0,-11.349693251533742,75.0,2021-04-09,-187.5,2020-03-25,31.574238159256087,-5.70625944777516,0.2392638036809816,39,13.380281690140846,-30.434782608695652,-0.22699386503067484,-0.9079754601226994,@C#
-5,-4,-3,0.06459948320414188,819,163,0.199023199023199,-750.0,-4.601226993865031,25.0,2018-07-11,-37.5,2020-09-10,12.876809414890591,-5.672384498032563,0.1656441717791411,27,4.388297872340425,-16.847826086956523,-0.09202453987730061,-0.36809815950920244,@C#
-9,-4,-3,0.13745704467353903,819,81,0.0989010989010989,-437.5,-5.401234567901234,37.5,2018-07-10,-50.0,2021-02-09,15.17325355541092,-5.6508605964589655,0.18518518518518517,15,6.25,-17.94871794871795,-0.10802469135802469,-0.43209876543209874,@C#
-10,-8,-4,0.06750372008553995,819,164,0.20024420024420025,-1312.5,-8.003048780487806,62.5,2020-06-26,-100.0,2019-05-21,22.49263662411222,-5.648268939922526,0.25609756097560976,42,8.676470588235293,-25.949367088607595,-0.1600609756097561,-0.6402439024390244,@C#
-8,-7,-5,-0.07283891547049226,819,82,0.10012210012210013,-562.5,-6.859756097560975,50.0,2020-04-21,-75.0,2021-03-04,19.360178423293327,-5.624702921188659,0.2073170731707317,17,7.926829268292683,-21.646341463414632,-0.13719512195121952,-0.5487804878048781,@C#
-10,-9,-4,0.07172581547015612,819,82,0.10012210012210013,-800.0,-9.75609756097561,75.0,2021-02-09,-100.0,2019-05-21,27.640242167030532,-5.6031798325445035,0.23170731707317074,19,12.857142857142858,-26.595744680851062,-0.1951219512195122,-0.7804878048780488,@C#
-9,-8,-6,0.06398093809293572,819,164,0.20024420024420025,-887.5,-5.411585365853658,50.0,2018-08-01,-50.0,2021-02-02,15.364381562044045,-5.591260156679084,0.18902439024390244,31,5.890804597701149,-18.181818181818183,-0.10823170731707317,-0.4329268292682927,@C#
-5,-4,2,0.0703631627914403,819,82,0.10012210012210013,-1150.0,-14.024390243902438,100.0,2021-04-06,-150.0,2021-04-01,39.839097865782676,-5.588236309922381,0.2682926829268293,22,18.055555555555557,-39.130434782608695,-0.2804878048780488,-1.1219512195121952,@C#
-10,-8,-3,0.06750372008553995,819,164,0.20024420024420025,-1425.0,-8.689024390243903,87.5,2018-07-10,-87.5,2021-04-14,24.744788165867064,-5.574264168663447,0.23170731707317074,38,10.576923076923077,-26.162790697674417,-0.17378048780487804,-0.6951219512195121,@C#
-6,-3,2,0.1290322580645098,819,81,0.0989010989010989,-1062.5,-13.117283950617283,75.0,2020-03-09,-137.5,2021-03-18,37.44272890069398,-5.561304781283015,0.2716049382716049,22,16.666666666666668,-36.94444444444444,-0.2623456790123457,-1.0493827160493827,@C#
-10,-9,-2,0.07172581547015612,819,82,0.10012210012210013,-925.0,-11.28048780487805,87.5,2020-06-26,-100.0,2020-04-24,32.25152858478812,-5.552362950005639,0.23170731707317074,19,12.202380952380953,-35.9375,-0.22560975609756098,-0.9024390243902439,@C#
-5,-3,2,0.0789519108814041,819,82,0.10012210012210013,-1087.5,-13.262195121951219,75.0,2020-03-09,-137.5,2021-03-18,37.952392661098436,-5.547234470009509,0.2682926829268293,22,19.485294117647058,-36.458333333333336,-0.2652439024390244,-1.0609756097560976,@C#
-4,-2,0,0.0,819,269,0.32844932844932845,-2787.5,-10.362453531598513,87.5,2019-07-18,-187.5,2020-03-25,29.82901589861973,-5.5147260191727545,0.24535315985130113,66,13.445378151260504,-29.25,-0.20724907063197026,-0.828996282527881,@C#
-9,-8,-7,0.06900841217262867,819,82,0.10012210012210013,-350.0,-4.2682926829268295,25.0,2020-04-23,-37.5,2019-09-10,12.300806739063809,-5.508341624130192,0.13414634146341464,11,3.826530612244898,-16.28787878787879,-0.08536585365853659,-0.34146341463414637,@C#
-9,-7,-3,0.07651109410864443,819,81,0.0989010989010989,-787.5,-9.722222222222221,75.0,2018-09-28,-100.0,2021-04-14,28.02063971432487,-5.507921829012854,0.2345679012345679,19,12.5,-28.40909090909091,-0.19444444444444445,-0.7777777777777778,@C#
-8,-7,-3,0.06894652506374445,819,82,0.10012210012210013,-825.0,-10.060975609756097,87.5,2020-11-04,-87.5,2018-06-19,29.162633609405628,-5.4766328240360025,0.2073170731707317,17,16.015625,-26.75,-0.20121951219512196,-0.8048780487804879,@C#
-9,-4,3,0.13745704467353903,819,81,0.0989010989010989,-1337.5,-16.512345679012345,162.5,2021-02-26,-187.5,2021-04-09,47.91867950683754,-5.4702125365660175,0.2222222222222222,18,25.833333333333332,-41.42156862745098,-0.33024691358024694,-1.3209876543209877,@C#
-9,-7,-6,0.07651109410864443,819,81,0.0989010989010989,-425.0,-5.246913580246914,50.0,2019-07-24,-37.5,2021-04-14,15.291975726011936,-5.446789374783255,0.18518518518518517,15,5.813953488372093,-17.763157894736842,-0.10493827160493827,-0.41975308641975306,@C#
-10,-9,3,0.06650705680836921,819,163,0.199023199023199,-2162.5,-13.266871165644172,100.0,2020-03-18,-150.0,2020-03-17,38.70724571723186,-5.44097227221751,0.31901840490797545,52,20.714285714285715,-38.844086021505376,-0.26533742331288346,-1.0613496932515338,@C#
-8,-7,-6,-0.07283891547049226,819,82,0.10012210012210013,-412.5,-5.030487804878049,50.0,2020-04-21,-37.5,2018-07-31,14.680201574829525,-5.439742623645175,0.15853658536585366,13,5.681818181818182,-17.43421052631579,-0.10060975609756098,-0.4024390243902439,@C#
-8,-2,3,0.15705992121085588,819,82,0.10012210012210013,-1075.0,-13.109756097560975,87.5,2021-02-26,-112.5,2018-07-06,38.53521913159473,-5.400538286456123,0.24390243902439024,20,21.96969696969697,-36.734693877551024,-0.2621951219512195,-1.048780487804878,@C#
-5,-3,4,0.0789519108814041,819,82,0.10012210012210013,-1175.0,-14.329268292682928,75.0,2020-03-09,-137.5,2021-04-01,42.132669614453704,-5.398900290755339,0.2804878048780488,23,25.0,-39.5,-0.2865853658536585,-1.146341463414634,@C#
-6,-3,3,0.1290322580645098,819,81,0.0989010989010989,-1100.0,-13.580246913580247,75.0,2020-03-09,-162.5,2021-04-09,40.02916567876817,-5.385566568814603,0.2962962962962963,24,18.243243243243242,-40.34090909090909,-0.2716049382716049,-1.0864197530864197,@C#
-9,-7,4,0.07651109410864443,819,81,0.0989010989010989,-1312.5,-16.203703703703702,187.5,2021-02-26,-125.0,2020-11-05,47.862287984498934,-5.374290129890252,0.30864197530864196,25,23.928571428571427,-46.73913043478261,-0.32407407407407407,-1.2962962962962963,@C#
-8,-2,2,0.15705992121085588,819,82,0.10012210012210013,-1025.0,-12.5,75.0,2021-02-26,-112.5,2021-03-18,36.95592971013908,-5.369404852921437,0.23170731707317074,19,19.285714285714285,-36.170212765957444,-0.25,-1.0,@C#
-10,-5,-3,0.13914021119150188,819,82,0.10012210012210013,-500.0,-6.097560975609756,62.5,2020-11-04,-50.0,2019-07-11,18.13485815763307,-5.33755372287557,0.23170731707317074,19,8.231707317073171,-20.426829268292682,-0.12195121951219512,-0.4878048780487805,@C#
-10,-9,-5,0.07172581547015612,819,82,0.10012210012210013,-700.0,-8.536585365853659,62.5,2021-02-09,-100.0,2019-08-01,25.449511927188876,-5.324820842538705,0.24390243902439024,20,10.576923076923077,-25.872093023255815,-0.17073170731707318,-0.6829268292682927,@C#
-5,-3,3,0.0789519108814041,819,82,0.10012210012210013,-1075.0,-13.109756097560975,75.0,2020-03-09,-125.0,2021-03-18,39.13130984028417,-5.318271408408406,0.2926829268292683,24,21.691176470588236,-37.760416666666664,-0.2621951219512195,-1.048780487804878,@C#
-5,-4,0,-0.04742697873726166,819,246,0.30036630036630035,-2800.0,-11.382113821138212,112.5,2019-05-29,-162.5,2020-03-25,33.99460229067664,-5.315121908025138,0.3008130081300813,74,16.852678571428573,-34.98134328358209,-0.22764227642276422,-0.9105691056910569,@C#
-5,-2,2,0.06953143122246264,819,164,0.20024420024420025,-1812.5,-11.051829268292684,112.5,2020-03-18,-150.0,2021-04-01,33.271269266387165,-5.2730885994399905,0.22560975609756098,37,16.197183098591548,-31.85483870967742,-0.22103658536585366,-0.8841463414634146,@C#
-6,-4,-3,0.05497159805530885,819,246,0.30036630036630035,-1112.5,-4.522357723577236,37.5,2019-12-13,-50.0,2021-02-09,13.618359011773494,-5.271575172565244,0.1991869918699187,49,5.089285714285714,-17.21698113207547,-0.09044715447154472,-0.3617886178861789,@C#
-10,-9,-8,0.06650705680836921,819,164,0.20024420024420025,-687.5,-4.192073170731708,37.5,2019-09-12,-50.0,2019-08-01,12.63557148850969,-5.266647304854243,0.18292682926829268,30,4.166666666666667,-16.923076923076923,-0.08384146341463415,-0.3353658536585366,@C#
-9,-8,-6,0.06900841217262867,819,82,0.10012210012210013,-462.5,-5.640243902439025,50.0,2018-08-01,-50.0,2019-07-18,17.027623597316097,-5.258284908983154,0.2073170731707317,17,7.142857142857143,-19.0625,-0.11280487804878049,-0.45121951219512196,@C#
-10,-9,-8,0.07172581547015612,819,82,0.10012210012210013,-350.0,-4.2682926829268295,25.0,2018-07-09,-50.0,2019-08-01,12.91285968316971,-5.2472533144210605,0.1951219512195122,16,4.336734693877551,-17.045454545454547,-0.08536585365853659,-0.34146341463414637,@C#
-6,-3,4,0.1290322580645098,819,81,0.0989010989010989,-1125.0,-13.88888888888889,75.0,2020-03-09,-150.0,2021-04-09,42.11220131980754,-5.235520087104695,0.2962962962962963,24,22.058823529411764,-39.8936170212766,-0.2777777777777778,-1.1111111111111112,@C#
-6,-5,-2,0.07176693217236796,819,82,0.10012210012210013,-662.5,-8.079268292682928,62.5,2018-07-10,-100.0,2018-06-15,24.561898315087753,-5.221681419797555,0.2804878048780488,23,12.5,-23.404255319148938,-0.16158536585365854,-0.6463414634146342,@C#
-10,-9,2,0.06650705680836921,819,163,0.199023199023199,-2075.0,-12.730061349693251,112.5,2020-06-26,-150.0,2020-03-17,38.701741969550866,-5.221559773570232,0.3128834355828221,51,22.53787878787879,-36.72680412371134,-0.254601226993865,-1.01840490797546,@C#
-8,-2,4,0.15705992121085588,819,82,0.10012210012210013,-1062.5,-12.957317073170731,100.0,2021-02-26,-100.0,2018-07-06,39.403593965581315,-5.220108398868278,0.24390243902439024,20,21.785714285714285,-38.829787234042556,-0.25914634146341464,-1.0365853658536586,@C#
-4,-2,0,-0.059059775894847455,819,245,0.29914529914529914,-2425.0,-9.89795918367347,87.5,2019-07-18,-187.5,2020-03-25,30.243882254941845,-5.195273199317296,0.24489795918367346,60,13.876146788990825,-28.952205882352942,-0.19795918367346937,-0.7918367346938775,@C#
-8,-7,4,0.06894652506374445,819,82,0.10012210012210013,-1187.5,-14.481707317073171,100.0,2018-09-25,-137.5,2021-04-09,44.33447820311984,-5.185354289506956,0.32926829268292684,27,26.785714285714285,-45.212765957446805,-0.2896341463414634,-1.1585365853658536,@C#
-9,-4,2,0.13745704467353903,819,81,0.0989010989010989,-1162.5,-14.351851851851851,150.0,2021-02-26,-150.0,2021-04-09,44.021972102323836,-5.175338001439155,0.2345679012345679,19,20.714285714285715,-41.03260869565217,-0.28703703703703703,-1.1481481481481481,@C#
-8,-7,3,0.06894652506374445,819,82,0.10012210012210013,-1187.5,-14.481707317073171,100.0,2018-09-25,-150.0,2021-04-09,44.464817908285454,-5.170154462293729,0.32926829268292684,27,27.205882352941178,-44.010416666666664,-0.2896341463414634,-1.1585365853658536,@C#
-10,-7,-5,0.12561273541523257,819,82,0.10012210012210013,-462.5,-5.640243902439025,37.5,2019-07-24,-75.0,2021-04-14,17.364159623948115,-5.156373710946958,0.2073170731707317,17,6.111111111111111,-19.93243243243243,-0.11280487804878049,-0.45121951219512196,@C#
