entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-4,-2,8,0.2081955861910911,827,74,0.08948004836759371,-1860.0,-25.135135135135137,130.0,2018-03-23,-200.0,2019-03-14,66.769758621848,-5.975877532899388,0.2972972972972973,22,45.76923076923077,-63.541666666666664,-2.5135135135135136,-2.5135135135135136,@CC#
-8,-4,-3,-0.24523544526430463,827,83,0.1003627569528416,-710.0,-8.55421686746988,60.0,2018-05-22,-60.0,2021-03-11,23.743164876288898,-5.719287368005697,0.26506024096385544,22,11.578947368421053,-25.555555555555557,-0.8554216867469879,-0.8554216867469879,@CC#
-9,-2,5,0.34744857282844155,827,82,0.09915356711003627,-1910.0,-23.29268292682927,130.0,2021-01-19,-180.0,2018-03-26,66.79718479409698,-5.535560809800754,0.2926829268292683,24,43.225806451612904,-63.72549019607843,-2.3292682926829267,-2.3292682926829267,@CC#
-8,-5,4,-0.2092664743467043,827,81,0.09794437726723096,-1930.0,-23.82716049382716,190.0,2018-06-04,-200.0,2018-04-20,68.56689983575471,-5.516429174995301,0.32098765432098764,26,40.0,-67.70833333333333,-2.382716049382716,-2.382716049382716,@CC#
-9,-2,3,0.34744857282844155,827,83,0.1003627569528416,-1890.0,-22.771084337349397,240.0,2018-03-23,-170.0,2018-03-26,66.11728774725849,-5.467250242043024,0.24096385542168675,20,37.5,-60.588235294117645,-2.2771084337349397,-2.2771084337349397,@CC#
-9,-2,8,0.34744857282844155,827,78,0.094316807738815,-1900.0,-24.358974358974358,190.0,2021-01-19,-200.0,2019-03-14,71.3249331387425,-5.421480442561106,0.32051282051282054,25,52.592592592592595,-65.09803921568627,-2.4358974358974357,-2.4358974358974357,@CC#
-9,-2,2,0.34744857282844155,827,82,0.09915356711003627,-1770.0,-21.585365853658537,210.0,2018-03-23,-180.0,2018-03-26,65.02553177943132,-5.269577205536115,0.3048780487804878,25,42.758620689655174,-56.79245283018868,-2.158536585365854,-2.158536585365854,@CC#
-10,-2,7,0.3755322150851015,827,81,0.09794437726723096,-1800.0,-22.22222222222222,160.0,2021-01-19,-210.0,2019-03-14,67.08203932499369,-5.258737584977436,0.30864197530864196,25,39.354838709677416,-60.4,-2.2222222222222223,-2.2222222222222223,@CC#
-4,-2,9,0.2081955861910911,827,79,0.09552599758162031,-1830.0,-23.164556962025316,130.0,2018-03-23,-210.0,2019-03-14,70.46629133752751,-5.218465946415108,0.31645569620253167,25,49.333333333333336,-67.55102040816327,-2.3164556962025316,-2.3164556962025316,@CC#
-5,-2,8,0.2607578988175941,827,77,0.09310761789600967,-1680.0,-21.818181818181817,130.0,2018-03-23,-200.0,2019-03-14,67.72093030898111,-5.114414366765836,0.3246753246753247,25,47.93103448275862,-63.958333333333336,-2.1818181818181817,-2.1818181818181817,@CC#
-10,-2,8,0.3755322150851015,827,77,0.09310761789600967,-1740.0,-22.5974025974026,190.0,2021-01-19,-200.0,2019-03-14,70.19526519874844,-5.110353871827665,0.3246753246753247,25,46.89655172413793,-64.58333333333333,-2.25974025974026,-2.25974025974026,@CC#
-3,-2,8,0.15834144892338475,827,76,0.09189842805320435,-1650.0,-21.710526315789473,130.0,2018-03-23,-200.0,2019-03-14,67.45641867941576,-5.109134572075665,0.35526315789473684,27,41.935483870967744,-65.55555555555556,-2.1710526315789473,-2.1710526315789473,@CC#
-4,-2,7,0.2081955861910911,827,80,0.09673518742442563,-1740.0,-21.75,140.0,2018-03-23,-210.0,2019-03-14,67.72571263485335,-5.098071805541167,0.3375,27,39.705882352941174,-67.17391304347827,-2.175,-2.175,@CC#
