entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-8,-7,-4,-0.045205831912316086,807,81,0.10037174721189591,-6837.5,-84.41358024691358,625.0,2018-10-10,-937.5,2020-03-25,242.9114652260605,-5.516512126805132,0.3333333333333333,27,104.54545454545455,-214.32291666666666,-1.6882716049382716,-6.753086419753086,@ES#
-8,-7,-5,-0.045205831912316086,807,81,0.10037174721189591,-6137.5,-75.77160493827161,287.5,2018-10-10,-975.0,2020-03-02,219.2970452574361,-5.484966462860334,0.32098765432098764,26,84.375,-180.35714285714286,-1.5154320987654322,-6.061728395061729,@ES#
-9,-8,-5,-0.06021875071059889,807,81,0.10037174721189591,-4550.0,-56.17283950617284,262.5,2020-03-05,-687.5,2020-03-03,182.80714155384197,-4.87790671107578,0.38271604938271603,31,100.75757575757575,-164.0625,-1.123456790123457,-4.493827160493828,@ES#
-8,-7,-6,-0.045205831912316086,807,81,0.10037174721189591,-2800.0,-34.5679012345679,237.5,2018-12-27,-462.5,2020-03-02,116.0763421494239,-4.727478570665653,0.3950617283950617,32,59.642857142857146,-106.25,-0.691358024691358,-2.765432098765432,@ES#
-9,-7,-5,-0.0768883764550865,807,81,0.10037174721189591,-4425.0,-54.629629629629626,325.0,2020-11-09,-875.0,2020-03-03,197.18174956397743,-4.3980666933478885,0.38271604938271603,31,92.01388888888889,-171.94444444444446,-1.0925925925925926,-4.37037037037037,@ES#
-8,-7,-3,-0.045205831912316086,807,81,0.10037174721189591,-4887.5,-60.339506172839506,600.0,2018-10-10,-575.0,2020-04-06,220.26076629702595,-4.348754349210733,0.345679012345679,28,143.1451612903226,-186.5,-1.2067901234567902,-4.827160493827161,@ES#
-8,-7,-5,-0.025984941000563033,807,162,0.20074349442379183,-7837.5,-48.379629629629626,287.5,2018-10-10,-975.0,2020-03-02,180.33213668217562,-4.2588238860721175,0.35802469135802467,58,77.57352941176471,-139.49468085106383,-0.9675925925925926,-3.8703703703703702,@ES#
-6,-5,0,0.054731590007532915,807,81,0.10037174721189591,-6200.0,-76.54320987654322,775.0,2021-03-26,-950.0,2018-02-08,316.26100966538365,-3.842034743989927,0.43209876543209874,35,187.14285714285714,-277.17391304347825,-1.5308641975308641,-6.1234567901234565,@ES#
-8,-7,-5,-0.01621297046593862,807,242,0.29987608426270135,-8750.0,-36.15702479338843,287.5,2018-10-10,-975.0,2020-03-02,154.36509684744595,-3.7182950435683986,0.371900826446281,90,67.61904761904762,-115.69343065693431,-0.7231404958677686,-2.8925619834710745,@ES#
-8,-7,-2,-0.045205831912316086,807,81,0.10037174721189591,-4675.0,-57.71604938271605,675.0,2018-10-26,-812.5,2020-03-02,249.11223547669738,-3.677916013195759,0.3950617283950617,32,148.26388888888889,-222.5,-1.154320987654321,-4.617283950617284,@ES#
-9,-7,-4,-0.0768883764550865,807,81,0.10037174721189591,-4962.5,-61.26543209876543,625.0,2018-10-10,-937.5,2020-03-25,264.59436037097134,-3.6756587798240283,0.3950617283950617,32,145.13888888888889,-226.38888888888889,-1.2253086419753085,-4.901234567901234,@ES#
-10,-6,-4,-0.1317268982144948,807,81,0.10037174721189591,-4450.0,-54.93827160493827,562.5,2018-10-10,-887.5,2020-03-25,242.31693325472597,-3.59907998605095,0.4074074074074074,33,127.43055555555556,-200.83333333333334,-1.0987654320987654,-4.395061728395062,@ES#
-8,-6,-4,-0.05992599050469671,807,81,0.10037174721189591,-4200.0,-51.851851851851855,562.5,2018-10-10,-887.5,2020-03-25,232.77462872439034,-3.536135508494686,0.41975308641975306,34,112.5,-183.33333333333334,-1.037037037037037,-4.148148148148148,@ES#
-9,-8,-4,-0.06021875071059889,807,81,0.10037174721189591,-4175.0,-51.54320987654321,550.0,2018-10-24,-737.5,2020-03-25,234.69879896277249,-3.4862687591930728,0.41975308641975306,34,162.5,-206.38297872340425,-1.0308641975308641,-4.1234567901234565,@ES#
