entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-10,-9,-4,0.17076502732240595,798,76,0.09523809523809523,-2329.999999999998,-30.65789473684208,139.99999999999773,2018-10-22,-230.00000000000114,2018-12-14,70.67928553337785,-6.885737277820244,0.34210526315789475,26,36.33333333333335,-74.34782608695649,-0.07664473684210521,-3.0657894736842084,@HE#
-8,-6,-3,0.15095884299140655,798,77,0.09649122807017543,-1919.9999999999986,-24.93506493506492,210.00000000000227,2019-11-21,-239.99999999999773,2019-08-01,60.25435945406285,-6.569348476143862,0.2727272727272727,21,29.999999999999662,-54.5999999999998,-0.0623376623376623,-2.493506493506492,@HE#
-9,-6,-3,0.2007024586051065,798,76,0.09523809523809523,-1789.9999999999836,-23.552631578947153,100.0,2018-10-22,-239.99999999999773,2019-08-01,57.612589998330975,-6.489665458278402,0.2631578947368421,20,28.571428571428573,-53.958333333332995,-0.058881578947367876,-2.355263157894715,@HE#
-10,-9,-5,0.17076502732240595,798,76,0.09523809523809523,-1950.000000000017,-25.65789473684233,119.99999999999886,2018-10-22,-189.99999999999773,2019-04-05,63.67282049803839,-6.396865234633281,0.3157894736842105,24,35.517241379310185,-63.404255319149186,-0.06414473684210582,-2.565789473684233,@HE#
-8,-6,-4,0.15095884299140655,798,77,0.09649122807017543,-1400.000000000014,-18.181818181818365,100.0,2019-11-21,-209.9999999999966,2019-08-01,49.383762319827625,-5.8445813399806426,0.23376623376623376,18,27.77777777777778,-43.00000000000029,-0.045454545454545914,-1.8181818181818366,@HE#
-9,-7,-3,0.17716833142968907,798,76,0.09523809523809523,-1460.0000000000023,-19.210526315789505,100.0,2018-10-22,-159.9999999999966,2019-10-11,52.605783152165124,-5.797036615448508,0.35526315789473684,27,29.687499999999822,-54.77272727272719,-0.04802631578947376,-1.9210526315789505,@HE#
-10,-9,-3,0.17076502732240595,798,76,0.09523809523809523,-2200.0000000000255,-28.947368421052968,169.99999999999886,2018-10-22,-240.0000000000034,2018-12-14,79.45781182268423,-5.7832605400295565,0.3684210526315789,28,46.451612903225275,-80.8888888888891,-0.07236842105263241,-2.894736842105297,@HE#
-8,-7,-3,0.11679721927071901,798,77,0.09649122807017543,-1280.0000000000011,-16.62337662337664,100.0,2019-02-07,-139.99999999999773,2018-04-10,48.139336951526374,-5.481752339867823,0.33766233766233766,26,26.363636363636157,-48.86363636363624,-0.04155844155844159,-1.6623376623376638,@HE#
-10,-6,-3,0.2604596386674787,798,77,0.09649122807017543,-1740.0000000000064,-22.59740259740268,150.0,2019-05-09,-239.99999999999773,2019-08-01,65.58246310446836,-5.469795251833934,0.3116883116883117,24,38.92857142857155,-57.75510204081653,-0.0564935064935067,-2.259740259740268,@HE#
-8,-6,-5,0.15095884299140655,798,77,0.09649122807017543,-940.0000000000148,-12.2077922077924,69.99999999999886,2019-11-21,-189.99999999999773,2019-08-01,35.78530191600188,-5.415427090393445,0.2727272727272727,21,17.33333333333339,-31.063829787234397,-0.030519480519480998,-1.22077922077924,@HE#
