entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-9,-7,0,-0.015792977979300904,821,81,0.09866017052375152,-1362.4999999998447,-16.82098765431907,118.75000000001035,2020-03-13,-206.24999999998943,2019-07-31,61.52871832739761,-4.339841753537624,0.345679012345679,28,34.28030303030446,-51.95312499999775,-1.3456790123455257e-06,-2.6913580246910516,@JY#
-5,-2,-1,-0.010958303654584611,821,163,0.19853836784409257,-831.2499999998338,-5.099693251532723,62.499999999997456,2020-07-29,-106.24999999999784,2020-03-11,18.77877503674397,-4.310990492149609,0.3006134969325153,49,6.527777777777319,-19.434931506846475,-4.0797546012261784e-07,-0.8159509202452357,@JY#
-5,-2,-1,-0.016836258506003343,821,82,0.09987819732034105,-506.2500000000076,-6.173780487804971,62.499999999997456,2020-07-29,-106.24999999999784,2020-03-11,24.10620434661236,-4.065581022620954,0.34146341463414637,28,8.831521739129839,-25.347222222221667,-4.939024390243976e-07,-0.9878048780487954,@JY#
-5,-2,-1,-0.005517123235976307,821,246,0.29963459196102316,-1012.499999999603,-4.115853658534972,62.499999999997456,2020-07-29,-106.24999999999784,2020-03-11,16.595219765469132,-3.937106721253856,0.2804878048780488,69,6.297348484849032,-16.173245614032243,-3.2926829268279774e-07,-0.6585365853655956,@JY#
-4,-3,-1,-0.005341081501164524,821,245,0.2984165651644336,-1324.999999999829,-5.408163265305425,124.99999999999491,2020-07-29,-162.49999999998903,2019-10-08,23.028553522752297,-3.728064388107446,0.2938775510204082,72,10.564159292036178,-19.081439393938762,-4.326530612244339e-07,-0.8653061224488677,@JY#
-4,-3,-1,-0.005500308113115526,821,163,0.19853836784409257,-987.4999999997516,-6.058282208587433,124.99999999999491,2020-07-29,-162.49999999998903,2019-10-08,26.17257202990539,-3.674543276340142,0.3067484662576687,50,11.842105263159752,-21.69540229884934,-4.846625766869946e-07,-0.9693251533739894,@JY#
-8,-2,-1,-0.005595096341199923,821,243,0.29598051157125455,-918.7499999996177,-3.780864197529291,62.499999999997456,2020-07-29,-106.24999999999784,2020-03-11,17.074190144332363,-3.5152096783544775,0.29218106995884774,71,6.988188976379307,-15.57112068965336,-3.024691358023433e-07,-0.6049382716046867,@JY#
-4,-2,-1,-0.005399282792978299,821,245,0.2984165651644336,-793.749999999753,-3.2397959183663385,62.499999999997456,2020-07-29,-106.24999999999784,2020-03-11,15.115501283666559,-3.402478345006717,0.2857142857142857,70,6.018518518518755,-14.602272727270769,-2.591836734693071e-07,-0.5183673469386143,@JY#
-8,-7,0,-0.01065496044221903,821,81,0.09866017052375152,-1012.4999999998199,-12.499999999997776,168.74999999999528,2018-12-26,-206.24999999998943,2019-07-31,58.97066272732374,-3.3649163694724242,0.345679012345679,28,34.92647058823515,-46.808510638293946,-9.999999999998223e-07,-1.9999999999996443,@JY#
-9,-7,2,-0.015792977979300904,821,81,0.09866017052375152,-1143.7499999999945,-14.120370370370303,131.24999999997948,2018-05-29,-218.75000000000193,2019-10-30,66.70083759677154,-3.3605864423447436,0.4444444444444444,36,36.348684210525015,-58.72093023255686,-1.1296296296296243e-06,-2.259259259259248,@JY#
-4,-2,-1,-0.016138037941693106,821,82,0.09987819732034105,-356.24999999985755,-4.344512195120214,62.499999999997456,2020-07-29,-106.24999999999784,2020-03-11,20.94159427423726,-3.293301938424857,0.34146341463414637,28,8.664772727274494,-19.407894736840397,-3.4756097560961714e-07,-0.6951219512192343,@JY#
-4,-3,-1,0.0,821,295,0.35931790499390986,-1312.499999999838,-4.449152542372333,124.99999999999491,2020-07-29,-162.49999999998903,2019-10-08,21.627635877115473,-3.265641581629382,0.3152542372881356,93,9.717465753425019,-18.330536912750944,-3.559322033897866e-07,-0.7118644067795733,@JY#
-9,-7,-1,-0.015792977979300904,821,81,0.09866017052375152,-937.5000000000268,-11.574074074074405,143.74999999999199,2018-12-27,-212.50000000001737,2020-03-10,56.38102025012025,-3.25876915884037,0.3333333333333333,27,30.53571428571385,-43.61413043478286,-9.259259259259524e-07,-1.8518518518519052,@JY#
-4,-2,-1,-0.010458610050712025,821,163,0.19853836784409257,-574.9999999997294,-3.5276073619615302,62.499999999997456,2020-07-29,-106.24999999999784,2020-03-11,17.43092642666417,-3.2126250462122856,0.3006134969325153,49,7.315340909091572,-16.249999999997172,-2.822085889569224e-07,-0.5644171779138448,@JY#
-9,-7,1,-0.015792977979300904,821,81,0.09866017052375152,-981.2499999998104,-12.114197530861857,181.25000000002947,2020-03-13,-206.24999999998943,2018-09-26,63.294525451736874,-3.0382868443381623,0.4691358024691358,38,30.803571428574873,-58.33333333333218,-9.691358024689486e-07,-1.938271604937897,@JY#
-5,-3,-1,-0.01598039810495333,821,82,0.09987819732034105,-543.7499999998931,-6.631097560974307,124.99999999999491,2020-07-29,-162.49999999998903,2019-10-08,35.08625231126211,-3.0001896315578116,0.34146341463414637,28,17.656250000001393,-29.761904761903548,-5.304878048779446e-07,-1.0609756097558893,@JY#
-9,-2,-1,-0.016216575092107277,821,162,0.19732034104750304,-606.2499999998474,-3.742283950616342,62.499999999997456,2020-07-29,-106.24999999999784,2020-03-11,19.81890885410529,-2.99748671582439,0.3271604938271605,53,8.309659090909518,-18.07432432432277,-2.9938271604930735e-07,-0.5987654320986148,@JY#
-8,-7,0,-0.005479572297180102,821,161,0.1961023142509135,-1599.999999999844,-9.937888198756795,212.49999999999568,2018-01-17,-206.24999999998943,2019-07-31,53.26943623469546,-2.961530955412909,0.35403726708074534,57,26.9166666666664,-42.07848837209099,-7.950310559005435e-07,-1.590062111801087,@JY#
-10,-2,0,-0.028384738266916676,821,82,0.09987819732034105,-624.9999999998661,-7.621951219510562,68.75000000000371,2020-03-19,-181.2500000000078,2020-03-11,40.93129300135827,-2.9560445253299825,0.36585365853658536,30,20.156250000000643,-34.07738095237837,-6.09756097560845e-07,-1.21951219512169,@JY#
-8,-7,-1,-0.005479572297180102,821,161,0.1961023142509135,-1381.2500000000152,-8.579192546583945,162.49999999998903,2018-01-17,-212.50000000001737,2020-03-10,46.72277300705693,-2.9148625135633592,0.34782608695652173,56,23.87152777777846,-34.83146067415803,-6.863354037267156e-07,-1.3726708074534315,@JY#
-10,-2,-1,-0.010668603084584838,821,246,0.29963459196102316,-799.999999999911,-3.2520325203248412,62.499999999997456,2020-07-29,-106.24999999999784,2020-03-11,17.71100188269308,-2.914821881199809,0.3170731707317073,78,7.10431654676283,-16.705607476634995,-2.6016260162598735e-07,-0.5203252032519746,@JY#
-10,-2,-1,-0.028384738266916676,821,82,0.09987819732034105,-374.999999999898,-4.573170731706074,62.499999999997456,2020-07-29,-106.24999999999784,2020-03-11,24.98164411940962,-2.9060070829524327,0.35365853658536583,29,9.25000000000101,-26.171874999998394,-3.6585365853648583e-07,-0.7317073170729717,@JY#
-8,-7,-1,-0.01065496044221903,821,81,0.09866017052375152,-750.0000000001212,-9.259259259260755,143.74999999999199,2018-12-27,-193.7499999999986,2019-07-31,50.70894959910405,-2.8986241109331434,0.345679012345679,28,30.514705882350935,-38.03191489361815,-7.407407407408605e-07,-1.481481481481721,@JY#
-10,-2,-1,-0.016452249133682706,821,164,0.1997563946406821,-562.4999999997601,-3.4298780487790252,62.499999999997456,2020-07-29,-106.24999999999784,2020-03-11,19.02665124644318,-2.861650500703374,0.31097560975609756,51,7.380319148937092,-17.94642857142638,-2.7439024390232206e-07,-0.5487804878046443,@JY#
-5,-4,-1,-0.010900133921740718,821,82,0.09987819732034105,-531.2499999998374,-6.478658536583383,75.00000000000995,2020-03-18,-162.50000000001071,2018-01-25,36.06360553047025,-2.8517813011163637,0.4146341463414634,34,17.857142857145227,-32.03124999999842,-5.182926829266707e-07,-1.0365853658533415,@JY#
-9,-2,-1,-0.010605152745222224,821,242,0.29476248477466505,-768.7499999998147,-3.1766528925612176,62.499999999997456,2020-07-29,-106.24999999999784,2020-03-11,17.734807136985896,-2.8434366915994675,0.33884297520661155,82,7.10431654676283,-17.050970873784934,-2.541322314048974e-07,-0.5082644628097949,@JY#
-9,-2,-1,-0.02747284498278324,821,81,0.09866017052375152,-356.24999999985755,-4.398148148146389,62.499999999997456,2020-07-29,-106.24999999999784,2020-03-11,24.87163223991929,-2.807151404531793,0.37037037037037035,30,10.372340425532137,-24.816176470584356,-3.5185185185171117e-07,-0.7037037037034224,@JY#
-3,-2,0,-0.010948226265420358,821,82,0.09987819732034105,-531.2499999999459,-6.478658536584706,81.24999999999451,2020-03-20,-181.2500000000078,2020-03-11,37.505723868091785,-2.7421285418823538,0.36585365853658536,30,18.437499999999467,-30.20833333333153,-5.182926829267764e-07,-1.0365853658535529,@JY#
-6,-5,-2,0.010833533237195603,821,82,0.09987819732034105,-387.4999999999539,-4.725609756096999,99.99999999999159,2020-03-10,-62.499999999997456,2018-05-02,27.50843332406731,-2.7270447707033503,0.35365853658536583,29,19.85294117647131,-22.13541666666622,-3.7804878048775984e-07,-0.7560975609755198,@JY#
-8,-2,-1,-0.011339288287448568,821,162,0.19732034104750304,-506.2499999997256,-3.1249999999983062,62.499999999997456,2020-07-29,-106.24999999999784,2020-03-11,18.195074968398256,-2.726443126428143,0.30246913580246915,49,8.088235294119613,-15.50324675324536,-2.499999999998645e-07,-0.4999999999997291,@JY#
-3,-2,-1,0.0,821,284,0.3459196102314251,-731.2499999998423,-2.5748239436614164,62.499999999997456,2020-07-29,-106.24999999999784,2020-03-11,15.195280382582206,-2.6899183114165237,0.29577464788732394,84,6.696428571428087,-13.557692307690521,-2.059859154929133e-07,-0.4119718309858266,@JY#
-5,-3,-1,-0.010531526971577776,821,164,0.1997563946406821,-768.7499999998148,-4.687499999998871,124.99999999999491,2020-07-29,-162.49999999998903,2019-10-08,27.988335308544173,-2.6586702925828374,0.3353658536585366,55,14.794303797469151,-22.79411764705738,-3.7499999999990964e-07,-0.7499999999998193,@JY#
-9,-2,0,-0.02747284498278324,821,81,0.09866017052375152,-537.499999999887,-6.635802469134408,68.75000000000371,2020-03-19,-181.2500000000078,2020-03-11,39.69298287683087,-2.6538720665802105,0.3950617283950617,32,19.19642857142815,-34.45512820512484,-5.308641975307527e-07,-1.0617283950615053,@JY#
-3,-2,-1,-0.005341509663016053,821,246,0.29963459196102316,-624.999999999736,-2.540650406502992,62.499999999997456,2020-07-29,-106.24999999999784,2020-03-11,15.656089445264048,-2.5760950718107147,0.3130081300813008,77,6.9029850746268115,-13.839285714283292,-2.0325203252023936e-07,-0.4065040650404787,@JY#
-9,-7,3,-0.015792977979300904,821,81,0.09866017052375152,-918.7499999998346,-11.34259259259055,187.49999999999235,2018-05-29,-268.7500000000086,2019-07-31,69.94076114430315,-2.5744368861643987,0.4444444444444444,36,39.30921052631687,-56.1046511627878,-9.074074074072441e-07,-1.814814814814488,@JY#
-6,-5,6,0.010833533237195603,821,82,0.09987819732034105,-856.2499999999241,-10.442073170730781,200.00000000000486,2019-01-02,-218.75000000002362,2018-05-29,66.2534566857428,-2.50194904511044,0.3780487804878049,31,43.22916666666773,-52.44565217391222,-8.353658536584623e-07,-1.6707317073169248,@JY#
