entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-9,-2,1,0.28600866792051427,819,82,0.10012210012210013,-1562.5,-19.054878048780488,162.5,2018-05-03,-225.0,2018-02-28,71.85337462532064,-4.209778775955039,0.3780487804878049,31,41.891891891891895,-69.16666666666667,-0.38109756097560976,-1.524390243902439,@KW#
-8,-2,3,-0.2787327458553823,819,82,0.10012210012210013,-1625.0,-19.817073170731707,125.0,2019-05-29,-187.5,2021-01-29,76.22333624854515,-4.127164978869086,0.34146341463414637,28,47.857142857142854,-70.2127659574468,-0.39634146341463417,-1.5853658536585367,@KW#
-10,-2,3,-0.3110758674262071,819,82,0.10012210012210013,-1600.0,-19.51219512195122,137.5,2018-07-25,-187.5,2021-01-29,76.22703967646915,-4.06347270297472,0.34146341463414637,28,53.03030303030303,-68.36734693877551,-0.3902439024390244,-1.5609756097560976,@KW#
-5,-2,1,-0.19932631553837954,819,82,0.10012210012210013,-1450.0,-17.682926829268293,125.0,2019-02-20,-237.5,2021-01-29,69.41530553977101,-4.043888575713973,0.4268292682926829,35,35.174418604651166,-75.96153846153847,-0.35365853658536583,-1.4146341463414633,@KW#
-9,-2,2,0.28600866792051427,819,82,0.10012210012210013,-1487.5,-18.140243902439025,137.5,2018-05-03,-262.5,2018-02-28,72.54608047670371,-3.969441803543477,0.35365853658536583,29,47.4264705882353,-64.58333333333333,-0.3628048780487805,-1.451219512195122,@KW#
-5,-2,1,0.2111717078210074,819,82,0.10012210012210013,-1512.5,-18.445121951219512,162.5,2018-05-03,-225.0,2018-06-29,76.68441848015323,-3.8183406657363315,0.4024390243902439,33,44.078947368421055,-72.44318181818181,-0.36890243902439024,-1.475609756097561,@KW#
-4,-2,1,-0.1582632841604137,819,82,0.10012210012210013,-1300.0,-15.853658536585366,125.0,2019-02-20,-237.5,2021-01-29,66.26175590106136,-3.798103804037817,0.4634146341463415,38,36.875,-66.07142857142857,-0.3170731707317073,-1.2682926829268293,@KW#
-8,-2,1,-0.2787327458553823,819,82,0.10012210012210013,-1400.0,-17.073170731707318,125.0,2019-02-20,-237.5,2021-01-29,71.37624712759752,-3.797176147411549,0.4268292682926829,35,41.5625,-72.91666666666667,-0.34146341463414637,-1.3658536585365855,@KW#
-6,-2,3,-0.22055735174892896,819,81,0.0989010989010989,-1412.5,-17.438271604938272,112.5,2019-02-20,-187.5,2021-01-29,73.25253334851504,-3.7790362614729536,0.4074074074074074,33,40.9375,-74.39024390243902,-0.3487654320987654,-1.3950617283950617,@KW#
-5,-2,-1,-0.19932631553837954,819,82,0.10012210012210013,-825.0,-10.060975609756097,87.5,2020-10-13,-162.5,2018-04-09,42.60241039983467,-3.74892018929582,0.3170731707317073,26,21.646341463414632,-41.76829268292683,-0.20121951219512196,-0.8048780487804879,@KW#
-8,-2,4,-0.2787327458553823,819,82,0.10012210012210013,-1512.5,-18.445121951219512,125.0,2019-05-29,-225.0,2021-01-29,78.12979885893749,-3.7477023848451476,0.3780487804878049,31,55.68181818181818,-68.36734693877551,-0.36890243902439024,-1.475609756097561,@KW#
-6,-2,1,-0.22055735174892896,819,82,0.10012210012210013,-1350.0,-16.463414634146343,125.0,2019-02-20,-237.5,2021-01-29,69.88410955605887,-3.7397429369506403,0.4268292682926829,35,39.329268292682926,-72.2560975609756,-0.32926829268292684,-1.3170731707317074,@KW#
-10,-3,-1,-0.2733786944412442,819,82,0.10012210012210013,-962.5,-11.737804878048781,125.0,2019-06-06,-150.0,2018-08-29,49.974822402228675,-3.728515018442523,0.3902439024390244,32,26.875,-48.51190476190476,-0.2347560975609756,-0.9390243902439024,@KW#
-10,-2,1,-0.3110758674262071,819,82,0.10012210012210013,-1412.5,-17.225609756097562,125.0,2019-02-20,-237.5,2021-01-29,74.42268141422255,-3.6742572610966886,0.43902439024390244,36,45.625,-77.08333333333333,-0.3445121951219512,-1.3780487804878048,@KW#
-10,-2,-1,-0.3110758674262071,819,82,0.10012210012210013,-837.5,-10.213414634146341,87.5,2018-03-16,-162.5,2018-04-09,44.14517509867441,-3.672721437620989,0.32926829268292684,27,21.951219512195124,-42.3780487804878,-0.20426829268292682,-0.8170731707317073,@KW#
-8,-2,2,-0.2787327458553823,819,82,0.10012210012210013,-1462.5,-17.835365853658537,150.0,2019-05-29,-200.0,2021-01-29,77.48034616892913,-3.6541867653314775,0.3780487804878049,31,44.6875,-77.38095238095238,-0.3567073170731707,-1.4268292682926829,@KW#
-6,-2,4,-0.22055735174892896,819,82,0.10012210012210013,-1412.5,-17.225609756097562,125.0,2018-04-03,-225.0,2021-01-29,76.06345435969747,-3.5949994629928397,0.4268292682926829,35,46.71052631578947,-72.44318181818181,-0.3445121951219512,-1.3780487804878048,@KW#
-3,-2,4,-0.11748126144174531,819,82,0.10012210012210013,-1550.0,-18.902439024390244,125.0,2019-05-29,-225.0,2021-01-29,84.07640701290666,-3.5689788330337455,0.4268292682926829,35,49.6875,-84.22619047619048,-0.3780487804878049,-1.5121951219512195,@KW#
-3,-2,1,-0.11748126144174531,819,82,0.10012210012210013,-1362.5,-16.615853658536587,125.0,2020-12-11,-237.5,2021-01-29,74.30373512953801,-3.54986864589432,0.4878048780487805,40,43.4375,-73.80952380952381,-0.3323170731707317,-1.329268292682927,@KW#
-6,-3,2,0.2083117790165945,819,80,0.09768009768009768,-1087.5,-13.59375,175.0,2020-02-28,-162.5,2020-02-03,61.01701846797759,-3.536621367724757,0.325,26,43.18181818181818,-53.45744680851064,-0.271875,-1.0875,@KW#
-5,-2,2,0.2111717078210074,819,82,0.10012210012210013,-1412.5,-17.225609756097562,162.5,2020-02-28,-262.5,2018-02-28,77.49552565495112,-3.528566007720504,0.32926829268292684,27,46.28378378378378,-69.44444444444444,-0.3445121951219512,-1.3780487804878048,@KW#
-3,-2,3,-0.11748126144174531,819,82,0.10012210012210013,-1437.5,-17.53048780487805,125.0,2019-05-29,-200.0,2018-08-03,79.99951186428916,-3.478619557482224,0.45121951219512196,37,47.86585365853659,-82.92682926829268,-0.35060975609756095,-1.4024390243902438,@KW#
-10,-2,4,-0.3110758674262071,819,82,0.10012210012210013,-1437.5,-17.53048780487805,150.0,2018-07-25,-225.0,2021-01-29,80.14405808712638,-3.472345588709953,0.36585365853658536,30,56.25,-69.79166666666667,-0.35060975609756095,-1.4024390243902438,@KW#
-9,-2,1,-0.28258428400071756,819,82,0.10012210012210013,-1287.5,-15.701219512195122,125.0,2019-02-20,-237.5,2021-01-29,72.21717331737112,-3.451383115797814,0.43902439024390244,36,43.59756097560975,-75.0,-0.31402439024390244,-1.2560975609756098,@KW#
-9,-2,3,-0.28258428400071756,819,82,0.10012210012210013,-1337.5,-16.3109756097561,137.5,2018-07-25,-187.5,2021-01-29,75.35126139686159,-3.436288999354602,0.35365853658536583,29,52.94117647058823,-65.36458333333333,-0.32621951219512196,-1.3048780487804879,@KW#
-10,-2,2,-0.3110758674262071,819,82,0.10012210012210013,-1375.0,-16.76829268292683,150.0,2019-05-29,-200.0,2021-01-29,77.63428013042994,-3.4287481464863103,0.3902439024390244,32,47.756410256410255,-75.29069767441861,-0.3353658536585366,-1.3414634146341464,@KW#
-6,-3,1,0.2083117790165945,819,81,0.0989010989010989,-1087.5,-13.425925925925926,200.0,2018-06-15,-187.5,2020-02-03,62.43051693238207,-3.4138747714597133,0.345679012345679,28,42.04545454545455,-51.5625,-0.26851851851851855,-1.0740740740740742,@KW#
-6,-2,2,-0.22055735174892896,819,82,0.10012210012210013,-1287.5,-15.701219512195122,125.0,2019-02-20,-200.0,2021-01-29,74.27143493885886,-3.355921867719453,0.4146341463414634,34,41.56976744186046,-78.84615384615384,-0.31402439024390244,-1.2560975609756098,@KW#
-5,-2,4,0.2111717078210074,819,82,0.10012210012210013,-1337.5,-16.3109756097561,187.5,2020-02-28,-250.0,2018-02-28,77.72044078031092,-3.331539399749821,0.32926829268292684,27,54.166666666666664,-63.775510204081634,-0.32621951219512196,-1.3048780487804879,@KW#
-4,-2,3,-0.1582632841604137,819,82,0.10012210012210013,-1200.0,-14.634146341463415,125.0,2019-05-29,-187.5,2021-01-29,70.24002274302937,-3.307371810873765,0.4024390243902439,33,43.58974358974359,-67.44186046511628,-0.2926829268292683,-1.170731707317073,@KW#
