entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-5,-4,3,-0.06763168284688703,813,80,0.0984009840098401,-3869.999999999959,-48.37499999999949,219.99999999999886,2018-06-04,-369.99999999999886,2020-03-16,106.49114481519369,-7.211203517148447,0.2875,23,61.923076923077446,-101.481481481481,-0.12093749999999873,-4.837499999999949,@LE#
-5,-4,4,0.0,813,335,0.41205412054120544,-14269.999999999935,-42.59701492537294,339.9999999999977,2020-04-16,-350.0,2020-04-24,97.47778185378701,-6.937033605583524,0.2626865671641791,88,67.02970297029708,-89.91452991452967,-0.10649253731343236,-4.259701492537294,@LE#
-5,-4,4,-0.06763168284688703,813,80,0.0984009840098401,-3769.9999999999704,-47.12499999999963,219.99999999999886,2018-06-04,-319.99999999999886,2020-03-16,110.08850007199278,-6.795316338348632,0.2875,23,73.07692307692264,-104.99999999999926,-0.11781249999999907,-4.712499999999963,@LE#
-5,-4,2,-0.06763168284688703,813,80,0.0984009840098401,-3649.9999999999545,-45.62499999999943,260.0000000000023,2018-06-04,-389.9999999999977,2020-03-16,110.56636417136957,-6.550585495253798,0.3,24,63.214285714286284,-104.23076923076866,-0.11406249999999858,-4.562499999999943,@LE#
-5,-4,3,0.0,813,335,0.41205412054120544,-13030.000000000018,-38.89552238805975,389.9999999999977,2020-04-16,-369.99999999999886,2020-03-16,94.47445783641085,-6.535600100353692,0.27761194029850744,93,60.84905660377369,-85.06550218340624,-0.09723880597014939,-3.8895522388059756,@LE#
-8,-4,3,-0.13299383828298872,813,80,0.0984009840098401,-3840.0000000000036,-48.00000000000004,269.99999999999886,2020-02-27,-430.00000000000114,2020-05-29,116.98101111729736,-6.5136757693311935,0.275,22,77.5000000000001,-101.78571428571438,-0.1200000000000001,-4.800000000000004,@LE#
-5,-4,4,-0.04352179879504092,813,160,0.1968019680196802,-6909.999999999967,-43.187499999999794,339.9999999999977,2020-04-16,-319.99999999999886,2020-03-16,105.63597083064694,-6.490027053177887,0.275,44,72.9411764705881,-97.52293577981617,-0.1079687499999995,-4.31874999999998,@LE#
-10,-4,3,-0.047180938900681646,813,237,0.2915129151291513,-9319.99999999997,-39.32489451476781,389.9999999999977,2020-04-16,-430.00000000000114,2020-05-29,96.4297404525117,-6.473763637546759,0.2911392405063291,69,62.97297297297278,-85.7668711656439,-0.09831223628691951,-3.9324894514767808,@LE#
-10,-4,3,-0.08447738719454811,813,159,0.19557195571955718,-6800.0,-42.76729559748428,389.9999999999977,2020-04-16,-430.00000000000114,2020-05-29,105.28389558943945,-6.44837243707084,0.2893081761006289,46,66.00000000000011,-92.66055045871565,-0.1069182389937107,-4.276729559748428,@LE#
-10,-9,4,-0.02273864247170465,813,238,0.29274292742927427,-10499.999999999967,-44.117647058823394,339.9999999999977,2020-04-16,-359.9999999999966,2020-05-29,109.09224034026036,-6.419759398994938,0.33613445378151263,80,71.48148148148167,-103.75796178343937,-0.11029411764705846,-4.411764705882339,@LE#
-10,-4,2,-0.08447738719454811,813,159,0.19557195571955718,-6709.999999999996,-42.2012578616352,339.9999999999977,2020-04-16,-469.99999999999886,2020-05-29,104.95115077520896,-6.383200135945755,0.29559748427672955,47,60.75471698113238,-93.67924528301897,-0.105503144654088,-4.2201257861635195,@LE#
-6,-4,4,-0.09742630265769381,813,80,0.0984009840098401,-3399.9999999999773,-42.499999999999716,219.99999999999886,2018-06-04,-319.99999999999886,2020-03-16,105.70438837398835,-6.382578762335354,0.3,24,62.500000000000206,-99.03846153846122,-0.10624999999999929,-4.249999999999972,@LE#
-9,-2,2,-0.15379602967742434,813,80,0.0984009840098401,-2669.999999999959,-33.37499999999949,190.0000000000034,2018-06-04,-219.99999999999886,2020-07-20,83.69540540600754,-6.330236378813777,0.325,26,59.629629629629925,-80.75471698113145,-0.08343749999999872,-3.337499999999949,@LE#
-10,-4,2,-0.047180938900681646,813,237,0.2915129151291513,-8919.999999999993,-37.63713080168773,339.9999999999977,2020-04-16,-469.99999999999886,2020-05-29,94.63302880540876,-6.313556022899907,0.2869198312236287,68,54.69135802469152,-85.57692307692311,-0.09409282700421934,-3.7637130801687735,@LE#
-10,-9,4,0.0,813,324,0.3985239852398524,-13219.999999999947,-40.802469135802305,350.0,2020-03-04,-359.9999999999966,2020-05-29,102.64295864709248,-6.310409654999518,0.31790123456790126,103,66.36363636363647,-95.88785046728954,-0.10200617283950576,-4.080246913580231,@LE#
-10,-4,4,-0.047180938900681646,813,237,0.2915129151291513,-9289.999999999975,-39.19831223628681,339.9999999999977,2020-04-16,-419.99999999999886,2020-05-29,98.8010258499564,-6.298051164863737,0.29535864978902954,70,65.00000000000007,-90.3144654088049,-0.09799578059071704,-3.9198312236286816,@LE#
-10,-4,4,-0.08447738719454811,813,159,0.19557195571955718,-6729.9999999999845,-42.327044025157136,339.9999999999977,2020-04-16,-419.99999999999886,2020-05-29,106.87858347566102,-6.286769261788564,0.3018867924528302,48,65.37037037037061,-97.71428571428568,-0.10581761006289284,-4.232704402515713,@LE#
-5,-4,4,-0.02342689478278981,813,239,0.2939729397293973,-9779.999999999956,-40.92050209205003,339.9999999999977,2020-04-16,-350.0,2020-04-24,104.00786754217766,-6.245612449398126,0.28451882845188287,68,69.99999999999999,-93.64197530864169,-0.10230125523012507,-4.092050209205002,@LE#
