entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-8,-7,-4,-0.04956749939671434,805,81,0.10062111801242236,-11075.0,-136.7283950617284,715.0,2018-10-10,-1140.0,2020-03-17,320.6216232705492,-6.769649410496647,0.345679012345679,28,137.67857142857142,-281.6981132075472,-6.83641975308642,-27.34567901234568,@NQ#
-8,-7,-2,-0.04956749939671434,805,81,0.10062111801242236,-11160.0,-137.77777777777777,690.0,2018-10-26,-1730.0,2020-03-17,344.5386407937432,-6.348067119867871,0.3333333333333333,27,148.21428571428572,-288.8679245283019,-6.888888888888889,-27.555555555555557,@NQ#
-8,-7,-3,-0.04956749939671434,805,81,0.10062111801242236,-10430.0,-128.76543209876544,650.0,2018-10-10,-1585.0,2020-03-17,322.5276450013602,-6.337713670287155,0.345679012345679,28,147.75862068965517,-282.9807692307692,-6.438271604938271,-25.753086419753085,@NQ#
-8,-7,-5,-0.04956749939671434,805,81,0.10062111801242236,-10465.0,-129.19753086419752,855.0,2020-07-13,-1210.0,2020-03-03,332.89305413875366,-6.1609793130940265,0.32098765432098764,26,153.7037037037037,-270.64814814814815,-6.459876543209877,-25.839506172839506,@NQ#
-8,-7,1,-0.04956749939671434,805,81,0.10062111801242236,-11610.0,-143.33333333333334,785.0,2018-10-10,-1985.0,2020-10-30,459.8267336725867,-4.948268469174472,0.43209876543209874,35,222.0,-421.30434782608694,-7.166666666666667,-28.666666666666668,@NQ#
-8,-7,-1,-0.04956749939671434,805,81,0.10062111801242236,-8790.0,-108.51851851851852,925.0,2018-10-26,-1435.0,2020-03-02,349.0759627613706,-4.9349661954483315,0.35802469135802467,29,183.4375,-299.18367346938777,-5.425925925925926,-21.703703703703702,@NQ#
-7,-5,-4,0.09889360050141077,805,81,0.10062111801242236,-5575.0,-68.82716049382717,415.0,2021-03-26,-795.0,2021-03-09,221.9772955801706,-4.922112857644797,0.4074074074074074,33,114.85714285714286,-208.58695652173913,-3.441358024691358,-13.765432098765432,@NQ#
-7,-5,-1,0.09889360050141077,805,81,0.10062111801242236,-8030.0,-99.1358024691358,785.0,2021-03-26,-1085.0,2020-03-25,337.707149505545,-4.660049627143289,0.38271604938271603,31,184.84848484848484,-294.375,-4.95679012345679,-19.82716049382716,@NQ#
-8,-7,-6,-0.04956749939671434,805,81,0.10062111801242236,-3625.0,-44.75308641975309,285.0,2020-07-13,-585.0,2021-02-25,152.69229931992294,-4.652711535419234,0.4074074074074074,33,83.23529411764706,-137.3404255319149,-2.2376543209876543,-8.950617283950617,@NQ#
-8,-7,2,-0.04956749939671434,805,81,0.10062111801242236,-11325.0,-139.8148148148148,1095.0,2018-10-10,-1875.0,2020-10-30,495.585161983062,-4.47852669505701,0.43209876543209874,35,265.85714285714283,-448.4782608695652,-6.9907407407407405,-27.962962962962962,@NQ#
