entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-6,-3,-2,-0.03833916251758884,821,154,0.18757612667478685,-465.0000000000279,-3.019480519480701,30.000000000002245,2018-12-19,-44.9999999999999,2020-10-06,9.100363261600476,-5.267126803734912,0.2012987012987013,31,3.291139240506327,-9.666666666667036,-6.0389610389614015e-06,-0.6038961038961401,@PX#
-4,-3,-2,0.0,821,308,0.3751522533495737,-845.0000000000437,-2.743506493506635,30.000000000002245,2018-08-31,-44.9999999999999,2020-10-06,8.3503763423329,-5.2155512071793675,0.18181818181818182,56,3.3892617449664795,-8.490566037736157,-5.48701298701327e-06,-0.5487012987013271,@PX#
-4,-3,-2,0.0,821,308,0.3751522533495737,-845.0000000000437,-2.743506493506635,30.000000000002245,2018-08-31,-44.9999999999999,2020-10-06,8.3503763423329,-5.2155512071793675,0.18181818181818182,56,3.3892617449664795,-8.490566037736157,-5.48701298701327e-06,-0.5487012987013271,@PX#
-4,-3,-2,-0.019275622185148666,821,238,0.28989037758830694,-650.0000000000117,-2.7310924369748393,30.000000000002245,2018-12-19,-44.9999999999999,2020-10-06,8.876743880720689,-4.884082379435365,0.19747899159663865,47,3.7068965517242862,-8.85245901639368,-5.462184873949678e-06,-0.5462184873949678,@PX#
-6,-5,-2,0.022513396565644328,821,75,0.09135200974421437,-360.000000000027,-4.80000000000036,30.000000000002245,2019-10-30,-65.00000000000256,2018-12-19,16.57171148740026,-4.598054812660734,0.25333333333333335,19,7.20588235294124,-14.756097560976322,-9.60000000000072e-06,-0.9600000000000718,@PX#
-7,-3,-2,-0.021278026826766494,821,229,0.2789281364190012,-575.00000000002,-2.510917030567773,30.000000000002245,2018-08-31,-44.9999999999999,2020-10-06,8.806203631587557,-4.526305979414286,0.1965065502183406,45,3.360655737705066,-9.205607476635867,-5.021834061135545e-06,-0.5021834061135546,@PX#
-8,-3,-2,-0.022566240891417344,821,230,0.2801461632155907,-560.0000000000223,-2.434782608695749,30.000000000002245,2018-12-19,-44.9999999999999,2020-10-06,8.574492929138174,-4.507668965862578,0.21304347826086956,49,3.2926829268294027,-9.018691588785408,-4.869565217391498e-06,-0.48695652173914983,@PX#
-7,-3,-2,-0.03920799843167844,821,152,0.1851400730816078,-415.0000000000126,-2.7302631578948198,30.000000000002245,2018-08-31,-44.9999999999999,2020-10-06,9.847156711179926,-4.401431321601873,0.21052631578947367,32,3.924050632911628,-9.931506849315497,-5.460526315789639e-06,-0.5460526315789639,@PX#
-7,-3,-2,0.0,821,332,0.4043848964677223,-750.0000000000423,-2.259036144578441,30.000000000002245,2018-12-19,-44.9999999999999,2020-10-06,8.32782307296714,-4.306177825027594,0.19879518072289157,66,3.121546961325983,-8.708609271523478,-4.518072289156881e-06,-0.45180722891568814,@PX#
-6,-3,-2,-0.05822316785485837,821,77,0.09378806333739342,-225.00000000000298,-2.922077922077961,30.000000000002245,2018-12-19,-44.9999999999999,2020-10-06,10.801761837002857,-4.294350279166564,0.19480519480519481,15,4.000000000000272,-10.405405405405778,-5.844155844155921e-06,-0.5844155844155922,@PX#
-6,-3,-2,0.0,821,336,0.4092570036540804,-755.000000000037,-2.2470238095239194,30.000000000002245,2018-12-19,-44.9999999999999,2020-10-06,8.318025207623482,-4.288325203385486,0.2113095238095238,71,3.277777777777876,-8.62179487179522,-4.4940476190478384e-06,-0.4494047619047839,@PX#
-8,-3,-2,0.0,821,335,0.40803897685749085,-715.0000000000351,-2.13432835820906,30.000000000002245,2018-12-19,-44.9999999999999,2020-10-06,7.929131315900605,-4.273029536526906,0.20298507462686566,68,3.104395604395717,-8.366013071895788,-4.26865671641812e-06,-0.426865671641812,@PX#
-9,-3,-2,-0.07497662509975966,821,77,0.09378806333739342,-200.00000000000574,-2.597402597402672,30.000000000002245,2018-12-19,-44.9999999999999,2020-10-06,9.72010902616445,-4.241977929841645,0.23376623376623376,18,4.000000000000098,-9.729729729729991,-5.1948051948053435e-06,-0.5194805194805344,@PX#
-5,-3,-2,0.0,821,315,0.38367844092570036,-655.0000000000757,-2.07936507936532,30.000000000002245,2018-12-19,-40.00000000000184,2020-03-27,7.8426028828292695,-4.2089211710243015,0.20317460317460317,64,3.5403726708074603,-7.954545454545953,-4.158730158730639e-06,-0.41587301587306386,@PX#
-8,-3,-2,-0.041318917341142125,821,153,0.18635809987819732,-375.0000000000004,-2.450980392156865,30.000000000002245,2018-12-19,-44.9999999999999,2020-10-06,9.564834975652161,-4.067828416768153,0.2222222222222222,34,3.9375000000001648,-9.452054794520734,-4.90196078431373e-06,-0.49019607843137303,@PX#
-9,-3,-1,-0.07497662509975966,821,77,0.09378806333739342,-245.00000000000216,-3.18181818181821,20.000000000002654,2020-06-10,-70.00000000000061,2020-10-06,12.458063624909977,-4.054385920432564,0.3246753246753247,25,6.111111111111345,-11.341463414634404,-6.36363636363642e-06,-0.6363636363636421,@PX#
-6,-3,-2,-0.020012812817440384,821,230,0.2801461632155907,-520.0000000000377,-2.2608695652175554,30.000000000002245,2018-08-31,-44.9999999999999,2020-10-06,8.87180604341643,-4.045421137735037,0.23478260869565218,54,3.571428571428591,-9.326923076923464,-4.521739130435111e-06,-0.4521739130435111,@PX#
-4,-3,-2,-0.02024701854656863,821,159,0.19366626065773446,-390.00000000000495,-2.4528301886792763,30.000000000002245,2018-08-31,-44.9999999999999,2020-10-06,9.65984649693783,-4.030858268549629,0.22641509433962265,36,4.480519480519591,-8.963414634146504,-4.9056603773585525e-06,-0.4905660377358552,@PX#
-7,-3,-2,-0.06130461988737346,821,77,0.09378806333739342,-215.0000000000034,-2.7922077922078365,30.000000000002245,2018-12-19,-44.9999999999999,2020-10-06,11.165427917811494,-3.9698366142584804,0.23376623376623376,18,4.625000000000375,-10.81081081081131,-5.584415584415672e-06,-0.5584415584415672,@PX#
-10,-9,-7,0.02433445392883815,821,72,0.0876979293544458,-249.99999999998633,-3.4722222222220323,30.000000000002245,2021-03-03,-65.00000000000603,2019-07-31,13.957654492637461,-3.949074610607714,0.3055555555555556,22,5.657894736842195,-13.676470588234993,-6.944444444444065e-06,-0.6944444444444067,@PX#
-4,-3,-1,0.0,821,308,0.3751522533495737,-875.0000000000077,-2.840909090909116,39.99999999999837,2020-07-29,-70.00000000000061,2020-10-06,11.477098645026658,-3.9293932296095466,0.262987012987013,81,5.264900662251774,-10.6369426751594,-5.681818181818232e-06,-0.5681818181818231,@PX#
-4,-3,-1,0.0,821,308,0.3751522533495737,-875.0000000000077,-2.840909090909116,39.99999999999837,2020-07-29,-70.00000000000061,2020-10-06,11.477098645026658,-3.9293932296095466,0.262987012987013,81,5.264900662251774,-10.6369426751594,-5.681818181818232e-06,-0.5681818181818231,@PX#
-8,-3,-2,-0.07391347626896527,821,77,0.09378806333739342,-189.99999999998187,-2.467532467532232,30.000000000002245,2018-12-19,-44.9999999999999,2020-10-06,10.085926118769848,-3.8837151001443826,0.22077922077922077,17,4.2500000000006075,-9.729729729729899,-4.935064935064463e-06,-0.49350649350644643,@PX#
-9,-8,-3,0.02421835279547979,821,73,0.08891595615103533,-335.0000000000054,-4.589041095890485,40.00000000000184,2018-08-17,-85.00000000000173,2018-05-02,19.995718719848387,-3.643218330710824,0.3698630136986301,27,10.972222222222403,-19.729729729730053,-9.17808219178097e-06,-0.917808219178097,@PX#
-9,-7,3,0.04061738424046002,821,68,0.0828258221680877,-415.00000000001603,-6.102941176470824,70.00000000000061,2018-10-31,-84.99999999999827,2018-11-15,26.916753760649122,-3.599289445357328,0.35294117647058826,24,15.312500000000028,-25.13888888888936,-1.2205882352941648e-05,-1.2205882352941648,@PX#
-4,-3,-1,-0.019275622185148666,821,238,0.28989037758830694,-659.9999999999905,-2.773109243697439,39.99999999999837,2020-07-29,-70.00000000000061,2020-10-06,12.29382677565068,-3.5808007796739965,0.2773109243697479,66,5.720338983050983,-11.125000000000053,-5.546218487394878e-06,-0.5546218487394877,@PX#
-4,-3,-2,-0.03839803520936935,821,80,0.09744214372716199,-179.9999999999892,-2.249999999999865,30.000000000002245,2018-08-31,-40.00000000000184,2020-03-27,10.277787280947527,-3.475226887170695,0.25,20,5.125000000000182,-9.624999999999911,-4.49999999999973e-06,-0.449999999999973,@PX#
-9,-3,-2,0.0,821,358,0.43605359317904996,-620.0000000000339,-1.731843575419089,30.000000000002245,2018-12-19,-44.9999999999999,2020-10-06,7.93465204242063,-3.4648229455259143,0.22625698324022347,81,3.2195121951220744,-8.366013071895809,-3.4636871508381774e-06,-0.3463687150838178,@PX#
-6,-3,-1,-0.03833916251758884,821,154,0.18757612667478685,-440.00000000000637,-2.8571428571428985,39.99999999999837,2020-07-29,-70.00000000000061,2020-10-06,13.12156762286519,-3.4565791271823794,0.3181818181818182,49,6.29870129870138,-12.012987012987177,-5.714285714285797e-06,-0.5714285714285797,@PX#
-9,-8,-7,0.02421835279547979,821,71,0.08647990255785627,-125.00000000000705,-1.7605633802817895,19.999999999999186,2021-03-03,-25.000000000000718,2018-05-02,8.19837055018081,-3.408979511049392,0.29577464788732394,21,3.750000000000194,-8.870967741935964,-3.521126760563579e-06,-0.35211267605635793,@PX#
-10,-3,-2,-0.08881791971611763,821,77,0.09378806333739342,-184.99999999999767,-2.4025974025973724,30.000000000002245,2018-12-19,-44.9999999999999,2020-10-06,11.22762071184042,-3.3969843073762327,0.2987012987012987,23,4.651162790697889,-11.323529411764909,-4.805194805194745e-06,-0.4805194805194744,@PX#
