entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-10,-4,5,-0.0831716107568603,819,2,0.002442002442002442,-62.5,-31.25,-25.0,2018-02-28,-37.5,2018-04-20,8.838834764831844,-56.12486080160912,0.0,0,,-31.25,-0.625,-2.5,@S#
-10,-4,5,-0.052358310220346205,819,2,0.002442002442002442,-62.5,-31.25,-25.0,2018-02-28,-37.5,2018-04-20,8.838834764831844,-56.12486080160912,0.0,0,,-31.25,-0.625,-2.5,@S#
-9,-4,5,-0.055154180001708575,819,2,0.002442002442002442,-62.5,-31.25,-25.0,2018-02-28,-37.5,2018-04-20,8.838834764831844,-56.12486080160912,0.0,0,,-31.25,-0.625,-2.5,@S#
-6,-5,5,-0.02935135066195027,819,2,0.002442002442002442,-100.0,-50.0,-37.5,2018-04-20,-62.5,2018-02-28,17.67766952966369,-44.8998886412873,0.0,0,,-50.0,-1.0,-4.0,@S#
-10,-5,5,-0.12306565074802654,819,2,0.002442002442002442,-100.0,-50.0,-37.5,2018-04-20,-62.5,2018-02-28,17.67766952966369,-44.8998886412873,0.0,0,,-50.0,-1.0,-4.0,@S#
-10,-5,5,-0.052844976805885846,819,2,0.002442002442002442,-100.0,-50.0,-37.5,2018-04-20,-62.5,2018-02-28,17.67766952966369,-44.8998886412873,0.0,0,,-50.0,-1.0,-4.0,@S#
-7,-5,5,-0.027937646322013787,819,2,0.002442002442002442,-100.0,-50.0,-37.5,2018-04-20,-62.5,2018-02-28,17.67766952966369,-44.8998886412873,0.0,0,,-50.0,-1.0,-4.0,@S#
-6,-5,5,-0.024926468409236513,819,2,0.002442002442002442,-100.0,-50.0,-37.5,2018-04-20,-62.5,2018-02-28,17.67766952966369,-44.8998886412873,0.0,0,,-50.0,-1.0,-4.0,@S#
-6,-5,5,0.0,819,2,0.002442002442002442,-100.0,-50.0,-37.5,2018-04-20,-62.5,2018-02-28,17.67766952966369,-44.8998886412873,0.0,0,,-50.0,-1.0,-4.0,@S#
-10,-5,5,-0.07806150145761134,819,2,0.002442002442002442,-100.0,-50.0,-37.5,2018-04-20,-62.5,2018-02-28,17.67766952966369,-44.8998886412873,0.0,0,,-50.0,-1.0,-4.0,@S#
-8,-5,5,-0.09144036292608959,819,2,0.002442002442002442,-100.0,-50.0,-37.5,2018-04-20,-62.5,2018-02-28,17.67766952966369,-44.8998886412873,0.0,0,,-50.0,-1.0,-4.0,@S#
-7,-5,5,-0.053740431439375236,819,2,0.002442002442002442,-100.0,-50.0,-37.5,2018-04-20,-62.5,2018-02-28,17.67766952966369,-44.8998886412873,0.0,0,,-50.0,-1.0,-4.0,@S#
-9,-5,5,-0.11496317348107297,819,2,0.002442002442002442,-100.0,-50.0,-37.5,2018-04-20,-62.5,2018-02-28,17.67766952966369,-44.8998886412873,0.0,0,,-50.0,-1.0,-4.0,@S#
-9,-5,5,0.0,819,2,0.002442002442002442,-100.0,-50.0,-37.5,2018-04-20,-62.5,2018-02-28,17.67766952966369,-44.8998886412873,0.0,0,,-50.0,-1.0,-4.0,@S#
-9,-5,5,-0.05368651404964231,819,2,0.002442002442002442,-100.0,-50.0,-37.5,2018-04-20,-62.5,2018-02-28,17.67766952966369,-44.8998886412873,0.0,0,,-50.0,-1.0,-4.0,@S#
