entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-7,-6,5,-0.09840654775309154,822,2,0.0024330900243309003,-67.20000000000056,-33.60000000000028,-22.399999999999523,2019-04-08,-44.800000000001035,2019-02-01,15.839191898579735,-33.674916480963475,0.0,0,,-33.60000000000028,-0.03000000000000025,-3.000000000000025,@SB#
-6,-4,5,0.1934798800060711,822,5,0.006082725060827251,-291.20000000000175,-58.24000000000035,78.39999999999833,2018-08-21,-112.00000000000159,2018-06-04,81.30613752970879,-11.370990754549098,0.2,1,78.39999999999833,-92.40000000000002,-0.05200000000000031,-5.200000000000031,@SB#
-3,-2,5,-0.08451657490119002,822,12,0.014598540145985401,-358.4000000000023,-29.86666666666686,55.999999999998806,2020-03-20,-134.4000000000011,2020-03-12,51.06497346666829,-9.284615319583976,0.25,3,37.3333333333332,-52.26666666666688,-0.02666666666666684,-2.666666666666684,@SB#
-6,-5,5,-0.08368200836820217,822,5,0.006082725060827251,-134.4000000000011,-26.880000000000223,55.999999999998806,2020-07-23,-78.40000000000032,2018-09-20,55.21043379652019,-7.728734264634508,0.2,1,27.999999999999403,-63.46666666666664,-0.024000000000000198,-2.40000000000002,@SB#
-7,-4,5,0.23999999999999577,822,8,0.009732360097323601,-257.60000000000247,-32.20000000000031,78.39999999999833,2018-08-21,-111.9999999999996,2020-03-20,68.89528285739097,-7.419363592072799,0.25,2,61.59999999999869,-63.46666666666664,-0.028750000000000275,-2.8750000000000275,@SB#
-8,-5,5,0.22070671401377887,822,8,0.009732360097323601,-201.5999999999977,-25.19999999999971,44.800000000001035,2018-11-28,-123.19999999999936,2020-03-20,58.580542844872866,-6.82884757985772,0.25,2,44.80000000000004,-48.53333333333296,-0.022499999999999742,-2.2499999999999742,@SB#
-3,-2,5,-0.16347898636630664,822,7,0.00851581508515815,-190.39999999999992,-27.19999999999999,55.999999999998806,2020-03-20,-134.4000000000011,2020-03-12,63.30960959180451,-6.82023813998746,0.2857142857142857,2,44.80000000000004,-56.0,-0.024285714285714275,-2.4285714285714275,@SB#
-6,-4,5,0.1413250073334727,822,14,0.0170316301703163,-470.4000000000059,-33.60000000000042,78.40000000000032,2019-09-25,-190.39999999999992,2019-02-13,78.8295922568713,-6.7662847040051135,0.35714285714285715,5,37.33333333333287,-86.80000000000038,-0.030000000000000377,-3.0000000000000377,@SB#
-4,-3,0,-0.15999999999999348,822,82,0.09975669099756691,-1310.4000000000158,-15.98048780487824,78.40000000000032,2020-12-07,-111.9999999999996,2021-04-09,37.623838119214184,-6.742597035513406,0.2804878048780488,23,25.489655172413592,-38.67169811320773,-0.014268292682927002,-1.4268292682927002,@SB#
-9,-2,0,-0.33771370597347694,822,82,0.09975669099756691,-1500.799999999992,-18.302439024390146,100.80000000000183,2019-07-01,-134.4000000000011,2018-10-15,43.342132940187454,-6.70345902606387,0.3048780487804878,25,21.411764705882423,-46.433333333333216,-0.016341463414634057,-1.6341463414634059,@SB#
-10,-7,0,-0.19414346954262918,822,82,0.09975669099756691,-2116.7999999999984,-25.814634146341444,111.9999999999996,2019-06-21,-246.39999999999873,2021-03-02,62.36365497796107,-6.571048681621252,0.2926829268292683,24,41.066666666666684,-58.64727272727271,-0.023048780487804864,-2.3048780487804863,@SB#
-10,-3,0,-0.3270645952575757,822,81,0.09854014598540146,-1668.7999999999943,-20.602469135802398,89.60000000000008,2019-06-21,-179.20000000000016,2021-02-10,49.882667268572945,-6.556466930735923,0.2962962962962963,24,27.096774193548388,-50.175999999999874,-0.018395061728394998,-1.8395061728395,@SB#
-8,-7,-5,-0.07843137254901489,822,162,0.19708029197080293,-1467.1999999999966,-9.05679012345677,56.000000000000796,2020-12-30,-78.40000000000032,2020-06-15,22.27911557658726,-6.453222326748156,0.2222222222222222,36,9.557333333333341,-25.10344827586204,-0.008086419753086401,-0.80864197530864,@SB#
-6,-2,5,-0.2932551319648202,822,7,0.00851581508515815,-145.5999999999989,-20.79999999999984,67.20000000000056,2020-03-11,-67.20000000000056,2018-03-16,51.49912620618003,-6.411560504908815,0.2857142857142857,2,50.400000000000915,-49.28000000000014,-0.01857142857142843,-1.857142857142843,@SB#
