entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-3,-2,5,0.03250975292585778,818,2,0.0024449877750611247,-260.00000000000796,-130.00000000000398,9.99999999999659,2018-01-23,-270.00000000000455,2018-02-28,197.9898987322341,-10.423188434584828,0.5,1,9.99999999999659,-270.00000000000455,-1.3000000000000398,-13.000000000000398,@SM#
-4,-2,5,0.032916392363380176,818,2,0.0024449877750611247,-260.00000000000796,-130.00000000000398,9.99999999999659,2018-01-23,-270.00000000000455,2018-02-28,197.9898987322341,-10.423188434584828,0.5,1,9.99999999999659,-270.00000000000455,-1.3000000000000398,-13.000000000000398,@SM#
-10,-7,-1,0.11872581794000853,818,80,0.097799511002445,-2280.0000000000236,-28.500000000000295,119.99999999999886,2020-11-12,-200.0,2018-05-03,64.515722742698,-7.012608011792842,0.3125,25,33.54838709677412,-67.75510204081677,-0.285000000000003,-2.85000000000003,@SM#
-8,-6,3,0.08033429154252757,818,81,0.09902200488997555,-2959.999999999968,-36.54320987654282,150.0,2019-09-17,-300.0,2020-09-30,83.18894899304777,-6.973347778401555,0.3333333333333333,27,45.48387096774238,-87.39999999999964,-0.36543209876542815,-3.6543209876542817,@SM#
-8,-6,2,0.08033429154252757,818,82,0.10024449877750612,-2819.999999999982,-34.390243902438804,140.0000000000034,2020-03-26,-310.0000000000023,2020-09-30,80.55513503301155,-6.777075069547451,0.3170731707317073,26,45.00000000000038,-80.19230769230757,-0.34390243902438805,-3.43902439024388,@SM#
-8,-6,-1,0.08033429154252757,818,82,0.10024449877750612,-2160.000000000008,-26.341463414634248,150.0,2020-03-26,-190.0000000000034,2020-09-30,62.371095614895005,-6.704351816579437,0.3048780487804878,25,36.296296296296546,-57.090909090909356,-0.2634146341463424,-2.6341463414634245,@SM#
-10,-9,-1,0.03496506060405746,818,162,0.1980440097799511,-4380.000000000001,-27.03703703703704,180.00000000000114,2018-04-04,-230.00000000000114,2018-02-16,66.55580844953593,-6.448718258056838,0.2839506172839506,46,43.77358490566046,-61.46788990825693,-0.2703703703703704,-2.7037037037037046,@SM#
-9,-7,-1,0.08820938262501729,818,80,0.097799511002445,-1910.0000000000136,-23.87500000000017,119.99999999999886,2019-09-17,-170.00000000000455,2020-12-18,59.438165934189975,-6.3764396049777,0.35,28,30.937500000000107,-60.41666666666703,-0.2387500000000017,-2.387500000000017,@SM#
-8,-6,1,0.08033429154252757,818,82,0.10024449877750612,-2589.9999999999636,-31.585365853658093,160.00000000000227,2020-03-26,-340.0000000000034,2020-09-30,78.71607852126397,-6.3697550503761144,0.32926829268292684,27,45.17241379310411,-73.58490566037703,-0.31585365853658093,-3.1585365853658094,@SM#
-9,-5,-1,0.12104739237103201,818,81,0.09902200488997555,-1570.000000000033,-19.382716049383124,109.99999999999659,2020-03-26,-170.00000000000455,2020-09-30,48.5114852125853,-6.342643954303515,0.32098765432098764,26,22.857142857142694,-51.52173913043538,-0.19382716049383122,-1.9382716049383124,@SM#
-10,-7,-1,0.06617699886718233,818,161,0.19682151589242053,-3849.9999999999886,-23.9130434782608,180.00000000000114,2020-03-26,-200.0,2018-05-03,60.105884830891355,-6.315651085961876,0.3167701863354037,51,32.063492063492134,-59.89795918367339,-0.23913043478260798,-2.39130434782608,@SM#
-8,-6,4,0.08033429154252757,818,82,0.10024449877750612,-2760.0000000000023,-33.65853658536588,130.00000000000114,2020-04-14,-290.0000000000034,2020-09-30,85.13623352932893,-6.27597300991024,0.3780487804878049,31,48.437500000000355,-86.20000000000027,-0.33658536585365884,-3.3658536585365884,@SM#
-10,-8,-1,0.05908776538147366,818,161,0.19682151589242053,-3739.999999999969,-23.22981366459608,160.00000000000227,2020-12-29,-140.0000000000034,2020-05-22,60.679511415222215,-6.077205487531971,0.3167701863354037,51,39.482758620689815,-58.54368932038814,-0.23229813664596083,-2.3229813664596084,@SM#
-10,-8,-1,0.09836231491388238,818,81,0.09902200488997555,-1959.999999999991,-24.197530864197418,160.00000000000227,2020-12-29,-140.0000000000034,2020-05-22,63.38107362475948,-6.060545713141743,0.2962962962962963,24,42.06896551724154,-61.153846153846075,-0.2419753086419742,-2.419753086419742,@SM#
-10,-8,4,0.09836231491388238,818,81,0.09902200488997555,-2979.99999999999,-36.79012345679,260.0000000000023,2020-12-29,-189.99999999999773,2018-12-31,98.06665030087716,-5.955389548111831,0.2962962962962963,24,80.39999999999986,-89.10714285714262,-0.36790123456789997,-3.679012345679,@SM#
-10,-4,-1,0.1573741007194318,818,81,0.09902200488997555,-1919.9999999999989,-23.703703703703688,130.00000000000114,2018-04-04,-219.99999999999886,2018-05-03,63.33333333333332,-5.941336277478376,0.345679012345679,28,33.33333333333282,-62.91666666666629,-0.2370370370370369,-2.370370370370369,@SM#
