entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-9,-5,-3,-0.03527835246959432,820,80,0.0975609756097561,-1875.0,-23.4375,125.0,2020-03-09,-218.75,2020-03-24,52.26760650607045,-7.118343520766472,0.1625,13,16.0472972972973,-57.41279069767442,-0.0234375,-0.75,@US#
-7,-6,-1,0.0210903743558144,820,80,0.0975609756097561,-2343.75,-29.296875,156.25,2020-03-18,-281.25,2020-03-09,67.32626603121322,-6.90775680968939,0.15,12,21.70138888888889,-71.02272727272727,-0.029296875,-0.9375,@US#
-9,-7,-3,-0.021779849531389228,820,78,0.0951219512195122,-2218.75,-28.44551282051282,156.25,2020-03-09,-343.75,2020-03-24,68.16566488499997,-6.6244276762277305,0.1794871794871795,14,20.833333333333332,-70.68452380952381,-0.02844551282051282,-0.9102564102564102,@US#
-9,-7,-1,-0.021779849531389228,820,79,0.09634146341463415,-2312.5,-29.272151898734176,125.0,2020-03-11,-218.75,2020-03-19,72.40118365073815,-6.41814100476808,0.21518987341772153,17,32.196969696969695,-73.3695652173913,-0.029272151898734177,-0.9367088607594937,@US#
-7,-6,1,0.0210903743558144,820,80,0.0975609756097561,-2843.75,-35.546875,218.75,2020-03-31,-468.75,2020-03-23,89.60286053856225,-6.297668884914031,0.2375,19,30.357142857142858,-86.80555555555556,-0.035546875,-1.1375,@US#
-6,-5,-4,-0.021551725138957423,820,79,0.09634146341463415,-1250.0,-15.822784810126583,93.75,2020-03-09,-218.75,2020-03-17,39.99243021118733,-6.280661630466456,0.11392405063291139,9,9.375,-41.666666666666664,-0.015822784810126583,-0.5063291139240507,@US#
-7,-6,0,0.0210903743558144,820,80,0.0975609756097561,-3062.5,-38.28125,343.75,2020-03-16,-375.0,2020-03-09,97.1782208419801,-6.253417679341059,0.15,12,26.18243243243243,-93.75,-0.03828125,-1.225,@US#
-4,-3,-2,-0.018989024453472947,820,161,0.19634146341463415,-2781.25,-17.274844720496894,281.25,2020-03-11,-187.5,2021-02-26,44.1804467935985,-6.207036784559762,0.11801242236024845,19,14.964788732394366,-42.708333333333336,-0.017274844720496896,-0.5527950310559007,@US#
-7,-6,-3,0.0210903743558144,820,80,0.0975609756097561,-2312.5,-28.90625,343.75,2020-03-18,-312.5,2020-03-13,74.71183432556812,-6.14189836396144,0.1125,9,17.857142857142858,-65.27777777777777,-0.02890625,-0.925,@US#
-8,-6,-2,-0.02155590533036822,820,79,0.09634146341463415,-1812.5,-22.943037974683545,125.0,2020-02-25,-250.0,2020-03-24,61.83720289960775,-5.889810983191356,0.189873417721519,15,20.833333333333332,-65.625,-0.022943037974683545,-0.7341772151898734,@US#
