entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-8,-7,-5,-0.04168206375474326,805,81,0.10062111801242236,-3835.0,-47.34567901234568,250.0,2018-12-27,-790.0,2020-03-02,162.70772573035885,-4.619260398037176,0.35802469135802467,29,81.93548387096774,-127.5,-9.469135802469136,-9.469135802469136,@YM#
-9,-7,-5,-0.0727088004366605,805,81,0.10062111801242236,-3630.0,-44.81481481481482,230.0,2020-11-09,-790.0,2020-03-02,155.75911779981863,-4.567393166817919,0.35802469135802467,29,74.83870967741936,-119.0,-8.962962962962964,-8.962962962962964,@YM#
-8,-7,-4,-0.04168206375474326,805,81,0.10062111801242236,-3510.0,-43.333333333333336,620.0,2018-10-10,-520.0,2020-03-03,177.325618566523,-3.879277830454783,0.38271604938271603,31,112.12121212121212,-150.20833333333334,-8.666666666666666,-8.666666666666666,@YM#
-7,-6,-4,-0.039693660380490936,805,81,0.10062111801242236,-3260.0,-40.24691358024691,390.0,2018-10-24,-715.0,2020-03-19,167.10943501671272,-3.823242811894807,0.43209876543209874,35,92.42857142857143,-141.19565217391303,-8.049382716049383,-8.049382716049383,@YM#
-7,-5,-2,0.07304624380385595,805,81,0.10062111801242236,-3565.0,-44.01234567901235,405.0,2021-03-26,-765.0,2020-03-20,183.04272000185918,-3.8170014502218543,0.43209876543209874,35,102.28571428571429,-155.32608695652175,-8.802469135802468,-8.802469135802468,@YM#
-8,-7,-6,-0.04168206375474326,805,81,0.10062111801242236,-1875.0,-23.14814814814815,250.0,2018-12-27,-400.0,2020-03-02,98.15308338395579,-3.743799452867197,0.38271604938271603,31,66.45161290322581,-78.7,-4.62962962962963,-4.62962962962963,@YM#
-9,-8,-5,-0.061968776769498746,805,81,0.10062111801242236,-2965.0,-36.60493827160494,265.0,2020-03-05,-575.0,2020-03-03,159.03188980612865,-3.653892192626322,0.43209876543209874,35,90.69444444444444,-138.44444444444446,-7.320987654320987,-7.320987654320987,@YM#
-9,-7,0,0.061244659754859945,805,81,0.10062111801242236,-4940.0,-60.98765432098765,655.0,2018-12-26,-740.0,2020-10-29,269.0509010311599,-3.5983860100840817,0.41975308641975306,34,173.8235294117647,-230.85106382978722,-12.197530864197532,-12.197530864197532,@YM#
-7,-5,-1,0.07304624380385595,805,81,0.10062111801242236,-3590.0,-44.32098765432099,480.0,2020-10-30,-695.0,2020-11-03,198.2040506120204,-3.5497451489617253,0.41975308641975306,34,115.85714285714286,-166.19565217391303,-8.864197530864198,-8.864197530864198,@YM#
-9,-7,-4,-0.0727088004366605,805,81,0.10062111801242236,-3475.0,-42.901234567901234,620.0,2018-10-10,-560.0,2020-03-19,194.07128876641386,-3.5092052510950604,0.37037037037037035,30,129.83870967741936,-150.0,-8.580246913580247,-8.580246913580247,@YM#
-8,-7,-5,-0.014985749597075106,805,241,0.2993788819875776,-6320.0,-26.224066390041493,280.0,2018-12-28,-790.0,2020-03-02,119.33695118610821,-3.4883926902754903,0.4066390041493776,98,58.75,-90.72992700729927,-5.244813278008299,-5.244813278008299,@YM#
-9,-7,-5,-0.042838895110208774,805,161,0.2,-4830.0,-30.0,250.0,2018-12-27,-790.0,2020-03-02,137.7554445385009,-3.4571064511248744,0.40993788819875776,66,70.0,-106.92307692307692,-6.0,-6.0,@YM#
