entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-6,-5,-3,0.09694758786991109,803,80,0.099626400996264,-3729.9999999999545,-46.62499999999943,210.00000000000085,2018-12-04,-320.0000000000003,2020-05-18,99.28789172420831,-7.454573930587828,0.325,26,43.66666666666745,-100.79999999999959,-0.04662499999999943,-4.662499999999943,EB#
-6,-5,-4,0.09694758786991109,803,80,0.099626400996264,-2129.999999999963,-26.624999999999538,170.0000000000017,2018-12-04,-270.00000000001023,2019-09-16,73.8102896672244,-5.726285235407273,0.325,26,40.333333333334195,-66.79999999999978,-0.026624999999999545,-2.6624999999999543,EB#
-6,-5,5,0.09694758786991109,803,79,0.09838107098381071,-6029.999999999916,-76.32911392404958,320.0000000000003,2020-01-31,-729.9999999999968,2018-02-09,221.66720964955618,-5.466244291780131,0.35443037974683544,28,132.4137931034494,-197.39999999999895,-0.07632911392404956,-7.6329113924049565,EB#
-6,-5,6,0.09694758786991109,803,80,0.099626400996264,-6089.99999999995,-76.12499999999937,320.0000000000003,2020-01-31,-850.0000000000014,2018-02-09,234.44247762821468,-5.154556134853387,0.3875,31,127.50000000000061,-211.87499999999935,-0.07612499999999937,-7.612499999999938,EB#
-8,-2,5,0.29469548133596035,803,80,0.099626400996264,-3990.0000000000123,-49.875000000000156,349.9999999999943,2020-07-30,-459.99999999999375,2019-05-30,155.86828056431443,-5.079552279460686,0.35,28,112.41379310344759,-142.15686274509792,-0.049875000000000155,-4.987500000000016,EB#
-8,-2,4,0.29469548133596035,803,80,0.099626400996264,-3970.000000000063,-49.62500000000079,370.00000000000455,2019-07-01,-480.000000000004,2019-05-30,159.61539018782034,-4.935441701094851,0.375,30,115.33333333333218,-148.6000000000006,-0.04962500000000079,-4.9625000000000785,EB#
-6,-5,8,0.09694758786991109,803,79,0.09838107098381071,-5609.999999999971,-71.01265822784774,320.0000000000003,2020-01-31,-750.0,2018-11-30,231.8962795154326,-4.86118623380518,0.3924050632911392,31,142.90322580645127,-209.16666666666583,-0.07101265822784773,-7.101265822784774,EB#
-6,-5,9,0.09694758786991109,803,79,0.09838107098381071,-5659.999999999936,-71.64556962025236,369.99999999999744,2020-01-31,-750.0,2018-02-09,237.59171173786766,-4.786943745677986,0.3670886075949367,29,151.33333333333294,-208.16326530612093,-0.07164556962025236,-7.164556962025236,EB#
-6,-5,7,0.09694758786991109,803,80,0.099626400996264,-5679.999999999951,-70.99999999999939,339.9999999999963,2020-03-10,-829.9999999999983,2018-02-09,235.5258055145783,-4.785420672061952,0.4,32,138.12499999999972,-210.41666666666546,-0.07099999999999937,-7.0999999999999375,EB#
-6,-5,4,0.09694758786991109,803,80,0.099626400996264,-5299.9999999999545,-66.24999999999943,329.9999999999983,2020-03-11,-769.999999999996,2018-05-08,225.36257706025705,-4.666640574787924,0.35,28,147.2413793103452,-187.6470588235287,-0.06624999999999943,-6.624999999999943,EB#
-8,-2,10,0.29469548133596035,803,79,0.09838107098381071,-3530.000000000008,-44.683544303797575,260.0000000000016,2020-03-27,-579.9999999999983,2019-05-30,152.46551054328836,-4.652391698431472,0.379746835443038,30,102.25806451612875,-139.58333333333331,-0.044683544303797576,-4.468354430379757,EB#
-8,-2,6,0.29469548133596035,803,79,0.09838107098381071,-3520.000000000046,-44.556962025317034,369.99999999999744,2020-07-30,-500.0,2019-05-30,154.486722260377,-4.578515446661404,0.3670886075949367,29,110.99999999999909,-139.79591836734735,-0.04455696202531703,-4.455696202531703,EB#
-8,-3,1,-0.2327746741154546,803,80,0.099626400996264,-4750.0000000000355,-59.37500000000044,509.9999999999909,2019-06-28,-649.9999999999915,2018-11-19,207.41534036257121,-4.5442584088484015,0.375,30,130.3124999999995,-185.83333333333374,-0.05937500000000044,-5.937500000000044,EB#
-7,-3,-2,-0.2243773938544913,803,80,0.099626400996264,-2260.000000000041,-28.25000000000051,159.9999999999966,2018-06-08,-340.0000000000034,2018-11-14,98.69753052455542,-4.543729157578904,0.3625,29,62.18749999999929,-88.54166666666704,-0.028250000000000507,-2.825000000000051,EB#
-8,-3,3,-0.2327746741154546,803,80,0.099626400996264,-5040.00000000006,-63.00000000000075,619.9999999999903,2019-06-28,-679.9999999999998,2018-12-31,220.7719483189764,-4.529986727016008,0.375,30,126.56249999999902,-189.3750000000006,-0.06300000000000075,-6.3000000000000735,EB#
-8,-2,9,0.29469548133596035,803,79,0.09838107098381071,-3410.0000000000073,-43.16455696202541,269.99999999999955,2020-03-27,-569.9999999999932,2019-05-30,152.80743960776434,-4.484180225790452,0.379746835443038,30,101.24999999999983,-141.4893617021277,-0.04316455696202541,-4.31645569620254,EB#
-6,-5,10,0.09694758786991109,803,79,0.09838107098381071,-5479.999999999936,-69.36708860759413,410.0000000000108,2018-04-23,-769.999999999996,2018-02-09,249.39075390583858,-4.415433918554247,0.34177215189873417,27,152.9032258064517,-212.91666666666538,-0.06936708860759414,-6.936708860759413,EB#
-7,-5,-3,0.13532754062967056,803,80,0.099626400996264,-2169.999999999952,-27.124999999999396,220.00000000000597,2020-11-30,-320.0000000000003,2020-05-18,97.85281830705247,-4.400445825940187,0.375,30,61.8750000000009,-86.45833333333292,-0.0271249999999994,-2.71249999999994,EB#
-6,-5,2,0.09694758786991109,803,80,0.099626400996264,-4689.999999999947,-58.62499999999934,320.0000000000003,2020-03-11,-719.9999999999989,2018-05-08,213.55782870813096,-4.357803360788367,0.35,28,144.3333333333335,-180.39999999999907,-0.05862499999999935,-5.862499999999935,EB#
-8,-2,3,0.29469548133596035,803,80,0.099626400996264,-3410.000000000022,-42.62500000000027,429.9999999999926,2019-07-01,-409.9999999999966,2019-05-30,155.463730557926,-4.352467906028103,0.3875,31,104.54545454545452,-145.9574468085111,-0.04262500000000027,-4.262500000000027,EB#
-6,-5,3,0.09694758786991109,803,80,0.099626400996264,-4959.99999999998,-61.99999999999975,390.00000000000057,2020-03-11,-799.9999999999972,2018-05-08,228.0650584506003,-4.315520730805895,0.35,28,152.6666666666666,-190.79999999999956,-0.06199999999999974,-6.199999999999974,EB#
-8,-2,1,0.29469548133596035,803,80,0.099626400996264,-3190.000000000012,-39.87500000000015,319.9999999999932,2019-07-01,-460.00000000000085,2020-03-10,148.31964925265433,-4.267782484395792,0.4,32,88.5714285714283,-139.77777777777783,-0.039875000000000146,-3.987500000000015,EB#
-7,-3,1,-0.2243773938544913,803,80,0.099626400996264,-4140.000000000032,-51.7500000000004,450.00000000000284,2018-05-08,-649.9999999999915,2018-11-19,194.1601518256565,-4.23107303100598,0.4,32,119.11764705882376,-178.0434782608704,-0.05175000000000041,-5.175000000000041,EB#
-8,-6,-4,0.13880605401802365,803,80,0.099626400996264,-1910.0000000000143,-23.875000000000178,210.00000000000085,2018-12-03,-230.00000000000398,2019-11-12,89.68995470331967,-4.225711525484553,0.3375,27,60.32258064516108,-77.14285714285731,-0.02387500000000018,-2.387500000000018,EB#
-6,-5,-4,0.0630952176841327,803,160,0.199252801992528,-2889.9999999999363,-18.062499999999602,170.0000000000017,2018-12-04,-270.00000000001023,2019-09-16,67.87425364728638,-4.224478103680516,0.35625,57,40.92307692307791,-58.421052631578945,-0.018062499999999603,-1.8062499999999602,EB#
-6,-5,1,0.09694758786991109,803,80,0.099626400996264,-4309.99999999996,-53.8749999999995,329.9999999999983,2020-03-11,-760.0000000000051,2018-05-08,208.32966663439947,-4.105219986755375,0.375,30,127.87878787878829,-181.48936170212704,-0.05387499999999949,-5.3874999999999496,EB#
-6,-5,-2,0.09694758786991109,803,80,0.099626400996264,-2989.99999999997,-37.37499999999962,379.99999999999545,2020-03-10,-419.9999999999946,2020-05-18,144.74546625024232,-4.098986634099396,0.3875,31,85.71428571428602,-133.1111111111107,-0.037374999999999624,-3.7374999999999625,EB#
-8,-3,2,-0.2327746741154546,803,80,0.099626400996264,-4240.000000000035,-53.00000000000043,689.9999999999977,2019-06-28,-640.0000000000006,2018-11-19,210.90162083513272,-3.9892956421432673,0.3625,29,129.68749999999994,-174.79166666666734,-0.05300000000000042,-5.3000000000000425,EB#
-8,-2,7,0.29469548133596035,803,78,0.09713574097135741,-2950.0000000000064,-37.8205128205129,390.00000000000057,2020-07-30,-530.0000000000011,2019-05-30,151.09683345541401,-3.9734917969489087,0.358974358974359,28,106.77419354838719,-133.1914893617023,-0.0378205128205129,-3.78205128205129,EB#
-7,-3,3,-0.2243773938544913,803,80,0.099626400996264,-4140.000000000036,-51.750000000000455,489.9999999999949,2018-05-08,-679.9999999999998,2018-12-31,207.59487689100692,-3.957254602756291,0.3875,31,126.87499999999986,-170.83333333333402,-0.05175000000000045,-5.175000000000045,EB#
-6,-5,-3,0.0630952176841327,803,160,0.199252801992528,-3709.9999999999227,-23.187499999999517,210.00000000000085,2018-12-04,-320.0000000000003,2020-05-18,93.1447232290099,-3.95180895268592,0.40625,65,50.53333333333389,-88.23529411764663,-0.023187499999999518,-2.3187499999999517,EB#
-6,-3,10,0.18354149622481944,803,78,0.09713574097135741,-3710.0000000000296,-47.564102564102946,609.9999999999994,2018-07-11,-660.0000000000036,2018-12-17,191.28537121299505,-3.947278955643531,0.38461538461538464,30,117.27272727272741,-168.4444444444452,-0.04756410256410294,-4.756410256410295,EB#
-9,-3,1,-0.26846534820676116,803,80,0.099626400996264,-4410.000000000028,-55.125000000000355,530.0000000000011,2018-11-28,-649.9999999999915,2018-11-19,224.4091750532963,-3.8994940644774903,0.4,32,145.58823529411762,-203.47826086956582,-0.055125000000000354,-5.512500000000036,EB#
-8,-3,4,-0.2327746741154546,803,79,0.09838107098381071,-4400.000000000009,-55.69620253164568,589.9999999999892,2019-06-28,-799.9999999999972,2018-12-31,226.95127424808572,-3.8957692929718406,0.45569620253164556,36,117.10526315789447,-215.85365853658533,-0.055696202531645686,-5.569620253164569,EB#
-7,-3,8,-0.2243773938544913,803,80,0.099626400996264,-4180.000000000038,-52.250000000000476,390.00000000000057,2018-10-31,-829.9999999999983,2018-12-31,213.00725012917945,-3.8939662171862053,0.4625,37,106.66666666666676,-203.41463414634248,-0.052250000000000484,-5.225000000000049,EB#
-6,-5,0,0.09694758786991109,803,80,0.099626400996264,-4029.99999999993,-50.374999999999126,230.00000000000398,2019-01-10,-700.0000000000028,2018-05-08,205.75543889023044,-3.8865477291022343,0.425,34,106.15384615384654,-199.2682926829255,-0.05037499999999913,-5.037499999999913,EB#
-7,-3,6,-0.2243773938544913,803,79,0.09838107098381071,-4009.999999999959,-50.75949367088556,439.9999999999977,2019-06-12,-809.9999999999952,2018-12-31,211.3131844631213,-3.813212051200468,0.45569620253164556,36,113.33333333333357,-188.1395348837202,-0.05075949367088556,-5.075949367088556,EB#
-7,-6,1,-0.08893182405578903,803,80,0.099626400996264,-4070.000000000014,-50.87500000000018,540.0000000000063,2018-05-08,-549.9999999999972,2018-11-19,212.2882787417602,-3.8043343348452114,0.425,34,133.6111111111105,-201.8181818181816,-0.050875000000000184,-5.087500000000018,EB#
-8,-4,1,-0.20215633423180668,803,80,0.099626400996264,-4170.000000000073,-52.12500000000091,530.0000000000011,2019-06-28,-609.9999999999994,2018-12-31,217.69618679902388,-3.800979404840799,0.4,32,132.57142857142787,-195.77777777777888,-0.05212500000000091,-5.212500000000091,EB#
-7,-5,-4,0.13532754062967056,803,80,0.099626400996264,-1469.999999999985,-18.37499999999981,170.0000000000017,2018-12-03,-270.00000000001023,2019-09-16,77.04090233707934,-3.786223592872918,0.3625,29,54.99999999999996,-62.399999999999665,-0.018374999999999808,-1.8374999999999808,EB#
-7,-3,9,-0.2243773938544913,803,79,0.09838107098381071,-4080.00000000003,-51.645569620253546,420.0000000000017,2018-10-31,-820.0000000000002,2018-12-31,217.1578085039137,-3.7753558430573535,0.43037974683544306,34,119.44444444444346,-194.88372093023244,-0.051645569620253545,-5.164556962025355,EB#
-8,-2,0,0.29469548133596035,803,80,0.099626400996264,-2240.000000000009,-28.000000000000114,269.999999999996,2019-07-01,-379.99999999999545,2020-03-10,118.28307603351104,-3.757817560755054,0.4,32,72.49999999999989,-110.22727272727285,-0.028000000000000115,-2.8000000000000114,EB#
-8,-7,-4,0.061360264269989626,803,160,0.199252801992528,-3089.999999999922,-19.31249999999951,210.00000000000085,2019-08-29,-230.00000000000398,2018-02-08,81.63518999354972,-3.755444596794904,0.35625,57,52.20588235294161,-72.17391304347774,-0.01931249999999951,-1.931249999999951,EB#
-8,-2,8,0.29469548133596035,803,79,0.09838107098381071,-2969.9999999999955,-37.5949367088607,399.9999999999986,2020-07-30,-569.9999999999932,2019-05-30,159.7370851877881,-3.7361462920119473,0.3924050632911392,31,107.64705882352911,-147.33333333333303,-0.0375949367088607,-3.7594936708860702,EB#
-8,-7,-4,0.10021044343760721,803,80,0.099626400996264,-1539.9999999999777,-19.249999999999723,210.00000000000085,2019-08-29,-219.99999999999886,2019-07-19,81.96595464898179,-3.7281854123046183,0.3125,25,59.66666666666721,-66.5999999999999,-0.019249999999999722,-1.9249999999999723,EB#
-7,-3,2,-0.2243773938544913,803,80,0.099626400996264,-3650.0000000000164,-45.625000000000206,439.9999999999977,2018-02-28,-640.0000000000006,2018-11-19,194.2974605200925,-3.727657682530735,0.3875,31,117.6470588235294,-166.30434782608728,-0.04562500000000021,-4.5625000000000195,EB#
