entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-6,-2,8,-0.22892025944296623,832,83,0.09975961538461539,-6100.0,-73.49397590361446,275.0,2018-08-08,-350.0,2020-04-03,129.92430943737935,-8.979695206125676,0.2891566265060241,24,58.333333333333336,-148.11320754716982,-0.7349397590361446,-2.9397590361445785,GAS#
-6,-2,10,-0.22892025944296623,832,82,0.0985576923076923,-5950.0,-72.5609756097561,225.0,2018-07-16,-375.0,2020-03-06,137.97531516216281,-8.348375771101026,0.2926829268292683,24,60.483870967741936,-153.4313725490196,-0.725609756097561,-2.902439024390244,GAS#
-6,-2,9,-0.22892025944296623,832,82,0.0985576923076923,-5500.0,-67.07317073170732,275.0,2018-08-08,-375.0,2020-10-02,131.87150315886257,-8.074174866433111,0.34146341463414637,28,64.51612903225806,-147.05882352941177,-0.6707317073170732,-2.682926829268293,GAS#
-6,-2,7,-0.22892025944296623,832,83,0.09975961538461539,-5500.0,-66.26506024096386,325.0,2018-08-08,-425.0,2020-04-03,133.05931964658996,-7.905686147019046,0.30120481927710846,25,65.83333333333333,-141.03773584905662,-0.6626506024096386,-2.6506024096385543,GAS#
-7,-2,10,-0.2578538011847209,832,82,0.0985576923076923,-4975.0,-60.670731707317074,200.0,2018-05-31,-375.0,2020-03-02,129.22074661219673,-7.453276915646511,0.32926829268292684,27,52.142857142857146,-144.68085106382978,-0.6067073170731707,-2.426829268292683,GAS#
-6,-3,5,-0.20314246269147684,832,84,0.10096153846153846,-5500.0,-65.47619047619048,225.0,2020-05-12,-475.0,2020-04-03,140.40092988660552,-7.403101258765492,0.27380952380952384,23,84.25925925925925,-136.40350877192984,-0.6547619047619048,-2.619047619047619,GAS#
-8,-4,5,-0.23128203515613066,832,83,0.09975961538461539,-6100.0,-73.49397590361446,600.0,2019-12-30,-600.0,2018-11-30,159.4746232197229,-7.315776485683121,0.25301204819277107,21,93.0,-145.25862068965517,-0.7349397590361446,-2.9397590361445785,GAS#
-6,-3,3,-0.20314246269147684,832,84,0.10096153846153846,-4975.0,-59.226190476190474,250.0,2020-03-04,-400.0,2018-11-14,128.9893384209584,-7.288870833201278,0.2857142857142857,24,68.96551724137932,-126.81818181818181,-0.5922619047619048,-2.369047619047619,GAS#
-6,-3,8,-0.20314246269147684,832,84,0.10096153846153846,-5225.0,-62.20238095238095,200.0,2019-06-13,-450.0,2020-04-03,136.07526086974366,-7.256515103666148,0.2857142857142857,24,60.294117647058826,-145.5,-0.6220238095238095,-2.488095238095238,GAS#
-7,-2,5,-0.2578538011847209,832,83,0.09975961538461539,-4450.0,-53.6144578313253,225.0,2018-12-27,-400.0,2020-04-15,117.98179182846872,-7.213851556288263,0.27710843373493976,23,70.6896551724138,-120.37037037037037,-0.536144578313253,-2.144578313253012,GAS#
