entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-6,-5,7,0.12180250132551199,748,26,0.034759358288770054,-3246.6000000000113,-124.86923076923121,214.2000000000044,2018-11-16,-776.9999999999984,2018-02-09,242.06741502189962,-8.18878321948698,0.3076923076923077,8,133.875000000001,-239.86666666666775,-0.002973076923076933,-29.730769230769326,IRB#
-9,-8,-7,0.10642183072729905,748,46,0.06149732620320856,-1465.7999999999925,-31.865217391304185,113.39999999999684,2020-06-18,-277.19999999999743,2018-12-20,63.662765037138996,-7.945690763624742,0.2826086956521739,13,33.276923076924064,-57.527272727272894,-0.0007586956521739092,-7.586956521739091,IRB#
-6,-5,-4,0.12180250132551199,748,46,0.06149732620320856,-2461.200000000074,-53.50434782608856,151.200000000002,2018-12-13,-483.0000000000028,2020-03-11,113.74492898395586,-7.467191707253893,0.32608695652173914,15,57.679999999997996,-107.30322580645303,-0.001273913043478299,-12.739130434782991,IRB#
-5,-4,-2,-0.1375814627081806,748,53,0.07085561497326204,-3754.79999999995,-70.84528301886698,260.3999999999993,2018-12-05,-516.5999999999991,2020-03-10,152.6047768256752,-7.369585841104812,0.3018867924528302,16,101.32499999999905,-145.29729729729556,-0.0016867924528301663,-16.867924528301664,IRB#
-6,-5,10,0.12180250132551199,748,27,0.03609625668449198,-3389.4000000000324,-125.53333333333454,672.0000000000006,2019-06-06,-814.8000000000035,2018-11-30,291.6374303295626,-6.833073125222449,0.37037037037037035,10,153.2999999999985,-289.55294117647156,-0.0029888888888889176,-29.888888888889174,IRB#
-5,-3,9,0.1973693517436415,748,31,0.04144385026737968,-3267.599999999981,-105.4064516129026,432.599999999999,2020-06-01,-604.800000000008,2018-11-12,245.93347330187234,-6.8037730807109345,0.2903225806451613,9,181.5333333333341,-222.79090909090854,-0.002509677419354824,-25.09677419354823,IRB#
-5,-3,10,0.1973693517436415,748,31,0.04144385026737968,-3233.999999999998,-104.32258064516124,432.599999999999,2020-06-01,-604.800000000008,2018-11-12,244.75851324612154,-6.766136977749039,0.2903225806451613,9,158.76000000000025,-229.60000000000005,-0.002483870967741934,-24.838709677419338,IRB#
-6,-5,9,0.12180250132551199,748,27,0.03609625668449198,-3217.200000000046,-119.15555555555727,692.9999999999983,2019-06-06,-819.0000000000031,2018-11-30,293.13830987769,-6.452707613616599,0.37037037037037035,10,156.2399999999977,-281.152941176472,-0.0028370370370370784,-28.37037037037078,IRB#
-6,-5,6,0.12180250132551199,748,27,0.03609625668449198,-3074.40000000002,-113.86666666666741,663.6000000000015,2019-06-06,-882.0000000000055,2018-02-09,295.34308602291435,-6.120262776624127,0.2962962962962963,8,201.6000000000017,-246.69473684210706,-0.002711111111111129,-27.11111111111129,IRB#
-8,-2,10,0.2279747021620926,748,62,0.08288770053475936,-4195.800000000023,-67.67419354838746,546.0000000000051,2019-06-06,-562.8000000000033,2020-06-11,178.62547771894987,-6.014228941772852,0.3064516129032258,19,127.98947368421214,-154.13023255814076,-0.0016112903225806538,-16.112903225806537,IRB#
-5,-4,10,0.12809315866084692,748,34,0.045454545454545456,-3254.9999999999914,-95.7352941176468,252.00000000000023,2020-01-27,-1180.2000000000005,2019-06-28,253.2796165725207,-6.0002881405435335,0.35294117647058826,12,122.5000000000009,-214.7727272727274,-0.002279411764705876,-22.79411764705876,IRB#
-8,-2,9,0.2279747021620926,748,62,0.08288770053475936,-4145.399999999995,-66.86129032258057,567.0000000000028,2019-06-06,-562.8000000000033,2020-06-11,178.6241721336708,-5.942029382161955,0.2903225806451613,18,138.1333333333347,-150.72272727272772,-0.0015919354838709661,-15.919354838709658,IRB#
-5,-4,9,0.12809315866084692,748,34,0.045454545454545456,-3175.1999999999716,-93.38823529411681,272.9999999999979,2020-01-27,-1180.2000000000005,2019-06-28,256.35551517458697,-5.782954483327108,0.35294117647058826,12,129.50000000000088,-214.96363636363557,-0.0022235294117646863,-22.235294117646866,IRB#
-3,-2,5,0.2006535573009227,748,31,0.04144385026737968,-1633.7999999999738,-52.70322580645077,281.39999999999696,2019-07-16,-327.5999999999919,2018-11-14,145.66933212787268,-5.743403641846022,0.3870967741935484,12,90.30000000000207,-143.0210526315789,-0.0012548387096773994,-12.548387096773991,IRB#
-6,-4,7,0.16833670922193678,748,23,0.03074866310160428,-1679.9999999999736,-73.04347826086841,201.59999999999644,2020-11-30,-726.5999999999946,2018-02-09,202.09551258138595,-5.737531009123762,0.391304347826087,9,104.53333333333323,-187.199999999998,-0.0017391304347825812,-17.391304347825816,IRB#
-6,-5,8,0.12180250132551199,748,28,0.0374331550802139,-3024.0000000000678,-108.00000000000242,512.3999999999995,2018-12-13,-852.5999999999993,2018-11-30,299.1654168961824,-5.730765498756988,0.42857142857142855,12,146.99999999999935,-299.25000000000375,-0.0025714285714286294,-25.714285714286287,IRB#
-8,-4,3,-0.23511462668423522,748,34,0.045454545454545456,-2595.599999999966,-76.34117647058723,331.80000000000075,2020-06-10,-692.9999999999983,2018-12-31,216.15747082280978,-5.606461816001849,0.3235294117647059,11,147.76363636363874,-183.52173913043444,-0.0018176470588235055,-18.176470588235052,IRB#
-5,-4,3,-0.1375814627081806,748,37,0.04946524064171123,-2587.1999999999857,-69.92432432432393,352.7999999999985,2021-04-01,-420.0000000000004,2020-04-16,202.44216925307907,-5.483117675698544,0.35135135135135137,13,136.01538461538684,-181.4750000000006,-0.0016648648648648556,-16.648648648648557,IRB#
-5,-4,2,-0.1375814627081806,748,38,0.05080213903743316,-2494.7999999999724,-65.65263157894664,323.4000000000017,2018-10-31,-445.2000000000069,2019-01-10,190.89980212757487,-5.459425336400015,0.3157894736842105,12,139.6500000000017,-160.40769230769203,-0.0015631578947368247,-15.631578947368247,IRB#
