entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-6,-5,-4,0.09319664492077884,797,76,0.09535759096612297,-2189.99999999998,-28.815789473683946,160.0000000000037,2018-12-04,-269.999999999996,2018-05-08,80.89445148279196,-5.654732411078528,0.35526315789473684,27,47.586206896552184,-75.95744680851048,-0.028815789473683948,-2.881578947368395,QBZ#
-7,-6,-4,0.10455563853621896,797,75,0.09410288582183186,-2329.999999999956,-31.06666666666608,190.00000000000483,2018-12-26,-309.99999999999875,2020-03-31,91.89555371612276,-5.366614862628611,0.36,27,55.86206896551813,-85.86956521739091,-0.031066666666666076,-3.1066666666666074,QBZ#
-8,-2,5,0.3020235429481357,797,71,0.0890840652446675,-3540.0000000000136,-49.859154929577656,299.99999999999716,2019-07-01,-420.0000000000017,2019-05-30,149.74733918691618,-5.285499905631514,0.36619718309859156,26,94.2857142857138,-143.72093023255817,-0.049859154929577654,-4.985915492957766,QBZ#
-7,-6,-4,0.05880623346075087,797,151,0.18946047678795483,-4119.999999999876,-27.28476821191971,210.00000000000085,2018-12-03,-309.99999999999875,2020-03-31,83.11384782200395,-5.211312903479976,0.3443708609271523,52,51.03448275862133,-76.12903225806357,-0.027284768211919712,-2.728476821191971,QBZ#
-7,-5,-4,0.1330141543114705,797,75,0.09410288582183186,-1970.0000000000168,-26.26666666666689,140.00000000000057,2020-03-10,-250.0,2019-09-16,81.17004728701723,-5.136998444135137,0.37333333333333335,28,51.66666666666645,-78.22222222222246,-0.02626666666666689,-2.6266666666666887,QBZ#
-7,-5,-3,0.1330141543114705,797,77,0.09661229611041405,-2709.999999999997,-35.194805194805156,230.00000000000398,2020-11-30,-310.0000000000023,2020-05-18,108.85299586828594,-5.132612175386966,0.37662337662337664,29,66.12903225806498,-103.47826086956547,-0.03519480519480516,-3.5194805194805165,QBZ#
-8,-6,-4,0.15068925985419315,797,75,0.09410288582183186,-2049.9999999999295,-27.333333333332394,190.00000000000483,2018-12-26,-309.99999999999875,2020-03-31,86.45156952811152,-5.019032244099227,0.38666666666666666,29,48.43750000000114,-83.72093023255732,-0.027333333333332394,-2.7333333333332397,QBZ#
-8,-2,9,0.3020235429481357,797,68,0.08531994981179424,-3199.999999999999,-47.058823529411754,269.999999999996,2019-06-20,-559.9999999999881,2019-05-30,155.304792513623,-4.810126282709929,0.35294117647058826,24,106.15384615384565,-141.90476190476159,-0.04705882352941176,-4.705882352941175,QBZ#
-8,-2,10,0.3020235429481357,797,68,0.08531994981179424,-3199.999999999999,-47.058823529411754,200.00000000000284,2019-06-20,-559.9999999999881,2019-05-30,156.02390577957686,-4.787956438906013,0.35294117647058826,24,104.44444444444368,-146.82926829268237,-0.04705882352941176,-4.705882352941176,QBZ#
-7,-4,8,-0.1866640819408738,797,68,0.08531994981179424,-4939.999999999987,-72.64705882352922,359.99999999999943,2018-10-31,-839.9999999999964,2018-12-31,241.02775988669077,-4.784661763882216,0.4411764705882353,30,128.3333333333335,-231.31578947368396,-0.07264705882352922,-7.2647058823529225,QBZ#
-8,-5,10,0.16155610911119833,797,64,0.08030112923462986,-4650.00000000002,-72.65625000000031,399.9999999999915,2019-07-01,-760.0000000000051,2018-02-09,241.62309746826452,-4.773476642971658,0.390625,25,131.07142857142773,-231.111111111111,-0.07265625000000031,-7.265625000000031,QBZ#
-6,-5,-3,0.09319664492077884,797,77,0.09661229611041405,-2409.999999999993,-31.29870129870121,210.00000000000085,2018-12-04,-319.9999999999932,2018-05-08,105.12336924513527,-4.726365636315817,0.37662337662337664,29,67.33333333333378,-94.25531914893632,-0.03129870129870121,-3.129870129870121,QBZ#
-8,-5,9,0.16155610911119833,797,64,0.08030112923462986,-4449.999999999995,-69.53124999999993,399.9999999999915,2019-07-01,-740.000000000002,2018-02-09,236.73325480078054,-4.662523547921576,0.390625,25,135.18518518518513,-218.91891891891876,-0.06953124999999993,-6.953124999999993,QBZ#
-8,-2,6,0.3020235429481357,797,73,0.09159347553324969,-3089.9999999999895,-42.32876712328753,299.99999999999716,2019-07-01,-509.9999999999909,2019-05-30,148.1320783395042,-4.536143380997292,0.3835616438356164,28,105.35714285714334,-134.2222222222223,-0.04232876712328752,-4.2328767123287525,QBZ#
-7,-5,3,-0.12818879722045207,797,76,0.09535759096612297,-4890.000000000018,-64.34210526315813,509.9999999999909,2019-06-28,-659.9999999999966,2018-12-31,227.5980991503269,-4.487731927257056,0.3684210526315789,28,147.99999999999923,-202.8260869565216,-0.06434210526315813,-6.434210526315813,QBZ#
