entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-8,-5,1,0.34291241047881726,834,40,0.047961630695443645,-5977.500000000004,-149.43750000000009,310.0000000000023,2020-03-23,-494.9999999999932,2020-07-13,163.96576360513552,-14.467939630349697,0.1,4,96.25000000000341,-176.7361111111116,-2.988750000000002,-14.943750000000009,QPA#
-7,-4,6,0.28753920778852526,834,24,0.02877697841726619,-3349.9999999999827,-139.5833333333326,145.00000000000455,2019-05-30,-514.9999999999977,2020-06-16,168.09945727524496,-13.181581659650568,0.20833333333333334,5,51.99999999999477,-189.99999999999773,-2.7916666666666523,-13.958333333333263,QPA#
-10,-6,0,0.30698461482874045,834,41,0.049160671462829736,-4849.999999999965,-118.29268292682842,154.99999999999545,2019-05-01,-475.0,2021-03-17,145.26531655946437,-12.926954417845035,0.1951219512195122,8,63.74999999999673,-162.42424242424062,-2.365853658536569,-11.829268292682844,QPA#
-8,-5,2,0.34291241047881726,834,29,0.03477218225419664,-4982.500000000005,-171.81034482758636,204.99999999999545,2020-04-28,-819.9999999999932,2020-07-13,217.49065718000458,-12.54033026455458,0.13793103448275862,4,49.500000000000455,-217.91666666666694,-3.4362068965517274,-17.181034482758637,QPA#
-10,-5,0,0.34816290533013855,834,41,0.049160671462829736,-4852.500000000032,-118.35365853658614,254.99999999999545,2020-11-11,-554.9999999999955,2020-07-13,150.23586638609436,-12.505709379852066,0.12195121951219512,5,89.16666666666515,-153.92857142857207,-2.367073170731723,-11.835365853658613,QPA#
-9,-5,2,0.3455195477811368,834,28,0.03357314148681055,-4477.499999999998,-159.91071428571422,284.9999999999909,2020-03-06,-819.9999999999932,2020-07-13,207.22871840747203,-12.249768812722102,0.14285714285714285,4,80.50000000000182,-212.17391304347856,-3.198214285714284,-15.99107142857142,QPA#
-7,-4,3,0.28753920778852526,834,26,0.03117505995203837,-4287.500000000035,-164.9038461538475,39.999999999997726,2019-05-30,-825.0,2021-03-18,217.0880936039933,-12.058548948990634,0.11538461538461539,3,21.666666666664014,-189.23913043478376,-3.298076923076949,-16.490384615384748,QPA#
-6,-5,6,0.18208302986162384,834,29,0.03477218225419664,-4380.000000000029,-151.0344827586217,225.0,2018-08-08,-654.9999999999955,2020-03-27,199.42609314133287,-12.022489368772527,0.1724137931034483,5,100.0,-216.5217391304361,-3.020689655172434,-15.10344827586217,QPA#
-9,-5,1,0.3455195477811368,834,41,0.049160671462829736,-4920.000000000045,-120.00000000000108,310.0000000000023,2020-03-23,-494.9999999999932,2020-07-13,164.80101638036123,-11.55903638100091,0.14634146341463414,6,117.50000000000303,-160.7142857142875,-2.4000000000000217,-12.000000000000108,QPA#
-10,-5,1,0.34816290533013855,834,42,0.050359712230215826,-5387.500000000023,-128.27380952381006,409.9999999999909,2020-11-11,-494.9999999999932,2020-07-13,177.38143420258947,-11.47968843239567,0.14285714285714285,6,135.00000000000037,-172.15277777777845,-2.5654761904762013,-12.827380952381006,QPA#
-7,-4,10,0.28753920778852526,834,34,0.0407673860911271,-3607.50000000001,-106.10294117647088,109.9999999999909,2019-03-28,-575.0,2021-03-18,149.75509195631523,-11.247243431589458,0.20588235294117646,7,63.74999999999602,-158.3653846153838,-2.122058823529418,-10.610294117647088,QPA#
-8,-5,3,0.34291241047881726,834,29,0.03477218225419664,-5492.500000000024,-189.39655172413876,525.0,2021-03-17,-950.0,2021-01-08,270.2542248682022,-11.12499555438131,0.10344827586206896,3,228.33333333333408,-237.59615384615486,-3.7879310344827752,-18.939655172413875,QPA#
-7,-4,5,0.28753920778852526,834,26,0.03117505995203837,-3592.5000000000236,-138.17307692307784,195.00000000000455,2020-11-11,-625.0,2020-04-21,201.19959951787706,-10.901759256948615,0.19230769230769232,5,84.00000000000091,-191.07142857142992,-2.7634615384615566,-13.817307692307784,QPA#
-4,-2,1,-0.12494155205114099,834,28,0.03357314148681055,-1865.0000000000205,-66.60714285714359,120.00000000000455,2020-02-20,-350.0,2021-03-17,98.60183278505298,-10.72348843198794,0.17857142857142858,5,52.999999999999545,-92.6086956521747,-1.3321428571428717,-6.660714285714358,QPA#
-7,-5,1,0.29761150205612535,834,43,0.05155875299760192,-5504.999999999995,-128.02325581395337,409.9999999999909,2020-11-11,-525.0,2020-11-06,190.07091262800313,-10.692357675351785,0.16279069767441862,7,118.12499999999915,-184.28571428571396,-2.5604651162790675,-12.802325581395339,QPA#
-10,-6,3,0.30698461482874045,834,35,0.04196642685851319,-4072.4999999999795,-116.35714285714228,325.0,2021-03-17,-660.0000000000023,2020-06-30,173.0663580414003,-10.6728563569485,0.2571428571428571,9,73.0555555555548,-181.92307692307588,-2.3271428571428454,-11.635714285714228,QPA#
-8,-5,0,0.34291241047881726,834,38,0.045563549160671464,-5057.499999999987,-133.09210526315755,420.00000000000455,2020-05-08,-644.9999999999818,2020-07-31,197.96381921899876,-10.672514201278398,0.10526315789473684,4,160.0,-177.4999999999996,-2.661842105263151,-13.309210526315757,QPA#
-9,-6,3,0.1922520560642305,834,66,0.07913669064748201,-7142.500000000018,-108.21969696969724,325.0,2021-03-17,-660.0000000000023,2020-06-30,163.79734497678845,-10.48817019034699,0.25757575757575757,17,80.44117647058663,-173.67346938775492,-2.164393939393945,-10.821969696969724,QPA#
-10,-5,2,0.34816290533013855,834,25,0.02997601918465228,-3407.500000000016,-136.30000000000064,309.9999999999909,2020-04-01,-819.9999999999932,2020-07-13,208.05538124899843,-10.399612878068965,0.16,4,86.50000000000091,-192.00000000000102,-2.726000000000013,-13.630000000000063,QPA#
-9,-5,3,0.3455195477811368,834,30,0.03597122302158273,-4235.000000000071,-141.16666666666904,525.0,2021-03-17,-625.0,2021-03-18,216.30292190117962,-10.360245440861634,0.1,3,271.66666666666214,-187.0370370370391,-2.8233333333333803,-14.116666666666902,QPA#
-10,-5,3,0.34816290533013855,834,30,0.03597122302158273,-3727.500000000043,-124.25000000000144,525.0,2021-03-17,-625.0,2021-03-18,193.23934373081832,-10.207070487396352,0.1,3,225.0,-163.05555555555716,-2.4850000000000287,-12.425000000000145,QPA#
-10,-5,0,0.2151617813044383,834,75,0.08992805755395683,-6432.500000000045,-85.76666666666726,262.5,2018-01-12,-554.9999999999955,2020-07-13,135.40852435673435,-10.05478518536219,0.16,12,70.16666666666576,-124.75000000000051,-1.7153333333333451,-8.576666666666727,QPA#
-6,-5,3,0.18208302986162384,834,33,0.039568345323741004,-5285.000000000002,-160.1515151515152,189.99999999999773,2020-03-19,-950.0,2021-01-08,253.73224952842986,-10.01972154431143,0.21212121212121213,7,93.57142857142874,-228.4615384615386,-3.2030303030303044,-16.015151515151523,QPA#
-7,-3,3,-0.22915759543531974,834,25,0.02997601918465228,-1135.000000000025,-45.400000000001,70.00000000000455,2018-09-28,-259.9999999999909,2020-08-11,71.93631442695154,-10.018620815858661,0.16,4,27.14285714285763,-73.61111111111269,-0.90800000000002,-4.5400000000001,QPA#
-9,-5,1,0.21263809920029075,834,77,0.09232613908872901,-7980.000000000046,-103.63636363636424,310.0000000000023,2020-03-23,-614.9999999999864,2020-07-29,164.44311199116723,-10.004531353539647,0.16883116883116883,13,107.88461538461696,-146.60156250000105,-2.0727272727272847,-10.363636363636424,QPA#
-9,-5,2,0.21263809920029075,834,64,0.07673860911270983,-7662.499999999972,-119.72656249999956,284.9999999999909,2020-03-06,-819.9999999999932,2020-07-13,192.33481739312333,-9.881727520696606,0.171875,11,91.07142857142817,-178.74999999999932,-2.394531249999991,-11.972656249999956,QPA#
-7,-5,2,0.29761150205612535,834,32,0.03836930455635491,-4687.4999999999945,-146.48437499999983,309.9999999999909,2020-04-01,-819.9999999999932,2020-07-13,235.5816920283705,-9.870747354002035,0.1875,6,102.14285714285357,-216.09999999999877,-2.9296874999999964,-14.648437499999982,QPA#
