entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-8,-6,-5,0.08434009430900784,845,83,0.09822485207100591,-2039.9999999999409,-24.578313253011334,280.0000000000068,2020-03-25,-160.00000000001364,2021-02-11,61.47181001392869,-6.347114669131406,0.24096385542168675,20,37.857142857142534,-56.36363636363512,-0.24578313253011336,-4.915662650602267,QPL#
-9,-6,-3,-0.09447331128955572,845,82,0.0970414201183432,-3850.000000000034,-46.951219512195536,320.00000000000455,2021-01-15,-390.0000000000091,2020-03-19,120.81706428806167,-6.169058219340334,0.3170731707317073,26,82.22222222222028,-110.36363636363603,-0.46951219512195536,-9.390243902439108,QPL#
-10,-6,0,-0.11527634281356391,845,82,0.0970414201183432,-6589.999999999987,-80.36585365853642,390.0000000000091,2020-08-11,-1060.0000000000023,2020-06-02,216.47253480708724,-5.893442219948627,0.2926829268292683,24,153.5999999999999,-182.98245614035062,-0.8036585365853642,-16.073170731707282,QPL#
-7,-6,-5,0.06485617078449522,845,84,0.09940828402366864,-2049.999999999966,-24.4047619047615,280.0000000000068,2020-03-25,-160.00000000001364,2021-02-11,65.77345548875054,-5.890120595849068,0.27380952380952384,23,39.67741935483819,-61.88679245282925,-0.244047619047615,-4.8809523809523,QPL#
-10,-6,-1,-0.11527634281356391,845,82,0.0970414201183432,-5930.000000000064,-72.31707317073248,310.00000000001364,2021-02-17,-950.0,2020-06-02,195.77196851318004,-5.863954659298577,0.3048780487804878,25,131.85185185185026,-172.54545454545493,-0.7231707317073248,-14.463414634146497,QPL#
-10,-7,-1,-0.09969477211523303,845,82,0.0970414201183432,-6040.0000000000655,-73.65853658536665,340.0000000000091,2021-02-17,-1020.0000000000045,2020-06-02,211.61059155224592,-5.52568285865929,0.3170731707317073,26,140.71428571428564,-184.814814814816,-0.7365853658536666,-14.731707317073331,QPL#
-10,-7,-3,-0.09969477211523303,845,82,0.0970414201183432,-3350.000000000057,-40.85365853658606,209.9999999999909,2020-04-21,-360.0000000000023,2020-03-19,118.53218784090313,-5.471355381377264,0.32926829268292684,27,65.58823529411684,-116.25000000000061,-0.40853658536586057,-8.170731707317211,QPL#
-8,-7,-4,0.057207584852865256,845,83,0.09822485207100591,-2749.9999999999204,-33.13253012048097,189.99999999999773,2020-05-26,-329.99999999999545,2019-08-29,97.84168036522576,-5.37564980555906,0.30120481927710846,25,70.71428571428596,-85.99999999999868,-0.3313253012048097,-6.6265060240961935,QPL#
-8,-7,-1,0.057207584852865256,845,83,0.09822485207100591,-4459.9999999999345,-53.734939759035356,300.0,2020-04-07,-510.0000000000023,2020-05-01,160.54564614474293,-5.313228632407853,0.42168674698795183,35,94.72222222222355,-167.4468085106379,-0.5373493975903535,-10.74698795180707,QPL#
-10,-7,-2,-0.09969477211523303,845,82,0.0970414201183432,-4130.000000000029,-50.36585365853694,340.0000000000091,2020-12-10,-540.0000000000091,2020-06-02,153.36106932681886,-5.213403529391999,0.36585365853658536,30,91.875000000001,-141.40000000000123,-0.5036585365853694,-10.073170731707389,QPL#
-10,-6,1,-0.11527634281356391,845,82,0.0970414201183432,-5749.999999999965,-70.12195121951177,479.99999999999545,2021-02-25,-939.9999999999977,2020-06-02,222.99584175073957,-4.991803692397289,0.36585365853658536,30,148.6666666666667,-196.34615384615324,-0.7012195121951178,-14.024390243902356,QPL#
