,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 15:10:00,0.77275,0.77275,0.77265,0.77275,98762,67,0
1,2021-04-14,0 days 15:09:00,0.7728,0.7728,0.77275,0.77275,98695,45,0
2,2021-04-14,0 days 15:08:00,0.7727,0.7728,0.7727,0.7728,98650,40,0
3,2021-04-14,0 days 15:07:00,0.77275,0.77275,0.7727,0.77275,98610,58,0
4,2021-04-14,0 days 15:06:00,0.7727,0.77275,0.7726,0.77275,98552,86,0
5,2021-04-14,0 days 15:05:00,0.7727,0.77275,0.7727,0.77275,98466,47,0
6,2021-04-14,0 days 15:04:00,0.7725,0.7727,0.7725,0.77265,98419,139,0
7,2021-04-14,0 days 15:03:00,0.7725,0.77255,0.77245,0.7725,98280,100,0
8,2021-04-14,0 days 15:02:00,0.7726,0.7726,0.7725,0.77255,98180,42,0
9,2021-04-14,0 days 15:01:00,0.7728,0.7728,0.77255,0.77265,98138,427,0
10,2021-04-14,0 days 15:00:00,0.77265,0.7728,0.77255,0.7728,97711,1088,0
11,2021-04-14,0 days 14:59:00,0.7727,0.7727,0.77265,0.77265,96623,138,0
12,2021-04-14,0 days 14:58:00,0.77255,0.7727,0.77255,0.7727,96485,170,0
13,2021-04-14,0 days 14:57:00,0.77255,0.7726,0.77255,0.7726,96315,73,0
14,2021-04-14,0 days 14:56:00,0.7726,0.7726,0.77255,0.77255,96242,32,0
15,2021-04-14,0 days 14:55:00,0.77255,0.77275,0.77255,0.77265,96210,101,0
16,2021-04-14,0 days 14:54:00,0.77255,0.77255,0.77255,0.77255,96109,97,0
17,2021-04-14,0 days 14:53:00,0.77255,0.77255,0.7725,0.77255,95812,29,0
18,2021-04-14,0 days 14:52:00,0.77255,0.77255,0.77255,0.77255,95564,56,0
19,2021-04-14,0 days 14:51:00,0.7726,0.7726,0.7725,0.77255,95508,90,0
20,2021-04-13,0 days 15:10:00,0.7646,0.76465,0.7646,0.7646,78067,52,0
21,2021-04-13,0 days 15:09:00,0.76455,0.7646,0.76455,0.7646,78015,16,0
22,2021-04-13,0 days 15:08:00,0.7645,0.7645,0.7645,0.7645,77999,29,0
23,2021-04-13,0 days 15:07:00,0.7645,0.7645,0.7645,0.7645,77970,36,0
24,2021-04-13,0 days 15:06:00,0.76455,0.76455,0.76445,0.7645,77934,14,0
25,2021-04-13,0 days 15:05:00,0.76455,0.76455,0.7645,0.7645,77920,10,0
26,2021-04-13,0 days 15:04:00,0.76455,0.76455,0.7645,0.76455,77910,17,0
27,2021-04-13,0 days 15:03:00,0.7646,0.76465,0.7645,0.76455,77893,87,0
28,2021-04-13,0 days 15:02:00,0.7646,0.76465,0.76455,0.76465,77806,47,0
29,2021-04-13,0 days 15:01:00,0.76445,0.76455,0.76435,0.76455,77759,244,0
30,2021-04-13,0 days 15:00:00,0.7645,0.76455,0.7644,0.7644,77515,811,0
