,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-15,0 days 14:13:00,54.89,54.91,54.85,54.88,25420,175,0
1,2021-04-15,0 days 14:12:00,54.9,54.92,54.89,54.9,24806,197,0
2,2021-04-15,0 days 14:11:00,54.87,54.91,54.86,54.91,24525,50,0
3,2021-04-15,0 days 14:10:00,54.89,54.89,54.87,54.88,24365,26,0
4,2021-04-15,0 days 14:09:00,54.89,54.9,54.88,54.88,24313,17,0
5,2021-04-15,0 days 14:08:00,54.89,54.92,54.87,54.88,24116,61,0
6,2021-04-15,0 days 14:07:00,54.96,54.96,54.9,54.9,23796,4,0
7,2021-04-15,0 days 14:06:00,54.92,54.95,54.92,54.95,23660,11,0
8,2021-04-14,0 days 14:20:00,54.32,54.33,54.31,54.32,40269,45,0
9,2021-04-14,0 days 14:19:00,54.32,54.34,54.32,54.33,40054,43,0
10,2021-04-14,0 days 14:18:00,54.32,54.34,54.32,54.32,39962,69,0
11,2021-04-14,0 days 14:17:00,54.3,54.32,54.29,54.32,39850,31,0
12,2021-04-14,0 days 14:16:00,54.32,54.35,54.29,54.3,39695,116,0
13,2021-04-14,0 days 14:15:00,54.17,54.34,54.17,54.3,39441,582,0
14,2021-04-14,0 days 14:14:00,54.17,54.21,54.13,54.16,35453,134,0
15,2021-04-14,0 days 14:13:00,54.16,54.19,54.14,54.18,34910,36,0
16,2021-04-14,0 days 14:12:00,54.19,54.23,54.17,54.17,34764,116,0
17,2021-04-14,0 days 14:11:00,54.19,54.23,54.19,54.2,34554,122,0
18,2021-04-14,0 days 14:10:00,54.2,54.21,54.17,54.2,34308,168,0
19,2021-04-14,0 days 14:09:00,54.31,54.31,54.19,54.19,33964,297,0
20,2021-04-14,0 days 14:08:00,54.44,54.44,54.3,54.31,33450,159,0
21,2021-04-14,0 days 14:07:00,54.42,54.47,54.42,54.44,33044,108,0
22,2021-04-14,0 days 14:06:00,54.35,54.43,54.35,54.41,32822,94,0
23,2021-04-13,0 days 14:20:00,52.98,53.01,52.98,52.99,40388,46,0
24,2021-04-13,0 days 14:19:00,53.02,53.02,52.99,52.99,40337,38,0
