,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 15:10:00,1.3784,1.3785,1.3783,1.3783,62431,54,0
1,2021-04-14,0 days 15:09:00,1.3784,1.3784,1.3784,1.3784,62377,18,0
2,2021-04-14,0 days 15:08:00,1.3784,1.3784,1.3784,1.3784,62359,2,0
3,2021-04-14,0 days 15:07:00,1.3784,1.3784,1.3784,1.3784,62357,4,0
4,2021-04-14,0 days 15:06:00,1.3783,1.3784,1.3783,1.3784,62353,42,0
5,2021-04-14,0 days 15:05:00,1.3784,1.3784,1.3783,1.3784,62311,24,0
6,2021-04-14,0 days 15:04:00,1.3782,1.3784,1.3782,1.3783,62287,247,0
7,2021-04-14,0 days 15:03:00,1.3781,1.3783,1.3781,1.3782,62040,232,0
8,2021-04-14,0 days 15:02:00,1.3784,1.3784,1.3782,1.3782,61808,153,0
9,2021-04-14,0 days 15:01:00,1.3782,1.3784,1.3781,1.3784,61655,319,0
10,2021-04-14,0 days 15:00:00,1.3786,1.3786,1.378,1.3781,61336,834,0
11,2021-04-14,0 days 14:59:00,1.3786,1.3786,1.3786,1.3786,60502,42,0
12,2021-04-14,0 days 14:58:00,1.3785,1.3786,1.3784,1.3786,60460,125,0
13,2021-04-14,0 days 14:57:00,1.3785,1.3785,1.3784,1.3785,60335,42,0
14,2021-04-14,0 days 14:56:00,1.3786,1.3786,1.3785,1.3785,60293,10,0
15,2021-04-14,0 days 14:55:00,1.3785,1.3787,1.3785,1.3787,60283,102,0
16,2021-04-14,0 days 14:54:00,1.3785,1.3785,1.3785,1.3785,60181,15,0
17,2021-04-14,0 days 14:53:00,1.3785,1.3786,1.3785,1.3785,60166,25,0
18,2021-04-14,0 days 14:52:00,1.3785,1.3785,1.3785,1.3785,60141,13,0
19,2021-04-14,0 days 14:51:00,1.3786,1.3786,1.3785,1.3785,60128,105,0
