,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-15,0 days 14:14:00,589.25,589.5,589.0,589.5,150272,322,0
1,2021-04-15,0 days 14:13:00,589.75,590.0,589.25,589.5,149817,266,0
2,2021-04-15,0 days 14:12:00,590.5,590.75,589.5,589.75,149402,425,0
3,2021-04-15,0 days 14:11:00,590.5,590.75,590.25,590.25,142363,63,0
4,2021-04-15,0 days 14:10:00,590.5,590.75,590.5,590.5,141781,73,0
5,2021-04-15,0 days 14:09:00,590.75,590.75,590.25,590.5,141213,216,0
6,2021-04-15,0 days 14:08:00,590.5,591.0,590.5,590.75,140868,89,0
7,2021-04-15,0 days 14:07:00,590.75,590.75,590.25,590.25,140648,123,0
8,2021-04-15,0 days 14:06:00,590.25,590.5,590.25,590.5,140022,156,0
9,2021-04-14,0 days 14:20:00,594.25,594.5,594.0,594.25,204036,394,0
10,2021-04-14,0 days 14:19:00,594.25,594.5,594.0,594.0,202848,340,0
11,2021-04-14,0 days 14:18:00,594.0,594.25,593.75,594.25,202092,417,0
12,2021-04-14,0 days 14:17:00,594.25,594.25,593.75,594.0,197774,245,0
13,2021-04-14,0 days 14:16:00,594.0,594.0,593.75,594.0,196396,847,0
14,2021-04-14,0 days 14:15:00,593.75,594.5,593.5,594.0,193623,4182,0
15,2021-04-14,0 days 14:14:00,594.25,595.0,593.75,593.75,173874,572,0
16,2021-04-14,0 days 14:13:00,594.25,594.5,594.0,594.5,170824,588,0
17,2021-04-14,0 days 14:12:00,594.75,594.75,594.0,594.0,169890,320,0
18,2021-04-14,0 days 14:11:00,594.75,595.0,594.25,594.75,169457,753,0
19,2021-04-14,0 days 14:10:00,595.5,595.5,594.75,594.75,168397,334,0
20,2021-04-14,0 days 14:09:00,596.25,596.25,595.5,595.5,167905,375,0
21,2021-04-14,0 days 14:08:00,596.0,596.25,595.75,596.0,167255,189,0
22,2021-04-14,0 days 14:07:00,595.25,596.0,595.25,595.75,166900,138,0
23,2021-04-14,0 days 14:06:00,595.5,595.5,595.0,595.25,166384,193,0
24,2021-04-13,0 days 14:20:00,580.0,580.5,580.0,580.25,194793,337,0
25,2021-04-13,0 days 14:19:00,580.0,580.25,580.0,580.0,193381,73,0
26,2021-04-13,0 days 14:18:00,580.25,580.25,580.0,580.25,193108,105,0
27,2021-04-13,0 days 14:17:00,580.0,580.5,580.0,580.25,192446,184,0
28,2021-04-13,0 days 14:16:00,580.25,580.25,580.0,580.0,188516,218,0
29,2021-04-13,0 days 14:15:00,579.5,580.5,579.5,580.25,186394,3584,0
30,2021-04-13,0 days 14:14:00,580.25,580.5,579.5,579.5,174864,453,0
31,2021-04-13,0 days 14:13:00,580.0,580.25,580.0,580.0,173918,64,0
32,2021-04-13,0 days 14:12:00,580.25,580.25,580.0,580.0,173307,198,0
33,2021-04-13,0 days 14:11:00,580.5,580.5,580.0,580.25,172889,479,0
34,2021-04-13,0 days 14:10:00,580.75,580.75,580.25,580.5,172238,136,0
35,2021-04-13,0 days 14:09:00,580.5,580.75,580.25,580.5,171920,177,0
36,2021-04-13,0 days 14:08:00,580.5,580.75,580.25,580.5,171536,190,0
37,2021-04-13,0 days 14:07:00,580.25,580.75,580.25,580.5,171072,688,0
38,2021-04-13,0 days 14:06:00,580.0,580.5,580.0,580.5,167268,95,0
39,2021-04-12,0 days 14:20:00,567.5,567.75,567.25,567.75,171367,472,0
40,2021-04-12,0 days 14:19:00,567.5,567.5,567.25,567.25,170543,240,0
41,2021-04-12,0 days 14:18:00,568.0,568.0,567.25,567.5,170115,202,0
42,2021-04-12,0 days 14:17:00,568.25,568.25,567.75,568.0,162384,268,0
43,2021-04-12,0 days 14:16:00,569.0,569.0,568.0,568.0,161934,458,0
44,2021-04-12,0 days 14:15:00,568.25,569.75,568.25,568.75,160817,4185,0
45,2021-04-12,0 days 14:14:00,568.0,568.5,567.75,568.5,144153,313,0
46,2021-04-12,0 days 14:13:00,568.0,568.0,568.0,568.0,143582,36,0
47,2021-04-12,0 days 14:12:00,568.25,568.25,567.75,567.75,143353,667,0
48,2021-04-12,0 days 14:11:00,568.5,568.75,568.25,568.25,142453,157,0
49,2021-04-12,0 days 14:10:00,568.5,568.75,568.25,568.5,142253,271,0
50,2021-04-12,0 days 14:09:00,568.75,569.0,568.5,568.5,141870,132,0
51,2021-04-12,0 days 14:08:00,568.5,568.75,568.25,568.75,141677,178,0
52,2021-04-12,0 days 14:07:00,568.5,568.5,568.25,568.5,141256,139,0
53,2021-04-12,0 days 14:06:00,569.5,569.75,568.5,568.75,140976,434,0
54,2021-04-09,0 days 14:20:00,576.0,576.25,575.5,576.0,215952,398,0
55,2021-04-09,0 days 14:19:00,575.75,576.0,575.5,576.0,214569,139,0
56,2021-04-09,0 days 14:18:00,576.5,576.75,575.5,575.75,214089,639,0
57,2021-04-09,0 days 14:17:00,576.75,577.0,576.25,576.5,211858,695,0
58,2021-04-09,0 days 14:16:00,577.0,577.0,576.5,577.0,210802,676,0
59,2021-04-09,0 days 14:15:00,578.0,578.25,576.75,576.75,209752,3072,0
60,2021-04-09,0 days 14:14:00,578.5,578.75,578.0,578.25,198052,601,0
61,2021-04-09,0 days 14:13:00,579.0,579.25,578.5,578.5,191955,157,0
62,2021-04-09,0 days 14:12:00,579.5,579.5,579.0,579.0,191458,133,0
63,2021-04-09,0 days 14:11:00,579.25,579.5,579.0,579.25,191053,255,0
64,2021-04-09,0 days 14:10:00,578.25,579.75,578.0,579.5,190512,680,0
65,2021-04-09,0 days 14:09:00,578.75,578.75,578.25,578.25,189593,237,0
66,2021-04-09,0 days 14:08:00,578.25,578.75,578.0,578.75,189130,271,0
67,2021-04-09,0 days 14:07:00,578.5,578.75,578.25,578.25,188696,240,0
68,2021-04-09,0 days 14:06:00,579.25,579.25,578.5,578.75,188358,328,0
69,2021-04-08,0 days 14:20:00,579.5,579.75,579.25,579.25,227161,394,0
70,2021-04-08,0 days 14:19:00,579.25,579.5,579.0,579.5,226652,412,0
71,2021-04-08,0 days 14:18:00,580.0,580.0,579.25,579.25,225914,728,0
72,2021-04-08,0 days 14:17:00,580.0,580.25,579.75,580.0,224646,975,0
73,2021-04-08,0 days 14:16:00,580.25,580.25,579.75,579.75,221907,532,0
74,2021-04-08,0 days 14:15:00,579.0,580.25,578.75,580.25,220656,3124,0
75,2021-04-08,0 days 14:14:00,579.5,579.5,579.0,579.0,207652,610,0
76,2021-04-08,0 days 14:13:00,579.75,580.25,579.5,579.5,205514,601,0
77,2021-04-08,0 days 14:12:00,579.75,579.75,579.5,579.75,204509,202,0
78,2021-04-08,0 days 14:11:00,579.5,580.25,579.25,579.75,204000,450,0
79,2021-04-08,0 days 14:10:00,580.25,580.25,579.25,579.25,202918,365,0
80,2021-04-08,0 days 14:09:00,580.25,580.5,580.0,580.25,201078,287,0
81,2021-04-08,0 days 14:08:00,580.5,580.75,580.25,580.25,199020,218,0
82,2021-04-08,0 days 14:07:00,579.75,580.5,579.75,580.5,198478,232,0
83,2021-04-08,0 days 14:06:00,580.0,580.25,579.75,579.75,198125,303,0
84,2021-04-07,0 days 14:20:00,561.0,561.5,561.0,561.5,130003,304,0
85,2021-04-07,0 days 14:19:00,561.0,561.25,560.75,561.25,129552,144,0
86,2021-04-07,0 days 14:18:00,561.25,561.25,560.75,561.0,129390,309,0
87,2021-04-07,0 days 14:17:00,561.0,561.5,561.0,561.0,129059,275,0
88,2021-04-07,0 days 14:16:00,561.0,561.25,560.75,561.25,128753,455,0
89,2021-04-07,0 days 14:15:00,560.5,561.0,560.0,561.0,127134,2252,0
90,2021-04-07,0 days 14:14:00,560.75,560.75,560.5,560.75,123898,282,0
91,2021-04-07,0 days 14:13:00,560.75,561.0,560.25,561.0,123613,357,0
92,2021-04-07,0 days 14:12:00,561.5,561.5,560.75,560.75,123116,254,0
93,2021-04-07,0 days 14:11:00,561.75,562.0,561.5,561.5,121881,170,0
94,2021-04-07,0 days 14:10:00,561.0,562.0,561.0,561.75,121645,596,0
95,2021-04-07,0 days 14:09:00,561.75,562.25,560.75,560.75,120779,931,0
96,2021-04-07,0 days 14:08:00,562.0,562.0,561.75,562.0,118272,144,0
97,2021-04-07,0 days 14:07:00,561.75,562.0,561.5,561.75,117381,460,0
98,2021-04-07,0 days 14:06:00,561.5,561.5,561.0,561.5,116920,454,0
