,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 15:10:00,0.7983,0.7983,0.7982,0.79825,67857,48,0
1,2021-04-14,0 days 15:09:00,0.79835,0.79835,0.79825,0.7983,67809,20,0
2,2021-04-14,0 days 15:08:00,0.7984,0.79845,0.7984,0.7984,67789,13,0
3,2021-04-14,0 days 15:07:00,0.79845,0.79845,0.7984,0.7984,67776,17,0
4,2021-04-14,0 days 15:06:00,0.7984,0.7984,0.79835,0.7984,67759,29,0
5,2021-04-14,0 days 15:05:00,0.7984,0.79845,0.79835,0.7984,67730,62,0
6,2021-04-14,0 days 15:04:00,0.7983,0.79845,0.7983,0.7984,67668,44,0
7,2021-04-14,0 days 15:03:00,0.79835,0.79835,0.7983,0.7983,67624,57,0
8,2021-04-14,0 days 15:02:00,0.7984,0.7984,0.79835,0.79835,67567,54,0
9,2021-04-14,0 days 15:01:00,0.79855,0.79855,0.79835,0.7984,67513,303,0
10,2021-04-14,0 days 15:00:00,0.79845,0.79855,0.7984,0.79855,67210,763,0
11,2021-04-14,0 days 14:59:00,0.79845,0.79855,0.79845,0.7985,66447,112,0
12,2021-04-14,0 days 14:58:00,0.7984,0.7985,0.7984,0.7985,66335,55,0
13,2021-04-14,0 days 14:57:00,0.79845,0.79845,0.79845,0.79845,66280,32,0
14,2021-04-14,0 days 14:56:00,0.79845,0.7985,0.7984,0.79845,66248,87,0
15,2021-04-14,0 days 14:55:00,0.79845,0.79855,0.79845,0.7985,66161,53,0
16,2021-04-14,0 days 14:54:00,0.79845,0.79845,0.7984,0.79845,66108,21,0
17,2021-04-14,0 days 14:53:00,0.79845,0.79845,0.7984,0.79845,66087,68,0
18,2021-04-14,0 days 14:52:00,0.79845,0.79845,0.7984,0.7984,66019,21,0
19,2021-04-14,0 days 14:51:00,0.7985,0.7985,0.7984,0.79845,65998,28,0
20,2021-04-13,0 days 15:10:00,0.79795,0.79795,0.79795,0.79795,69339,1,0
21,2021-04-13,0 days 15:09:00,0.79795,0.79795,0.79795,0.79795,69338,10,0
22,2021-04-13,0 days 15:08:00,0.798,0.798,0.79795,0.79795,69328,35,0
23,2021-04-13,0 days 15:07:00,0.798,0.79805,0.798,0.798,69293,9,0
