,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-15,0 days 14:14:00,86.3,86.4,86.3,86.37,24627,159,0
1,2021-04-15,0 days 14:13:00,86.23,86.3,86.23,86.29,24225,81,0
2,2021-04-15,0 days 14:12:00,86.24,86.24,86.22,86.24,23986,69,0
3,2021-04-15,0 days 14:11:00,86.2,86.24,86.2,86.24,23881,24,0
4,2021-04-15,0 days 14:10:00,86.17,86.22,86.16,86.22,23804,82,0
5,2021-04-15,0 days 14:09:00,86.2,86.2,86.17,86.17,23693,61,0
6,2021-04-15,0 days 14:08:00,86.19,86.21,86.17,86.2,23450,34,0
7,2021-04-15,0 days 14:07:00,86.2,86.22,86.19,86.2,23307,13,0
8,2021-04-15,0 days 14:06:00,86.16,86.18,86.16,86.18,23284,17,0
9,2021-04-14,0 days 14:20:00,85.54,85.56,85.48,85.48,22157,21,0
10,2021-04-14,0 days 14:19:00,85.54,85.56,85.54,85.55,22101,58,0
11,2021-04-14,0 days 14:18:00,85.53,85.54,85.51,85.54,21948,21,0
12,2021-04-14,0 days 14:17:00,85.53,85.56,85.51,85.51,21751,33,0
13,2021-04-14,0 days 14:16:00,85.55,85.64,85.53,85.55,21681,75,0
14,2021-04-14,0 days 14:15:00,85.52,85.58,85.37,85.57,21038,664,0
15,2021-04-14,0 days 14:14:00,85.2,85.52,85.2,85.51,18478,330,0
16,2021-04-14,0 days 14:13:00,85.16,85.24,85.15,85.24,17585,49,0
17,2021-04-14,0 days 14:12:00,85.11,85.14,85.02,85.14,17250,36,0
18,2021-04-14,0 days 14:11:00,85.09,85.19,85.09,85.11,17105,67,0
19,2021-04-14,0 days 14:10:00,84.93,85.09,84.92,85.09,16924,23,0
20,2021-04-14,0 days 14:09:00,84.96,84.96,84.95,84.96,16832,4,0
21,2021-04-14,0 days 14:08:00,84.97,84.98,84.91,84.91,16799,12,0
22,2021-04-14,0 days 14:07:00,84.95,84.96,84.91,84.96,16684,14,0
23,2021-04-14,0 days 14:06:00,84.93,84.96,84.91,84.96,16659,6,0
24,2021-04-13,0 days 14:20:00,83.01,83.07,82.97,83.06,27140,26,0
25,2021-04-13,0 days 14:19:00,82.92,83.05,82.92,83.05,27079,22,0
26,2021-04-13,0 days 14:18:00,82.97,82.97,82.92,82.92,27022,10,0
27,2021-04-13,0 days 14:17:00,82.94,83.03,82.91,82.95,26799,29,0
28,2021-04-13,0 days 14:16:00,83.09,83.13,82.94,82.94,26644,41,0
29,2021-04-13,0 days 14:15:00,83.0,83.34,82.92,83.08,26280,590,0
30,2021-04-13,0 days 14:14:00,82.68,83.01,82.64,83.01,23813,101,0
31,2021-04-13,0 days 14:13:00,82.66,82.67,82.66,82.67,23387,15,0
32,2021-04-13,0 days 14:12:00,82.68,82.68,82.65,82.66,23283,17,0
33,2021-04-13,0 days 14:11:00,82.67,82.69,82.66,82.69,23069,22,0
34,2021-04-13,0 days 14:10:00,82.66,82.66,82.62,82.65,23038,20,0
35,2021-04-13,0 days 14:09:00,82.69,82.69,82.69,82.69,22795,1,0
36,2021-04-13,0 days 14:08:00,82.68,82.71,82.62,82.7,22790,85,0
37,2021-04-13,0 days 14:07:00,82.64,82.68,82.64,82.68,22498,30,0
38,2021-04-13,0 days 14:06:00,82.59,82.64,82.59,82.64,22430,17,0
39,2021-04-12,0 days 14:20:00,80.09,80.15,80.07,80.07,21950,27,0
40,2021-04-12,0 days 14:19:00,80.05,80.14,80.02,80.11,21862,87,0
41,2021-04-12,0 days 14:18:00,80.07,80.1,80.04,80.06,21747,36,0
42,2021-04-12,0 days 14:17:00,80.06,80.07,80.03,80.07,21685,18,0
43,2021-04-12,0 days 14:16:00,80.15,80.16,80.05,80.1,21364,71,0
44,2021-04-12,0 days 14:15:00,80.2,80.22,80.08,80.08,21237,418,0
45,2021-04-12,0 days 14:14:00,80.25,80.28,80.2,80.2,19476,85,0
46,2021-04-12,0 days 14:13:00,80.23,80.28,80.23,80.27,19219,42,0
47,2021-04-12,0 days 14:12:00,80.35,80.35,80.23,80.23,19084,152,0
48,2021-04-12,0 days 14:11:00,80.37,80.38,80.35,80.35,18896,13,0
49,2021-04-12,0 days 14:10:00,80.38,80.4,80.36,80.37,18787,23,0
50,2021-04-12,0 days 14:09:00,80.38,80.45,80.38,80.38,18696,41,0
51,2021-04-12,0 days 14:08:00,80.38,80.41,80.36,80.36,18583,10,0
52,2021-04-12,0 days 14:07:00,80.44,80.47,80.43,80.43,18457,11,0
53,2021-04-12,0 days 14:06:00,80.4,80.48,80.4,80.46,18404,30,0
54,2021-04-09,0 days 14:20:00,82.29,82.39,82.27,82.31,20736,16,0
55,2021-04-09,0 days 14:19:00,82.29,82.33,82.27,82.32,20542,16,0
56,2021-04-09,0 days 14:18:00,82.31,82.34,82.26,82.26,20522,46,0
57,2021-04-09,0 days 14:17:00,82.39,82.39,82.31,82.31,20364,51,0
58,2021-04-09,0 days 14:16:00,82.48,82.5,82.4,82.41,20274,90,0
59,2021-04-09,0 days 14:15:00,82.35,82.51,82.28,82.44,20146,780,0
60,2021-04-09,0 days 14:14:00,81.88,82.29,81.88,82.29,17799,135,0
61,2021-04-09,0 days 14:13:00,81.93,81.93,81.8,81.88,17187,35,0
62,2021-04-09,0 days 14:12:00,81.94,81.95,81.88,81.92,17113,20,0
63,2021-04-09,0 days 14:11:00,81.95,82.0,81.85,81.94,17053,22,0
64,2021-04-09,0 days 14:10:00,82.03,82.03,81.96,81.96,16995,3,0
65,2021-04-09,0 days 14:09:00,82.01,82.05,82.0,82.02,16980,6,0
66,2021-04-09,0 days 14:08:00,81.95,82.05,81.95,82.03,16963,31,0
67,2021-04-09,0 days 14:07:00,82.03,82.03,81.92,81.92,16898,26,0
68,2021-04-09,0 days 14:06:00,82.05,82.05,82.03,82.04,16798,5,0
69,2021-04-08,0 days 14:20:00,81.56,81.64,81.51,81.64,20682,12,0
70,2021-04-08,0 days 14:19:00,81.59,81.68,81.56,81.59,20657,86,0
71,2021-04-08,0 days 14:18:00,81.6,81.6,81.58,81.58,20518,16,0
