,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 15:10:00,91.675,91.68,91.675,91.68,14078,6,0
1,2021-04-14,0 days 15:09:00,91.67,91.675,91.67,91.675,14072,6,0
2,2021-04-14,0 days 15:08:00,91.675,91.675,91.67,91.67,14066,8,0
3,2021-04-14,0 days 15:07:00,91.68,91.68,91.675,91.675,14058,47,0
4,2021-04-14,0 days 15:06:00,91.685,91.685,91.685,91.685,14011,15,0
5,2021-04-14,0 days 15:05:00,91.68,91.68,91.68,91.68,13996,12,0
6,2021-04-14,0 days 15:04:00,91.685,91.69,91.68,91.68,13984,32,0
7,2021-04-14,0 days 15:03:00,91.68,91.685,91.68,91.685,13952,38,0
8,2021-04-14,0 days 15:02:00,91.675,91.68,91.675,91.68,13914,10,0
9,2021-04-14,0 days 15:01:00,91.68,91.685,91.675,91.675,13904,71,0
10,2021-04-14,0 days 15:00:00,91.66,91.68,91.66,91.68,13833,130,0
11,2021-04-14,0 days 14:59:00,91.66,91.665,91.66,91.66,13703,32,0
12,2021-04-14,0 days 14:58:00,91.665,91.67,91.665,91.665,13671,13,0
13,2021-04-14,0 days 14:57:00,91.665,91.675,91.665,91.67,13658,18,0
14,2021-04-14,0 days 14:56:00,91.665,91.665,91.665,91.665,13640,2,0
15,2021-04-14,0 days 14:55:00,91.665,91.665,91.655,91.665,13638,15,0
16,2021-04-14,0 days 14:54:00,91.665,91.67,91.665,91.67,13623,11,0
17,2021-04-14,0 days 14:53:00,91.67,91.67,91.665,91.665,13612,37,0
18,2021-04-14,0 days 14:52:00,91.665,91.665,91.665,91.665,13575,3,0
19,2021-04-13,0 days 15:10:00,91.85,91.85,91.845,91.845,27803,47,0
20,2021-04-13,0 days 15:07:00,91.855,91.855,91.855,91.855,27756,10,0
21,2021-04-13,0 days 15:06:00,91.85,91.85,91.85,91.85,27746,1,0
22,2021-04-13,0 days 15:05:00,91.855,91.855,91.855,91.855,27745,2,0
23,2021-04-13,0 days 15:04:00,91.85,91.855,91.85,91.855,27743,4,0
24,2021-04-13,0 days 15:03:00,91.85,91.855,91.85,91.855,27739,9,0
25,2021-04-13,0 days 15:02:00,91.84,91.845,91.84,91.845,27730,35,0
26,2021-04-13,0 days 15:01:00,91.845,91.85,91.845,91.845,27695,11,0
27,2021-04-13,0 days 15:00:00,91.845,91.845,91.84,91.845,27684,74,0
28,2021-04-13,0 days 14:59:00,91.845,91.845,91.84,91.84,27610,21,0
29,2021-04-13,0 days 14:58:00,91.855,91.855,91.845,91.85,27589,14,0
30,2021-04-13,0 days 14:57:00,91.855,91.855,91.85,91.855,27575,37,0
31,2021-04-13,0 days 14:56:00,91.86,91.86,91.86,91.86,27538,14,0
32,2021-04-13,0 days 14:55:00,91.87,91.87,91.86,91.86,27524,9,0
33,2021-04-13,0 days 14:53:00,91.87,91.87,91.87,91.87,27515,6,0
34,2021-04-13,0 days 14:52:00,91.875,91.875,91.875,91.875,27509,15,0
35,2021-04-13,0 days 14:51:00,91.88,91.88,91.88,91.88,27494,8,0
36,2021-04-12,0 days 15:10:00,92.165,92.165,92.165,92.165,24054,3,0
37,2021-04-12,0 days 15:09:00,92.165,92.165,92.165,92.165,24051,3,0
38,2021-04-12,0 days 15:08:00,92.165,92.165,92.165,92.165,24048,5,0
39,2021-04-12,0 days 15:07:00,92.16,92.16,92.16,92.16,24043,5,0
40,2021-04-12,0 days 15:06:00,92.165,92.165,92.16,92.165,24038,9,0
41,2021-04-12,0 days 15:05:00,92.16,92.16,92.16,92.16,24029,8,0
42,2021-04-12,0 days 15:04:00,92.16,92.16,92.155,92.155,24021,12,0
43,2021-04-12,0 days 15:03:00,92.145,92.155,92.145,92.155,24009,5,0
