,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 16:10:00,4123.5,4123.75,4123.0,4123.0,1479053,2136,0
1,2021-04-14,0 days 16:09:00,4123.25,4124.0,4123.0,4123.5,1476917,2804,0
2,2021-04-14,0 days 16:08:00,4123.25,4123.5,4122.75,4123.25,1474113,2196,0
3,2021-04-14,0 days 16:07:00,4122.5,4123.5,4122.5,4123.0,1471917,2681,0
4,2021-04-14,0 days 16:06:00,4122.25,4122.75,4122.25,4122.5,1469236,2033,0
5,2021-04-14,0 days 16:05:00,4121.75,4122.5,4121.5,4122.0,1467203,2671,0
6,2021-04-14,0 days 16:04:00,4121.75,4122.0,4121.0,4121.75,1464532,2114,0
7,2021-04-14,0 days 16:03:00,4121.5,4121.75,4120.5,4121.5,1462418,5348,0
8,2021-04-14,0 days 16:02:00,4123.5,4123.5,4121.5,4121.75,1457070,7433,0
9,2021-04-14,0 days 16:01:00,4120.0,4123.5,4119.75,4123.5,1449636,21292,0
10,2021-04-14,0 days 16:00:00,4116.0,4120.5,4114.75,4120.0,1428344,53571,0
11,2021-04-14,0 days 15:59:00,4114.75,4116.0,4114.25,4116.0,1374717,9375,0
12,2021-04-14,0 days 15:58:00,4115.25,4115.5,4114.25,4114.5,1365332,5349,0
13,2021-04-14,0 days 15:57:00,4116.25,4116.5,4114.75,4115.0,1359983,6404,0
14,2021-04-14,0 days 15:56:00,4115.5,4117.25,4113.25,4116.0,1353579,12486,0
15,2021-04-14,0 days 15:55:00,4117.5,4119.0,4115.0,4115.5,1341093,12212,0
16,2021-04-14,0 days 15:54:00,4114.75,4117.25,4114.75,4117.25,1328881,3816,0
17,2021-04-14,0 days 15:53:00,4116.75,4118.25,4114.5,4115.0,1325065,4494,0
18,2021-04-14,0 days 15:52:00,4116.5,4117.5,4115.75,4116.75,1320571,3511,0
19,2021-04-14,0 days 15:51:00,4115.0,4119.0,4113.5,4116.5,1317060,9038,0
20,2021-04-13,0 days 16:10:00,4133.25,4133.75,4133.0,4133.5,1030282,566,0
21,2021-04-13,0 days 16:09:00,4133.25,4133.25,4132.75,4133.25,1029716,1266,0
22,2021-04-13,0 days 16:08:00,4132.75,4133.25,4132.5,4133.25,1028450,1091,0
23,2021-04-13,0 days 16:07:00,4132.5,4132.75,4132.25,4132.5,1027359,535,0
24,2021-04-13,0 days 16:06:00,4133.0,4133.0,4132.25,4132.5,1026824,1189,0
25,2021-04-13,0 days 16:05:00,4132.75,4133.0,4132.0,4133.0,1025635,2225,0
26,2021-04-13,0 days 16:04:00,4133.25,4133.5,4132.5,4132.75,1023410,1575,0
27,2021-04-13,0 days 16:03:00,4133.5,4133.5,4133.0,4133.0,1021835,2546,0
28,2021-04-13,0 days 16:02:00,4133.25,4133.5,4133.0,4133.5,1019289,1768,0
29,2021-04-13,0 days 16:01:00,4132.5,4133.25,4132.0,4133.25,1017521,9320,0
30,2021-04-13,0 days 16:00:00,4132.75,4134.25,4131.5,4132.5,1008201,40373,0
31,2021-04-13,0 days 15:59:00,4134.0,4134.25,4132.5,4132.5,967825,5717,0
32,2021-04-13,0 days 15:58:00,4133.75,4135.0,4133.0,4134.0,962108,4233,0
33,2021-04-13,0 days 15:57:00,4133.0,4134.0,4132.75,4133.5,957875,2471,0
34,2021-04-13,0 days 15:56:00,4134.0,4134.25,4132.5,4133.25,955404,3896,0
35,2021-04-13,0 days 15:55:00,4133.5,4134.5,4132.75,4134.0,951508,6170,0
36,2021-04-13,0 days 15:54:00,4132.0,4133.75,4132.0,4133.5,945338,3300,0
37,2021-04-13,0 days 15:53:00,4132.5,4132.75,4131.5,4132.0,942038,3666,0
38,2021-04-13,0 days 15:52:00,4132.25,4133.75,4132.0,4132.5,938372,2984,0
39,2021-04-13,0 days 15:51:00,4134.5,4135.75,4132.0,4132.5,935388,7818,0
40,2021-04-12,0 days 16:10:00,4121.0,4121.5,4120.75,4121.25,1035686,923,0
41,2021-04-12,0 days 16:09:00,4121.0,4121.25,4120.5,4121.0,1034763,349,0
42,2021-04-12,0 days 16:08:00,4121.25,4121.75,4121.0,4121.0,1034414,1066,0
43,2021-04-12,0 days 16:07:00,4120.75,4121.25,4120.25,4121.25,1033348,1226,0
44,2021-04-12,0 days 16:06:00,4120.25,4120.75,4120.0,4120.5,1032122,1589,0
45,2021-04-12,0 days 16:05:00,4121.25,4121.25,4120.0,4120.25,1030533,1938,0
46,2021-04-12,0 days 16:04:00,4121.5,4121.75,4121.0,4121.0,1028595,816,0
47,2021-04-12,0 days 16:03:00,4122.5,4123.0,4121.25,4121.5,1027779,2902,0
48,2021-04-12,0 days 16:02:00,4123.75,4123.75,4122.5,4122.75,1024877,4040,0
49,2021-04-12,0 days 16:01:00,4121.25,4124.5,4120.75,4123.75,1020837,15335,0
50,2021-04-12,0 days 16:00:00,4121.25,4122.0,4118.75,4121.0,1005501,40407,0
51,2021-04-12,0 days 15:59:00,4120.5,4121.5,4119.5,4121.0,965094,10163,0
52,2021-04-12,0 days 15:58:00,4119.75,4120.5,4119.0,4120.5,954931,10596,0
53,2021-04-12,0 days 15:57:00,4118.5,4119.75,4117.25,4119.75,944335,7168,0
54,2021-04-12,0 days 15:56:00,4121.5,4121.5,4118.0,4118.5,937166,9133,0
55,2021-04-12,0 days 15:55:00,4122.75,4123.25,4121.25,4121.5,928033,5588,0
56,2021-04-12,0 days 15:54:00,4123.0,4123.5,4122.0,4122.5,922445,4137,0
57,2021-04-12,0 days 15:53:00,4122.75,4123.75,4122.25,4123.0,918308,5519,0
58,2021-04-12,0 days 15:52:00,4122.25,4123.25,4122.0,4123.0,912789,5915,0
59,2021-04-12,0 days 15:51:00,4121.0,4122.5,4119.75,4122.0,906874,11312,0
60,2021-04-09,0 days 16:10:00,4112.75,4113.0,4112.0,4112.25,1018895,1872,0
61,2021-04-09,0 days 16:09:00,4114.25,4114.5,4112.5,4112.75,1017023,1992,0
62,2021-04-09,0 days 16:08:00,4114.75,4115.0,4114.0,4114.0,1015031,1604,0
63,2021-04-09,0 days 16:07:00,4114.0,4115.0,4113.5,4114.75,1013427,1780,0
64,2021-04-09,0 days 16:06:00,4115.25,4115.25,4113.5,4114.0,1011647,2105,0
65,2021-04-09,0 days 16:05:00,4115.5,4115.5,4114.25,4115.25,1009542,2456,0
66,2021-04-09,0 days 16:04:00,4116.75,4116.75,4115.0,4115.5,1007086,2982,0
67,2021-04-09,0 days 16:03:00,4118.5,4118.5,4116.5,4116.75,1004104,3351,0
68,2021-04-09,0 days 16:02:00,4120.0,4120.0,4118.25,4118.5,1000753,4560,0
69,2021-04-09,0 days 16:01:00,4119.0,4120.5,4118.75,4120.0,996193,20404,0
70,2021-04-09,0 days 16:00:00,4118.75,4121.5,4117.75,4119.25,975789,57300,0
71,2021-04-09,0 days 15:59:00,4118.5,4119.0,4118.0,4118.5,918489,8013,0
72,2021-04-09,0 days 15:58:00,4118.0,4119.5,4118.0,4118.25,910476,9212,0
73,2021-04-09,0 days 15:57:00,4119.75,4119.75,4117.75,4117.75,901264,5534,0
74,2021-04-09,0 days 15:56:00,4119.0,4119.75,4118.5,4119.75,895729,5172,0
75,2021-04-09,0 days 15:55:00,4117.25,4119.0,4116.75,4119.0,890557,7805,0
76,2021-04-09,0 days 15:54:00,4117.0,4118.25,4116.75,4117.25,882752,4961,0
77,2021-04-09,0 days 15:53:00,4117.0,4117.5,4116.75,4116.75,877791,5329,0
78,2021-04-09,0 days 15:52:00,4116.5,4117.5,4115.75,4117.0,872462,5685,0
79,2021-04-09,0 days 15:51:00,4113.75,4117.75,4113.75,4116.25,866777,12368,0
80,2021-04-08,0 days 16:10:00,4093.0,4093.5,4093.0,4093.5,944965,969,0
81,2021-04-08,0 days 16:09:00,4093.75,4093.75,4093.0,4093.0,943996,923,0
82,2021-04-08,0 days 16:08:00,4093.75,4094.0,4093.5,4093.5,943073,1390,0
83,2021-04-08,0 days 16:07:00,4093.0,4094.0,4093.0,4093.75,941676,1631,0
84,2021-04-08,0 days 16:06:00,4092.5,4093.25,4092.0,4093.0,940045,3340,0
85,2021-04-08,0 days 16:05:00,4092.75,4093.0,4092.5,4092.5,936705,2237,0
86,2021-04-08,0 days 16:04:00,4093.5,4094.5,4092.5,4093.0,934468,6864,0
87,2021-04-08,0 days 16:03:00,4093.25,4093.5,4092.5,4093.25,927584,4798,0
88,2021-04-08,0 days 16:02:00,4091.75,4093.5,4091.5,4093.25,922786,6203,0
89,2021-04-08,0 days 16:01:00,4089.25,4091.75,4088.25,4091.75,916583,16712,0
90,2021-04-08,0 days 16:00:00,4086.75,4090.0,4086.5,4089.25,899871,38743,0
91,2021-04-08,0 days 15:59:00,4087.0,4087.25,4086.25,4086.75,861127,5163,0
92,2021-04-08,0 days 15:58:00,4086.75,4087.0,4086.0,4087.0,855964,2728,0
93,2021-04-08,0 days 15:57:00,4087.25,4087.5,4085.5,4086.75,853236,3974,0
94,2021-04-08,0 days 15:56:00,4087.75,4087.75,4085.75,4087.25,849213,5278,0
95,2021-04-08,0 days 15:55:00,4086.75,4087.75,4086.5,4087.5,843935,4626,0
96,2021-04-08,0 days 15:54:00,4086.75,4086.75,4086.0,4086.75,839309,2391,0
97,2021-04-08,0 days 15:53:00,4086.75,4087.25,4086.25,4086.75,836918,1478,0
98,2021-04-08,0 days 15:52:00,4086.75,4087.0,4086.25,4086.5,835440,1557,0
99,2021-04-08,0 days 15:51:00,4086.0,4087.0,4084.75,4086.75,833883,8690,0
100,2021-04-07,0 days 16:10:00,4073.25,4074.0,4073.0,4073.5,1059971,1235,0
101,2021-04-07,0 days 16:09:00,4072.75,4073.5,4072.75,4073.25,1058736,1355,0
102,2021-04-07,0 days 16:08:00,4072.75,4073.0,4072.5,4072.75,1057381,772,0
103,2021-04-07,0 days 16:07:00,4073.25,4073.25,4072.5,4072.5,1056609,2675,0
104,2021-04-07,0 days 16:06:00,4073.0,4073.25,4072.75,4073.25,1053934,1725,0
