,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 15:10:00,1.1987,1.1987,1.19865,1.19865,144730,34,0
1,2021-04-14,0 days 15:09:00,1.19875,1.19875,1.19865,1.1987,144696,91,0
2,2021-04-14,0 days 15:08:00,1.1987,1.19885,1.1987,1.1988,144605,154,0
3,2021-04-14,0 days 15:07:00,1.1986,1.1987,1.1985,1.1987,144451,117,0
4,2021-04-14,0 days 15:06:00,1.1986,1.1986,1.19845,1.19855,144334,188,0
5,2021-04-14,0 days 15:05:00,1.1986,1.19865,1.19855,1.1986,144146,55,0
6,2021-04-14,0 days 15:04:00,1.19855,1.19865,1.1985,1.1986,144091,95,0
7,2021-04-14,0 days 15:03:00,1.19865,1.19865,1.19855,1.19855,143996,230,0
8,2021-04-14,0 days 15:02:00,1.19875,1.19875,1.1987,1.1987,143766,53,0
9,2021-04-14,0 days 15:01:00,1.19865,1.19875,1.19855,1.19875,143713,439,0
10,2021-04-14,0 days 15:00:00,1.19885,1.1989,1.1985,1.1986,143274,1582,0
11,2021-04-14,0 days 14:59:00,1.1989,1.1989,1.19885,1.1989,141692,89,0
12,2021-04-14,0 days 14:58:00,1.19885,1.1989,1.19875,1.1989,141603,164,0
13,2021-04-14,0 days 14:57:00,1.19885,1.1989,1.1988,1.1988,141439,174,0
14,2021-04-14,0 days 14:56:00,1.19885,1.19885,1.1988,1.1988,141265,45,0
15,2021-04-14,0 days 14:55:00,1.1988,1.19895,1.1988,1.19885,141220,130,0
16,2021-04-14,0 days 14:54:00,1.19885,1.19885,1.1988,1.1988,141090,127,0
17,2021-04-14,0 days 14:53:00,1.1988,1.19885,1.1988,1.19885,140963,87,0
18,2021-04-14,0 days 14:52:00,1.1988,1.19885,1.1988,1.1988,140876,54,0
19,2021-04-14,0 days 14:51:00,1.1989,1.1989,1.19875,1.1988,140822,185,0
20,2021-04-13,0 days 15:10:00,1.19605,1.1961,1.196,1.19605,171776,103,0
21,2021-04-13,0 days 15:09:00,1.19595,1.19605,1.19595,1.196,171673,53,0
22,2021-04-13,0 days 15:08:00,1.196,1.196,1.1959,1.19595,171620,72,0
23,2021-04-13,0 days 15:07:00,1.196,1.196,1.19595,1.19595,171548,82,0
24,2021-04-13,0 days 15:06:00,1.1961,1.1961,1.196,1.19605,171466,47,0
25,2021-04-13,0 days 15:05:00,1.19605,1.1961,1.196,1.19605,171419,127,0
26,2021-04-13,0 days 15:04:00,1.196,1.19605,1.19595,1.19605,171292,240,0
27,2021-04-13,0 days 15:03:00,1.1961,1.1961,1.19595,1.196,171052,135,0
28,2021-04-13,0 days 15:02:00,1.1962,1.1962,1.1961,1.1961,170917,363,0
29,2021-04-13,0 days 15:01:00,1.1962,1.1962,1.19605,1.1962,170554,219,0
30,2021-04-13,0 days 15:00:00,1.1962,1.19625,1.1961,1.1962,170335,765,0
31,2021-04-13,0 days 14:59:00,1.19605,1.19625,1.196,1.1962,169570,430,0
32,2021-04-13,0 days 14:58:00,1.196,1.19615,1.196,1.1961,169140,232,0
33,2021-04-13,0 days 14:57:00,1.19595,1.196,1.19595,1.196,168908,91,0
34,2021-04-13,0 days 14:56:00,1.1959,1.19595,1.1959,1.19595,168817,129,0
35,2021-04-13,0 days 14:55:00,1.1957,1.19595,1.1957,1.19595,168688,161,0
36,2021-04-13,0 days 14:54:00,1.19575,1.1958,1.1957,1.19575,168527,135,0
37,2021-04-13,0 days 14:53:00,1.19575,1.1958,1.1957,1.19575,168392,76,0
38,2021-04-13,0 days 14:52:00,1.1957,1.1958,1.19565,1.1958,168316,175,0
39,2021-04-13,0 days 14:51:00,1.1958,1.1958,1.19565,1.1957,168141,184,0
40,2021-04-12,0 days 15:10:00,1.1917,1.19175,1.1917,1.1917,135778,64,0
41,2021-04-12,0 days 15:09:00,1.19175,1.19175,1.1917,1.1917,135714,127,0
42,2021-04-12,0 days 15:08:00,1.1918,1.1918,1.19175,1.1918,135587,110,0
43,2021-04-12,0 days 15:07:00,1.1918,1.19185,1.1918,1.1918,135477,14,0
44,2021-04-12,0 days 15:06:00,1.1918,1.19185,1.19175,1.19175,135463,74,0
45,2021-04-12,0 days 15:05:00,1.1918,1.1918,1.19175,1.19175,135389,63,0
46,2021-04-12,0 days 15:04:00,1.1919,1.1919,1.1918,1.1918,135326,276,0
47,2021-04-12,0 days 15:03:00,1.19205,1.19205,1.1919,1.1919,135050,213,0
