,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-15,0 days 14:05:00,144.55,144.6,144.4,144.4,4821,9,0
1,2021-04-15,0 days 14:04:00,144.5,144.55,144.45,144.55,4808,13,0
2,2021-04-15,0 days 14:03:00,144.475,144.5,144.475,144.5,4795,5,0
3,2021-04-15,0 days 14:02:00,144.425,144.525,144.425,144.475,4786,12,0
4,2021-04-15,0 days 14:01:00,144.475,144.5,144.425,144.425,4772,11,0
5,2021-04-15,0 days 14:00:00,144.475,144.5,144.35,144.45,4748,97,0
6,2021-04-15,0 days 13:59:00,144.5,144.5,144.4,144.45,4556,12,0
7,2021-04-15,0 days 13:58:00,144.675,144.675,144.55,144.55,4531,21,0
8,2021-04-15,0 days 13:57:00,144.7,144.7,144.65,144.7,4508,21,0
9,2021-04-15,0 days 13:56:00,144.675,144.725,144.65,144.675,4487,13,0
10,2021-04-15,0 days 13:55:00,144.65,144.75,144.65,144.65,4474,21,0
11,2021-04-15,0 days 13:54:00,144.725,144.8,144.625,144.675,4453,29,0
12,2021-04-15,0 days 13:53:00,144.65,144.725,144.625,144.7,4422,33,0
13,2021-04-15,0 days 13:52:00,144.65,144.675,144.625,144.65,4380,9,0
14,2021-04-15,0 days 13:51:00,144.65,144.75,144.55,144.625,4371,38,0
15,2021-04-14,0 days 14:05:00,145.775,145.825,145.7,145.7,6460,28,0
16,2021-04-14,0 days 14:04:00,145.65,145.75,145.65,145.725,6424,26,0
17,2021-04-14,0 days 14:03:00,145.55,145.675,145.55,145.65,6370,13,0
18,2021-04-14,0 days 14:02:00,145.475,145.525,145.475,145.525,6330,5,0
19,2021-04-14,0 days 14:01:00,145.5,145.6,145.5,145.5,6325,50,0
20,2021-04-14,0 days 14:00:00,145.525,145.55,145.225,145.5,6212,236,0
21,2021-04-14,0 days 13:59:00,145.525,145.55,145.425,145.55,5768,9,0
22,2021-04-14,0 days 13:58:00,145.525,145.675,145.5,145.5,5742,22,0
23,2021-04-14,0 days 13:57:00,145.575,145.675,145.55,145.6,5713,13,0
24,2021-04-14,0 days 13:56:00,145.65,145.775,145.65,145.725,5662,4,0
25,2021-04-14,0 days 13:55:00,145.6,145.75,145.6,145.725,5649,12,0
26,2021-04-14,0 days 13:54:00,145.6,145.725,145.6,145.6,5629,10,0
27,2021-04-14,0 days 13:53:00,145.425,145.55,145.425,145.55,5606,5,0
28,2021-04-14,0 days 13:52:00,145.525,145.525,145.45,145.45,5601,2,0
29,2021-04-14,0 days 13:51:00,145.525,145.675,145.425,145.675,5571,20,0
30,2021-04-13,0 days 14:05:00,147.325,147.4,147.325,147.325,6266,13,0
31,2021-04-13,0 days 14:04:00,147.325,147.375,147.325,147.35,6251,4,0
32,2021-04-13,0 days 14:03:00,147.35,147.4,147.35,147.375,6247,11,0
33,2021-04-13,0 days 14:02:00,147.3,147.325,147.2,147.275,6236,15,0
34,2021-04-13,0 days 14:01:00,147.3,147.45,147.3,147.375,6219,57,0
35,2021-04-13,0 days 14:00:00,147.275,147.4,147.2,147.325,6098,335,0
36,2021-04-13,0 days 13:59:00,147.375,147.375,147.225,147.275,5673,37,0
37,2021-04-13,0 days 13:58:00,147.35,147.35,147.3,147.3,5622,16,0
38,2021-04-13,0 days 13:57:00,147.3,147.4,147.3,147.35,5599,10,0
39,2021-04-13,0 days 13:56:00,147.325,147.375,147.325,147.375,5582,15,0
40,2021-04-13,0 days 13:55:00,147.275,147.325,147.25,147.325,5556,19,0
41,2021-04-13,0 days 13:54:00,147.225,147.3,147.2,147.275,5531,15,0
42,2021-04-13,0 days 13:53:00,147.2,147.3,147.2,147.275,5513,24,0
43,2021-04-13,0 days 13:52:00,147.1,147.225,147.1,147.15,5484,21,0
44,2021-04-13,0 days 13:51:00,147.1,147.2,147.075,147.075,5457,19,0
45,2021-04-12,0 days 14:05:00,149.725,149.775,149.6,149.6,5257,10,0
46,2021-04-12,0 days 14:04:00,149.675,149.725,149.55,149.675,5244,16,0
47,2021-04-12,0 days 14:03:00,149.65,149.675,149.65,149.675,5221,10,0
48,2021-04-12,0 days 14:02:00,149.525,149.625,149.475,149.625,5208,21,0
49,2021-04-12,0 days 14:01:00,149.725,149.8,149.5,149.525,5164,56,0
50,2021-04-12,0 days 14:00:00,149.75,149.875,149.525,149.75,5046,218,0
51,2021-04-12,0 days 13:59:00,149.9,149.925,149.875,149.9,4547,4,0
52,2021-04-12,0 days 13:58:00,149.75,149.85,149.75,149.85,4521,5,0
53,2021-04-12,0 days 13:57:00,149.775,149.85,149.75,149.75,4488,24,0
54,2021-04-12,0 days 13:56:00,149.925,149.925,149.75,149.75,4447,15,0
55,2021-04-12,0 days 13:55:00,149.9,149.975,149.9,149.95,4428,8,0
56,2021-04-12,0 days 13:54:00,149.85,149.925,149.85,149.9,4413,9,0
57,2021-04-12,0 days 13:53:00,149.85,149.9,149.8,149.875,4392,9,0
58,2021-04-12,0 days 13:52:00,149.8,149.875,149.8,149.85,4369,10,0
59,2021-04-12,0 days 13:51:00,149.75,149.875,149.75,149.8,4346,15,0
60,2021-04-09,0 days 14:05:00,150.0,150.0,149.85,149.9,6740,13,0
61,2021-04-09,0 days 14:04:00,149.925,149.925,149.9,149.9,6698,3,0
62,2021-04-09,0 days 14:03:00,149.825,149.975,149.825,149.925,6684,7,0
63,2021-04-09,0 days 14:02:00,149.8,149.8,149.775,149.775,6674,6,0
64,2021-04-09,0 days 14:01:00,149.725,149.9,149.725,149.775,6651,70,0
65,2021-04-09,0 days 14:00:00,149.75,149.75,149.55,149.725,6485,346,0
66,2021-04-09,0 days 13:59:00,149.6,149.7,149.6,149.65,5784,27,0
67,2021-04-09,0 days 13:58:00,149.6,149.625,149.55,149.575,5707,38,0
68,2021-04-09,0 days 13:57:00,149.65,149.65,149.625,149.65,5646,8,0
69,2021-04-09,0 days 13:56:00,149.65,149.7,149.6,149.6,5618,23,0
70,2021-04-09,0 days 13:55:00,149.725,149.75,149.6,149.625,5582,18,0
71,2021-04-09,0 days 13:54:00,149.75,149.825,149.725,149.725,5551,13,0
72,2021-04-09,0 days 13:53:00,149.75,149.8,149.75,149.75,5527,20,0
73,2021-04-09,0 days 13:52:00,149.675,149.75,149.675,149.75,5483,8,0
74,2021-04-09,0 days 13:51:00,149.675,149.75,149.675,149.725,5475,9,0
75,2021-04-08,0 days 14:05:00,152.075,152.075,151.875,151.95,5574,24,0
76,2021-04-08,0 days 14:04:00,151.925,152.1,151.925,152.075,5516,26,0
77,2021-04-08,0 days 14:03:00,151.875,151.95,151.875,151.9,5452,6,0
78,2021-04-08,0 days 14:02:00,151.75,151.9,151.75,151.825,5430,27,0
79,2021-04-08,0 days 14:01:00,151.675,151.825,151.675,151.775,5368,30,0
80,2021-04-08,0 days 14:00:00,151.625,151.675,151.475,151.65,5268,174,0
81,2021-04-08,0 days 13:59:00,151.675,151.675,151.6,151.6,4796,7,0
82,2021-04-08,0 days 13:58:00,151.825,151.825,151.75,151.75,4776,17,0
83,2021-04-08,0 days 13:57:00,151.8,151.8,151.8,151.8,4733,4,0
84,2021-04-08,0 days 13:56:00,151.775,151.825,151.75,151.8,4691,9,0
85,2021-04-08,0 days 13:55:00,151.825,151.825,151.675,151.75,4682,20,0
86,2021-04-08,0 days 13:54:00,151.775,151.825,151.775,151.825,4662,8,0
87,2021-04-08,0 days 13:53:00,151.725,151.8,151.725,151.8,4640,18,0
88,2021-04-08,0 days 13:52:00,151.7,151.75,151.7,151.75,4611,6,0
89,2021-04-08,0 days 13:51:00,151.725,151.75,151.675,151.725,4595,17,0
90,2021-04-07,0 days 14:05:00,152.6,152.7,152.55,152.7,3578,14,0
91,2021-04-07,0 days 14:04:00,152.65,152.725,152.65,152.675,3560,11,0
92,2021-04-07,0 days 14:03:00,152.65,152.7,152.65,152.7,3546,18,0
93,2021-04-07,0 days 14:02:00,152.675,152.725,152.675,152.675,3481,17,0
94,2021-04-07,0 days 14:01:00,152.7,152.75,152.675,152.7,3444,39,0
