,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-15,0 days 14:05:00,104.7,104.7,104.7,104.7,11467,9,0
1,2021-04-15,0 days 14:04:00,104.7,104.7,104.7,104.7,11336,6,0
2,2021-04-15,0 days 14:02:00,104.7,104.7,104.7,104.7,11244,9,0
3,2021-04-15,0 days 14:01:00,104.7,104.7,104.7,104.7,11147,4,0
4,2021-04-15,0 days 14:00:00,104.7,104.7,104.7,104.7,11069,20,0
5,2021-04-15,0 days 13:58:00,104.7,104.7,104.7,104.7,10996,6,0
6,2021-04-15,0 days 13:55:00,104.7,104.7,104.7,104.7,10963,5,0
7,2021-04-15,0 days 13:53:00,104.7,104.7,104.7,104.7,10954,1,0
8,2021-04-15,0 days 13:51:00,104.7,104.7,104.7,104.7,10943,13,0
9,2021-04-14,0 days 14:05:00,107.65,107.75,107.65,107.675,16125,26,0
10,2021-04-14,0 days 14:04:00,107.775,107.775,107.55,107.675,16084,140,0
11,2021-04-14,0 days 14:03:00,107.7,107.775,107.7,107.75,15860,28,0
12,2021-04-14,0 days 14:02:00,107.7,107.725,107.675,107.7,15800,88,0
13,2021-04-14,0 days 14:01:00,107.75,107.75,107.65,107.725,15695,184,0
14,2021-04-14,0 days 14:00:00,107.5,107.775,107.5,107.725,15399,1058,0
15,2021-04-14,0 days 13:59:00,107.45,107.525,107.45,107.525,13974,109,0
16,2021-04-14,0 days 13:58:00,107.45,107.475,107.45,107.45,13843,24,0
17,2021-04-14,0 days 13:57:00,107.45,107.475,107.425,107.45,13818,37,0
18,2021-04-14,0 days 13:56:00,107.45,107.45,107.425,107.45,13777,17,0
19,2021-04-14,0 days 13:55:00,107.35,107.475,107.35,107.45,13754,79,0
20,2021-04-14,0 days 13:54:00,107.35,107.35,107.325,107.35,13666,9,0
21,2021-04-14,0 days 13:53:00,107.325,107.325,107.3,107.325,13655,24,0
22,2021-04-14,0 days 13:52:00,107.3,107.325,107.3,107.325,13616,22,0
23,2021-04-14,0 days 13:51:00,107.275,107.325,107.275,107.325,13574,29,0
24,2021-04-13,0 days 14:05:00,106.175,106.2,106.15,106.2,19728,31,0
25,2021-04-13,0 days 14:04:00,106.25,106.275,106.175,106.175,19602,18,0
26,2021-04-13,0 days 14:03:00,106.25,106.275,106.25,106.25,19575,15,0
27,2021-04-13,0 days 14:02:00,106.25,106.325,106.225,106.25,19552,66,0
28,2021-04-13,0 days 14:01:00,106.225,106.3,106.225,106.225,19447,87,0
29,2021-04-13,0 days 14:00:00,106.225,106.25,106.075,106.2,19260,654,0
30,2021-04-13,0 days 13:59:00,106.25,106.3,106.125,106.225,18230,68,0
31,2021-04-13,0 days 13:58:00,106.25,106.25,106.2,106.225,18158,20,0
32,2021-04-13,0 days 13:57:00,106.25,106.3,106.225,106.275,18137,34,0
33,2021-04-13,0 days 13:56:00,106.25,106.325,106.175,106.25,18097,56,0
34,2021-04-13,0 days 13:55:00,106.3,106.3,106.2,106.25,18021,17,0
35,2021-04-13,0 days 13:54:00,106.275,106.35,106.275,106.3,17990,26,0
36,2021-04-13,0 days 13:53:00,106.325,106.35,106.25,106.25,17958,55,0
37,2021-04-13,0 days 13:52:00,106.4,106.4,106.325,106.325,17898,11,0
38,2021-04-13,0 days 13:51:00,106.45,106.475,106.3,106.325,17886,55,0
39,2021-04-12,0 days 14:05:00,105.95,105.95,105.95,105.95,25289,32,0
40,2021-04-12,0 days 14:04:00,105.95,105.95,105.95,105.95,25227,11,0
41,2021-04-12,0 days 14:03:00,105.95,105.95,105.95,105.95,25126,56,0
42,2021-04-12,0 days 14:02:00,106.0,106.05,105.95,105.95,24978,106,0
43,2021-04-12,0 days 14:01:00,106.15,106.175,106.0,106.025,24829,229,0
44,2021-04-12,0 days 14:00:00,106.025,106.275,106.025,106.125,24380,1471,0
45,2021-04-12,0 days 13:59:00,106.05,106.075,106.0,106.025,21875,168,0
46,2021-04-12,0 days 13:58:00,106.2,106.2,106.025,106.05,21689,138,0
47,2021-04-12,0 days 13:57:00,106.1,106.2,106.075,106.15,21511,162,0
48,2021-04-12,0 days 13:56:00,106.3,106.3,106.125,106.125,21327,155,0
49,2021-04-12,0 days 13:55:00,106.35,106.35,106.3,106.3,21132,52,0
50,2021-04-12,0 days 13:54:00,106.475,106.475,106.35,106.35,21075,44,0
51,2021-04-12,0 days 13:53:00,106.5,106.5,106.475,106.475,21015,12,0
52,2021-04-12,0 days 13:52:00,106.375,106.525,106.35,106.5,21000,78,0
53,2021-04-12,0 days 13:51:00,106.35,106.375,106.35,106.35,20912,33,0
54,2021-04-09,0 days 14:05:00,108.95,108.975,108.85,108.85,14628,84,0
55,2021-04-09,0 days 14:04:00,108.9,108.975,108.875,108.975,14542,36,0
56,2021-04-09,0 days 14:03:00,108.925,108.975,108.9,108.925,14503,31,0
57,2021-04-09,0 days 14:02:00,108.95,108.975,108.9,108.925,14458,50,0
58,2021-04-09,0 days 14:01:00,108.9,109.0,108.875,108.95,14378,159,0
59,2021-04-09,0 days 14:00:00,109.225,109.225,108.85,108.9,14161,1097,0
60,2021-04-09,0 days 13:59:00,109.25,109.3,109.225,109.225,12608,88,0
61,2021-04-09,0 days 13:58:00,109.25,109.275,109.225,109.275,12516,55,0
62,2021-04-09,0 days 13:57:00,109.3,109.3,109.25,109.25,12446,66,0
63,2021-04-09,0 days 13:56:00,109.325,109.35,109.3,109.3,12351,35,0
64,2021-04-09,0 days 13:55:00,109.4,109.425,109.3,109.3,12314,78,0
65,2021-04-09,0 days 13:54:00,109.4,109.4,109.4,109.4,12203,29,0
66,2021-04-09,0 days 13:53:00,109.4,109.425,109.375,109.375,12155,17,0
67,2021-04-09,0 days 13:52:00,109.35,109.375,109.325,109.375,12130,24,0
68,2021-04-09,0 days 13:51:00,109.325,109.375,109.325,109.35,12094,21,0
69,2021-04-08,0 days 14:05:00,108.475,108.55,108.425,108.425,13842,63,0
70,2021-04-08,0 days 14:04:00,108.5,108.5,108.45,108.475,13737,39,0
71,2021-04-08,0 days 14:03:00,108.45,108.525,108.45,108.475,13688,16,0
72,2021-04-08,0 days 14:02:00,108.5,108.525,108.425,108.425,13660,57,0
73,2021-04-08,0 days 14:01:00,108.6,108.6,108.475,108.5,13499,201,0
74,2021-04-08,0 days 14:00:00,108.575,108.775,108.575,108.575,13201,895,0
75,2021-04-08,0 days 13:59:00,108.575,108.625,108.525,108.6,11817,48,0
76,2021-04-08,0 days 13:58:00,108.6,108.625,108.55,108.625,11736,48,0
77,2021-04-08,0 days 13:57:00,108.525,108.6,108.5,108.575,11671,52,0
78,2021-04-08,0 days 13:56:00,108.55,108.575,108.55,108.55,11607,7,0
79,2021-04-08,0 days 13:55:00,108.625,108.625,108.525,108.55,11598,40,0
80,2021-04-08,0 days 13:54:00,108.625,108.65,108.575,108.575,11522,29,0
81,2021-04-08,0 days 13:53:00,108.675,108.675,108.65,108.65,11487,32,0
82,2021-04-08,0 days 13:52:00,108.65,108.65,108.625,108.65,11452,23,0
83,2021-04-08,0 days 13:51:00,108.625,108.65,108.625,108.65,11413,20,0
84,2021-04-07,0 days 14:05:00,107.9,107.975,107.875,107.9,15781,67,0
85,2021-04-07,0 days 14:04:00,107.9,107.975,107.9,107.925,15689,50,0
86,2021-04-07,0 days 14:03:00,107.85,107.925,107.85,107.9,15569,85,0
87,2021-04-07,0 days 14:02:00,107.8,107.85,107.775,107.825,15463,31,0
88,2021-04-07,0 days 14:01:00,107.85,107.875,107.775,107.8,15415,97,0
89,2021-04-07,0 days 14:00:00,107.875,107.975,107.775,107.85,15242,527,0
90,2021-04-07,0 days 13:59:00,107.775,107.9,107.725,107.9,14465,126,0
91,2021-04-07,0 days 13:58:00,107.85,107.85,107.75,107.775,14323,39,0
92,2021-04-07,0 days 13:57:00,107.8,107.825,107.725,107.825,14271,40,0
93,2021-04-07,0 days 13:56:00,107.725,107.75,107.65,107.75,14217,65,0
94,2021-04-07,0 days 13:55:00,108.0,108.025,107.6,107.7,14139,203,0
95,2021-04-07,0 days 13:54:00,108.0,108.0,108.0,108.0,13911,14,0
96,2021-04-07,0 days 13:53:00,108.025,108.05,108.0,108.0,13876,29,0
97,2021-04-07,0 days 13:52:00,108.05,108.05,108.025,108.025,13842,20,0
98,2021-04-07,0 days 13:51:00,108.05,108.05,107.975,108.025,13819,90,0
99,2021-04-06,0 days 14:05:00,105.525,105.55,105.5,105.5,13862,34,0
100,2021-04-06,0 days 14:04:00,105.55,105.575,105.525,105.525,13817,23,0
101,2021-04-06,0 days 14:03:00,105.55,105.55,105.525,105.55,13769,18,0
102,2021-04-06,0 days 14:02:00,105.5,105.55,105.5,105.55,13736,33,0
103,2021-04-06,0 days 14:01:00,105.475,105.525,105.475,105.5,13633,111,0
104,2021-04-06,0 days 14:00:00,105.675,105.825,105.475,105.475,13410,562,0
105,2021-04-06,0 days 13:59:00,105.675,105.725,105.675,105.675,12194,53,0
106,2021-04-06,0 days 13:58:00,105.65,105.725,105.65,105.675,12120,56,0
107,2021-04-06,0 days 13:57:00,105.75,105.75,105.675,105.675,12059,40,0
108,2021-04-06,0 days 13:56:00,105.725,105.75,105.725,105.725,12014,33,0
109,2021-04-06,0 days 13:55:00,105.7,105.725,105.65,105.725,11975,32,0
110,2021-04-06,0 days 13:54:00,105.775,105.775,105.7,105.7,11938,69,0
111,2021-04-06,0 days 13:53:00,105.75,105.775,105.75,105.775,11836,9,0
112,2021-04-06,0 days 13:52:00,105.775,105.775,105.75,105.75,11824,16,0
113,2021-04-06,0 days 13:51:00,105.575,105.8,105.575,105.8,11805,120,0
114,2021-04-05,0 days 14:05:00,105.775,105.775,105.65,105.675,13920,33,0
115,2021-04-05,0 days 14:04:00,105.725,105.775,105.7,105.775,13877,17,0
116,2021-04-05,0 days 14:03:00,105.825,105.825,105.725,105.75,13855,18,0
117,2021-04-05,0 days 14:02:00,105.625,105.875,105.625,105.875,13818,121,0
118,2021-04-05,0 days 14:01:00,105.7,105.7,105.625,105.625,13682,88,0
119,2021-04-05,0 days 14:00:00,105.675,105.725,105.475,105.65,13537,581,0
120,2021-04-05,0 days 13:59:00,105.7,105.7,105.65,105.7,12778,23,0
121,2021-04-05,0 days 13:58:00,105.675,105.7,105.65,105.7,12746,25,0
122,2021-04-05,0 days 13:57:00,105.675,105.7,105.625,105.7,12719,61,0
123,2021-04-05,0 days 13:56:00,105.725,105.725,105.625,105.65,12636,13,0
124,2021-04-05,0 days 13:55:00,105.7,105.725,105.675,105.725,12619,21,0
125,2021-04-05,0 days 13:54:00,105.75,105.75,105.7,105.75,12590,9,0
126,2021-04-05,0 days 13:53:00,105.725,105.75,105.7,105.75,12580,10,0
127,2021-04-05,0 days 13:52:00,105.7,105.775,105.7,105.75,12570,116,0
128,2021-04-05,0 days 13:51:00,105.65,105.675,105.625,105.675,12447,18,0
129,2021-04-01,0 days 14:05:00,106.075,106.15,106.075,106.1,14016,40,0
130,2021-04-01,0 days 14:04:00,106.175,106.175,106.025,106.05,13968,52,0
131,2021-04-01,0 days 14:03:00,106.125,106.175,106.025,106.175,13899,117,0
132,2021-04-01,0 days 14:02:00,106.225,106.25,106.1,106.1,13762,67,0
133,2021-04-01,0 days 14:01:00,106.3,106.325,106.225,106.225,13670,77,0
134,2021-04-01,0 days 14:00:00,106.3,106.425,106.15,106.325,13558,780,0
135,2021-04-01,0 days 13:59:00,106.35,106.35,106.3,106.325,12538,61,0
136,2021-04-01,0 days 13:58:00,106.475,106.475,106.375,106.375,12427,12,0
137,2021-04-01,0 days 13:57:00,106.45,106.45,106.35,106.45,12404,45,0
138,2021-04-01,0 days 13:56:00,106.575,106.575,106.4,106.45,12349,62,0
139,2021-04-01,0 days 13:55:00,106.625,106.625,106.6,106.6,12232,12,0
140,2021-04-01,0 days 13:54:00,106.575,106.675,106.575,106.625,12217,93,0
141,2021-04-01,0 days 13:53:00,106.6,106.6,106.575,106.6,12120,9,0
142,2021-04-01,0 days 13:52:00,106.625,106.625,106.55,106.575,12111,69,0
143,2021-04-01,0 days 13:51:00,106.575,106.65,106.55,106.575,12039,76,0
144,2021-03-31,0 days 14:05:00,105.225,105.275,105.15,105.25,14739,44,0
145,2021-03-31,0 days 14:04:00,105.25,105.25,105.15,105.15,14672,17,0
146,2021-03-31,0 days 14:03:00,105.225,105.275,105.2,105.2,14639,19,0
147,2021-03-31,0 days 14:02:00,105.1,105.2,105.1,105.2,14609,49,0
148,2021-03-31,0 days 14:01:00,105.225,105.25,105.05,105.05,14541,262,0
149,2021-03-31,0 days 14:00:00,105.275,105.625,105.15,105.225,14195,1175,0
150,2021-03-31,0 days 13:59:00,105.3,105.4,105.2,105.25,12754,73,0
151,2021-03-31,0 days 13:58:00,105.2,105.3,105.125,105.3,12670,43,0
152,2021-03-31,0 days 13:57:00,105.175,105.2,105.175,105.2,12621,57,0
153,2021-03-31,0 days 13:56:00,105.125,105.175,105.05,105.175,12559,51,0
154,2021-03-31,0 days 13:55:00,105.25,105.25,105.05,105.1,12497,31,0
155,2021-03-31,0 days 13:54:00,105.35,105.35,105.2,105.275,12464,41,0
156,2021-03-31,0 days 13:53:00,105.25,105.35,105.2,105.325,12421,57,0
157,2021-03-31,0 days 13:52:00,105.25,105.3,105.2,105.2,12363,60,0
158,2021-03-31,0 days 13:51:00,105.15,105.3,105.15,105.275,12303,50,0
159,2021-03-30,0 days 14:05:00,106.0,106.025,105.9,105.95,12357,44,0
160,2021-03-30,0 days 14:04:00,106.025,106.025,105.925,105.925,12288,24,0
161,2021-03-30,0 days 14:03:00,105.95,105.975,105.95,105.975,12257,17,0
162,2021-03-30,0 days 14:02:00,105.95,105.95,105.925,105.925,12229,13,0
163,2021-03-30,0 days 14:01:00,105.95,105.975,105.875,105.95,12209,88,0
164,2021-03-30,0 days 14:00:00,106.0,106.125,105.95,105.95,11965,473,0
165,2021-03-30,0 days 13:59:00,106.05,106.05,105.975,106.025,11371,98,0
166,2021-03-30,0 days 13:58:00,106.025,106.025,106.0,106.0,11261,32,0
167,2021-03-30,0 days 13:57:00,106.0,106.025,105.975,106.0,11227,54,0
168,2021-03-30,0 days 13:56:00,106.05,106.05,105.975,106.0,11163,16,0
169,2021-03-30,0 days 13:55:00,105.975,106.05,105.975,106.05,11140,22,0
170,2021-03-30,0 days 13:54:00,106.0,106.0,105.975,106.0,11114,30,0
171,2021-03-30,0 days 13:53:00,106.225,106.225,106.0,106.025,11066,84,0
172,2021-03-30,0 days 13:52:00,106.225,106.25,106.225,106.225,10972,15,0
173,2021-03-30,0 days 13:51:00,106.25,106.275,106.225,106.225,10956,35,0
174,2021-03-29,0 days 14:05:00,105.0,105.075,104.875,105.0,14250,57,0
175,2021-03-29,0 days 14:04:00,105.1,105.125,105.0,105.0,14146,54,0
176,2021-03-29,0 days 14:03:00,105.125,105.125,105.125,105.125,14029,15,0
177,2021-03-29,0 days 14:02:00,105.15,105.2,105.125,105.15,14002,49,0
178,2021-03-29,0 days 14:01:00,105.225,105.225,105.15,105.15,13923,118,0
179,2021-03-29,0 days 14:00:00,105.125,105.25,105.125,105.25,13782,359,0
