,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-15,0 days 12:35:00,134.7,134.7,134.6,134.6,25541,13,0
1,2021-04-15,0 days 12:34:00,134.65,134.65,134.65,134.65,25515,5,0
2,2021-04-15,0 days 12:33:00,134.65,134.7,134.55,134.65,25509,24,0
3,2021-04-15,0 days 12:32:00,134.7,134.7,134.65,134.65,25480,19,0
4,2021-04-15,0 days 12:31:00,134.7,134.75,134.65,134.7,25460,34,0
5,2021-04-15,0 days 12:30:00,134.75,134.75,134.7,134.7,25412,19,0
6,2021-04-15,0 days 12:29:00,134.8,134.8,134.75,134.75,25366,19,0
7,2021-04-15,0 days 12:28:00,134.8,134.9,134.8,134.8,25343,110,0
8,2021-04-15,0 days 12:27:00,134.8,134.8,134.75,134.8,24930,6,0
9,2021-04-15,0 days 12:26:00,134.85,134.85,134.75,134.75,24921,47,0
10,2021-04-15,0 days 12:25:00,134.6,134.9,134.6,134.85,24846,259,0
11,2021-04-15,0 days 12:24:00,134.7,134.7,134.5,134.6,24108,149,0
12,2021-04-15,0 days 12:23:00,134.75,134.75,134.65,134.65,23763,19,0
13,2021-04-15,0 days 12:22:00,134.75,134.8,134.65,134.7,23738,13,0
14,2021-04-15,0 days 12:21:00,134.75,134.75,134.7,134.75,23716,7,0
15,2021-04-15,0 days 12:20:00,134.7,134.7,134.7,134.7,23692,11,0
16,2021-04-15,0 days 12:19:00,134.75,134.75,134.7,134.7,23675,2,0
17,2021-04-15,0 days 12:18:00,134.75,134.8,134.7,134.7,23669,12,0
18,2021-04-15,0 days 12:17:00,134.65,134.75,134.65,134.75,23646,8,0
19,2021-04-15,0 days 12:16:00,134.75,134.75,134.65,134.65,23634,7,0
20,2021-04-14,0 days 12:35:00,133.95,133.95,133.9,133.9,26876,7,0
21,2021-04-14,0 days 12:34:00,134.05,134.05,133.85,133.85,26867,53,0
22,2021-04-14,0 days 12:33:00,134.05,134.15,134.0,134.1,26809,33,0
23,2021-04-14,0 days 12:32:00,134.0,134.05,134.0,134.05,26694,28,0
24,2021-04-14,0 days 12:31:00,134.0,134.05,134.0,134.05,26606,6,0
25,2021-04-14,0 days 12:30:00,134.0,134.05,134.0,134.05,26597,9,0
26,2021-04-14,0 days 12:29:00,134.05,134.1,134.05,134.05,26579,31,0
27,2021-04-14,0 days 12:28:00,134.15,134.15,134.05,134.05,26448,14,0
28,2021-04-14,0 days 12:27:00,134.0,134.2,134.0,134.2,26417,43,0
29,2021-04-14,0 days 12:26:00,134.15,134.15,133.95,134.0,26357,66,0
30,2021-04-14,0 days 12:25:00,134.0,134.3,134.0,134.2,26076,337,0
31,2021-04-14,0 days 12:24:00,133.95,134.1,133.8,134.0,24818,321,0
32,2021-04-14,0 days 12:23:00,134.0,134.1,133.95,133.95,23570,42,0
33,2021-04-14,0 days 12:22:00,134.2,134.2,133.95,133.95,23334,28,0
34,2021-04-14,0 days 12:21:00,134.1,134.2,134.05,134.15,23157,48,0
35,2021-04-14,0 days 12:20:00,134.2,134.2,134.0,134.05,23056,29,0
36,2021-04-14,0 days 12:19:00,134.15,134.2,134.05,134.2,22957,30,0
37,2021-04-14,0 days 12:18:00,134.05,134.1,134.05,134.1,22904,13,0
38,2021-04-14,0 days 12:17:00,134.1,134.1,133.9,134.0,22873,55,0
39,2021-04-14,0 days 12:16:00,133.85,134.1,133.8,134.05,22809,40,0
40,2021-04-13,0 days 12:35:00,131.6,131.6,131.6,131.6,29316,2,0
41,2021-04-13,0 days 12:34:00,131.55,131.6,131.55,131.6,29310,17,0
42,2021-04-13,0 days 12:33:00,131.65,131.65,131.6,131.6,29275,6,0
43,2021-04-13,0 days 12:32:00,131.8,131.8,131.65,131.65,29265,70,0
44,2021-04-13,0 days 12:31:00,131.8,131.9,131.8,131.85,29186,15,0
45,2021-04-13,0 days 12:30:00,131.9,131.9,131.8,131.8,29167,17,0
46,2021-04-13,0 days 12:29:00,131.85,131.9,131.85,131.85,29141,33,0
47,2021-04-13,0 days 12:28:00,131.8,131.85,131.8,131.85,29096,12,0
48,2021-04-13,0 days 12:27:00,131.75,131.85,131.75,131.85,29068,30,0
49,2021-04-13,0 days 12:26:00,131.7,131.75,131.7,131.75,29030,32,0
50,2021-04-13,0 days 12:25:00,132.0,132.0,131.65,131.7,25866,265,0
51,2021-04-13,0 days 12:24:00,132.1,132.35,131.95,131.95,23428,117,0
52,2021-04-13,0 days 12:23:00,132.15,132.15,131.9,132.1,22942,64,0
53,2021-04-13,0 days 12:22:00,132.2,132.25,132.15,132.15,22808,12,0
54,2021-04-13,0 days 12:21:00,132.25,132.3,132.25,132.25,22706,55,0
55,2021-04-13,0 days 12:20:00,132.2,132.3,132.15,132.15,22608,23,0
56,2021-04-13,0 days 12:19:00,132.3,132.3,132.15,132.2,22567,12,0
57,2021-04-13,0 days 12:18:00,132.2,132.35,132.15,132.3,22544,38,0
58,2021-04-13,0 days 12:17:00,132.2,132.2,132.15,132.15,22494,11,0
59,2021-04-13,0 days 12:16:00,132.1,132.15,132.1,132.15,22469,16,0
60,2021-04-12,0 days 12:34:00,130.0,130.05,130.0,130.05,23946,9,0
61,2021-04-12,0 days 12:33:00,130.05,130.05,130.0,130.05,23933,8,0
62,2021-04-12,0 days 12:32:00,130.0,130.05,129.95,130.05,23920,11,0
63,2021-04-12,0 days 12:31:00,129.95,129.95,129.95,129.95,23881,2,0
64,2021-04-12,0 days 12:30:00,130.0,130.0,129.9,129.95,23863,23,0
65,2021-04-12,0 days 12:29:00,129.9,130.0,129.9,129.95,23796,21,0
66,2021-04-12,0 days 12:28:00,129.85,129.85,129.85,129.85,23749,2,0
67,2021-04-12,0 days 12:27:00,129.65,129.85,129.65,129.85,23747,34,0
68,2021-04-12,0 days 12:26:00,129.75,129.8,129.65,129.7,23643,69,0
69,2021-04-12,0 days 12:25:00,130.05,130.1,129.65,129.75,23435,160,0
70,2021-04-12,0 days 12:24:00,130.2,130.2,130.0,130.05,19092,144,0
71,2021-04-12,0 days 12:23:00,130.35,130.4,130.25,130.25,17929,23,0
72,2021-04-12,0 days 12:22:00,130.2,130.3,130.2,130.3,17840,23,0
73,2021-04-12,0 days 12:21:00,130.2,130.2,130.2,130.2,17671,24,0
74,2021-04-12,0 days 12:20:00,130.25,130.3,130.2,130.3,17458,26,0
75,2021-04-12,0 days 12:19:00,130.2,130.25,130.15,130.25,17402,16,0
76,2021-04-12,0 days 12:18:00,130.2,130.2,130.15,130.2,17371,22,0
77,2021-04-12,0 days 12:17:00,130.3,130.35,130.2,130.2,17241,13,0
78,2021-04-12,0 days 12:16:00,130.1,130.3,130.1,130.3,17214,27,0
79,2021-04-09,0 days 12:35:00,129.0,129.0,129.0,129.0,19992,1,0
80,2021-04-09,0 days 12:34:00,129.0,129.1,129.0,129.1,19990,5,0
81,2021-04-09,0 days 12:33:00,129.05,129.1,129.0,129.0,19984,9,0
82,2021-04-09,0 days 12:32:00,128.95,129.05,128.95,129.05,19959,4,0
83,2021-04-09,0 days 12:31:00,128.95,128.95,128.95,128.95,19951,7,0
84,2021-04-09,0 days 12:30:00,128.9,128.95,128.85,128.85,19929,14,0
85,2021-04-09,0 days 12:29:00,128.9,128.9,128.85,128.9,19910,7,0
86,2021-04-09,0 days 12:28:00,129.0,129.0,128.9,128.9,19690,24,0
87,2021-04-09,0 days 12:27:00,129.0,129.05,128.95,129.05,19665,10,0
88,2021-04-09,0 days 12:26:00,129.1,129.1,129.1,129.1,19548,8,0
89,2021-04-09,0 days 12:25:00,129.0,129.35,129.0,129.15,19372,149,0
90,2021-04-09,0 days 12:24:00,128.95,129.1,128.95,129.0,17861,127,0
91,2021-04-09,0 days 12:23:00,128.95,129.0,128.9,128.95,17351,60,0
92,2021-04-09,0 days 12:22:00,129.05,129.05,129.05,129.05,17208,3,0
93,2021-04-09,0 days 12:21:00,129.05,129.1,129.05,129.05,16513,7,0
94,2021-04-09,0 days 12:20:00,129.0,129.0,129.0,129.0,16372,1,0
95,2021-04-09,0 days 12:19:00,128.95,128.95,128.9,128.9,16367,2,0
96,2021-04-09,0 days 12:17:00,128.9,129.0,128.9,128.9,16257,3,0
97,2021-04-09,0 days 12:16:00,128.9,128.9,128.8,128.9,16244,16,0
98,2021-04-08,0 days 12:35:00,127.75,127.8,127.7,127.8,25290,9,0
99,2021-04-08,0 days 12:34:00,127.8,127.85,127.75,127.75,25266,9,0
100,2021-04-08,0 days 12:33:00,127.85,127.85,127.8,127.8,25246,11,0
101,2021-04-08,0 days 12:32:00,127.85,127.85,127.85,127.85,25209,1,0
102,2021-04-08,0 days 12:31:00,127.9,127.95,127.9,127.95,25197,10,0
103,2021-04-08,0 days 12:30:00,127.9,128.0,127.9,127.95,25167,15,0
104,2021-04-08,0 days 12:29:00,127.8,127.85,127.75,127.85,25071,12,0
105,2021-04-08,0 days 12:28:00,127.75,127.75,127.7,127.75,25041,15,0
106,2021-04-08,0 days 12:27:00,127.75,127.8,127.75,127.75,25000,15,0
107,2021-04-08,0 days 12:26:00,127.75,127.9,127.7,127.7,24968,60,0
108,2021-04-08,0 days 12:25:00,127.9,127.95,127.6,127.75,24801,395,0
