,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-15,0 days 14:14:00,605.25,605.5,605.0,605.25,18438,63,0
1,2021-04-15,0 days 14:13:00,605.75,605.75,605.5,605.5,18350,4,0
2,2021-04-15,0 days 14:12:00,605.5,606.0,605.5,605.75,18344,29,0
3,2021-04-15,0 days 14:11:00,604.75,605.5,604.75,605.5,18312,56,0
4,2021-04-15,0 days 14:10:00,603.5,605.0,603.5,604.5,18256,179,0
5,2021-04-15,0 days 14:09:00,605.25,605.25,603.75,603.75,18070,108,0
6,2021-04-15,0 days 14:08:00,605.5,605.5,605.5,605.5,17943,2,0
7,2021-04-15,0 days 14:07:00,605.5,605.5,605.5,605.5,17939,13,0
8,2021-04-15,0 days 14:06:00,605.25,605.5,605.25,605.5,17919,10,0
9,2021-04-14,0 days 14:20:00,603.5,603.5,603.25,603.25,37875,29,0
10,2021-04-14,0 days 14:19:00,603.75,604.5,603.5,603.5,37781,63,0
11,2021-04-14,0 days 14:18:00,602.75,604.0,602.75,603.75,37517,63,0
12,2021-04-14,0 days 14:17:00,602.5,603.0,602.5,602.5,37066,29,0
13,2021-04-14,0 days 14:16:00,603.5,603.75,602.75,602.75,36998,88,0
14,2021-04-14,0 days 14:15:00,603.5,604.0,602.75,603.5,36651,262,0
15,2021-04-14,0 days 14:14:00,604.75,605.0,603.0,603.5,34176,94,0
16,2021-04-14,0 days 14:13:00,604.25,605.0,604.0,605.0,33873,71,0
17,2021-04-14,0 days 14:12:00,603.75,604.5,603.5,604.25,33770,82,0
18,2021-04-14,0 days 14:11:00,603.25,603.75,603.25,603.75,33500,47,0
19,2021-04-14,0 days 14:10:00,603.0,603.5,603.0,603.25,33435,41,0
20,2021-04-14,0 days 14:09:00,602.75,603.25,602.75,603.0,33376,36,0
21,2021-04-14,0 days 14:08:00,603.0,603.25,603.0,603.0,33293,28,0
22,2021-04-14,0 days 14:07:00,602.0,603.0,602.0,603.0,33249,31,0
23,2021-04-14,0 days 14:06:00,603.0,603.25,602.25,602.25,33197,53,0
24,2021-04-13,0 days 14:20:00,585.25,585.5,585.25,585.5,18846,8,0
25,2021-04-13,0 days 14:19:00,585.25,585.25,585.25,585.25,18548,2,0
26,2021-04-13,0 days 14:18:00,585.25,585.25,585.25,585.25,18456,1,0
27,2021-04-13,0 days 14:17:00,585.25,585.25,585.25,585.25,18420,4,0
28,2021-04-13,0 days 14:16:00,584.75,585.25,584.75,585.25,18359,24,0
29,2021-04-13,0 days 14:15:00,584.75,585.5,584.25,584.75,18079,407,0
30,2021-04-13,0 days 14:14:00,585.25,585.5,584.5,584.75,16014,93,0
31,2021-04-13,0 days 14:13:00,584.5,585.0,584.5,585.0,15304,24,0
32,2021-04-13,0 days 14:12:00,584.5,584.75,584.5,584.75,14937,17,0
33,2021-04-13,0 days 14:11:00,584.75,585.0,584.5,584.5,14832,28,0
34,2021-04-13,0 days 14:10:00,585.0,585.25,584.75,584.75,14730,36,0
35,2021-04-13,0 days 14:09:00,584.5,585.0,584.25,585.0,14615,32,0
36,2021-04-13,0 days 14:08:00,584.5,584.5,584.5,584.5,14552,11,0
37,2021-04-13,0 days 14:07:00,584.25,585.0,584.25,584.5,14498,66,0
38,2021-04-13,0 days 14:06:00,585.0,585.0,584.25,584.5,14355,65,0
39,2021-04-12,0 days 14:20:00,579.5,579.5,578.25,579.0,33155,50,0
40,2021-04-12,0 days 14:19:00,579.25,579.5,579.0,579.25,33048,30,0
41,2021-04-12,0 days 14:18:00,579.25,579.75,579.0,579.25,32965,34,0
42,2021-04-12,0 days 14:17:00,579.0,579.25,579.0,579.25,32930,43,0
43,2021-04-12,0 days 14:16:00,578.75,579.0,578.5,579.0,32887,62,0
44,2021-04-12,0 days 14:15:00,579.0,579.25,578.5,578.75,32765,431,0
45,2021-04-12,0 days 14:14:00,579.5,579.5,579.0,579.25,30384,29,0
46,2021-04-12,0 days 14:13:00,579.75,580.0,579.5,579.5,30240,12,0
47,2021-04-12,0 days 14:12:00,580.5,580.5,579.75,579.75,30143,5,0
48,2021-04-12,0 days 14:11:00,581.0,581.0,580.5,580.5,29988,42,0
49,2021-04-12,0 days 14:10:00,580.25,581.25,580.0,580.75,29919,231,0
50,2021-04-12,0 days 14:09:00,580.0,580.0,579.5,580.0,29640,96,0
51,2021-04-12,0 days 14:08:00,580.5,580.5,580.0,580.0,29232,73,0
52,2021-04-12,0 days 14:07:00,580.0,580.0,579.75,580.0,29100,15,0
53,2021-04-12,0 days 14:06:00,580.75,580.75,580.25,580.25,29045,8,0
54,2021-04-09,0 days 14:20:00,586.75,587.0,586.5,587.0,35407,64,0
55,2021-04-09,0 days 14:19:00,586.25,586.25,586.0,586.25,35006,62,0
56,2021-04-09,0 days 14:18:00,586.25,586.5,586.0,586.0,34940,34,0
57,2021-04-09,0 days 14:17:00,586.75,587.0,586.5,586.5,34884,68,0
58,2021-04-09,0 days 14:16:00,586.25,587.0,586.0,586.5,34774,80,0
59,2021-04-09,0 days 14:15:00,586.25,587.0,585.75,586.75,34633,415,0
60,2021-04-09,0 days 14:14:00,585.5,586.25,585.5,586.25,31270,81,0
61,2021-04-09,0 days 14:13:00,585.75,586.5,585.75,585.75,30854,136,0
62,2021-04-09,0 days 14:12:00,586.0,586.0,585.5,585.75,30559,29,0
63,2021-04-09,0 days 14:11:00,585.75,586.0,585.5,586.0,30475,12,0
64,2021-04-09,0 days 14:10:00,585.75,586.0,585.75,586.0,30310,67,0
65,2021-04-09,0 days 14:09:00,585.5,585.75,585.5,585.75,30169,16,0
66,2021-04-09,0 days 14:08:00,585.5,585.75,585.25,585.75,30107,18,0
67,2021-04-09,0 days 14:07:00,585.5,585.75,585.5,585.5,29992,13,0
68,2021-04-09,0 days 14:06:00,585.75,585.75,585.5,585.5,29923,8,0
69,2021-04-08,0 days 14:20:00,577.0,577.5,576.75,576.75,41327,27,0
70,2021-04-08,0 days 14:19:00,577.25,577.25,577.0,577.0,41273,6,0
71,2021-04-08,0 days 14:18:00,577.25,577.5,577.25,577.5,41238,5,0
72,2021-04-08,0 days 14:17:00,577.5,577.75,577.5,577.5,41229,12,0
73,2021-04-08,0 days 14:16:00,577.75,577.75,577.0,577.75,41179,43,0
74,2021-04-08,0 days 14:15:00,575.5,578.0,575.25,577.5,41061,440,0
75,2021-04-08,0 days 14:14:00,576.5,576.5,575.5,575.5,38620,41,0
76,2021-04-08,0 days 14:13:00,577.0,577.0,576.75,576.75,38529,49,0
77,2021-04-08,0 days 14:12:00,576.75,577.0,576.5,577.0,38316,22,0
78,2021-04-08,0 days 14:11:00,577.0,577.0,576.5,576.75,38268,34,0
79,2021-04-08,0 days 14:10:00,576.75,577.0,576.75,577.0,38203,27,0
80,2021-04-08,0 days 14:09:00,577.25,577.25,576.75,577.0,38167,29,0
81,2021-04-08,0 days 14:08:00,577.25,577.5,577.25,577.25,38123,12,0
82,2021-04-08,0 days 14:07:00,576.5,577.0,576.5,577.0,38102,9,0
83,2021-04-08,0 days 14:06:00,576.25,576.5,576.25,576.25,38066,16,0
84,2021-04-07,0 days 14:20:00,563.25,564.0,563.25,564.0,24803,86,0
85,2021-04-07,0 days 14:19:00,563.5,563.5,563.25,563.25,24706,10,0
86,2021-04-07,0 days 14:18:00,563.75,563.75,563.5,563.75,24278,7,0
87,2021-04-07,0 days 14:17:00,563.75,563.75,563.75,563.75,23828,6,0
88,2021-04-07,0 days 14:16:00,563.25,563.75,563.25,563.5,23764,37,0
89,2021-04-07,0 days 14:15:00,562.75,564.0,562.75,563.0,23585,487,0
90,2021-04-07,0 days 14:14:00,562.5,562.75,562.0,562.5,22606,47,0
91,2021-04-07,0 days 14:13:00,562.75,562.75,562.75,562.75,22539,3,0
92,2021-04-07,0 days 14:12:00,562.5,562.75,562.5,562.75,22525,35,0
93,2021-04-07,0 days 14:11:00,563.5,563.5,562.5,562.5,22484,62,0
94,2021-04-07,0 days 14:10:00,563.75,563.75,563.25,563.25,22402,94,0
95,2021-04-07,0 days 14:09:00,563.75,564.0,563.5,563.5,22306,8,0
96,2021-04-07,0 days 14:08:00,563.5,564.0,563.5,563.75,22291,14,0
97,2021-04-07,0 days 14:07:00,563.5,563.5,563.5,563.5,22271,3,0
98,2021-04-07,0 days 14:06:00,563.5,563.5,563.25,563.5,22264,51,0
99,2021-04-06,0 days 14:20:00,555.75,555.75,555.25,555.5,27694,69,0
100,2021-04-06,0 days 14:19:00,555.5,555.5,555.5,555.5,27383,9,0
101,2021-04-06,0 days 14:18:00,555.75,555.75,555.5,555.75,27359,25,0
102,2021-04-06,0 days 14:17:00,555.5,555.75,555.25,555.75,27329,67,0
103,2021-04-06,0 days 14:16:00,555.5,555.75,555.5,555.5,27262,76,0
104,2021-04-06,0 days 14:15:00,556.5,556.5,555.25,555.5,26573,680,0
105,2021-04-06,0 days 14:14:00,555.75,557.0,555.75,556.25,25361,207,0
106,2021-04-06,0 days 14:13:00,555.5,555.75,555.25,555.75,24361,52,0
107,2021-04-06,0 days 14:12:00,555.0,555.5,555.0,555.25,24265,24,0
108,2021-04-06,0 days 14:11:00,554.5,555.0,554.5,555.0,24146,66,0
109,2021-04-06,0 days 14:10:00,554.5,554.75,554.5,554.5,24079,45,0
110,2021-04-06,0 days 14:09:00,554.5,554.5,554.25,554.5,24028,13,0
111,2021-04-06,0 days 14:08:00,554.75,555.0,554.5,554.75,23999,27,0
112,2021-04-06,0 days 14:07:00,555.0,555.0,554.5,555.0,23809,26,0
113,2021-04-06,0 days 14:06:00,555.25,555.25,555.25,555.25,23750,6,0
114,2021-04-05,0 days 14:20:00,563.75,563.75,563.25,563.25,12822,68,0
115,2021-04-05,0 days 14:19:00,563.75,564.0,563.75,564.0,12710,5,0
116,2021-04-05,0 days 14:18:00,563.75,563.75,563.75,563.75,12692,6,0
117,2021-04-05,0 days 14:17:00,563.25,564.0,563.0,563.75,12671,128,0
118,2021-04-05,0 days 14:16:00,563.25,563.5,563.0,563.0,12494,47,0
119,2021-04-05,0 days 14:15:00,563.5,563.5,562.5,563.25,12411,392,0
120,2021-04-05,0 days 14:14:00,564.5,564.5,563.75,563.75,11761,32,0
121,2021-04-05,0 days 14:13:00,564.75,565.0,564.5,564.5,11655,14,0
122,2021-04-05,0 days 14:12:00,564.75,564.75,564.5,564.75,11638,18,0
123,2021-04-05,0 days 14:11:00,565.25,565.25,564.75,564.75,11603,27,0
124,2021-04-05,0 days 14:10:00,565.0,565.25,565.0,565.25,11571,20,0
125,2021-04-05,0 days 14:09:00,565.0,565.0,564.75,564.75,11542,23,0
126,2021-04-05,0 days 14:08:00,564.75,564.75,564.5,564.75,11519,30,0
127,2021-04-05,0 days 14:07:00,564.5,565.0,564.5,564.75,11055,43,0
128,2021-04-05,0 days 14:06:00,563.75,564.25,563.75,564.25,10898,44,0
129,2021-04-01,0 days 14:20:00,564.75,564.75,563.0,563.25,23845,28,0
130,2021-04-01,0 days 14:19:00,564.75,564.75,564.5,564.75,23714,23,0
131,2021-04-01,0 days 14:18:00,564.75,564.75,563.25,564.0,23676,28,0
132,2021-04-01,0 days 14:17:00,564.5,564.75,564.25,564.5,23637,39,0
133,2021-04-01,0 days 14:16:00,564.25,564.75,563.75,564.25,23557,58,0
134,2021-04-01,0 days 14:15:00,565.25,565.75,564.0,564.25,23487,631,0
135,2021-04-01,0 days 14:14:00,566.0,566.0,565.5,565.5,22778,85,0
136,2021-04-01,0 days 14:13:00,565.75,566.0,565.5,566.0,22612,56,0
137,2021-04-01,0 days 14:12:00,565.75,566.0,565.75,566.0,22092,48,0
138,2021-04-01,0 days 14:11:00,566.0,566.25,566.0,566.0,21960,41,0
139,2021-04-01,0 days 14:10:00,565.5,566.0,565.5,566.0,21843,40,0
140,2021-04-01,0 days 14:09:00,566.0,566.0,565.75,565.75,21793,7,0
141,2021-04-01,0 days 14:08:00,567.5,567.5,566.5,566.5,21782,55,0
142,2021-04-01,0 days 14:07:00,566.5,567.5,566.5,567.0,21721,39,0
143,2021-04-01,0 days 14:06:00,566.0,566.5,565.75,566.5,21367,68,0
144,2021-03-31,0 days 14:20:00,574.75,576.75,574.75,576.75,30855,65,0
145,2021-03-31,0 days 14:19:00,574.25,575.75,573.75,575.75,30781,11,0
146,2021-03-31,0 days 14:18:00,574.5,574.5,574.5,574.5,30765,2,0
147,2021-03-31,0 days 14:17:00,575.25,575.25,574.5,575.0,30761,8,0
148,2021-03-31,0 days 14:16:00,575.0,575.25,574.25,575.0,30744,83,0
149,2021-03-31,0 days 14:15:00,577.5,577.75,574.0,575.0,30609,684,0
150,2021-03-31,0 days 14:14:00,576.25,578.0,575.25,577.75,29219,115,0
151,2021-03-31,0 days 14:13:00,575.25,576.25,574.75,576.25,29018,46,0
152,2021-03-31,0 days 14:12:00,575.5,576.25,575.25,575.75,28933,42,0
153,2021-03-31,0 days 14:11:00,576.5,576.5,575.5,575.75,28887,71,0
154,2021-03-31,0 days 14:10:00,576.5,576.5,576.0,576.25,28806,15,0
155,2021-03-31,0 days 14:09:00,576.25,576.25,576.0,576.25,28787,13,0
156,2021-03-31,0 days 14:08:00,576.0,576.75,576.0,576.25,28773,19,0
157,2021-03-31,0 days 14:07:00,576.5,576.5,575.75,576.5,28751,46,0
158,2021-03-31,0 days 14:06:00,576.75,577.0,576.75,576.75,28702,88,0
159,2021-03-30,0 days 14:20:00,557.75,557.75,557.0,557.0,12201,39,0
160,2021-03-30,0 days 14:19:00,558.25,558.25,557.75,557.75,12136,34,0
161,2021-03-30,0 days 14:18:00,558.0,558.5,558.0,558.25,12102,23,0
162,2021-03-30,0 days 14:17:00,558.25,558.5,558.25,558.25,12065,37,0
163,2021-03-30,0 days 14:16:00,558.5,558.5,557.75,558.0,12027,62,0
164,2021-03-30,0 days 14:15:00,559.25,559.75,558.0,558.5,11921,495,0
165,2021-03-30,0 days 14:14:00,560.0,560.0,559.0,559.0,10714,43,0
166,2021-03-30,0 days 14:13:00,560.75,560.75,560.25,560.25,10578,13,0
167,2021-03-30,0 days 14:12:00,561.0,561.0,560.75,560.75,10557,3,0
168,2021-03-30,0 days 14:11:00,561.0,561.25,561.0,561.25,10549,10,0
169,2021-03-30,0 days 14:10:00,561.0,561.25,560.5,560.75,10534,31,0
170,2021-03-30,0 days 14:09:00,560.25,560.75,560.25,560.75,10491,17,0
171,2021-03-30,0 days 14:08:00,560.75,560.75,560.5,560.5,10470,20,0
172,2021-03-30,0 days 14:07:00,560.25,560.5,560.0,560.5,10417,11,0
173,2021-03-30,0 days 14:06:00,560.0,560.25,559.75,560.25,10405,51,0
174,2021-03-29,0 days 14:20:00,568.75,569.25,568.75,568.75,18305,15,0
175,2021-03-29,0 days 14:19:00,569.0,569.0,568.75,568.75,18282,27,0
176,2021-03-29,0 days 14:18:00,569.0,569.0,569.0,569.0,18253,7,0
177,2021-03-29,0 days 14:17:00,569.5,569.5,569.25,569.25,18246,22,0
178,2021-03-29,0 days 14:16:00,570.0,570.0,568.75,569.25,18219,178,0
179,2021-03-29,0 days 14:15:00,569.0,570.25,568.75,570.0,18017,608,0
180,2021-03-29,0 days 14:14:00,569.75,569.75,569.0,569.25,16973,63,0
181,2021-03-29,0 days 14:13:00,569.5,569.75,569.25,569.5,16787,43,0
182,2021-03-29,0 days 14:12:00,569.25,569.5,569.0,569.5,16739,71,0
183,2021-03-29,0 days 14:11:00,568.25,569.0,568.25,569.0,16508,51,0
184,2021-03-29,0 days 14:10:00,568.25,568.25,568.25,568.25,16437,13,0
185,2021-03-29,0 days 14:09:00,568.0,568.0,568.0,568.0,16406,83,0
186,2021-03-29,0 days 14:08:00,567.75,568.0,567.75,568.0,16300,49,0
187,2021-03-29,0 days 14:07:00,567.75,567.75,567.75,567.75,16060,3,0
188,2021-03-29,0 days 14:06:00,567.75,567.75,567.75,567.75,16048,8,0
189,2021-03-26,0 days 14:20:00,568.25,569.5,568.25,569.0,13525,34,0
190,2021-03-26,0 days 14:19:00,568.5,568.5,568.0,568.25,13482,58,0
191,2021-03-26,0 days 14:18:00,569.25,569.25,568.0,568.25,13424,19,0
192,2021-03-26,0 days 14:17:00,570.75,571.0,569.5,569.5,13400,194,0
193,2021-03-26,0 days 14:16:00,568.25,570.75,568.25,570.75,13158,179,0
194,2021-03-26,0 days 14:15:00,569.0,569.0,568.0,568.25,12915,324,0
195,2021-03-26,0 days 14:14:00,568.5,569.25,568.5,569.0,12103,23,0
196,2021-03-26,0 days 14:13:00,568.75,568.75,568.5,568.75,11866,18,0
197,2021-03-26,0 days 14:12:00,568.75,568.75,568.0,568.5,11822,18,0
198,2021-03-26,0 days 14:11:00,569.75,569.75,568.5,568.5,11794,123,0
199,2021-03-26,0 days 14:10:00,569.75,570.0,569.75,569.75,11662,71,0
200,2021-03-26,0 days 14:09:00,570.0,570.0,569.75,569.75,11572,6,0
201,2021-03-26,0 days 14:08:00,569.75,569.75,569.5,569.75,11566,14,0
202,2021-03-26,0 days 14:07:00,569.75,569.75,569.75,569.75,11542,9,0
203,2021-03-26,0 days 14:06:00,569.5,569.75,569.5,569.75,11531,22,0
204,2021-03-25,0 days 14:20:00,566.5,566.5,565.75,565.75,17085,12,0
205,2021-03-25,0 days 14:19:00,566.0,566.5,566.0,566.5,17041,13,0
206,2021-03-25,0 days 14:18:00,566.0,566.25,565.5,565.5,17026,77,0
207,2021-03-25,0 days 14:17:00,566.25,566.5,566.0,566.0,16948,68,0
208,2021-03-25,0 days 14:16:00,566.5,566.5,566.0,566.25,16864,72,0
209,2021-03-25,0 days 14:15:00,567.5,567.75,566.0,566.75,16768,443,0
210,2021-03-25,0 days 14:14:00,567.75,568.0,567.75,567.75,15994,143,0
211,2021-03-25,0 days 14:13:00,567.0,567.5,567.0,567.5,15800,60,0
212,2021-03-25,0 days 14:12:00,566.75,566.75,566.75,566.75,15732,1,0
213,2021-03-25,0 days 14:11:00,567.25,567.25,567.0,567.0,15727,61,0
214,2021-03-25,0 days 14:10:00,567.0,567.25,567.0,567.25,15659,29,0
215,2021-03-25,0 days 14:09:00,566.5,567.0,566.5,567.0,15622,40,0
216,2021-03-25,0 days 14:08:00,566.25,566.5,566.25,566.5,15578,20,0
217,2021-03-25,0 days 14:07:00,566.25,566.5,566.0,566.25,15546,133,0
218,2021-03-25,0 days 14:06:00,567.0,567.0,566.25,566.5,15412,114,0
219,2021-03-24,0 days 14:20:00,576.0,576.0,575.25,575.75,15063,67,0
220,2021-03-24,0 days 14:19:00,576.0,576.0,575.75,576.0,14359,33,0
221,2021-03-24,0 days 14:18:00,576.5,576.5,576.25,576.25,14326,9,0
222,2021-03-24,0 days 14:17:00,576.0,576.5,576.0,576.5,14316,16,0
223,2021-03-24,0 days 14:16:00,576.0,576.25,576.0,576.25,14300,47,0
224,2021-03-24,0 days 14:15:00,576.0,576.75,575.75,576.25,14090,252,0
225,2021-03-24,0 days 14:14:00,575.75,576.75,575.75,576.25,13794,152,0
226,2021-03-24,0 days 14:13:00,576.0,576.0,575.75,576.0,13631,16,0
227,2021-03-24,0 days 14:12:00,575.75,576.0,575.75,575.75,13614,46,0
