,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-15,0 days 14:05:00,119.675,119.7,119.65,119.675,25911,74,0
1,2021-04-15,0 days 14:04:00,119.65,119.7,119.625,119.7,25806,45,0
2,2021-04-15,0 days 14:03:00,119.65,119.675,119.65,119.65,25652,33,0
3,2021-04-15,0 days 14:02:00,119.725,119.725,119.675,119.675,25607,57,0
4,2021-04-15,0 days 14:01:00,119.725,119.75,119.675,119.725,25515,129,0
5,2021-04-15,0 days 14:00:00,119.6,119.75,119.575,119.75,25340,785,0
6,2021-04-15,0 days 13:59:00,119.75,119.775,119.525,119.625,24437,164,0
7,2021-04-15,0 days 13:58:00,119.875,119.875,119.75,119.775,24207,91,0
8,2021-04-15,0 days 13:57:00,119.85,119.875,119.85,119.875,24108,89,0
9,2021-04-15,0 days 13:56:00,119.825,119.875,119.825,119.85,24018,111,0
10,2021-04-15,0 days 13:55:00,119.825,119.825,119.775,119.825,23887,25,0
11,2021-04-15,0 days 13:54:00,119.775,119.825,119.775,119.8,23858,35,0
12,2021-04-15,0 days 13:53:00,119.85,119.85,119.775,119.775,23816,88,0
13,2021-04-15,0 days 13:52:00,119.825,119.875,119.8,119.875,23711,78,0
14,2021-04-15,0 days 13:51:00,119.85,119.925,119.725,119.85,23633,316,0
15,2021-04-14,0 days 14:05:00,120.25,120.275,120.15,120.2,25114,174,0
16,2021-04-14,0 days 14:04:00,120.225,120.275,120.2,120.275,24882,76,0
17,2021-04-14,0 days 14:03:00,120.175,120.2,120.15,120.2,24772,86,0
18,2021-04-14,0 days 14:02:00,120.125,120.175,120.1,120.175,24669,97,0
19,2021-04-14,0 days 14:01:00,120.125,120.175,120.1,120.1,24557,128,0
20,2021-04-14,0 days 14:00:00,119.95,120.125,119.95,120.125,24151,1001,0
21,2021-04-14,0 days 13:59:00,119.975,120.0,119.925,119.975,21875,73,0
22,2021-04-14,0 days 13:58:00,119.975,120.0,119.975,120.0,21758,31,0
23,2021-04-14,0 days 13:57:00,120.075,120.075,119.95,119.95,21722,74,0
24,2021-04-14,0 days 13:56:00,120.1,120.1,120.05,120.05,21640,86,0
25,2021-04-14,0 days 13:55:00,120.1,120.1,120.075,120.075,21526,41,0
26,2021-04-14,0 days 13:54:00,120.075,120.1,120.075,120.1,21481,97,0
27,2021-04-14,0 days 13:53:00,120.075,120.1,120.075,120.075,21371,29,0
28,2021-04-14,0 days 13:52:00,120.05,120.05,120.05,120.05,21272,5,0
29,2021-04-14,0 days 13:51:00,120.05,120.075,120.025,120.05,21236,36,0
30,2021-04-13,0 days 14:05:00,120.975,121.0,120.95,120.95,23586,40,0
31,2021-04-13,0 days 14:04:00,120.975,120.975,120.95,120.95,23521,32,0
32,2021-04-13,0 days 14:03:00,120.925,120.975,120.925,120.975,23194,94,0
33,2021-04-13,0 days 14:02:00,120.95,120.95,120.875,120.95,23053,193,0
34,2021-04-13,0 days 14:01:00,120.9,120.975,120.9,120.925,22764,170,0
35,2021-04-13,0 days 14:00:00,120.925,121.025,120.875,120.95,22364,988,0
36,2021-04-13,0 days 13:59:00,120.975,121.0,120.9,120.95,19980,89,0
37,2021-04-13,0 days 13:58:00,120.975,121.0,120.975,120.975,19841,55,0
38,2021-04-13,0 days 13:57:00,120.975,121.025,120.975,120.975,19730,41,0
39,2021-04-13,0 days 13:56:00,121.0,121.0,120.975,120.975,19642,108,0
40,2021-04-13,0 days 13:55:00,120.975,121.0,120.975,120.975,19496,25,0
41,2021-04-13,0 days 13:54:00,120.975,121.0,120.95,121.0,19460,37,0
42,2021-04-13,0 days 13:53:00,121.0,121.05,120.975,121.0,19411,60,0
43,2021-04-13,0 days 13:52:00,121.0,121.025,120.975,120.975,19284,27,0
44,2021-04-13,0 days 13:51:00,120.975,121.0,120.95,120.975,19224,53,0
45,2021-04-12,0 days 14:05:00,122.125,122.15,122.1,122.15,24492,47,0
46,2021-04-12,0 days 14:04:00,122.15,122.15,122.1,122.15,24391,48,0
47,2021-04-12,0 days 14:03:00,122.15,122.15,122.1,122.15,24191,15,0
48,2021-04-12,0 days 14:02:00,122.075,122.15,122.05,122.15,24165,111,0
49,2021-04-12,0 days 14:01:00,122.075,122.15,122.075,122.075,23996,207,0
50,2021-04-12,0 days 14:00:00,122.2,122.225,122.05,122.125,23470,1174,0
51,2021-04-12,0 days 13:59:00,122.175,122.225,122.15,122.2,20804,59,0
52,2021-04-12,0 days 13:58:00,122.125,122.15,122.1,122.15,20657,56,0
53,2021-04-12,0 days 13:57:00,122.125,122.15,122.1,122.1,20499,52,0
54,2021-04-12,0 days 13:56:00,122.2,122.225,122.1,122.1,20436,97,0
55,2021-04-12,0 days 13:55:00,122.225,122.225,122.175,122.175,20279,34,0
56,2021-04-12,0 days 13:54:00,122.25,122.25,122.2,122.2,20230,40,0
57,2021-04-12,0 days 13:53:00,122.225,122.25,122.2,122.225,20187,41,0
58,2021-04-12,0 days 13:52:00,122.225,122.25,122.225,122.225,20134,32,0
59,2021-04-12,0 days 13:51:00,122.225,122.275,122.2,122.225,20078,67,0
60,2021-04-09,0 days 14:05:00,122.85,122.9,122.8,122.8,31818,130,0
61,2021-04-09,0 days 14:04:00,122.775,122.85,122.75,122.85,31624,66,0
62,2021-04-09,0 days 14:03:00,122.825,122.875,122.775,122.775,31484,107,0
63,2021-04-09,0 days 14:02:00,122.85,122.85,122.775,122.85,31309,99,0
64,2021-04-09,0 days 14:01:00,122.525,122.925,122.5,122.85,31007,667,0
65,2021-04-09,0 days 14:00:00,123.1,123.1,122.25,122.55,29746,2669,0
66,2021-04-09,0 days 13:59:00,123.25,123.25,123.075,123.1,25512,159,0
67,2021-04-09,0 days 13:58:00,123.3,123.3,123.2,123.2,25237,52,0
68,2021-04-09,0 days 13:57:00,123.275,123.35,123.275,123.3,25170,46,0
69,2021-04-09,0 days 13:56:00,123.275,123.325,123.225,123.275,25050,124,0
70,2021-04-09,0 days 13:55:00,123.425,123.425,123.3,123.3,24907,114,0
71,2021-04-09,0 days 13:54:00,123.35,123.4,123.35,123.375,24778,36,0
72,2021-04-09,0 days 13:53:00,123.3,123.35,123.3,123.35,24728,42,0
73,2021-04-09,0 days 13:52:00,123.2,123.275,123.2,123.25,24647,46,0
74,2021-04-09,0 days 13:51:00,123.175,123.225,123.175,123.225,24574,25,0
75,2021-04-08,0 days 14:05:00,125.05,125.075,125.0,125.025,18977,32,0
76,2021-04-08,0 days 14:04:00,125.0,125.1,125.0,125.05,18912,55,0
77,2021-04-08,0 days 14:03:00,125.05,125.075,125.025,125.025,18821,28,0
