,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 16:10:00,2260.5,2260.5,2260.5,2260.5,17492,1,0
1,2021-04-14,0 days 16:08:00,2260.2,2260.2,2260.0,2260.0,17491,4,0
2,2021-04-14,0 days 16:07:00,2260.5,2260.5,2260.2,2260.5,17487,16,0
3,2021-04-14,0 days 16:06:00,2260.2,2260.2,2260.1,2260.1,17471,42,0
4,2021-04-14,0 days 16:05:00,2259.8,2259.8,2259.8,2259.8,17429,8,0
5,2021-04-14,0 days 16:04:00,2259.6,2259.6,2259.6,2259.6,17421,7,0
6,2021-04-14,0 days 16:03:00,2259.9,2259.9,2259.6,2259.6,17414,13,0
7,2021-04-14,0 days 16:02:00,2260.5,2260.5,2259.9,2260.0,17401,16,0
8,2021-04-14,0 days 16:01:00,2258.4,2260.4,2258.4,2260.2,17385,283,0
9,2021-04-14,0 days 16:00:00,2257.6,2258.7,2257.2,2258.2,17102,1787,0
10,2021-04-14,0 days 15:59:00,2256.9,2257.5,2256.7,2257.5,15315,409,0
11,2021-04-14,0 days 15:58:00,2257.2,2257.2,2256.3,2256.9,14906,303,0
12,2021-04-14,0 days 15:57:00,2257.8,2257.8,2257.2,2257.2,14603,43,0
13,2021-04-14,0 days 15:56:00,2257.4,2258.1,2257.1,2257.9,14560,77,0
14,2021-04-14,0 days 15:55:00,2257.5,2258.0,2257.2,2257.5,14483,76,0
15,2021-04-14,0 days 15:54:00,2257.4,2257.8,2257.4,2257.5,14407,103,0
16,2021-04-14,0 days 15:53:00,2258.1,2258.5,2257.2,2257.4,14304,65,0
17,2021-04-14,0 days 15:52:00,2258.1,2258.2,2257.8,2257.9,14239,39,0
18,2021-04-14,0 days 15:51:00,2257.8,2258.8,2257.6,2257.9,14200,80,0
19,2021-04-13,0 days 16:10:00,2256.6,2256.6,2256.6,2256.6,16568,1,0
20,2021-04-13,0 days 16:09:00,2256.4,2256.4,2256.4,2256.4,16567,1,0
21,2021-04-13,0 days 16:08:00,2256.2,2256.5,2256.2,2256.5,16566,3,0
22,2021-04-13,0 days 16:07:00,2256.6,2256.6,2256.3,2256.3,16563,4,0
23,2021-04-13,0 days 16:06:00,2256.5,2256.5,2256.4,2256.5,16559,14,0
24,2021-04-13,0 days 16:05:00,2256.3,2256.5,2256.2,2256.5,16545,60,0
25,2021-04-13,0 days 16:04:00,2256.4,2256.4,2256.4,2256.4,16485,11,0
26,2021-04-13,0 days 16:03:00,2256.2,2256.3,2256.1,2256.2,16474,13,0
27,2021-04-13,0 days 16:02:00,2256.6,2256.6,2256.2,2256.2,16461,82,0
28,2021-04-13,0 days 16:01:00,2256.6,2256.8,2256.4,2256.6,16379,137,0
29,2021-04-13,0 days 16:00:00,2256.4,2257.0,2256.3,2256.8,16242,1526,0
30,2021-04-13,0 days 15:59:00,2256.1,2256.9,2256.1,2256.4,14716,529,0
31,2021-04-13,0 days 15:58:00,2255.5,2256.0,2255.3,2256.0,14187,157,0
32,2021-04-13,0 days 15:57:00,2255.0,2255.5,2255.0,2255.4,14030,45,0
33,2021-04-13,0 days 15:56:00,2255.0,2255.1,2254.8,2254.8,13985,59,0
34,2021-04-13,0 days 15:55:00,2255.1,2255.2,2254.8,2255.1,13926,122,0
35,2021-04-13,0 days 15:54:00,2254.5,2255.0,2254.5,2255.0,13804,116,0
36,2021-04-13,0 days 15:53:00,2255.2,2255.2,2254.3,2254.4,13688,189,0
37,2021-04-13,0 days 15:52:00,2255.7,2255.8,2255.3,2255.4,13499,217,0
38,2021-04-13,0 days 15:51:00,2256.5,2256.6,2255.8,2255.9,13282,187,0
39,2021-04-12,0 days 16:09:00,2244.2,2244.2,2244.1,2244.1,18750,2,0
40,2021-04-12,0 days 16:07:00,2243.8,2244.0,2243.6,2244.0,18748,10,0
41,2021-04-12,0 days 16:06:00,2243.7,2244.1,2243.3,2243.8,18738,29,0
42,2021-04-12,0 days 16:05:00,2244.5,2244.5,2243.9,2243.9,18709,9,0
43,2021-04-12,0 days 16:04:00,2244.8,2245.1,2244.6,2244.6,18700,11,0
44,2021-04-12,0 days 16:03:00,2243.9,2244.7,2243.8,2244.6,18689,21,0
45,2021-04-12,0 days 16:02:00,2244.6,2244.6,2243.7,2243.7,18668,22,0
46,2021-04-12,0 days 16:01:00,2243.6,2245.0,2243.3,2245.0,18646,131,0
47,2021-04-12,0 days 16:00:00,2243.0,2244.0,2242.6,2243.4,18515,3329,0
48,2021-04-12,0 days 15:59:00,2243.4,2243.5,2242.9,2243.0,15186,577,0
49,2021-04-12,0 days 15:58:00,2242.9,2243.3,2242.9,2243.3,14609,358,0
50,2021-04-12,0 days 15:57:00,2242.2,2242.9,2242.0,2242.9,14251,322,0
51,2021-04-12,0 days 15:56:00,2243.2,2243.2,2241.9,2242.2,13929,308,0
52,2021-04-12,0 days 15:55:00,2243.2,2243.4,2243.1,2243.1,13621,104,0
53,2021-04-12,0 days 15:54:00,2243.2,2243.3,2243.1,2243.1,13517,97,0
54,2021-04-12,0 days 15:53:00,2243.0,2243.2,2243.0,2243.2,13420,117,0
55,2021-04-12,0 days 15:52:00,2242.9,2243.0,2242.9,2243.0,13303,89,0
56,2021-04-12,0 days 15:51:00,2242.2,2243.1,2242.2,2242.8,13214,156,0
57,2021-04-09,0 days 16:10:00,2254.8,2254.8,2254.8,2254.8,22165,3,0
58,2021-04-09,0 days 16:09:00,2256.0,2256.0,2254.5,2254.5,22162,17,0
59,2021-04-09,0 days 16:08:00,2255.9,2256.0,2255.9,2256.0,22145,14,0
60,2021-04-09,0 days 16:07:00,2255.3,2255.5,2255.3,2255.5,22131,8,0
61,2021-04-09,0 days 16:06:00,2255.7,2255.7,2255.2,2255.2,22123,14,0
62,2021-04-09,0 days 16:05:00,2256.0,2256.2,2255.5,2255.5,22109,64,0
63,2021-04-09,0 days 16:04:00,2255.1,2255.9,2254.9,2255.9,22045,57,0
64,2021-04-09,0 days 16:03:00,2255.3,2255.3,2255.2,2255.2,21988,10,0
65,2021-04-09,0 days 16:02:00,2256.8,2256.8,2255.1,2255.3,21978,28,0
66,2021-04-09,0 days 16:01:00,2258.0,2258.1,2256.7,2256.9,21950,221,0
67,2021-04-09,0 days 16:00:00,2256.4,2258.5,2256.3,2257.9,21729,4563,0
68,2021-04-09,0 days 15:59:00,2256.1,2256.5,2256.1,2256.5,17166,630,0
69,2021-04-09,0 days 15:58:00,2255.8,2256.3,2255.8,2256.2,16536,418,0
70,2021-04-09,0 days 15:57:00,2255.4,2255.9,2255.4,2255.8,16118,297,0
71,2021-04-09,0 days 15:56:00,2255.4,2255.6,2255.2,2255.4,15821,84,0
72,2021-04-09,0 days 15:55:00,2254.9,2255.3,2254.7,2255.3,15737,63,0
73,2021-04-09,0 days 15:54:00,2255.2,2255.4,2254.9,2254.9,15674,67,0
74,2021-04-09,0 days 15:53:00,2254.9,2255.2,2254.8,2255.1,15607,49,0
75,2021-04-09,0 days 15:52:00,2254.7,2255.1,2254.6,2255.1,15558,56,0
76,2021-04-09,0 days 15:51:00,2254.2,2254.9,2254.2,2254.6,15502,115,0
77,2021-04-08,0 days 16:09:00,2251.6,2251.6,2251.6,2251.6,19797,4,0
78,2021-04-08,0 days 16:08:00,2251.6,2251.8,2251.6,2251.8,19793,5,0
79,2021-04-08,0 days 16:06:00,2249.5,2249.5,2249.5,2249.5,19788,6,0
80,2021-04-08,0 days 16:05:00,2249.5,2249.5,2249.5,2249.5,19782,1,0
81,2021-04-08,0 days 16:04:00,2250.0,2250.2,2249.3,2249.5,19781,17,0
82,2021-04-08,0 days 16:03:00,2249.7,2250.0,2249.6,2250.0,19764,6,0
83,2021-04-08,0 days 16:02:00,2249.5,2249.8,2249.3,2249.7,19758,18,0
84,2021-04-08,0 days 16:01:00,2249.3,2249.8,2248.6,2249.4,19740,257,0
85,2021-04-08,0 days 16:00:00,2247.8,2250.1,2247.8,2249.3,19483,3113,0
86,2021-04-08,0 days 15:59:00,2248.3,2248.5,2247.6,2247.7,16370,316,0
87,2021-04-08,0 days 15:58:00,2248.7,2248.8,2248.3,2248.3,16054,95,0
88,2021-04-08,0 days 15:57:00,2249.1,2249.1,2248.7,2248.7,15959,186,0
89,2021-04-08,0 days 15:56:00,2248.9,2249.1,2248.8,2249.1,15773,148,0
90,2021-04-08,0 days 15:55:00,2248.7,2248.9,2248.6,2248.7,15625,141,0
91,2021-04-08,0 days 15:54:00,2248.7,2248.7,2248.4,2248.6,15484,86,0
92,2021-04-08,0 days 15:53:00,2248.6,2248.9,2248.4,2248.7,15398,124,0
93,2021-04-08,0 days 15:52:00,2248.8,2248.9,2248.5,2248.6,15274,45,0
94,2021-04-08,0 days 15:51:00,2248.6,2248.8,2248.3,2248.7,15229,157,0
95,2021-04-07,0 days 16:10:00,2237.3,2237.3,2237.3,2237.3,16356,10,0
96,2021-04-07,0 days 16:09:00,2237.3,2237.3,2237.3,2237.3,16346,17,0
97,2021-04-07,0 days 16:08:00,2237.3,2237.4,2237.3,2237.4,16329,4,0
98,2021-04-07,0 days 16:07:00,2237.3,2237.4,2237.2,2237.3,16325,8,0
99,2021-04-07,0 days 16:06:00,2237.3,2237.3,2237.1,2237.1,16317,15,0
100,2021-04-07,0 days 16:05:00,2237.5,2237.5,2237.1,2237.3,16302,30,0
101,2021-04-07,0 days 16:04:00,2237.3,2237.6,2237.3,2237.5,16272,11,0
102,2021-04-07,0 days 16:03:00,2237.1,2237.1,2237.0,2237.1,16261,41,0
103,2021-04-07,0 days 16:02:00,2236.6,2237.1,2236.6,2237.1,16220,6,0
104,2021-04-07,0 days 16:01:00,2236.0,2236.5,2236.0,2236.5,16214,118,0
105,2021-04-07,0 days 16:00:00,2235.5,2236.6,2235.4,2236.1,16096,1817,0
106,2021-04-07,0 days 15:59:00,2235.2,2235.7,2235.1,2235.5,14279,556,0
107,2021-04-07,0 days 15:58:00,2234.6,2235.2,2234.6,2235.2,13723,325,0
108,2021-04-07,0 days 15:57:00,2234.7,2234.7,2234.2,2234.6,13398,112,0
109,2021-04-07,0 days 15:56:00,2233.7,2234.7,2233.7,2234.7,13286,159,0
110,2021-04-07,0 days 15:55:00,2233.8,2233.8,2233.2,2233.7,13127,30,0
111,2021-04-07,0 days 15:54:00,2233.9,2233.9,2233.4,2233.7,13097,68,0
112,2021-04-07,0 days 15:53:00,2233.5,2234.4,2233.5,2234.1,13029,299,0
113,2021-04-07,0 days 15:52:00,2233.6,2234.2,2233.5,2233.5,12730,68,0
114,2021-04-07,0 days 15:51:00,2234.3,2234.4,2233.7,2233.7,12662,87,0
115,2021-04-06,0 days 16:09:00,2231.0,2231.0,2231.0,2231.0,24612,3,0
116,2021-04-06,0 days 16:08:00,2231.0,2231.0,2231.0,2231.0,24609,1,0
