,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 16:10:00,1330.9,1330.9,1330.7,1330.8,69030,21,0
1,2021-04-14,0 days 16:09:00,1330.9,1331.0,1330.9,1331.0,69009,12,0
2,2021-04-14,0 days 16:08:00,1330.5,1330.8,1329.8,1330.8,68997,300,0
3,2021-04-14,0 days 16:07:00,1331.1,1331.2,1330.4,1330.5,68697,74,0
4,2021-04-14,0 days 16:06:00,1331.1,1331.2,1331.1,1331.1,68623,28,0
5,2021-04-14,0 days 16:05:00,1331.0,1331.1,1330.7,1331.0,68595,48,0
6,2021-04-14,0 days 16:04:00,1331.1,1331.1,1331.0,1331.1,68547,44,0
7,2021-04-14,0 days 16:03:00,1330.9,1331.1,1330.7,1331.1,68503,60,0
8,2021-04-14,0 days 16:02:00,1331.7,1331.7,1330.8,1331.0,68443,80,0
9,2021-04-14,0 days 16:01:00,1331.2,1331.7,1330.7,1331.7,68363,537,0
10,2021-04-14,0 days 16:00:00,1330.1,1331.2,1329.9,1331.1,67826,3580,0
11,2021-04-14,0 days 15:59:00,1329.2,1330.2,1329.2,1330.1,64246,954,0
12,2021-04-14,0 days 15:58:00,1329.5,1329.6,1329.1,1329.1,63292,398,0
13,2021-04-14,0 days 15:57:00,1329.6,1329.8,1329.5,1329.6,62894,294,0
14,2021-04-14,0 days 15:56:00,1329.3,1329.6,1329.0,1329.5,62600,418,0
15,2021-04-14,0 days 15:55:00,1330.0,1330.0,1329.3,1329.3,62182,351,0
16,2021-04-14,0 days 15:54:00,1330.2,1330.4,1329.9,1329.9,61831,99,0
17,2021-04-14,0 days 15:53:00,1330.5,1330.7,1330.0,1330.1,61732,101,0
18,2021-04-14,0 days 15:52:00,1330.4,1330.6,1330.1,1330.4,61631,104,0
19,2021-04-14,0 days 15:51:00,1330.1,1330.9,1330.0,1330.2,61527,295,0
20,2021-04-13,0 days 16:10:00,1323.3,1323.6,1323.3,1323.6,77617,7,0
21,2021-04-13,0 days 16:09:00,1323.3,1323.6,1323.1,1323.5,77610,53,0
22,2021-04-13,0 days 16:08:00,1323.5,1323.5,1323.4,1323.4,77557,7,0
23,2021-04-13,0 days 16:07:00,1323.4,1323.4,1323.4,1323.4,77550,4,0
24,2021-04-13,0 days 16:06:00,1323.6,1323.6,1323.2,1323.6,77546,31,0
25,2021-04-13,0 days 16:05:00,1323.6,1323.6,1323.5,1323.6,77515,17,0
26,2021-04-13,0 days 16:04:00,1323.5,1323.8,1323.5,1323.7,77498,23,0
27,2021-04-13,0 days 16:03:00,1323.7,1323.7,1323.3,1323.5,77475,33,0
28,2021-04-13,0 days 16:02:00,1323.6,1323.8,1323.6,1323.7,77442,40,0
29,2021-04-13,0 days 16:01:00,1322.9,1323.7,1322.9,1323.7,77402,482,0
30,2021-04-13,0 days 16:00:00,1323.5,1324.3,1322.8,1323.0,76920,5528,0
31,2021-04-13,0 days 15:59:00,1323.7,1323.7,1323.4,1323.5,71392,927,0
32,2021-04-13,0 days 15:58:00,1323.5,1323.7,1323.5,1323.7,70465,417,0
33,2021-04-13,0 days 15:57:00,1323.7,1323.8,1323.5,1323.5,70048,457,0
34,2021-04-13,0 days 15:56:00,1323.9,1323.9,1323.7,1323.7,69591,126,0
35,2021-04-13,0 days 15:55:00,1324.1,1324.2,1323.7,1323.9,69465,260,0
36,2021-04-13,0 days 15:54:00,1323.9,1324.1,1323.8,1324.0,69205,166,0
37,2021-04-13,0 days 15:53:00,1324.1,1324.2,1323.7,1323.8,69039,215,0
38,2021-04-13,0 days 15:52:00,1324.2,1324.2,1324.1,1324.2,68824,189,0
39,2021-04-13,0 days 15:51:00,1324.8,1324.8,1324.0,1324.2,68635,268,0
40,2021-04-12,0 days 16:10:00,1318.4,1318.6,1318.2,1318.2,85223,29,0
41,2021-04-12,0 days 16:09:00,1318.6,1318.8,1318.4,1318.5,85194,29,0
42,2021-04-12,0 days 16:08:00,1318.6,1318.8,1318.5,1318.6,85165,33,0
43,2021-04-12,0 days 16:07:00,1317.7,1318.8,1317.7,1318.8,85132,75,0
44,2021-04-12,0 days 16:06:00,1318.1,1318.1,1317.6,1317.9,85057,69,0
45,2021-04-12,0 days 16:05:00,1318.1,1318.3,1318.0,1318.2,84988,16,0
46,2021-04-12,0 days 16:04:00,1318.1,1318.2,1318.0,1318.1,84972,14,0
47,2021-04-12,0 days 16:03:00,1317.9,1318.3,1317.9,1318.1,84958,113,0
48,2021-04-12,0 days 16:02:00,1318.2,1318.4,1317.9,1318.0,84845,48,0
49,2021-04-12,0 days 16:01:00,1317.9,1318.4,1317.6,1318.3,84797,587,0
50,2021-04-12,0 days 16:00:00,1317.2,1318.1,1317.2,1318.1,84210,4647,0
51,2021-04-12,0 days 15:59:00,1317.5,1317.6,1317.1,1317.3,79563,761,0
52,2021-04-12,0 days 15:58:00,1316.9,1317.6,1316.8,1317.5,78802,1038,0
53,2021-04-12,0 days 15:57:00,1316.4,1316.9,1316.4,1316.9,77764,747,0
54,2021-04-12,0 days 15:56:00,1316.8,1316.9,1316.3,1316.5,77017,454,0
55,2021-04-12,0 days 15:55:00,1316.7,1316.9,1316.6,1316.8,76563,171,0
56,2021-04-12,0 days 15:54:00,1316.8,1316.9,1316.6,1316.6,76392,213,0
57,2021-04-12,0 days 15:53:00,1316.6,1317.0,1316.6,1316.8,76179,296,0
58,2021-04-12,0 days 15:52:00,1316.4,1316.6,1316.4,1316.5,75883,235,0
59,2021-04-12,0 days 15:51:00,1316.2,1316.5,1316.1,1316.4,75648,330,0
60,2021-04-09,0 days 16:10:00,1325.5,1325.7,1325.1,1325.2,84883,56,0
61,2021-04-09,0 days 16:09:00,1325.5,1325.7,1325.2,1325.7,84827,167,0
62,2021-04-09,0 days 16:08:00,1325.5,1325.7,1325.3,1325.6,84660,104,0
63,2021-04-09,0 days 16:07:00,1324.8,1325.4,1324.8,1325.3,84556,30,0
64,2021-04-09,0 days 16:06:00,1324.9,1324.9,1324.5,1324.5,84526,12,0
65,2021-04-09,0 days 16:05:00,1324.8,1324.9,1324.7,1324.8,84514,101,0
66,2021-04-09,0 days 16:04:00,1325.1,1325.2,1324.7,1324.7,84413,38,0
67,2021-04-09,0 days 16:03:00,1325.2,1325.4,1325.0,1325.2,84375,54,0
68,2021-04-09,0 days 16:02:00,1325.4,1325.5,1325.2,1325.2,84321,38,0
69,2021-04-09,0 days 16:01:00,1325.1,1325.5,1324.8,1325.4,84283,427,0
70,2021-04-09,0 days 16:00:00,1324.9,1325.3,1324.8,1325.1,83856,4851,0
