,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 16:10:00,13823.5,13824.75,13820.75,13821.75,654390,288,0
1,2021-04-14,0 days 16:09:00,13822.5,13826.5,13822.0,13823.5,654102,393,0
2,2021-04-14,0 days 16:08:00,13824.75,13826.0,13822.0,13822.5,653709,358,0
3,2021-04-14,0 days 16:07:00,13823.5,13827.0,13823.0,13825.0,653351,522,0
4,2021-04-14,0 days 16:06:00,13822.0,13824.5,13819.25,13823.25,652829,506,0
5,2021-04-14,0 days 16:05:00,13820.5,13823.25,13819.0,13822.5,652323,601,0
6,2021-04-14,0 days 16:04:00,13818.5,13820.5,13816.5,13820.0,651721,402,0
7,2021-04-14,0 days 16:03:00,13815.0,13818.25,13812.5,13818.25,651319,732,0
8,2021-04-14,0 days 16:02:00,13823.0,13823.75,13814.0,13815.25,650587,1482,0
9,2021-04-14,0 days 16:01:00,13809.0,13823.5,13808.0,13823.25,649105,3562,0
10,2021-04-14,0 days 16:00:00,13790.0,13810.0,13785.5,13808.75,645543,5977,0
11,2021-04-14,0 days 15:59:00,13785.25,13790.5,13783.0,13790.0,639565,2368,0
12,2021-04-14,0 days 15:58:00,13788.0,13790.0,13783.75,13784.75,637197,2137,0
13,2021-04-14,0 days 15:57:00,13792.5,13793.25,13787.25,13787.75,635058,2334,0
14,2021-04-14,0 days 15:56:00,13784.5,13795.75,13772.75,13792.25,632724,4810,0
15,2021-04-14,0 days 15:55:00,13805.0,13810.0,13783.75,13784.5,627910,3909,0
16,2021-04-14,0 days 15:54:00,13791.75,13805.5,13791.75,13805.5,623994,1747,0
17,2021-04-14,0 days 15:53:00,13798.25,13804.75,13790.5,13792.25,622246,1761,0
18,2021-04-14,0 days 15:52:00,13793.5,13798.75,13791.75,13798.25,620477,1642,0
19,2021-04-14,0 days 15:51:00,13785.25,13805.25,13781.5,13793.25,618835,2957,0
20,2021-04-13,0 days 16:10:00,13973.5,13975.5,13972.75,13975.25,480283,214,0
21,2021-04-13,0 days 16:09:00,13975.0,13975.25,13973.0,13973.5,480069,230,0
22,2021-04-13,0 days 16:08:00,13973.25,13975.75,13972.75,13975.25,479839,223,0
23,2021-04-13,0 days 16:07:00,13973.25,13973.75,13972.0,13973.0,479616,138,0
24,2021-04-13,0 days 16:06:00,13973.75,13974.25,13971.5,13973.25,479478,302,0
25,2021-04-13,0 days 16:05:00,13972.75,13974.75,13972.0,13974.0,479176,328,0
26,2021-04-13,0 days 16:04:00,13973.75,13975.0,13972.5,13972.5,478848,287,0
27,2021-04-13,0 days 16:03:00,13976.5,13976.5,13973.0,13974.0,478561,461,0
28,2021-04-13,0 days 16:02:00,13973.0,13976.5,13972.5,13976.5,478100,781,0
29,2021-04-13,0 days 16:01:00,13975.25,13975.5,13968.5,13972.75,477319,1402,0
30,2021-04-13,0 days 16:00:00,13973.5,13980.5,13971.0,13975.5,475917,4208,0
31,2021-04-13,0 days 15:59:00,13976.5,13978.75,13973.25,13973.75,471708,1239,0
32,2021-04-13,0 days 15:58:00,13974.25,13980.0,13973.0,13976.25,470469,1581,0
33,2021-04-13,0 days 15:57:00,13973.75,13976.75,13971.25,13974.25,468888,1436,0
34,2021-04-13,0 days 15:56:00,13976.75,13977.5,13970.25,13973.75,467452,1434,0
35,2021-04-13,0 days 15:55:00,13974.75,13978.75,13969.0,13977.25,466018,2012,0
36,2021-04-13,0 days 15:54:00,13969.0,13974.75,13969.0,13974.75,464006,1330,0
37,2021-04-13,0 days 15:53:00,13968.5,13970.0,13965.25,13969.0,462676,1285,0
38,2021-04-13,0 days 15:52:00,13967.25,13972.0,13964.75,13968.25,461391,1558,0
39,2021-04-13,0 days 15:51:00,13978.25,13981.0,13965.0,13967.5,459833,2820,0
40,2021-04-12,0 days 16:10:00,13816.75,13818.5,13816.75,13817.75,446552,104,0
41,2021-04-12,0 days 16:09:00,13816.75,13818.25,13816.0,13817.0,446448,113,0
42,2021-04-12,0 days 16:08:00,13818.0,13819.75,13816.25,13817.0,446335,220,0
43,2021-04-12,0 days 16:07:00,13816.0,13817.75,13813.5,13817.5,446115,150,0
44,2021-04-12,0 days 16:06:00,13814.25,13817.5,13813.0,13816.0,445965,373,0
45,2021-04-12,0 days 16:05:00,13816.75,13817.25,13813.75,13813.75,445592,300,0
46,2021-04-12,0 days 16:04:00,13816.75,13817.0,13815.25,13817.0,445292,188,0
47,2021-04-12,0 days 16:03:00,13817.0,13820.25,13814.25,13816.5,445104,730,0
48,2021-04-12,0 days 16:02:00,13820.5,13821.75,13817.0,13817.5,444374,688,0
49,2021-04-12,0 days 16:01:00,13812.0,13822.0,13811.0,13820.25,443686,1785,0
50,2021-04-12,0 days 16:00:00,13808.5,13812.75,13804.25,13812.0,441901,3554,0
51,2021-04-12,0 days 15:59:00,13809.75,13810.75,13804.75,13808.5,438347,1398,0
52,2021-04-12,0 days 15:58:00,13808.25,13810.5,13805.0,13809.75,436949,1420,0
53,2021-04-12,0 days 15:57:00,13804.5,13808.25,13798.75,13808.0,435529,1792,0
54,2021-04-12,0 days 15:56:00,13809.25,13811.25,13800.75,13804.75,433737,1808,0
55,2021-04-12,0 days 15:55:00,13820.0,13821.5,13808.75,13809.5,431929,1592,0
56,2021-04-12,0 days 15:54:00,13821.25,13823.0,13815.75,13819.75,430337,1167,0
57,2021-04-12,0 days 15:53:00,13823.25,13826.75,13819.0,13821.25,429170,1558,0
58,2021-04-12,0 days 15:52:00,13820.5,13825.5,13820.25,13823.0,427611,1504,0
59,2021-04-12,0 days 15:51:00,13813.75,13822.25,13808.75,13820.5,426107,2279,0
60,2021-04-09,0 days 16:10:00,13810.5,13813.75,13808.25,13809.5,482918,379,0
61,2021-04-09,0 days 16:09:00,13816.5,13817.5,13809.25,13811.0,482539,517,0
62,2021-04-09,0 days 16:08:00,13817.25,13817.5,13815.75,13816.75,482022,292,0
63,2021-04-09,0 days 16:07:00,13813.5,13817.5,13812.25,13817.25,481730,381,0
64,2021-04-09,0 days 16:06:00,13815.75,13816.25,13812.5,13813.5,481349,383,0
65,2021-04-09,0 days 16:05:00,13817.5,13817.5,13812.75,13816.25,480966,667,0
66,2021-04-09,0 days 16:04:00,13822.75,13822.75,13815.25,13818.25,480299,612,0
67,2021-04-09,0 days 16:03:00,13825.0,13825.25,13821.0,13822.5,479687,674,0
68,2021-04-09,0 days 16:02:00,13833.5,13833.5,13824.0,13825.0,479013,1042,0
69,2021-04-09,0 days 16:01:00,13829.5,13838.0,13828.0,13833.0,477971,2556,0
70,2021-04-09,0 days 16:00:00,13828.75,13836.5,13822.75,13829.25,475415,5444,0
71,2021-04-09,0 days 15:59:00,13829.25,13831.25,13828.25,13829.25,469971,1405,0
72,2021-04-09,0 days 15:58:00,13827.25,13833.0,13827.25,13829.0,468566,1683,0
73,2021-04-09,0 days 15:57:00,13835.75,13836.0,13827.0,13827.25,466883,2060,0
74,2021-04-09,0 days 15:56:00,13832.5,13839.75,13832.5,13835.5,464823,2664,0
75,2021-04-09,0 days 15:55:00,13825.0,13834.75,13821.75,13833.0,462149,2541,0
76,2021-04-09,0 days 15:54:00,13818.25,13825.0,13818.25,13824.75,459606,1688,0
