,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 15:10:00,0.04943,0.04943,0.04942,0.04942,30035,18,0
1,2021-04-14,0 days 15:09:00,0.04943,0.04943,0.04942,0.04943,30017,62,0
2,2021-04-14,0 days 15:08:00,0.04943,0.04944,0.04943,0.04943,29955,16,0
3,2021-04-14,0 days 15:07:00,0.04944,0.04944,0.04944,0.04944,29939,73,0
4,2021-04-14,0 days 15:06:00,0.04943,0.04944,0.04943,0.04944,29866,71,0
5,2021-04-14,0 days 15:05:00,0.04943,0.04943,0.04943,0.04943,29795,10,0
6,2021-04-14,0 days 15:04:00,0.04942,0.04943,0.04942,0.04943,29785,30,0
7,2021-04-14,0 days 15:03:00,0.04941,0.04942,0.04941,0.04942,29755,81,0
8,2021-04-14,0 days 15:02:00,0.04941,0.04941,0.04941,0.04941,29674,27,0
9,2021-04-14,0 days 15:01:00,0.0494,0.04941,0.04939,0.04941,29647,190,0
10,2021-04-14,0 days 15:00:00,0.04943,0.04943,0.04939,0.0494,29457,744,0
11,2021-04-14,0 days 14:59:00,0.04945,0.04945,0.04941,0.04943,28713,289,0
12,2021-04-14,0 days 14:58:00,0.04944,0.04946,0.04944,0.04945,28424,93,0
13,2021-04-14,0 days 14:57:00,0.04947,0.04947,0.04945,0.04945,28331,165,0
14,2021-04-14,0 days 14:56:00,0.04947,0.04947,0.04947,0.04947,28166,15,0
15,2021-04-14,0 days 14:55:00,0.04948,0.04948,0.04948,0.04948,28151,25,0
16,2021-04-14,0 days 14:54:00,0.04948,0.04948,0.04948,0.04948,28126,9,0
17,2021-04-14,0 days 14:53:00,0.04949,0.04949,0.04947,0.04948,28117,32,0
18,2021-04-14,0 days 14:52:00,0.04949,0.04949,0.04947,0.04948,28085,19,0
19,2021-04-14,0 days 14:51:00,0.04949,0.04949,0.04949,0.04949,28066,52,0
20,2021-04-13,0 days 15:10:00,0.04945,0.04945,0.04945,0.04945,34351,16,0
21,2021-04-13,0 days 15:09:00,0.04945,0.04945,0.04945,0.04945,34335,6,0
22,2021-04-13,0 days 15:07:00,0.04944,0.04944,0.04944,0.04944,34329,4,0
23,2021-04-13,0 days 15:06:00,0.04945,0.04945,0.04945,0.04945,34325,2,0
24,2021-04-13,0 days 15:05:00,0.04945,0.04945,0.04945,0.04945,34323,7,0
25,2021-04-13,0 days 15:03:00,0.04945,0.04946,0.04945,0.04945,34316,33,0
26,2021-04-13,0 days 15:02:00,0.04945,0.04945,0.04945,0.04945,34283,107,0
27,2021-04-13,0 days 15:01:00,0.04945,0.04945,0.04945,0.04945,34176,170,0
28,2021-04-13,0 days 15:00:00,0.04944,0.04946,0.04943,0.04945,34006,376,0
29,2021-04-13,0 days 14:59:00,0.04945,0.04945,0.04944,0.04944,33630,180,0
30,2021-04-13,0 days 14:58:00,0.04946,0.04947,0.04946,0.04946,33450,94,0
31,2021-04-13,0 days 14:57:00,0.04946,0.04946,0.04945,0.04946,33356,56,0
32,2021-04-13,0 days 14:56:00,0.04944,0.04945,0.04944,0.04945,33300,15,0
33,2021-04-13,0 days 14:55:00,0.04944,0.04944,0.04944,0.04944,33285,34,0
34,2021-04-13,0 days 14:54:00,0.04944,0.04945,0.04944,0.04944,33251,42,0
35,2021-04-13,0 days 14:53:00,0.04945,0.04945,0.04943,0.04943,33209,203,0
36,2021-04-13,0 days 14:52:00,0.04946,0.04947,0.04946,0.04946,33006,127,0
37,2021-04-13,0 days 14:51:00,0.04946,0.04946,0.04946,0.04946,32879,21,0
38,2021-04-12,0 days 15:08:00,0.04926,0.04926,0.04926,0.04926,27528,33,0
39,2021-04-12,0 days 15:07:00,0.04926,0.04926,0.04926,0.04926,27495,1,0
40,2021-04-12,0 days 15:06:00,0.04925,0.04925,0.04925,0.04925,27494,25,0
41,2021-04-12,0 days 15:04:00,0.04925,0.04925,0.04924,0.04924,27469,11,0
42,2021-04-12,0 days 15:02:00,0.04924,0.04924,0.04924,0.04924,27458,33,0
43,2021-04-12,0 days 15:01:00,0.04925,0.04925,0.04922,0.04922,27425,140,0
44,2021-04-12,0 days 15:00:00,0.04926,0.04927,0.04925,0.04926,27285,387,0
45,2021-04-12,0 days 14:59:00,0.04925,0.04926,0.04924,0.04925,26898,47,0
46,2021-04-12,0 days 14:58:00,0.04924,0.04926,0.04924,0.04924,26851,170,0
47,2021-04-12,0 days 14:57:00,0.04925,0.04926,0.04924,0.04924,26681,54,0
48,2021-04-12,0 days 14:56:00,0.04927,0.04927,0.04925,0.04925,26627,108,0
49,2021-04-12,0 days 14:55:00,0.04927,0.04928,0.04927,0.04927,26519,16,0
50,2021-04-12,0 days 14:54:00,0.04927,0.04928,0.04926,0.04926,26503,59,0
51,2021-04-12,0 days 14:53:00,0.04929,0.04929,0.04926,0.04927,26444,261,0
52,2021-04-12,0 days 14:52:00,0.04929,0.04931,0.04929,0.0493,26183,17,0
53,2021-04-12,0 days 14:51:00,0.0493,0.04931,0.0493,0.0493,26166,19,0
54,2021-04-09,0 days 15:10:00,0.04927,0.04927,0.04927,0.04927,36271,14,0
55,2021-04-09,0 days 15:09:00,0.04927,0.04927,0.04927,0.04927,36257,15,0
56,2021-04-09,0 days 15:08:00,0.04927,0.04927,0.04927,0.04927,36242,4,0
57,2021-04-09,0 days 15:07:00,0.04927,0.04928,0.04927,0.04928,36238,265,0
58,2021-04-09,0 days 15:05:00,0.04926,0.04927,0.04926,0.04927,35973,3,0
59,2021-04-09,0 days 15:04:00,0.04927,0.04927,0.04927,0.04927,35970,25,0
60,2021-04-09,0 days 15:03:00,0.04928,0.04928,0.04927,0.04927,35945,52,0
61,2021-04-09,0 days 15:02:00,0.04926,0.04928,0.04926,0.04927,35893,126,0
62,2021-04-09,0 days 15:01:00,0.04929,0.04929,0.04925,0.04926,35767,291,0
63,2021-04-09,0 days 15:00:00,0.04922,0.0493,0.04921,0.04929,35476,830,0
64,2021-04-09,0 days 14:59:00,0.04919,0.04927,0.04919,0.04921,34646,1645,0
65,2021-04-09,0 days 14:58:00,0.04919,0.04919,0.04918,0.04918,33001,50,0
66,2021-04-09,0 days 14:57:00,0.0492,0.0492,0.04919,0.04919,32951,65,0
67,2021-04-09,0 days 14:56:00,0.04921,0.04921,0.04921,0.04921,32886,3,0
68,2021-04-09,0 days 14:55:00,0.04921,0.04922,0.04921,0.04922,32883,16,0
69,2021-04-09,0 days 14:53:00,0.04921,0.04921,0.04921,0.04921,32867,5,0
70,2021-04-09,0 days 14:52:00,0.04921,0.04921,0.0492,0.04921,32862,55,0
71,2021-04-09,0 days 14:51:00,0.0492,0.04921,0.0492,0.04921,32807,14,0
72,2021-04-08,0 days 15:10:00,0.04942,0.04942,0.04942,0.04942,31982,3,0
73,2021-04-08,0 days 15:09:00,0.04941,0.04942,0.04941,0.04942,31979,25,0
74,2021-04-08,0 days 15:08:00,0.0494,0.04941,0.0494,0.04941,31954,52,0
75,2021-04-08,0 days 15:07:00,0.0494,0.0494,0.0494,0.0494,31902,3,0
76,2021-04-08,0 days 15:06:00,0.0494,0.0494,0.0494,0.0494,31899,8,0
77,2021-04-08,0 days 15:05:00,0.04941,0.04941,0.04941,0.04941,31891,1,0
78,2021-04-08,0 days 15:04:00,0.04941,0.04941,0.04941,0.04941,31890,13,0
79,2021-04-08,0 days 15:03:00,0.04941,0.04941,0.04941,0.04941,31877,13,0
80,2021-04-08,0 days 15:02:00,0.0494,0.04942,0.0494,0.04941,31864,169,0
81,2021-04-08,0 days 15:01:00,0.0494,0.04941,0.0494,0.0494,31695,94,0
82,2021-04-08,0 days 15:00:00,0.04942,0.04942,0.04939,0.0494,31601,460,0
83,2021-04-08,0 days 14:59:00,0.04941,0.04942,0.04941,0.04941,31141,94,0
84,2021-04-08,0 days 14:58:00,0.0494,0.04941,0.04939,0.0494,31047,206,0
85,2021-04-08,0 days 14:57:00,0.0494,0.0494,0.0494,0.0494,30446,19,0
86,2021-04-08,0 days 14:56:00,0.04939,0.0494,0.04939,0.04939,30427,58,0
87,2021-04-08,0 days 14:55:00,0.0494,0.0494,0.0494,0.0494,30369,15,0
88,2021-04-08,0 days 14:54:00,0.04942,0.04943,0.0494,0.0494,30354,104,0
89,2021-04-08,0 days 14:53:00,0.04942,0.04942,0.04941,0.04942,30250,14,0
90,2021-04-08,0 days 14:52:00,0.04942,0.04943,0.04942,0.04942,30236,19,0
91,2021-04-08,0 days 14:51:00,0.04942,0.04943,0.04942,0.04942,30217,19,0
92,2021-04-07,0 days 15:10:00,0.04906,0.04907,0.04906,0.04907,31232,55,0
