,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-15,0 days 14:13:00,1417.75,1418.75,1417.5,1418.0,68118,221,0
1,2021-04-15,0 days 14:12:00,1419.0,1419.0,1417.75,1417.75,67790,163,0
2,2021-04-15,0 days 14:11:00,1419.0,1419.25,1418.5,1418.75,66971,101,0
3,2021-04-15,0 days 14:10:00,1418.75,1419.0,1418.75,1418.75,66661,54,0
4,2021-04-15,0 days 14:09:00,1419.25,1419.25,1418.75,1419.0,66569,56,0
5,2021-04-15,0 days 14:08:00,1418.75,1419.5,1418.25,1419.25,66497,100,0
6,2021-04-15,0 days 14:07:00,1419.0,1419.25,1418.0,1418.5,66369,190,0
7,2021-04-15,0 days 14:06:00,1418.5,1418.75,1418.5,1418.75,66176,94,0
8,2021-04-14,0 days 14:20:00,1409.5,1410.0,1409.25,1409.75,98614,106,0
9,2021-04-14,0 days 14:19:00,1409.75,1410.0,1409.5,1409.75,97899,195,0
10,2021-04-14,0 days 14:18:00,1410.0,1410.0,1409.0,1409.75,97378,154,0
11,2021-04-14,0 days 14:17:00,1410.75,1410.75,1410.0,1410.0,97095,149,0
12,2021-04-14,0 days 14:16:00,1410.25,1411.5,1410.0,1411.0,96721,419,0
13,2021-04-14,0 days 14:15:00,1409.75,1411.0,1409.25,1410.25,95108,1561,0
14,2021-04-14,0 days 14:14:00,1410.0,1410.5,1409.75,1409.75,89735,113,0
15,2021-04-14,0 days 14:13:00,1408.0,1410.0,1408.0,1410.0,89493,187,0
16,2021-04-14,0 days 14:12:00,1409.0,1409.5,1408.0,1408.0,88349,453,0
17,2021-04-14,0 days 14:11:00,1410.75,1410.75,1409.0,1409.25,87236,392,0
18,2021-04-14,0 days 14:10:00,1411.75,1411.75,1410.5,1410.75,86108,333,0
19,2021-04-14,0 days 14:09:00,1413.75,1414.0,1411.5,1411.75,85465,208,0
20,2021-04-14,0 days 14:08:00,1413.5,1413.75,1413.25,1413.75,85132,211,0
21,2021-04-14,0 days 14:07:00,1412.25,1413.5,1412.25,1413.5,84666,150,0
22,2021-04-14,0 days 14:06:00,1412.5,1412.5,1412.0,1412.25,84453,88,0
23,2021-04-13,0 days 14:20:00,1389.5,1389.75,1389.25,1389.25,101334,108,0
24,2021-04-13,0 days 14:19:00,1390.0,1390.0,1389.5,1389.5,101195,148,0
25,2021-04-13,0 days 14:18:00,1389.75,1390.25,1389.5,1390.0,100996,133,0
26,2021-04-13,0 days 14:17:00,1389.75,1390.0,1389.25,1389.5,100838,109,0
27,2021-04-13,0 days 14:16:00,1390.25,1390.25,1389.5,1390.0,99972,125,0
28,2021-04-13,0 days 14:15:00,1388.25,1390.5,1388.25,1390.0,99006,1343,0
29,2021-04-13,0 days 14:14:00,1388.5,1389.25,1388.0,1388.25,94653,331,0
30,2021-04-13,0 days 14:13:00,1389.25,1389.5,1388.25,1388.25,94098,95,0
31,2021-04-13,0 days 14:12:00,1390.25,1390.5,1389.0,1389.0,93903,84,0
32,2021-04-13,0 days 14:11:00,1390.0,1390.25,1389.5,1390.25,93718,102,0
33,2021-04-13,0 days 14:10:00,1390.75,1390.75,1389.75,1389.75,93521,115,0
34,2021-04-13,0 days 14:09:00,1390.75,1390.75,1390.25,1390.75,91486,48,0
35,2021-04-13,0 days 14:08:00,1390.25,1390.75,1390.25,1390.5,91268,69,0
36,2021-04-13,0 days 14:07:00,1390.25,1390.5,1389.75,1390.25,91161,130,0
37,2021-04-13,0 days 14:06:00,1389.75,1390.5,1389.75,1390.25,90432,172,0
38,2021-04-12,0 days 14:20:00,1382.5,1383.5,1382.5,1383.0,116588,280,0
39,2021-04-12,0 days 14:19:00,1382.5,1382.75,1382.0,1382.5,116254,192,0
40,2021-04-12,0 days 14:18:00,1382.25,1383.0,1382.0,1382.5,115350,93,0
41,2021-04-12,0 days 14:17:00,1383.75,1383.75,1382.25,1382.5,114137,213,0
42,2021-04-12,0 days 14:16:00,1383.0,1383.75,1383.0,1383.5,113137,305,0
43,2021-04-12,0 days 14:15:00,1381.25,1383.5,1380.5,1383.0,112166,1562,0
44,2021-04-12,0 days 14:14:00,1381.75,1382.0,1381.0,1381.25,104942,325,0
45,2021-04-12,0 days 14:13:00,1381.75,1382.0,1381.5,1381.5,104427,146,0
46,2021-04-12,0 days 14:12:00,1381.25,1381.75,1381.0,1381.75,104176,260,0
47,2021-04-12,0 days 14:11:00,1382.0,1382.25,1381.25,1381.25,103755,248,0
48,2021-04-12,0 days 14:10:00,1382.0,1382.0,1381.5,1382.0,103440,121,0
49,2021-04-12,0 days 14:09:00,1382.25,1382.5,1381.75,1382.0,103249,93,0
50,2021-04-12,0 days 14:08:00,1382.0,1382.5,1381.5,1382.5,103001,130,0
51,2021-04-12,0 days 14:07:00,1382.0,1382.25,1381.5,1382.0,102807,85,0
52,2021-04-12,0 days 14:06:00,1382.25,1382.5,1381.75,1382.0,102224,193,0
53,2021-04-09,0 days 14:20:00,1401.75,1403.25,1401.25,1403.25,98850,145,0
54,2021-04-09,0 days 14:19:00,1401.75,1403.0,1401.5,1401.5,95904,194,0
55,2021-04-09,0 days 14:18:00,1401.75,1402.0,1401.5,1401.5,95601,161,0
56,2021-04-09,0 days 14:17:00,1402.5,1402.75,1401.5,1401.75,95368,155,0
