,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-15,0 days 13:00:00,16.34,16.34,16.3,16.32,111301,671,0
1,2021-04-15,0 days 12:59:00,16.32,16.35,16.32,16.34,110514,33,0
2,2021-04-15,0 days 12:58:00,16.37,16.37,16.32,16.32,110132,495,0
3,2021-04-15,0 days 12:57:00,16.4,16.4,16.37,16.37,109513,240,0
4,2021-04-15,0 days 12:56:00,16.38,16.4,16.37,16.4,109253,296,0
5,2021-04-15,0 days 12:55:00,16.38,16.39,16.35,16.37,108829,1382,0
6,2021-04-15,0 days 12:54:00,16.35,16.38,16.35,16.38,106149,789,0
7,2021-04-15,0 days 12:53:00,16.35,16.39,16.35,16.35,104923,914,0
8,2021-04-15,0 days 12:52:00,16.33,16.35,16.32,16.35,103958,656,0
9,2021-04-15,0 days 12:51:00,16.33,16.33,16.33,16.33,102995,55,0
10,2021-04-15,0 days 12:50:00,16.32,16.33,16.32,16.33,102930,52,0
11,2021-04-15,0 days 12:49:00,16.31,16.32,16.31,16.32,102829,64,0
12,2021-04-15,0 days 12:48:00,16.32,16.32,16.3,16.31,102747,63,0
13,2021-04-15,0 days 12:47:00,16.31,16.32,16.31,16.32,102662,14,0
14,2021-04-15,0 days 12:46:00,16.33,16.33,16.31,16.31,102504,146,0
15,2021-04-14,0 days 13:00:00,15.9,15.9,15.88,15.89,85100,265,0
16,2021-04-14,0 days 12:59:00,15.89,15.9,15.89,15.89,84052,83,0
17,2021-04-14,0 days 12:58:00,15.88,15.88,15.87,15.88,83199,33,0
18,2021-04-14,0 days 12:57:00,15.86,15.88,15.86,15.87,83085,42,0
19,2021-04-14,0 days 12:56:00,15.87,15.88,15.86,15.87,82515,156,0
20,2021-04-14,0 days 12:55:00,15.86,15.88,15.85,15.86,80597,548,0
21,2021-04-14,0 days 12:54:00,15.88,15.88,15.85,15.85,75512,399,0
22,2021-04-14,0 days 12:53:00,15.86,15.89,15.86,15.88,72950,165,0
23,2021-04-14,0 days 12:52:00,15.88,15.89,15.85,15.86,70869,151,0
24,2021-04-14,0 days 12:51:00,15.88,15.89,15.87,15.88,70406,35,0
25,2021-04-14,0 days 12:50:00,15.85,15.87,15.85,15.87,70050,144,0
26,2021-04-14,0 days 12:49:00,15.84,15.85,15.84,15.85,69024,92,0
27,2021-04-14,0 days 12:48:00,15.84,15.84,15.84,15.84,68771,19,0
28,2021-04-14,0 days 12:47:00,15.85,15.85,15.85,15.85,68635,9,0
29,2021-04-14,0 days 12:46:00,15.85,15.85,15.85,15.85,68596,8,0
30,2021-04-13,0 days 13:00:00,15.46,15.5,15.46,15.49,76670,181,0
31,2021-04-13,0 days 12:59:00,15.44,15.45,15.44,15.45,76346,77,0
32,2021-04-13,0 days 12:58:00,15.44,15.45,15.42,15.44,76148,145,0
33,2021-04-13,0 days 12:57:00,15.44,15.45,15.43,15.44,75519,138,0
34,2021-04-13,0 days 12:56:00,15.45,15.45,15.43,15.44,75174,188,0
35,2021-04-13,0 days 12:55:00,15.41,15.45,15.41,15.44,73815,721,0
36,2021-04-13,0 days 12:54:00,15.42,15.44,15.4,15.42,70114,677,0
37,2021-04-13,0 days 12:53:00,15.44,15.44,15.41,15.41,62980,233,0
38,2021-04-13,0 days 12:52:00,15.45,15.45,15.45,15.45,61094,39,0
39,2021-04-13,0 days 12:51:00,15.46,15.46,15.44,15.44,60664,116,0
40,2021-04-13,0 days 12:50:00,15.45,15.46,15.45,15.46,58585,16,0
41,2021-04-13,0 days 12:49:00,15.44,15.46,15.44,15.46,58493,98,0
42,2021-04-13,0 days 12:48:00,15.45,15.45,15.44,15.44,58317,159,0
43,2021-04-13,0 days 12:47:00,15.46,15.46,15.45,15.45,58070,5,0
44,2021-04-13,0 days 12:46:00,15.46,15.46,15.45,15.46,58025,130,0
45,2021-04-12,0 days 13:00:00,15.37,15.37,15.34,15.34,67683,105,0
46,2021-04-12,0 days 12:59:00,15.38,15.38,15.37,15.37,65790,62,0
47,2021-04-12,0 days 12:58:00,15.39,15.4,15.37,15.38,65709,63,0
48,2021-04-12,0 days 12:57:00,15.39,15.4,15.39,15.39,65328,41,0
49,2021-04-12,0 days 12:56:00,15.37,15.39,15.37,15.39,64909,167,0
50,2021-04-12,0 days 12:55:00,15.34,15.39,15.33,15.37,64670,703,0
51,2021-04-12,0 days 12:54:00,15.38,15.38,15.32,15.33,59889,672,0
52,2021-04-12,0 days 12:53:00,15.42,15.42,15.36,15.38,52515,116,0
53,2021-04-12,0 days 12:52:00,15.43,15.44,15.41,15.42,51450,92,0
54,2021-04-12,0 days 12:51:00,15.4,15.43,15.4,15.43,50782,112,0
55,2021-04-12,0 days 12:50:00,15.39,15.39,15.39,15.39,50472,128,0
56,2021-04-12,0 days 12:49:00,15.4,15.4,15.39,15.39,49306,25,0
57,2021-04-12,0 days 12:48:00,15.42,15.42,15.4,15.4,49260,83,0
58,2021-04-12,0 days 12:47:00,15.42,15.43,15.41,15.42,49006,79,0
59,2021-04-12,0 days 12:46:00,15.41,15.42,15.41,15.42,48667,26,0
60,2021-04-09,0 days 13:00:00,15.51,15.53,15.5,15.52,90474,375,0
61,2021-04-09,0 days 12:59:00,15.5,15.51,15.49,15.51,89807,136,0
62,2021-04-09,0 days 12:58:00,15.49,15.49,15.48,15.49,89610,39,0
63,2021-04-09,0 days 12:57:00,15.48,15.49,15.47,15.48,89357,191,0
64,2021-04-09,0 days 12:56:00,15.48,15.49,15.46,15.48,88639,201,0
65,2021-04-09,0 days 12:55:00,15.46,15.49,15.45,15.48,88371,866,0
66,2021-04-09,0 days 12:54:00,15.46,15.48,15.43,15.46,86645,937,0
67,2021-04-09,0 days 12:53:00,15.38,15.49,15.38,15.47,83868,1119,0
68,2021-04-09,0 days 12:52:00,15.43,15.43,15.38,15.38,79313,381,0
69,2021-04-09,0 days 12:51:00,15.42,15.43,15.41,15.43,78590,154,0
70,2021-04-09,0 days 12:50:00,15.42,15.43,15.41,15.42,77998,150,0
71,2021-04-09,0 days 12:49:00,15.42,15.44,15.41,15.43,77746,202,0
72,2021-04-09,0 days 12:48:00,15.43,15.45,15.42,15.43,77468,305,0
73,2021-04-09,0 days 12:47:00,15.45,15.45,15.42,15.43,77102,95,0
74,2021-04-09,0 days 12:46:00,15.47,15.47,15.43,15.44,76946,142,0
75,2021-04-08,0 days 13:00:00,15.26,15.26,15.21,15.24,65847,144,0
76,2021-04-08,0 days 12:59:00,15.25,15.25,15.25,15.25,64892,15,0
77,2021-04-08,0 days 12:58:00,15.24,15.26,15.24,15.25,64870,108,0
78,2021-04-08,0 days 12:57:00,15.2,15.24,15.19,15.23,64755,264,0
79,2021-04-08,0 days 12:56:00,15.18,15.2,15.17,15.2,64125,308,0
80,2021-04-08,0 days 12:55:00,15.17,15.19,15.17,15.18,63720,884,0
81,2021-04-08,0 days 12:54:00,15.18,15.2,15.17,15.17,60007,705,0
82,2021-04-08,0 days 12:53:00,15.22,15.22,15.19,15.19,54260,285,0
83,2021-04-08,0 days 12:52:00,15.21,15.24,15.21,15.23,53451,130,0
84,2021-04-08,0 days 12:51:00,15.24,15.24,15.21,15.21,52681,79,0
