,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 15:09:00,1.0853,1.0853,1.0853,1.0853,16072,1,0
1,2021-04-14,0 days 15:08:00,1.0853,1.0853,1.0853,1.0853,16071,14,0
2,2021-04-14,0 days 15:07:00,1.0852,1.0852,1.0852,1.0852,16057,2,0
3,2021-04-14,0 days 15:06:00,1.0852,1.0852,1.0852,1.0852,16055,14,0
4,2021-04-14,0 days 15:05:00,1.0852,1.0853,1.0852,1.0853,16041,3,0
5,2021-04-14,0 days 15:02:00,1.0853,1.0853,1.0853,1.0853,16038,22,0
6,2021-04-14,0 days 15:01:00,1.0854,1.0854,1.0852,1.0853,16016,122,0
7,2021-04-14,0 days 15:00:00,1.0853,1.0854,1.0852,1.0854,15894,281,0
8,2021-04-14,0 days 14:59:00,1.0853,1.0854,1.0853,1.0854,15613,18,0
9,2021-04-14,0 days 14:58:00,1.0853,1.0854,1.0852,1.0853,15595,14,0
10,2021-04-14,0 days 14:57:00,1.0854,1.0854,1.0853,1.0853,15581,17,0
11,2021-04-14,0 days 14:55:00,1.0854,1.0855,1.0854,1.0854,15564,8,0
12,2021-04-14,0 days 14:54:00,1.0854,1.0854,1.0854,1.0854,15556,3,0
13,2021-04-14,0 days 14:53:00,1.0854,1.0855,1.0854,1.0855,15553,15,0
14,2021-04-14,0 days 14:52:00,1.0855,1.0855,1.0855,1.0855,15538,2,0
15,2021-04-13,0 days 15:10:00,1.0881,1.0882,1.0881,1.0881,17851,38,0
16,2021-04-13,0 days 15:09:00,1.0879,1.0881,1.0879,1.0881,17813,8,0
17,2021-04-13,0 days 15:08:00,1.0879,1.0879,1.0879,1.0879,17805,21,0
18,2021-04-13,0 days 15:07:00,1.0879,1.0879,1.0879,1.0879,17784,1,0
19,2021-04-13,0 days 15:05:00,1.0879,1.0879,1.0879,1.0879,17783,2,0
20,2021-04-13,0 days 15:04:00,1.0878,1.0879,1.0878,1.0879,17781,20,0
21,2021-04-13,0 days 15:03:00,1.0879,1.0879,1.0878,1.0878,17761,24,0
22,2021-04-13,0 days 15:02:00,1.088,1.088,1.088,1.088,17737,6,0
23,2021-04-13,0 days 15:01:00,1.088,1.0881,1.088,1.0881,17731,81,0
24,2021-04-13,0 days 15:00:00,1.0881,1.0882,1.088,1.088,17650,169,0
25,2021-04-13,0 days 14:59:00,1.088,1.0881,1.088,1.0881,17481,13,0
26,2021-04-13,0 days 14:58:00,1.088,1.088,1.0879,1.0879,17468,10,0
27,2021-04-13,0 days 14:57:00,1.0879,1.088,1.0879,1.0879,17458,21,0
28,2021-04-13,0 days 14:56:00,1.0879,1.0879,1.0879,1.0879,17437,1,0
29,2021-04-13,0 days 14:55:00,1.0878,1.0879,1.0877,1.0879,17436,24,0
30,2021-04-13,0 days 14:54:00,1.0878,1.0878,1.0878,1.0878,17412,6,0
31,2021-04-13,0 days 14:53:00,1.0878,1.0878,1.0877,1.0878,17406,11,0
32,2021-04-13,0 days 14:52:00,1.0877,1.0878,1.0877,1.0877,17395,12,0
33,2021-04-13,0 days 14:51:00,1.0877,1.0878,1.0877,1.0877,17383,7,0
34,2021-04-12,0 days 15:10:00,1.0852,1.0852,1.0852,1.0852,16998,3,0
35,2021-04-12,0 days 15:09:00,1.0851,1.0852,1.085,1.085,16995,3,0
36,2021-04-12,0 days 15:06:00,1.085,1.0851,1.085,1.0851,16982,16,0
37,2021-04-12,0 days 15:05:00,1.0852,1.0852,1.0851,1.0851,16966,48,0
38,2021-04-12,0 days 15:04:00,1.0852,1.0852,1.0852,1.0852,16918,20,0
39,2021-04-12,0 days 15:03:00,1.0854,1.0854,1.0853,1.0853,16898,10,0
40,2021-04-12,0 days 15:02:00,1.0854,1.0855,1.0854,1.0854,16888,44,0
41,2021-04-12,0 days 15:01:00,1.0852,1.0854,1.0852,1.0854,16844,104,0
42,2021-04-12,0 days 15:00:00,1.0855,1.0855,1.0852,1.0852,16640,441,0
43,2021-04-12,0 days 14:59:00,1.0854,1.0855,1.0854,1.0854,16199,5,0
44,2021-04-12,0 days 14:58:00,1.0853,1.0855,1.0853,1.0855,16194,21,0
45,2021-04-12,0 days 14:57:00,1.0854,1.0854,1.0853,1.0853,16173,5,0
46,2021-04-12,0 days 14:56:00,1.0854,1.0855,1.0853,1.0853,16168,12,0
47,2021-04-12,0 days 14:55:00,1.0855,1.0855,1.0854,1.0854,16156,17,0
48,2021-04-12,0 days 14:54:00,1.0856,1.0856,1.0855,1.0855,16139,14,0
49,2021-04-12,0 days 14:53:00,1.0855,1.0855,1.0854,1.0855,16125,12,0
50,2021-04-12,0 days 14:52:00,1.0856,1.0856,1.0856,1.0856,16113,1,0
51,2021-04-09,0 days 15:10:00,1.0832,1.0832,1.0831,1.0832,23411,10,0
52,2021-04-09,0 days 15:09:00,1.0832,1.0832,1.0832,1.0832,23401,2,0
53,2021-04-09,0 days 15:08:00,1.0833,1.0833,1.0832,1.0832,23399,16,0
54,2021-04-09,0 days 15:07:00,1.0832,1.0833,1.0831,1.0833,23383,39,0
55,2021-04-09,0 days 15:06:00,1.0832,1.0832,1.0832,1.0832,23344,8,0
56,2021-04-09,0 days 15:05:00,1.0831,1.0833,1.0831,1.0833,23336,18,0
57,2021-04-09,0 days 15:04:00,1.0831,1.0831,1.0831,1.0831,23318,2,0
58,2021-04-09,0 days 15:03:00,1.0831,1.0832,1.0831,1.0832,23316,34,0
59,2021-04-09,0 days 15:02:00,1.083,1.0832,1.083,1.0831,23282,33,0
60,2021-04-09,0 days 15:01:00,1.0829,1.0831,1.0829,1.083,23249,152,0
61,2021-04-09,0 days 15:00:00,1.0832,1.0832,1.0829,1.083,23097,557,0
62,2021-04-09,0 days 14:59:00,1.083,1.0832,1.083,1.0831,22540,16,0
63,2021-04-09,0 days 14:58:00,1.0829,1.083,1.0829,1.083,22524,22,0
64,2021-04-09,0 days 14:57:00,1.083,1.083,1.0829,1.0829,22502,28,0
65,2021-04-09,0 days 14:56:00,1.0832,1.0832,1.083,1.083,22474,53,0
66,2021-04-09,0 days 14:55:00,1.0831,1.0833,1.0831,1.0833,22421,15,0
67,2021-04-09,0 days 14:54:00,1.0832,1.0832,1.0831,1.0832,22406,38,0
68,2021-04-09,0 days 14:53:00,1.083,1.0832,1.083,1.0831,22368,39,0
69,2021-04-09,0 days 14:52:00,1.083,1.083,1.083,1.083,22329,1,0
70,2021-04-09,0 days 14:51:00,1.0828,1.0829,1.0828,1.0829,22328,19,0
71,2021-04-08,0 days 15:10:00,1.0841,1.0841,1.0841,1.0841,16239,1,0
72,2021-04-08,0 days 15:09:00,1.0842,1.0842,1.0842,1.0842,16238,2,0
73,2021-04-08,0 days 15:06:00,1.0842,1.0842,1.0842,1.0842,16236,4,0
74,2021-04-08,0 days 15:05:00,1.0842,1.0843,1.0842,1.0843,16232,7,0
75,2021-04-08,0 days 15:04:00,1.0844,1.0844,1.0843,1.0843,16225,20,0
76,2021-04-08,0 days 15:03:00,1.0843,1.0843,1.0843,1.0843,16205,14,0
77,2021-04-08,0 days 15:02:00,1.0842,1.0843,1.0842,1.0843,16191,33,0
78,2021-04-08,0 days 15:01:00,1.0842,1.0843,1.0841,1.0842,16058,65,0
79,2021-04-08,0 days 15:00:00,1.0844,1.0845,1.0842,1.0842,15793,463,0
80,2021-04-08,0 days 14:59:00,1.0843,1.0844,1.0843,1.0844,15330,135,0
81,2021-04-08,0 days 14:58:00,1.0842,1.0843,1.0842,1.0843,15195,31,0
82,2021-04-08,0 days 14:57:00,1.0842,1.0842,1.0842,1.0842,15164,1,0
83,2021-04-08,0 days 14:56:00,1.0842,1.0843,1.0842,1.0842,15163,7,0
84,2021-04-08,0 days 14:54:00,1.0844,1.0844,1.0843,1.0843,15156,9,0
85,2021-04-08,0 days 14:53:00,1.0844,1.0845,1.0844,1.0844,15147,41,0
86,2021-04-08,0 days 14:52:00,1.0843,1.0844,1.0843,1.0843,15106,11,0
87,2021-04-08,0 days 14:51:00,1.0842,1.0842,1.0842,1.0842,15095,7,0
88,2021-04-07,0 days 15:10:00,1.0772,1.0773,1.0772,1.0772,22036,31,0
89,2021-04-07,0 days 15:09:00,1.0775,1.0775,1.077,1.0771,22005,79,0
90,2021-04-07,0 days 15:08:00,1.0775,1.0775,1.0775,1.0775,21926,24,0
91,2021-04-07,0 days 15:06:00,1.0777,1.0777,1.0775,1.0775,21827,52,0
92,2021-04-07,0 days 15:03:00,1.0776,1.0776,1.0776,1.0776,21727,89,0
93,2021-04-07,0 days 15:02:00,1.0776,1.0776,1.0776,1.0776,21638,22,0
94,2021-04-07,0 days 15:01:00,1.0775,1.0776,1.0774,1.0776,21616,120,0
95,2021-04-07,0 days 15:00:00,1.0776,1.0776,1.0771,1.0774,21496,560,0
96,2021-04-07,0 days 14:59:00,1.0776,1.0776,1.0774,1.0775,20936,35,0
97,2021-04-07,0 days 14:58:00,1.0775,1.0777,1.0775,1.0776,20901,13,0
98,2021-04-07,0 days 14:57:00,1.0776,1.0776,1.0776,1.0776,20888,21,0
99,2021-04-07,0 days 14:56:00,1.0778,1.0778,1.0775,1.0776,20867,118,0
100,2021-04-07,0 days 14:55:00,1.0778,1.0778,1.0778,1.0778,20739,9,0
101,2021-04-07,0 days 14:54:00,1.0778,1.0778,1.0776,1.0777,20730,31,0
102,2021-04-07,0 days 14:53:00,1.0776,1.0778,1.0776,1.0778,20699,19,0
103,2021-04-07,0 days 14:52:00,1.0778,1.0778,1.0777,1.0777,20680,14,0
104,2021-04-07,0 days 14:51:00,1.0778,1.0778,1.0777,1.0777,20666,103,0
105,2021-04-06,0 days 15:10:00,1.0757,1.0757,1.0757,1.0757,18261,10,0
106,2021-04-06,0 days 15:09:00,1.0758,1.0758,1.0758,1.0758,18251,15,0
107,2021-04-06,0 days 15:08:00,1.0757,1.0758,1.0757,1.0758,18236,23,0
108,2021-04-06,0 days 15:07:00,1.0756,1.0756,1.0756,1.0756,18213,2,0
109,2021-04-06,0 days 15:06:00,1.0757,1.0757,1.0757,1.0757,18211,1,0
110,2021-04-06,0 days 15:05:00,1.0757,1.0757,1.0756,1.0757,18210,73,0
111,2021-04-06,0 days 15:04:00,1.0759,1.0759,1.0758,1.0758,18137,25,0
112,2021-04-06,0 days 15:03:00,1.0761,1.0761,1.0759,1.0759,18112,17,0
113,2021-04-06,0 days 15:02:00,1.076,1.0761,1.076,1.0761,18095,87,0
114,2021-04-06,0 days 15:01:00,1.0759,1.076,1.0758,1.0759,18008,108,0
115,2021-04-06,0 days 15:00:00,1.0759,1.0759,1.0757,1.0759,17900,255,0
116,2021-04-06,0 days 14:59:00,1.0758,1.0758,1.0758,1.0758,17645,3,0
117,2021-04-06,0 days 14:58:00,1.0758,1.0758,1.0758,1.0758,17642,15,0
118,2021-04-06,0 days 14:57:00,1.0758,1.0758,1.0758,1.0758,17627,28,0
119,2021-04-06,0 days 14:56:00,1.0758,1.0758,1.0758,1.0758,17599,21,0
120,2021-04-06,0 days 14:55:00,1.0758,1.0759,1.0758,1.0759,17578,26,0
121,2021-04-06,0 days 14:54:00,1.0758,1.0759,1.0758,1.0758,17552,20,0
122,2021-04-06,0 days 14:53:00,1.0759,1.0759,1.0759,1.0759,17521,6,0
123,2021-04-06,0 days 14:52:00,1.0759,1.076,1.0759,1.0759,17515,33,0
124,2021-04-06,0 days 14:51:00,1.076,1.076,1.0758,1.0759,17482,64,0
125,2021-04-05,0 days 15:10:00,1.07,1.07,1.07,1.07,11589,3,0
126,2021-04-05,0 days 15:09:00,1.07,1.07,1.07,1.07,11586,20,0
127,2021-04-05,0 days 15:08:00,1.07,1.07,1.07,1.07,11566,1,0
128,2021-04-05,0 days 15:07:00,1.07,1.07,1.0699,1.0699,11565,9,0
129,2021-04-05,0 days 15:06:00,1.07,1.07,1.07,1.07,11556,3,0
130,2021-04-05,0 days 15:05:00,1.07,1.07,1.07,1.07,11553,1,0
131,2021-04-05,0 days 15:04:00,1.07,1.07,1.0699,1.0699,11552,22,0
132,2021-04-05,0 days 15:03:00,1.0701,1.0701,1.0701,1.0701,11530,117,0
