,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 16:10:00,185.5625,185.59375,185.5625,185.5625,118668,148,0
1,2021-04-14,0 days 16:09:00,185.5625,185.59375,185.53125,185.59375,118520,124,0
2,2021-04-14,0 days 16:08:00,185.5625,185.5625,185.53125,185.5625,118396,248,0
3,2021-04-14,0 days 16:07:00,185.53125,185.5625,185.53125,185.53125,118148,24,0
4,2021-04-14,0 days 16:06:00,185.53125,185.5625,185.5,185.53125,118124,291,0
5,2021-04-14,0 days 16:05:00,185.5,185.5,185.46875,185.5,117833,186,0
6,2021-04-14,0 days 16:04:00,185.5,185.53125,185.46875,185.53125,117647,44,0
7,2021-04-14,0 days 16:03:00,185.53125,185.53125,185.5,185.5,117603,234,0
8,2021-04-14,0 days 16:02:00,185.46875,185.53125,185.46875,185.53125,117369,536,0
9,2021-04-14,0 days 16:01:00,185.46875,185.53125,185.4375,185.46875,116833,977,0
10,2021-04-14,0 days 16:00:00,185.46875,185.53125,185.4375,185.46875,115856,1156,0
11,2021-04-14,0 days 15:59:00,185.46875,185.5,185.4375,185.5,114700,964,0
12,2021-04-14,0 days 15:58:00,185.5,185.53125,185.4375,185.5,113736,614,0
13,2021-04-14,0 days 15:57:00,185.53125,185.53125,185.5,185.5,113122,232,0
14,2021-04-14,0 days 15:56:00,185.5,185.53125,185.46875,185.53125,112885,271,0
15,2021-04-14,0 days 15:55:00,185.5,185.53125,185.4375,185.46875,112614,183,0
16,2021-04-14,0 days 15:54:00,185.4375,185.53125,185.4375,185.5,112431,356,0
17,2021-04-14,0 days 15:53:00,185.5,185.5,185.4375,185.46875,112075,148,0
18,2021-04-14,0 days 15:52:00,185.46875,185.5,185.46875,185.46875,111927,91,0
19,2021-04-14,0 days 15:51:00,185.53125,185.53125,185.46875,185.46875,111836,240,0
20,2021-04-13,0 days 16:10:00,186.0625,186.125,186.0625,186.125,198728,95,0
21,2021-04-13,0 days 16:09:00,186.09375,186.125,186.09375,186.09375,198633,164,0
22,2021-04-13,0 days 16:08:00,186.09375,186.09375,186.0625,186.0625,198469,69,0
23,2021-04-13,0 days 16:07:00,186.125,186.125,186.0625,186.0625,198400,100,0
24,2021-04-13,0 days 16:06:00,186.09375,186.09375,186.0625,186.09375,198300,240,0
25,2021-04-13,0 days 16:05:00,186.09375,186.125,186.0625,186.09375,198060,142,0
26,2021-04-13,0 days 16:04:00,186.125,186.125,186.0625,186.09375,197918,211,0
27,2021-04-13,0 days 16:03:00,186.03125,186.125,186.0,186.125,197707,429,0
28,2021-04-13,0 days 16:02:00,186.0,186.0625,186.0,186.03125,197278,328,0
29,2021-04-13,0 days 16:01:00,186.0,186.03125,185.96875,186.0,196945,700,0
30,2021-04-13,0 days 16:00:00,186.0,186.09375,185.96875,186.03125,196210,2636,0
31,2021-04-13,0 days 15:59:00,185.875,186.0,185.875,186.0,193504,1719,0
32,2021-04-13,0 days 15:58:00,185.875,185.90625,185.875,185.875,191765,637,0
33,2021-04-13,0 days 15:57:00,185.875,185.875,185.8125,185.84375,191128,398,0
34,2021-04-13,0 days 15:56:00,185.84375,185.875,185.84375,185.875,190730,108,0
35,2021-04-13,0 days 15:55:00,185.84375,185.875,185.8125,185.875,190622,397,0
36,2021-04-13,0 days 15:54:00,185.78125,185.84375,185.78125,185.84375,190225,269,0
37,2021-04-13,0 days 15:53:00,185.84375,185.84375,185.78125,185.8125,189956,138,0
38,2021-04-13,0 days 15:52:00,185.84375,185.84375,185.8125,185.8125,189818,216,0
39,2021-04-13,0 days 15:51:00,185.84375,185.84375,185.78125,185.84375,189602,314,0
40,2021-04-12,0 days 16:10:00,184.71875,184.75,184.71875,184.75,118286,154,0
41,2021-04-12,0 days 16:09:00,184.6875,184.75,184.6875,184.71875,118117,45,0
42,2021-04-12,0 days 16:08:00,184.6875,184.71875,184.65625,184.71875,118072,49,0
43,2021-04-12,0 days 16:07:00,184.6875,184.71875,184.65625,184.6875,118023,107,0
44,2021-04-12,0 days 16:06:00,184.71875,184.71875,184.65625,184.6875,117916,223,0
45,2021-04-12,0 days 16:05:00,184.71875,184.75,184.71875,184.75,117693,154,0
46,2021-04-12,0 days 16:04:00,184.6875,184.75,184.6875,184.71875,117539,134,0
47,2021-04-12,0 days 16:03:00,184.75,184.75,184.6875,184.6875,117397,274,0
48,2021-04-12,0 days 16:02:00,184.75,184.75,184.71875,184.75,117123,367,0
49,2021-04-12,0 days 16:01:00,184.71875,184.8125,184.71875,184.78125,116756,971,0
50,2021-04-12,0 days 16:00:00,184.71875,184.78125,184.71875,184.75,115775,1361,0
51,2021-04-12,0 days 15:59:00,184.65625,184.6875,184.65625,184.6875,114398,443,0
52,2021-04-12,0 days 15:58:00,184.65625,184.65625,184.625,184.65625,113955,107,0
53,2021-04-12,0 days 15:57:00,184.625,184.625,184.59375,184.625,113824,101,0
54,2021-04-12,0 days 15:56:00,184.59375,184.625,184.59375,184.625,113689,278,0
55,2021-04-12,0 days 15:55:00,184.59375,184.59375,184.5625,184.59375,113411,193,0
56,2021-04-12,0 days 15:54:00,184.59375,184.625,184.59375,184.59375,113218,171,0
57,2021-04-12,0 days 15:53:00,184.59375,184.59375,184.59375,184.59375,113047,70,0
58,2021-04-12,0 days 15:52:00,184.59375,184.59375,184.59375,184.59375,112977,85,0
59,2021-04-12,0 days 15:51:00,184.5625,184.59375,184.5625,184.59375,112892,244,0
60,2021-04-09,0 days 16:10:00,185.03125,185.03125,185.0,185.0,169678,50,0
61,2021-04-09,0 days 16:09:00,185.0625,185.0625,185.0,185.0625,169628,72,0
62,2021-04-09,0 days 16:08:00,185.03125,185.0625,185.0,185.03125,169556,56,0
63,2021-04-09,0 days 16:07:00,185.03125,185.03125,185.0,185.03125,169500,75,0
64,2021-04-09,0 days 16:06:00,185.0,185.03125,184.96875,185.03125,169418,227,0
65,2021-04-09,0 days 16:05:00,184.96875,185.0,184.96875,185.0,169191,127,0
66,2021-04-09,0 days 16:04:00,185.0,185.0,184.96875,185.0,169064,102,0
67,2021-04-09,0 days 16:03:00,184.90625,184.96875,184.90625,184.96875,168962,112,0
68,2021-04-09,0 days 16:02:00,184.90625,184.9375,184.875,184.90625,168850,222,0
69,2021-04-09,0 days 16:01:00,184.78125,184.96875,184.78125,184.9375,168628,547,0
70,2021-04-09,0 days 16:00:00,184.90625,184.9375,184.75,184.8125,168081,1590,0
71,2021-04-09,0 days 15:59:00,184.84375,184.9375,184.84375,184.9375,166484,131,0
72,2021-04-09,0 days 15:58:00,184.84375,184.84375,184.8125,184.84375,166353,164,0
73,2021-04-09,0 days 15:57:00,184.8125,184.84375,184.78125,184.84375,166189,157,0
74,2021-04-09,0 days 15:56:00,184.78125,184.84375,184.78125,184.8125,166032,152,0
75,2021-04-09,0 days 15:55:00,184.84375,184.84375,184.75,184.78125,165880,314,0
76,2021-04-09,0 days 15:54:00,184.8125,184.84375,184.78125,184.84375,165566,235,0
77,2021-04-09,0 days 15:53:00,184.75,184.78125,184.75,184.78125,165321,60,0
78,2021-04-09,0 days 15:52:00,184.78125,184.78125,184.71875,184.75,165261,213,0
79,2021-04-09,0 days 15:51:00,184.84375,184.84375,184.8125,184.8125,165048,464,0
80,2021-04-08,0 days 16:10:00,185.59375,185.65625,185.59375,185.65625,129707,47,0
81,2021-04-08,0 days 16:09:00,185.625,185.625,185.625,185.625,129660,92,0
82,2021-04-08,0 days 16:08:00,185.65625,185.6875,185.625,185.625,129568,482,0
83,2021-04-08,0 days 16:07:00,185.625,185.6875,185.625,185.65625,129086,324,0
84,2021-04-08,0 days 16:06:00,185.5625,185.625,185.5625,185.59375,128729,211,0
85,2021-04-08,0 days 16:05:00,185.53125,185.5625,185.53125,185.5625,128508,47,0
86,2021-04-08,0 days 16:04:00,185.5,185.53125,185.5,185.5,128458,177,0
87,2021-04-08,0 days 16:03:00,185.53125,185.53125,185.5,185.5,128269,87,0
88,2021-04-08,0 days 16:02:00,185.53125,185.625,185.53125,185.53125,128182,546,0
89,2021-04-08,0 days 16:01:00,185.5,185.59375,185.5,185.5625,127634,1006,0
90,2021-04-08,0 days 16:00:00,185.53125,185.53125,185.4375,185.53125,126588,1209,0
91,2021-04-08,0 days 15:59:00,185.46875,185.53125,185.46875,185.53125,125292,287,0
92,2021-04-08,0 days 15:58:00,185.46875,185.5,185.46875,185.46875,125005,266,0
93,2021-04-08,0 days 15:57:00,185.5,185.53125,185.4375,185.4375,124739,346,0
94,2021-04-08,0 days 15:56:00,185.46875,185.53125,185.46875,185.5,124382,487,0
95,2021-04-08,0 days 15:55:00,185.40625,185.46875,185.40625,185.46875,123895,1015,0
96,2021-04-08,0 days 15:54:00,185.34375,185.375,185.34375,185.375,122880,358,0
97,2021-04-08,0 days 15:53:00,185.34375,185.40625,185.3125,185.3125,122522,485,0
98,2021-04-08,0 days 15:52:00,185.34375,185.375,185.34375,185.375,122017,295,0
99,2021-04-08,0 days 15:51:00,185.34375,185.34375,185.3125,185.34375,121722,181,0
100,2021-04-07,0 days 16:10:00,183.9375,183.9375,183.90625,183.90625,134668,62,0
101,2021-04-07,0 days 16:09:00,183.90625,183.90625,183.90625,183.90625,134605,64,0
102,2021-04-07,0 days 16:08:00,183.90625,183.90625,183.90625,183.90625,134541,102,0
103,2021-04-07,0 days 16:07:00,183.96875,183.96875,183.90625,183.90625,134429,93,0
104,2021-04-07,0 days 16:06:00,183.9375,183.9375,183.9375,183.9375,134336,100,0
105,2021-04-07,0 days 16:05:00,183.90625,183.90625,183.90625,183.90625,134236,186,0
106,2021-04-07,0 days 16:04:00,183.9375,183.96875,183.9375,183.9375,134050,104,0
107,2021-04-07,0 days 16:03:00,183.9375,183.9375,183.9375,183.9375,133946,17,0
108,2021-04-07,0 days 16:02:00,183.9375,183.96875,183.9375,183.9375,133929,207,0
109,2021-04-07,0 days 16:01:00,183.96875,183.96875,183.90625,183.9375,133722,553,0
110,2021-04-07,0 days 16:00:00,184.125,184.125,183.96875,183.96875,133157,1319,0
111,2021-04-07,0 days 15:59:00,184.15625,184.1875,184.125,184.125,131820,201,0
112,2021-04-07,0 days 15:58:00,184.125,184.125,184.0625,184.125,131611,284,0
113,2021-04-07,0 days 15:57:00,184.09375,184.125,184.09375,184.125,131327,41,0
114,2021-04-07,0 days 15:56:00,184.03125,184.09375,184.03125,184.0625,131286,252,0
115,2021-04-07,0 days 15:55:00,184.03125,184.03125,184.03125,184.03125,131034,137,0
116,2021-04-07,0 days 15:54:00,184.0625,184.0625,184.03125,184.03125,130897,333,0
117,2021-04-07,0 days 15:53:00,184.0,184.03125,183.96875,184.03125,130562,301,0
118,2021-04-07,0 days 15:52:00,184.03125,184.03125,183.96875,184.0,130261,378,0
119,2021-04-07,0 days 15:51:00,184.03125,184.0625,184.0,184.0,129883,55,0
120,2021-04-06,0 days 16:10:00,185.1875,185.1875,185.125,185.125,155354,253,0
121,2021-04-06,0 days 16:09:00,185.1875,185.1875,185.1875,185.1875,155080,96,0
122,2021-04-06,0 days 16:08:00,185.1875,185.1875,185.1875,185.1875,154984,15,0
123,2021-04-06,0 days 16:07:00,185.15625,185.15625,185.15625,185.15625,154969,8,0
124,2021-04-06,0 days 16:06:00,185.1875,185.1875,185.125,185.15625,154961,270,0
125,2021-04-06,0 days 16:05:00,185.21875,185.21875,185.1875,185.1875,154691,64,0
126,2021-04-06,0 days 16:04:00,185.25,185.25,185.1875,185.21875,154627,359,0
127,2021-04-06,0 days 16:03:00,185.28125,185.3125,185.25,185.25,154268,327,0
128,2021-04-06,0 days 16:02:00,185.1875,185.28125,185.1875,185.25,153941,178,0
129,2021-04-06,0 days 16:01:00,185.21875,185.25,185.15625,185.1875,153763,1054,0
130,2021-04-06,0 days 16:00:00,185.0625,185.25,185.0625,185.25,152699,2936,0
131,2021-04-06,0 days 15:59:00,185.15625,185.15625,185.0625,185.0625,149733,508,0
132,2021-04-06,0 days 15:58:00,185.09375,185.125,185.09375,185.125,149225,178,0
133,2021-04-06,0 days 15:57:00,185.125,185.125,185.09375,185.125,149047,26,0
134,2021-04-06,0 days 15:56:00,185.1875,185.1875,185.09375,185.09375,149021,354,0
135,2021-04-06,0 days 15:55:00,185.125,185.1875,185.125,185.15625,148667,105,0
136,2021-04-06,0 days 15:54:00,185.09375,185.09375,185.09375,185.09375,148562,64,0
137,2021-04-06,0 days 15:53:00,185.09375,185.09375,185.0625,185.09375,148498,179,0
138,2021-04-06,0 days 15:52:00,185.0625,185.09375,185.03125,185.0625,148319,216,0
139,2021-04-06,0 days 15:51:00,185.09375,185.09375,185.03125,185.0625,148103,104,0
140,2021-04-05,0 days 16:10:00,183.875,183.875,183.875,183.875,84809,24,0
141,2021-04-05,0 days 16:09:00,183.84375,183.875,183.84375,183.875,84785,208,0
142,2021-04-05,0 days 16:08:00,183.875,183.875,183.875,183.875,84571,20,0
143,2021-04-05,0 days 16:07:00,183.875,183.90625,183.84375,183.84375,84551,103,0
144,2021-04-05,0 days 16:06:00,183.90625,183.90625,183.875,183.875,84448,297,0
145,2021-04-05,0 days 16:05:00,183.90625,183.90625,183.875,183.90625,84151,459,0
146,2021-04-05,0 days 16:04:00,183.90625,183.9375,183.875,183.90625,83692,553,0
147,2021-04-05,0 days 16:03:00,184.09375,184.09375,183.90625,183.90625,83135,814,0
148,2021-04-05,0 days 16:02:00,184.1875,184.25,184.09375,184.125,82315,760,0
149,2021-04-05,0 days 16:01:00,183.96875,184.21875,183.9375,184.1875,81548,1617,0
150,2021-04-05,0 days 16:00:00,184.0,184.03125,183.9375,183.96875,79931,1578,0
151,2021-04-05,0 days 15:59:00,184.0,184.0625,183.96875,184.0,78342,327,0
152,2021-04-05,0 days 15:58:00,183.9375,184.03125,183.9375,184.0,78015,612,0
153,2021-04-05,0 days 15:57:00,183.90625,183.96875,183.90625,183.9375,77384,233,0
154,2021-04-05,0 days 15:56:00,183.84375,183.90625,183.84375,183.90625,77151,108,0
155,2021-04-05,0 days 15:55:00,183.8125,183.875,183.8125,183.875,77043,112,0
156,2021-04-05,0 days 15:54:00,183.8125,183.8125,183.8125,183.8125,76931,92,0
157,2021-04-05,0 days 15:53:00,183.8125,183.8125,183.78125,183.8125,76839,174,0
158,2021-04-05,0 days 15:52:00,183.875,183.875,183.8125,183.84375,76665,114,0
159,2021-04-05,0 days 15:51:00,183.875,183.90625,183.84375,183.84375,76551,325,0
160,2021-04-01,0 days 16:10:00,184.53125,184.53125,184.5,184.53125,172231,76,0
