,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 16:10:00,157.0,157.0,157.0,157.0,268485,447,0
1,2021-04-14,0 days 16:09:00,157.0,157.0,157.0,157.0,268038,450,0
2,2021-04-14,0 days 16:08:00,156.96875,157.0,156.96875,157.0,267588,409,0
3,2021-04-14,0 days 16:07:00,157.0,157.0,157.0,157.0,267179,4,0
4,2021-04-14,0 days 16:06:00,157.0,157.0,156.96875,157.0,267175,182,0
5,2021-04-14,0 days 16:05:00,156.96875,156.96875,156.9375,156.96875,266993,586,0
6,2021-04-14,0 days 16:04:00,156.96875,157.0,156.9375,157.0,266407,122,0
7,2021-04-14,0 days 16:03:00,157.0,157.0,156.96875,156.96875,266285,364,0
8,2021-04-14,0 days 16:02:00,156.9375,156.96875,156.9375,156.96875,265921,509,0
9,2021-04-14,0 days 16:01:00,156.9375,157.0,156.9375,156.96875,265412,1321,0
10,2021-04-14,0 days 16:00:00,156.96875,157.0,156.9375,156.96875,264091,2485,0
11,2021-04-14,0 days 15:59:00,156.9375,156.96875,156.9375,156.96875,261606,236,0
12,2021-04-14,0 days 15:58:00,157.0,157.0,156.9375,156.9375,261370,1147,0
13,2021-04-14,0 days 15:57:00,157.0,157.0,156.96875,157.0,260223,248,0
14,2021-04-14,0 days 15:56:00,157.0,157.0,156.96875,157.0,259955,536,0
15,2021-04-14,0 days 15:55:00,156.96875,157.0,156.96875,157.0,259419,176,0
16,2021-04-14,0 days 15:54:00,157.0,157.0,156.96875,157.0,259243,264,0
17,2021-04-14,0 days 15:53:00,157.0,157.0,156.96875,156.96875,258979,139,0
18,2021-04-14,0 days 15:52:00,157.0,157.0,156.96875,157.0,258840,16,0
19,2021-04-14,0 days 15:51:00,157.0,157.0,156.96875,157.0,258824,437,0
20,2021-04-13,0 days 16:10:00,157.25,157.28125,157.25,157.28125,420426,39,0
21,2021-04-13,0 days 16:09:00,157.28125,157.28125,157.25,157.25,420359,28,0
22,2021-04-13,0 days 16:08:00,157.25,157.28125,157.25,157.28125,420331,27,0
23,2021-04-13,0 days 16:07:00,157.28125,157.28125,157.25,157.25,420304,279,0
24,2021-04-13,0 days 16:06:00,157.25,157.28125,157.25,157.28125,420025,97,0
25,2021-04-13,0 days 16:05:00,157.28125,157.28125,157.28125,157.28125,419928,444,0
26,2021-04-13,0 days 16:04:00,157.28125,157.3125,157.25,157.28125,419484,435,0
27,2021-04-13,0 days 16:03:00,157.25,157.28125,157.21875,157.28125,419049,890,0
28,2021-04-13,0 days 16:02:00,157.25,157.25,157.25,157.25,418159,943,0
29,2021-04-13,0 days 16:01:00,157.21875,157.25,157.21875,157.25,417216,806,0
30,2021-04-13,0 days 16:00:00,157.21875,157.25,157.1875,157.21875,416330,5422,0
31,2021-04-13,0 days 15:59:00,157.1875,157.21875,157.1875,157.21875,410728,1484,0
32,2021-04-13,0 days 15:58:00,157.1875,157.1875,157.15625,157.1875,409204,453,0
33,2021-04-13,0 days 15:57:00,157.15625,157.1875,157.15625,157.1875,408751,56,0
34,2021-04-13,0 days 15:56:00,157.1875,157.1875,157.15625,157.15625,408695,90,0
35,2021-04-13,0 days 15:55:00,157.15625,157.1875,157.15625,157.1875,408605,790,0
36,2021-04-13,0 days 15:54:00,157.15625,157.1875,157.15625,157.15625,407815,278,0
37,2021-04-13,0 days 15:53:00,157.15625,157.1875,157.15625,157.15625,407537,837,0
38,2021-04-13,0 days 15:52:00,157.15625,157.15625,157.15625,157.15625,406700,449,0
39,2021-04-13,0 days 15:51:00,157.15625,157.1875,157.15625,157.15625,406251,1273,0
40,2021-04-12,0 days 16:10:00,156.40625,156.40625,156.375,156.40625,259089,222,0
41,2021-04-12,0 days 16:09:00,156.375,156.375,156.375,156.375,258837,24,0
42,2021-04-12,0 days 16:08:00,156.375,156.40625,156.375,156.40625,258813,133,0
43,2021-04-12,0 days 16:07:00,156.375,156.375,156.375,156.375,258680,139,0
44,2021-04-12,0 days 16:06:00,156.375,156.375,156.375,156.375,258541,460,0
45,2021-04-12,0 days 16:05:00,156.375,156.40625,156.375,156.375,258081,67,0
46,2021-04-12,0 days 16:04:00,156.375,156.40625,156.375,156.40625,258014,245,0
47,2021-04-12,0 days 16:03:00,156.375,156.375,156.34375,156.375,257753,769,0
48,2021-04-12,0 days 16:02:00,156.40625,156.40625,156.375,156.375,256984,21,0
49,2021-04-12,0 days 16:01:00,156.375,156.40625,156.375,156.40625,256963,1462,0
50,2021-04-12,0 days 16:00:00,156.375,156.4375,156.375,156.40625,255487,1957,0
51,2021-04-12,0 days 15:59:00,156.375,156.375,156.34375,156.375,253492,350,0
52,2021-04-12,0 days 15:58:00,156.34375,156.375,156.34375,156.375,253142,265,0
53,2021-04-12,0 days 15:57:00,156.34375,156.375,156.34375,156.375,252829,390,0
54,2021-04-12,0 days 15:56:00,156.34375,156.34375,156.3125,156.34375,252371,174,0
55,2021-04-12,0 days 15:55:00,156.34375,156.34375,156.3125,156.3125,252189,194,0
56,2021-04-12,0 days 15:54:00,156.3125,156.34375,156.3125,156.34375,251983,53,0
57,2021-04-12,0 days 15:53:00,156.3125,156.34375,156.3125,156.34375,251930,17,0
58,2021-04-12,0 days 15:52:00,156.3125,156.3125,156.3125,156.3125,251913,248,0
59,2021-04-12,0 days 15:51:00,156.3125,156.34375,156.3125,156.3125,251665,450,0
60,2021-04-09,0 days 16:10:00,156.65625,156.65625,156.625,156.625,369055,30,0
61,2021-04-09,0 days 16:09:00,156.65625,156.65625,156.625,156.625,369025,215,0
62,2021-04-09,0 days 16:08:00,156.625,156.65625,156.625,156.625,368810,60,0
63,2021-04-09,0 days 16:07:00,156.625,156.65625,156.625,156.625,368750,414,0
64,2021-04-09,0 days 16:06:00,156.625,156.65625,156.625,156.65625,368322,480,0
65,2021-04-09,0 days 16:05:00,156.59375,156.59375,156.59375,156.59375,367842,25,0
66,2021-04-09,0 days 16:04:00,156.625,156.625,156.59375,156.59375,367817,266,0
67,2021-04-09,0 days 16:03:00,156.59375,156.59375,156.5625,156.59375,367551,242,0
68,2021-04-09,0 days 16:02:00,156.5625,156.5625,156.5625,156.5625,367309,655,0
69,2021-04-09,0 days 16:01:00,156.5,156.59375,156.5,156.5625,366654,935,0
70,2021-04-09,0 days 16:00:00,156.59375,156.625,156.46875,156.5,365719,3287,0
71,2021-04-09,0 days 15:59:00,156.5625,156.625,156.5625,156.59375,362408,133,0
72,2021-04-09,0 days 15:58:00,156.5625,156.59375,156.5625,156.5625,362275,96,0
73,2021-04-09,0 days 15:57:00,156.59375,156.59375,156.5625,156.59375,362179,960,0
74,2021-04-09,0 days 15:56:00,156.59375,156.59375,156.5625,156.59375,361215,217,0
75,2021-04-09,0 days 15:55:00,156.59375,156.59375,156.5625,156.5625,360998,504,0
76,2021-04-09,0 days 15:54:00,156.5625,156.59375,156.5625,156.59375,360494,675,0
77,2021-04-09,0 days 15:53:00,156.5625,156.5625,156.53125,156.5625,359799,39,0
78,2021-04-09,0 days 15:52:00,156.59375,156.59375,156.53125,156.53125,359760,292,0
79,2021-04-09,0 days 15:51:00,156.59375,156.59375,156.5625,156.5625,359468,41,0
80,2021-04-08,0 days 16:10:00,156.9375,156.96875,156.9375,156.9375,264101,57,0
81,2021-04-08,0 days 16:09:00,156.9375,156.96875,156.9375,156.9375,264044,496,0
82,2021-04-08,0 days 16:08:00,156.96875,156.96875,156.9375,156.9375,263540,437,0
83,2021-04-08,0 days 16:07:00,156.9375,157.0,156.9375,156.96875,263103,1397,0
84,2021-04-08,0 days 16:06:00,156.875,156.9375,156.875,156.9375,261702,1040,0
85,2021-04-08,0 days 16:05:00,156.875,156.90625,156.875,156.875,260642,96,0
86,2021-04-08,0 days 16:04:00,156.90625,156.90625,156.875,156.90625,260540,27,0
87,2021-04-08,0 days 16:03:00,156.875,156.90625,156.875,156.90625,260489,4,0
88,2021-04-08,0 days 16:02:00,156.90625,156.90625,156.90625,156.90625,260481,495,0
89,2021-04-08,0 days 16:01:00,156.90625,156.90625,156.875,156.90625,259974,1613,0
90,2021-04-08,0 days 16:00:00,156.90625,156.90625,156.84375,156.90625,258281,1457,0
91,2021-04-08,0 days 15:59:00,156.90625,156.90625,156.875,156.90625,256650,486,0
92,2021-04-08,0 days 15:58:00,156.875,156.90625,156.875,156.90625,256164,36,0
93,2021-04-08,0 days 15:57:00,156.90625,156.90625,156.875,156.875,256128,640,0
94,2021-04-08,0 days 15:56:00,156.875,156.90625,156.84375,156.90625,255466,832,0
95,2021-04-08,0 days 15:55:00,156.84375,156.875,156.84375,156.875,254634,1761,0
96,2021-04-08,0 days 15:54:00,156.8125,156.8125,156.8125,156.8125,252873,750,0
97,2021-04-08,0 days 15:53:00,156.8125,156.8125,156.78125,156.8125,252123,1127,0
98,2021-04-08,0 days 15:52:00,156.8125,156.8125,156.78125,156.8125,250956,397,0
99,2021-04-08,0 days 15:51:00,156.8125,156.8125,156.8125,156.8125,250559,273,0
100,2021-04-07,0 days 16:10:00,156.03125,156.03125,156.03125,156.03125,289753,82,0
101,2021-04-07,0 days 16:09:00,156.03125,156.0625,156.03125,156.0625,289669,136,0
102,2021-04-07,0 days 16:08:00,156.03125,156.03125,156.0,156.03125,289533,167,0
103,2021-04-07,0 days 16:07:00,156.03125,156.03125,156.0,156.03125,289346,119,0
104,2021-04-07,0 days 16:06:00,156.03125,156.0625,156.03125,156.0625,289227,340,0
105,2021-04-07,0 days 16:05:00,156.03125,156.03125,156.03125,156.03125,288887,37,0
106,2021-04-07,0 days 16:04:00,156.03125,156.0625,156.03125,156.03125,288850,211,0
107,2021-04-07,0 days 16:03:00,156.03125,156.03125,156.0,156.03125,288639,220,0
108,2021-04-07,0 days 16:02:00,156.03125,156.0625,156.03125,156.0625,288419,45,0
109,2021-04-07,0 days 16:01:00,156.09375,156.09375,156.03125,156.03125,288374,1106,0
110,2021-04-07,0 days 16:00:00,156.125,156.125,156.0625,156.0625,287232,1288,0
111,2021-04-07,0 days 15:59:00,156.09375,156.15625,156.09375,156.125,285890,274,0
112,2021-04-07,0 days 15:58:00,156.125,156.125,156.09375,156.125,285600,159,0
113,2021-04-07,0 days 15:57:00,156.09375,156.125,156.09375,156.125,285433,32,0
114,2021-04-07,0 days 15:56:00,156.09375,156.09375,156.0625,156.09375,285401,280,0
115,2021-04-07,0 days 15:55:00,156.0625,156.0625,156.0625,156.0625,285121,38,0
116,2021-04-07,0 days 15:54:00,156.0625,156.0625,156.0625,156.0625,285083,372,0
117,2021-04-07,0 days 15:53:00,156.0625,156.0625,156.0625,156.0625,284707,313,0
118,2021-04-07,0 days 15:52:00,156.09375,156.09375,156.03125,156.0625,284394,584,0
119,2021-04-07,0 days 15:51:00,156.09375,156.09375,156.0625,156.0625,283810,54,0
120,2021-04-06,0 days 16:10:00,156.53125,156.53125,156.53125,156.53125,311662,185,0
121,2021-04-06,0 days 16:09:00,156.53125,156.53125,156.53125,156.53125,311435,5,0
122,2021-04-06,0 days 16:08:00,156.53125,156.53125,156.53125,156.53125,311430,13,0
123,2021-04-06,0 days 16:07:00,156.53125,156.53125,156.53125,156.53125,311417,72,0
124,2021-04-06,0 days 16:06:00,156.53125,156.5625,156.53125,156.53125,311345,164,0
125,2021-04-06,0 days 16:05:00,156.53125,156.5625,156.53125,156.5625,311181,8,0
126,2021-04-06,0 days 16:04:00,156.5625,156.5625,156.53125,156.5625,311173,319,0
127,2021-04-06,0 days 16:03:00,156.59375,156.59375,156.5625,156.59375,310836,4,0
128,2021-04-06,0 days 16:02:00,156.53125,156.59375,156.53125,156.59375,310832,861,0
129,2021-04-06,0 days 16:01:00,156.53125,156.5625,156.5,156.5,309955,1468,0
130,2021-04-06,0 days 16:00:00,156.5,156.5625,156.46875,156.53125,308467,1575,0
131,2021-04-06,0 days 15:59:00,156.5,156.5,156.46875,156.46875,306808,321,0
132,2021-04-06,0 days 15:58:00,156.46875,156.53125,156.46875,156.5,306487,389,0
133,2021-04-06,0 days 15:57:00,156.46875,156.5,156.46875,156.46875,306098,22,0
134,2021-04-06,0 days 15:56:00,156.5,156.53125,156.5,156.5,306076,570,0
135,2021-04-06,0 days 15:55:00,156.46875,156.5,156.46875,156.5,305502,435,0
136,2021-04-06,0 days 15:54:00,156.46875,156.46875,156.46875,156.46875,305061,404,0
137,2021-04-06,0 days 15:53:00,156.5,156.5,156.5,156.5,304657,10,0
138,2021-04-06,0 days 15:52:00,156.46875,156.46875,156.4375,156.46875,304647,413,0
139,2021-04-06,0 days 15:51:00,156.46875,156.46875,156.46875,156.46875,304234,355,0
140,2021-04-05,0 days 16:09:00,155.6875,155.6875,155.6875,155.6875,198392,157,0
141,2021-04-05,0 days 16:08:00,155.65625,155.6875,155.65625,155.6875,198223,135,0
142,2021-04-05,0 days 16:07:00,155.6875,155.6875,155.6875,155.6875,198088,189,0
143,2021-04-05,0 days 16:06:00,155.6875,155.6875,155.6875,155.6875,197899,367,0
144,2021-04-05,0 days 16:05:00,155.6875,155.71875,155.6875,155.71875,197532,551,0
145,2021-04-05,0 days 16:04:00,155.6875,155.71875,155.6875,155.71875,196981,674,0
146,2021-04-05,0 days 16:03:00,155.75,155.75,155.6875,155.6875,196299,739,0
147,2021-04-05,0 days 16:02:00,155.78125,155.8125,155.75,155.75,195520,631,0
148,2021-04-05,0 days 16:01:00,155.6875,155.8125,155.6875,155.8125,194839,1453,0
149,2021-04-05,0 days 16:00:00,155.71875,155.75,155.6875,155.71875,193342,2278,0
150,2021-04-05,0 days 15:59:00,155.71875,155.71875,155.6875,155.6875,191034,1547,0
151,2021-04-05,0 days 15:58:00,155.6875,155.75,155.6875,155.71875,189487,589,0
152,2021-04-05,0 days 15:57:00,155.65625,155.71875,155.65625,155.71875,188858,351,0
153,2021-04-05,0 days 15:56:00,155.65625,155.6875,155.65625,155.6875,188507,245,0
154,2021-04-05,0 days 15:55:00,155.625,155.625,155.625,155.625,188246,70,0
155,2021-04-05,0 days 15:53:00,155.59375,155.625,155.59375,155.625,188176,102,0
156,2021-04-05,0 days 15:52:00,155.65625,155.65625,155.625,155.625,188068,254,0
157,2021-04-05,0 days 15:51:00,155.65625,155.65625,155.625,155.625,187806,412,0
158,2021-04-01,0 days 16:10:00,156.3125,156.3125,156.3125,156.3125,362323,127,0
159,2021-04-01,0 days 16:09:00,156.28125,156.3125,156.25,156.3125,362196,360,0
160,2021-04-01,0 days 16:08:00,156.28125,156.28125,156.25,156.28125,361836,276,0
161,2021-04-01,0 days 16:07:00,156.28125,156.28125,156.28125,156.28125,361560,253,0
162,2021-04-01,0 days 16:06:00,156.28125,156.28125,156.28125,156.28125,361307,271,0
163,2021-04-01,0 days 16:05:00,156.3125,156.3125,156.25,156.3125,361032,289,0
164,2021-04-01,0 days 16:04:00,156.28125,156.3125,156.28125,156.28125,360727,505,0
165,2021-04-01,0 days 16:03:00,156.25,156.25,156.21875,156.25,360220,410,0
166,2021-04-01,0 days 16:02:00,156.3125,156.3125,156.25,156.25,359769,650,0
167,2021-04-01,0 days 16:01:00,156.34375,156.40625,156.28125,156.3125,359083,3015,0
168,2021-04-01,0 days 16:00:00,156.375,156.375,156.28125,156.375,356030,3968,0
169,2021-04-01,0 days 15:59:00,156.34375,156.375,156.34375,156.375,351876,1112,0
170,2021-04-01,0 days 15:58:00,156.375,156.375,156.34375,156.34375,350694,485,0
171,2021-04-01,0 days 15:57:00,156.375,156.40625,156.34375,156.40625,350189,364,0
172,2021-04-01,0 days 15:56:00,156.375,156.40625,156.34375,156.375,349825,935,0
173,2021-04-01,0 days 15:55:00,156.40625,156.40625,156.40625,156.40625,348890,110,0
174,2021-04-01,0 days 15:54:00,156.375,156.40625,156.34375,156.40625,348780,822,0
