,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-15,0 days 14:13:00,653.25,653.5,653.0,653.0,52976,34,0
1,2021-04-15,0 days 14:12:00,653.0,653.5,653.0,653.0,52930,84,0
2,2021-04-15,0 days 14:11:00,652.25,652.75,652.0,652.75,52285,167,0
3,2021-04-15,0 days 14:10:00,651.5,652.25,651.5,652.0,51847,62,0
4,2021-04-15,0 days 14:09:00,653.0,653.0,651.5,651.5,51599,89,0
5,2021-04-15,0 days 14:08:00,653.0,653.0,653.0,653.0,51162,24,0
6,2021-04-15,0 days 14:07:00,653.0,653.0,652.75,653.0,51136,8,0
7,2021-04-15,0 days 14:06:00,652.75,653.0,652.5,652.75,51076,67,0
8,2021-04-14,0 days 14:20:00,647.75,648.0,647.25,648.0,108798,66,0
9,2021-04-14,0 days 14:19:00,647.75,648.0,647.75,647.75,108605,58,0
10,2021-04-14,0 days 14:18:00,647.75,647.75,647.5,647.75,108114,63,0
11,2021-04-14,0 days 14:17:00,647.5,648.0,647.25,647.5,107932,208,0
12,2021-04-14,0 days 14:16:00,648.5,648.75,647.75,647.75,107327,370,0
13,2021-04-14,0 days 14:15:00,647.75,648.5,647.0,648.5,106307,2020,0
14,2021-04-14,0 days 14:14:00,648.5,648.75,647.25,647.75,98974,329,0
15,2021-04-14,0 days 14:13:00,648.25,648.75,648.0,648.5,98549,226,0
16,2021-04-14,0 days 14:12:00,648.0,648.75,648.0,648.5,98038,190,0
17,2021-04-14,0 days 14:11:00,647.5,648.0,647.25,648.0,97615,126,0
18,2021-04-14,0 days 14:10:00,647.25,647.75,647.25,647.5,97310,66,0
19,2021-04-14,0 days 14:09:00,647.25,647.5,647.0,647.25,97100,76,0
20,2021-04-14,0 days 14:08:00,647.0,647.75,647.0,647.5,96979,61,0
21,2021-04-14,0 days 14:07:00,646.75,647.25,646.75,647.25,96584,44,0
22,2021-04-14,0 days 14:06:00,647.5,647.75,646.75,646.75,96469,123,0
23,2021-04-13,0 days 14:20:00,631.25,631.5,630.75,630.75,68511,66,0
24,2021-04-13,0 days 14:19:00,630.75,631.5,630.75,631.25,66538,99,0
25,2021-04-13,0 days 14:18:00,630.75,631.0,630.75,631.0,66418,22,0
26,2021-04-13,0 days 14:17:00,630.5,631.0,630.5,630.75,65764,97,0
27,2021-04-13,0 days 14:16:00,629.75,630.75,629.5,630.5,65635,287,0
28,2021-04-13,0 days 14:15:00,630.0,630.75,629.25,629.75,64722,2046,0
29,2021-04-13,0 days 14:14:00,630.5,631.0,629.75,630.0,59496,298,0
30,2021-04-13,0 days 14:13:00,629.75,630.5,629.75,630.5,58423,61,0
31,2021-04-13,0 days 14:12:00,629.75,629.75,629.5,629.5,57917,65,0
32,2021-04-13,0 days 14:11:00,629.75,630.0,629.25,629.5,57776,77,0
33,2021-04-13,0 days 14:10:00,629.75,630.25,629.5,629.75,57526,71,0
34,2021-04-13,0 days 14:09:00,629.75,630.0,629.25,629.75,57367,87,0
35,2021-04-13,0 days 14:08:00,629.75,629.75,629.75,629.75,57222,126,0
36,2021-04-13,0 days 14:07:00,630.0,630.5,629.75,630.0,56994,233,0
37,2021-04-13,0 days 14:06:00,631.25,631.25,630.25,630.25,56658,213,0
38,2021-04-12,0 days 14:20:00,628.5,628.5,627.5,627.75,94802,187,0
39,2021-04-12,0 days 14:19:00,628.75,628.75,628.0,628.5,94532,122,0
40,2021-04-12,0 days 14:18:00,628.5,629.0,628.5,628.5,94043,78,0
41,2021-04-12,0 days 14:17:00,628.25,628.5,628.0,628.5,93949,123,0
42,2021-04-12,0 days 14:16:00,627.75,628.5,627.75,628.25,91107,392,0
43,2021-04-12,0 days 14:15:00,628.0,628.5,627.5,627.75,90353,1080,0
44,2021-04-12,0 days 14:14:00,629.25,629.25,628.25,628.25,85061,157,0
45,2021-04-12,0 days 14:13:00,629.5,629.75,629.25,629.5,79829,59,0
46,2021-04-12,0 days 14:12:00,630.25,630.25,629.5,629.5,79654,52,0
47,2021-04-12,0 days 14:11:00,630.5,630.75,630.25,630.25,79380,52,0
48,2021-04-12,0 days 14:10:00,630.25,630.75,630.0,630.5,79254,75,0
49,2021-04-12,0 days 14:09:00,630.25,630.25,629.75,630.25,79068,81,0
50,2021-04-12,0 days 14:08:00,630.25,630.5,630.0,630.25,78913,127,0
51,2021-04-12,0 days 14:07:00,630.25,630.25,629.75,630.0,77232,97,0
52,2021-04-12,0 days 14:06:00,630.5,630.75,630.25,630.25,77004,72,0
53,2021-04-09,0 days 14:20:00,638.75,639.0,638.5,639.0,103880,43,0
54,2021-04-09,0 days 14:19:00,638.75,639.25,638.5,638.5,103352,61,0
55,2021-04-09,0 days 14:18:00,638.5,639.0,638.25,638.5,103286,99,0
56,2021-04-09,0 days 14:17:00,638.75,639.25,638.5,638.5,103015,215,0
57,2021-04-09,0 days 14:16:00,639.5,639.5,638.5,639.0,100225,116,0
58,2021-04-09,0 days 14:15:00,638.5,639.75,638.25,639.75,99797,1421,0
59,2021-04-09,0 days 14:14:00,637.75,638.5,637.75,638.25,96721,135,0
60,2021-04-09,0 days 14:13:00,638.0,638.5,637.75,638.0,96468,209,0
61,2021-04-09,0 days 14:12:00,638.75,638.75,637.75,638.0,96107,53,0
62,2021-04-09,0 days 14:11:00,639.0,639.0,638.25,638.75,96008,97,0
