,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 14:40:00,63.03,63.03,63.03,63.03,30932,2,0
1,2021-04-14,0 days 14:39:00,63.01,63.01,63.01,63.01,30930,1,0
2,2021-04-14,0 days 14:37:00,63.04,63.07,63.04,63.06,30929,4,0
3,2021-04-14,0 days 14:36:00,63.01,63.04,63.01,63.04,30925,9,0
4,2021-04-14,0 days 14:35:00,63.02,63.02,62.98,62.98,30426,5,0
5,2021-04-14,0 days 14:34:00,63.04,63.04,63.04,63.04,30410,1,0
6,2021-04-14,0 days 14:33:00,63.07,63.08,63.06,63.08,30409,19,0
7,2021-04-14,0 days 14:32:00,63.11,63.12,63.05,63.06,30388,25,0
8,2021-04-14,0 days 14:31:00,63.15,63.15,63.11,63.12,29994,62,0
9,2021-04-14,0 days 14:30:00,63.13,63.2,63.13,63.17,29878,145,0
10,2021-04-14,0 days 14:29:00,63.06,63.15,63.06,63.15,29702,160,0
11,2021-04-14,0 days 14:28:00,63.11,63.14,63.05,63.06,29329,39,0
12,2021-04-14,0 days 14:27:00,63.05,63.1,63.05,63.09,29213,44,0
13,2021-04-14,0 days 14:26:00,63.12,63.13,63.02,63.04,29157,64,0
14,2021-04-14,0 days 14:25:00,63.15,63.15,63.13,63.13,28953,5,0
15,2021-04-14,0 days 14:24:00,63.12,63.16,63.12,63.14,28948,126,0
16,2021-04-14,0 days 14:23:00,63.15,63.19,63.13,63.13,28729,23,0
17,2021-04-14,0 days 14:22:00,63.11,63.15,63.11,63.15,28011,16,0
18,2021-04-14,0 days 14:21:00,63.17,63.17,63.09,63.09,27990,81,0
19,2021-04-13,0 days 14:40:00,60.33,60.33,60.33,60.33,16357,1,0
20,2021-04-13,0 days 14:39:00,60.31,60.31,60.31,60.31,16356,3,0
21,2021-04-13,0 days 14:38:00,60.29,60.32,60.29,60.32,16352,34,0
22,2021-04-13,0 days 14:37:00,60.28,60.28,60.28,60.28,16293,1,0
23,2021-04-13,0 days 14:36:00,60.26,60.26,60.26,60.26,16030,1,0
24,2021-04-13,0 days 14:35:00,60.27,60.27,60.27,60.27,16027,1,0
25,2021-04-13,0 days 14:34:00,60.31,60.31,60.28,60.28,16026,11,0
26,2021-04-13,0 days 14:33:00,60.25,60.3,60.25,60.3,15999,23,0
27,2021-04-13,0 days 14:32:00,60.23,60.25,60.23,60.23,15954,8,0
28,2021-04-13,0 days 14:31:00,60.19,60.25,60.19,60.24,15911,85,0
29,2021-04-13,0 days 14:30:00,60.19,60.2,60.17,60.18,15709,88,0
30,2021-04-13,0 days 14:29:00,60.21,60.21,60.14,60.18,15593,94,0
31,2021-04-13,0 days 14:28:00,60.2,60.21,60.19,60.21,15419,29,0
32,2021-04-13,0 days 14:27:00,60.15,60.2,60.14,60.2,14930,22,0
33,2021-04-13,0 days 14:26:00,60.2,60.21,60.13,60.15,14880,99,0
34,2021-04-13,0 days 14:25:00,60.22,60.28,60.2,60.2,14780,207,0
35,2021-04-13,0 days 14:24:00,60.25,60.25,60.22,60.22,14358,8,0
36,2021-04-13,0 days 14:23:00,60.31,60.31,60.28,60.28,14337,18,0
37,2021-04-13,0 days 14:22:00,60.25,60.3,60.25,60.29,14294,16,0
38,2021-04-13,0 days 14:21:00,60.28,60.3,60.28,60.29,14268,96,0
39,2021-04-12,0 days 14:40:00,59.61,59.61,59.61,59.61,25131,2,0
40,2021-04-12,0 days 14:39:00,59.66,59.66,59.61,59.61,25129,2,0
41,2021-04-12,0 days 14:38:00,59.63,59.63,59.63,59.63,25126,2,0
42,2021-04-12,0 days 14:37:00,59.61,59.61,59.61,59.61,25124,1,0
