,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 14:40:00,66.49,66.49,66.47,66.48,310146,92,0
1,2021-04-14,0 days 14:39:00,66.45,66.49,66.45,66.48,310013,137,0
2,2021-04-14,0 days 14:38:00,66.48,66.49,66.45,66.45,309866,94,0
3,2021-04-14,0 days 14:37:00,66.49,66.52,66.48,66.5,309762,143,0
4,2021-04-14,0 days 14:36:00,66.44,66.48,66.44,66.48,309503,101,0
5,2021-04-14,0 days 14:35:00,66.48,66.49,66.42,66.43,308739,328,0
6,2021-04-14,0 days 14:34:00,66.51,66.51,66.46,66.48,307956,291,0
7,2021-04-14,0 days 14:33:00,66.52,66.53,66.5,66.51,307254,163,0
8,2021-04-14,0 days 14:32:00,66.55,66.56,66.49,66.52,307037,478,0
9,2021-04-14,0 days 14:31:00,66.61,66.61,66.53,66.56,306267,1312,0
10,2021-04-14,0 days 14:30:00,66.56,66.64,66.55,66.61,304786,1997,0
11,2021-04-14,0 days 14:29:00,66.51,66.58,66.51,66.56,298454,1612,0
12,2021-04-14,0 days 14:28:00,66.56,66.59,66.5,66.5,295284,391,0
13,2021-04-14,0 days 14:27:00,66.5,66.56,66.5,66.55,292608,582,0
14,2021-04-14,0 days 14:26:00,66.56,66.58,66.48,66.5,291455,925,0
15,2021-04-14,0 days 14:25:00,66.59,66.59,66.56,66.56,290342,159,0
16,2021-04-14,0 days 14:24:00,66.59,66.6,66.56,66.59,290015,269,0
17,2021-04-14,0 days 14:23:00,66.61,66.64,66.58,66.59,289705,194,0
18,2021-04-14,0 days 14:22:00,66.55,66.63,66.55,66.61,289281,167,0
19,2021-04-14,0 days 14:21:00,66.61,66.61,66.54,66.55,288853,376,0
20,2021-04-13,0 days 14:40:00,63.82,63.84,63.82,63.83,234495,57,0
21,2021-04-13,0 days 14:39:00,63.82,63.83,63.81,63.82,234430,71,0
22,2021-04-13,0 days 14:38:00,63.8,63.82,63.8,63.82,234296,112,0
