,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-15,0 days 11:40:00,530.0,530.25,530.0,530.25,38464,9,0
1,2021-04-15,0 days 11:39:00,530.0,530.0,529.75,529.75,38442,59,0
2,2021-04-15,0 days 11:38:00,530.25,530.25,530.25,530.25,38383,10,0
3,2021-04-15,0 days 11:37:00,529.75,530.25,529.75,530.25,38373,58,0
4,2021-04-15,0 days 11:36:00,530.0,530.25,530.0,530.0,38322,160,0
5,2021-04-15,0 days 11:35:00,529.5,529.75,529.5,529.75,38162,52,0
6,2021-04-15,0 days 11:34:00,529.5,529.75,529.5,529.5,38073,40,0
7,2021-04-15,0 days 11:33:00,529.5,529.5,529.25,529.5,38032,49,0
8,2021-04-15,0 days 11:32:00,529.75,529.75,529.25,529.25,37920,153,0
9,2021-04-15,0 days 11:31:00,530.0,530.0,529.5,529.75,37555,217,0
10,2021-04-15,0 days 11:30:00,529.75,530.25,529.75,530.0,37308,471,0
11,2021-04-15,0 days 11:29:00,530.75,531.0,530.0,530.0,35050,373,0
12,2021-04-15,0 days 11:28:00,530.5,530.75,530.5,530.75,34131,126,0
13,2021-04-15,0 days 11:27:00,530.5,530.5,530.5,530.5,34000,47,0
14,2021-04-15,0 days 11:26:00,530.25,530.5,530.0,530.25,33928,128,0
15,2021-04-15,0 days 11:25:00,530.5,530.75,530.25,530.25,33800,126,0
16,2021-04-15,0 days 11:24:00,530.5,530.5,530.25,530.5,33674,132,0
17,2021-04-15,0 days 11:23:00,530.75,531.0,530.25,530.25,33542,122,0
18,2021-04-15,0 days 11:22:00,530.25,531.0,530.25,530.5,33420,201,0
19,2021-04-15,0 days 11:21:00,530.25,530.5,530.25,530.25,33218,92,0
20,2021-04-14,0 days 11:40:00,528.5,528.5,528.25,528.25,67290,97,0
21,2021-04-14,0 days 11:39:00,528.75,528.75,528.5,528.75,67168,23,0
22,2021-04-14,0 days 11:38:00,528.75,529.0,528.5,529.0,67145,36,0
23,2021-04-14,0 days 11:37:00,529.0,529.25,528.75,528.75,67109,53,0
24,2021-04-14,0 days 11:36:00,528.75,529.0,528.75,529.0,67056,22,0
25,2021-04-14,0 days 11:35:00,529.25,529.25,528.75,529.0,67018,116,0
26,2021-04-14,0 days 11:34:00,529.0,529.0,528.75,529.0,66894,47,0
27,2021-04-14,0 days 11:33:00,529.5,529.5,528.75,528.75,66832,306,0
28,2021-04-14,0 days 11:32:00,529.0,529.5,529.0,529.5,66503,138,0
29,2021-04-14,0 days 11:31:00,528.5,529.0,528.25,529.0,66250,252,0
30,2021-04-14,0 days 11:30:00,528.25,528.5,528.0,528.5,65010,593,0
31,2021-04-14,0 days 11:29:00,528.25,528.5,528.0,528.25,60553,226,0
32,2021-04-14,0 days 11:28:00,528.0,528.25,528.0,528.25,59347,67,0
33,2021-04-14,0 days 11:27:00,528.0,528.25,527.75,528.0,58943,43,0
34,2021-04-14,0 days 11:26:00,528.0,528.0,527.75,528.0,58780,48,0
35,2021-04-14,0 days 11:25:00,528.0,528.0,527.75,528.0,58708,164,0
36,2021-04-14,0 days 11:24:00,527.75,528.25,527.75,527.75,58531,37,0
37,2021-04-14,0 days 11:23:00,527.5,527.75,527.5,527.5,58475,61,0
38,2021-04-14,0 days 11:22:00,527.75,528.0,527.25,527.25,58348,150,0
39,2021-04-14,0 days 11:21:00,527.0,527.5,527.0,527.5,58081,50,0
40,2021-04-13,0 days 11:40:00,510.0,510.0,509.75,510.0,72782,46,0
41,2021-04-13,0 days 11:39:00,509.75,510.0,509.75,510.0,72661,22,0
42,2021-04-13,0 days 11:38:00,510.0,510.25,510.0,510.0,72588,33,0
43,2021-04-13,0 days 11:37:00,510.25,510.25,509.75,510.0,72447,144,0
44,2021-04-13,0 days 11:36:00,510.25,510.5,510.25,510.25,71061,75,0
45,2021-04-13,0 days 11:35:00,510.75,510.75,510.25,510.5,70464,135,0
46,2021-04-13,0 days 11:34:00,509.75,510.75,509.75,510.5,70319,197,0
47,2021-04-13,0 days 11:33:00,509.5,509.75,509.5,509.75,70106,46,0
48,2021-04-13,0 days 11:32:00,509.5,509.75,509.25,509.5,70050,188,0
49,2021-04-13,0 days 11:31:00,509.75,510.0,509.5,509.5,69846,406,0
50,2021-04-13,0 days 11:30:00,509.5,510.0,509.5,509.75,69180,512,0
51,2021-04-13,0 days 11:29:00,509.0,509.75,508.75,509.5,67824,355,0
52,2021-04-13,0 days 11:28:00,509.25,509.25,508.75,509.25,66387,184,0
53,2021-04-13,0 days 11:27:00,509.5,509.5,509.0,509.0,66158,91,0
54,2021-04-13,0 days 11:26:00,509.0,509.25,508.75,509.25,65969,180,0
55,2021-04-13,0 days 11:25:00,509.0,509.25,509.0,509.0,65703,102,0
56,2021-04-13,0 days 11:24:00,509.5,509.5,509.0,509.0,65587,88,0
57,2021-04-13,0 days 11:23:00,509.75,509.75,509.25,509.5,65493,102,0
58,2021-04-13,0 days 11:22:00,509.75,509.75,509.5,509.75,65325,114,0
59,2021-04-13,0 days 11:21:00,509.75,510.0,509.5,509.75,65196,118,0
60,2021-04-12,0 days 11:40:00,511.25,511.25,510.75,511.0,75687,55,0
61,2021-04-12,0 days 11:39:00,511.0,511.0,510.75,511.0,74582,179,0
62,2021-04-12,0 days 11:38:00,511.0,511.0,511.0,511.0,74401,335,0
63,2021-04-12,0 days 11:37:00,511.25,511.25,511.0,511.25,74066,38,0
64,2021-04-12,0 days 11:36:00,511.25,511.25,511.25,511.25,74028,28,0
65,2021-04-12,0 days 11:35:00,511.75,511.75,511.5,511.5,73999,150,0
66,2021-04-12,0 days 11:34:00,511.75,511.75,511.5,511.5,73560,76,0
67,2021-04-12,0 days 11:33:00,511.75,511.75,511.75,511.75,73371,106,0
68,2021-04-12,0 days 11:32:00,511.75,512.0,511.25,512.0,73253,236,0
69,2021-04-12,0 days 11:31:00,511.5,511.75,511.0,511.75,66379,750,0
70,2021-04-12,0 days 11:30:00,511.0,511.5,510.75,511.5,65129,751,0
71,2021-04-12,0 days 11:29:00,510.0,510.75,509.75,510.75,62618,499,0
72,2021-04-12,0 days 11:28:00,510.0,510.25,509.5,510.0,61570,201,0
73,2021-04-12,0 days 11:27:00,510.5,510.5,509.75,510.0,61245,243,0
74,2021-04-12,0 days 11:26:00,510.75,510.75,510.25,510.75,60971,238,0
75,2021-04-12,0 days 11:25:00,510.75,511.0,510.5,511.0,60657,64,0
76,2021-04-12,0 days 11:24:00,510.75,510.75,510.25,510.5,60528,36,0
77,2021-04-12,0 days 11:23:00,510.5,510.5,510.25,510.5,60453,42,0
78,2021-04-12,0 days 11:22:00,510.25,510.5,510.0,510.5,60358,97,0
79,2021-04-12,0 days 11:21:00,510.0,510.25,509.75,510.0,60191,78,0
80,2021-04-09,0 days 11:40:00,506.75,506.75,506.0,506.0,97677,75,0
81,2021-04-09,0 days 11:39:00,506.5,506.75,506.5,506.5,97304,88,0
82,2021-04-09,0 days 11:38:00,506.5,506.5,506.5,506.5,97144,48,0
83,2021-04-09,0 days 11:37:00,506.75,507.0,506.5,506.5,96920,75,0
84,2021-04-09,0 days 11:36:00,506.5,506.75,506.5,506.75,96794,55,0
85,2021-04-09,0 days 11:35:00,506.25,506.5,506.25,506.5,96556,46,0
86,2021-04-09,0 days 11:34:00,506.25,506.25,506.25,506.25,96309,65,0
