,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 14:40:00,1.8863,1.8865,1.8861,1.8864,14082,6,0
1,2021-04-14,0 days 14:39:00,1.8863,1.8864,1.8863,1.8864,14074,2,0
2,2021-04-14,0 days 14:38:00,1.8869,1.8869,1.8865,1.8865,14072,4,0
3,2021-04-14,0 days 14:37:00,1.8872,1.8874,1.8872,1.8874,14068,2,0
4,2021-04-14,0 days 14:36:00,1.8864,1.887,1.8864,1.887,14066,3,0
5,2021-04-14,0 days 14:35:00,1.8871,1.8871,1.886,1.886,13997,9,0
6,2021-04-14,0 days 14:34:00,1.8881,1.8881,1.8872,1.8872,13915,3,0
7,2021-04-14,0 days 14:33:00,1.8886,1.8886,1.8883,1.8883,13855,3,0
8,2021-04-14,0 days 14:32:00,1.8884,1.8884,1.8882,1.8882,13851,5,0
9,2021-04-14,0 days 14:31:00,1.8906,1.8906,1.8891,1.8891,13770,18,0
10,2021-04-14,0 days 14:30:00,1.8904,1.8915,1.8899,1.8913,13371,18,0
11,2021-04-14,0 days 14:29:00,1.8879,1.8897,1.8877,1.8895,12783,18,0
12,2021-04-14,0 days 14:28:00,1.8886,1.8888,1.8866,1.8871,12414,33,0
13,2021-04-14,0 days 14:27:00,1.8874,1.888,1.8874,1.8876,12352,16,0
14,2021-04-14,0 days 14:26:00,1.8879,1.888,1.8862,1.8866,12321,22,0
15,2021-04-14,0 days 14:25:00,1.8879,1.8879,1.8877,1.8877,12295,9,0
16,2021-04-14,0 days 14:24:00,1.8881,1.8881,1.8881,1.8881,12285,2,0
17,2021-04-14,0 days 14:21:00,1.8888,1.8889,1.8879,1.8879,12094,9,0
18,2021-04-13,0 days 14:35:00,1.8164,1.8164,1.8163,1.8163,11977,2,0
19,2021-04-13,0 days 14:34:00,1.8178,1.8178,1.8172,1.8172,11975,4,0
20,2021-04-13,0 days 14:33:00,1.8159,1.8175,1.8159,1.8175,11937,5,0
21,2021-04-13,0 days 14:32:00,1.8157,1.8157,1.8157,1.8157,11878,1,0
22,2021-04-13,0 days 14:31:00,1.815,1.815,1.8147,1.8149,11829,6,0
23,2021-04-13,0 days 14:30:00,1.8145,1.8148,1.8138,1.8145,11596,15,0
24,2021-04-13,0 days 14:29:00,1.8137,1.8144,1.8131,1.8141,11043,17,0
25,2021-04-13,0 days 14:28:00,1.8151,1.8151,1.8138,1.8138,9353,20,0
26,2021-04-13,0 days 14:27:00,1.8133,1.8133,1.8133,1.8133,9279,1,0
27,2021-04-13,0 days 14:26:00,1.815,1.815,1.8136,1.8136,9278,21,0
28,2021-04-13,0 days 14:25:00,1.8153,1.8159,1.8147,1.815,9247,9,0
29,2021-04-13,0 days 14:24:00,1.8159,1.8161,1.8155,1.8155,9235,8,0
30,2021-04-13,0 days 14:23:00,1.8167,1.8171,1.8165,1.8168,9213,6,0
31,2021-04-13,0 days 14:22:00,1.816,1.8169,1.8157,1.8169,9181,7,0
32,2021-04-13,0 days 14:21:00,1.8164,1.8166,1.8163,1.8163,9171,22,0
33,2021-04-12,0 days 14:40:00,1.8076,1.8076,1.8076,1.8076,15555,1,0
34,2021-04-12,0 days 14:38:00,1.8072,1.8075,1.8072,1.8074,15525,5,0
35,2021-04-12,0 days 14:37:00,1.8068,1.8068,1.8067,1.8068,15448,4,0
36,2021-04-12,0 days 14:36:00,1.806,1.8062,1.806,1.8062,15444,2,0
