,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 14:38:00,2.0327,2.0327,2.0327,2.0327,17960,1,0
1,2021-04-14,0 days 14:37:00,2.0327,2.0332,2.0327,2.0332,17959,3,0
2,2021-04-14,0 days 14:36:00,2.0328,2.0328,2.0328,2.0328,17938,1,0
3,2021-04-14,0 days 14:35:00,2.0336,2.0336,2.0323,2.0325,17912,3,0
4,2021-04-14,0 days 14:34:00,2.0341,2.0341,2.034,2.034,17854,2,0
5,2021-04-14,0 days 14:33:00,2.035,2.0351,2.0343,2.0343,17832,5,0
6,2021-04-14,0 days 14:32:00,2.0352,2.0352,2.0343,2.0343,17774,4,0
7,2021-04-14,0 days 14:31:00,2.0357,2.0357,2.0347,2.0356,17650,35,0
8,2021-04-14,0 days 14:30:00,2.0344,2.0368,2.0344,2.0368,17432,22,0
9,2021-04-14,0 days 14:29:00,2.0351,2.0353,2.0334,2.0353,16875,14,0
10,2021-04-14,0 days 14:28:00,2.0383,2.0383,2.0348,2.0351,16518,16,0
11,2021-04-14,0 days 14:27:00,2.0383,2.0386,2.0377,2.0377,16337,14,0
12,2021-04-14,0 days 14:26:00,2.0376,2.038,2.0362,2.0373,16273,40,0
13,2021-04-14,0 days 14:25:00,2.0391,2.0392,2.038,2.038,16150,10,0
14,2021-04-14,0 days 14:24:00,2.0398,2.04,2.0397,2.04,16097,4,0
15,2021-04-14,0 days 14:22:00,2.0396,2.0413,2.0396,2.0413,16084,4,0
16,2021-04-14,0 days 14:21:00,2.0412,2.0414,2.0396,2.0396,16025,26,0
17,2021-04-13,0 days 14:38:00,1.9782,1.9782,1.9778,1.978,12375,3,0
18,2021-04-13,0 days 14:37:00,1.9765,1.9775,1.9765,1.9775,12293,4,0
19,2021-04-13,0 days 14:35:00,1.9763,1.9764,1.9763,1.9764,12236,2,0
20,2021-04-13,0 days 14:34:00,1.9776,1.9776,1.9776,1.9776,12204,1,0
21,2021-04-13,0 days 14:33:00,1.9765,1.9776,1.9765,1.9776,12183,3,0
22,2021-04-13,0 days 14:31:00,1.9759,1.9759,1.9755,1.9758,12090,4,0
23,2021-04-13,0 days 14:30:00,1.9761,1.9763,1.9752,1.9756,12053,21,0
24,2021-04-13,0 days 14:29:00,1.9755,1.9761,1.9737,1.9758,11777,21,0
25,2021-04-13,0 days 14:28:00,1.9765,1.9772,1.9762,1.9764,11271,15,0
26,2021-04-13,0 days 14:27:00,1.9756,1.9757,1.9749,1.9751,11189,10,0
27,2021-04-13,0 days 14:26:00,1.9759,1.9765,1.9744,1.9744,11151,25,0
28,2021-04-13,0 days 14:25:00,1.976,1.9773,1.976,1.9763,11063,19,0
29,2021-04-13,0 days 14:23:00,1.9775,1.9775,1.9766,1.9768,10903,4,0
30,2021-04-13,0 days 14:22:00,1.9766,1.9766,1.9766,1.9766,10841,1,0
31,2021-04-13,0 days 14:21:00,1.978,1.9781,1.9776,1.9776,10822,30,0
32,2021-04-12,0 days 14:39:00,1.9676,1.9679,1.9676,1.9679,14529,3,0
33,2021-04-12,0 days 14:38:00,1.9673,1.9675,1.9673,1.9675,14524,3,0
34,2021-04-12,0 days 14:36:00,1.9661,1.9663,1.9661,1.9663,14520,3,0
35,2021-04-12,0 days 14:35:00,1.9659,1.9664,1.9659,1.9661,14516,3,0
36,2021-04-12,0 days 14:34:00,1.9666,1.9666,1.9666,1.9666,14513,1,0
37,2021-04-12,0 days 14:33:00,1.9683,1.9683,1.967,1.967,14512,5,0
38,2021-04-12,0 days 14:31:00,1.9692,1.9693,1.9678,1.9682,14456,15,0
39,2021-04-12,0 days 14:30:00,1.9692,1.9703,1.969,1.9693,14367,19,0
40,2021-04-12,0 days 14:29:00,1.9702,1.9714,1.969,1.969,14157,28,0
41,2021-04-12,0 days 14:28:00,1.9706,1.9728,1.9694,1.9698,13846,19,0
42,2021-04-12,0 days 14:27:00,1.9711,1.9715,1.9704,1.9711,13704,13,0
43,2021-04-12,0 days 14:26:00,1.9715,1.9717,1.97,1.9709,13627,12,0
44,2021-04-12,0 days 14:25:00,1.9703,1.9715,1.9703,1.9715,13605,4,0
45,2021-04-12,0 days 14:24:00,1.9708,1.9709,1.97,1.97,13563,6,0
46,2021-04-12,0 days 14:23:00,1.9683,1.9699,1.9683,1.9699,13515,13,0
47,2021-04-12,0 days 14:21:00,1.9692,1.9698,1.9676,1.9676,13433,14,0
48,2021-04-09,0 days 14:40:00,1.9678,1.9678,1.9678,1.9678,13884,1,0
49,2021-04-09,0 days 14:39:00,1.9676,1.9676,1.9676,1.9676,13848,1,0
50,2021-04-09,0 days 14:38:00,1.9659,1.9675,1.9659,1.9675,13831,5,0
51,2021-04-09,0 days 14:36:00,1.9653,1.9653,1.9651,1.9651,13694,2,0
52,2021-04-09,0 days 14:35:00,1.964,1.9649,1.964,1.9643,13615,12,0
53,2021-04-09,0 days 14:34:00,1.9651,1.9651,1.9642,1.9642,13584,7,0
54,2021-04-09,0 days 14:33:00,1.964,1.9652,1.964,1.9652,13471,3,0
55,2021-04-09,0 days 14:32:00,1.9653,1.9654,1.9635,1.9635,13313,7,0
56,2021-04-09,0 days 14:31:00,1.9611,1.964,1.9608,1.964,13270,26,0
57,2021-04-09,0 days 14:30:00,1.9629,1.9629,1.9617,1.9619,13139,46,0
58,2021-04-09,0 days 14:29:00,1.9631,1.9631,1.9595,1.9626,12483,67,0
59,2021-04-09,0 days 14:28:00,1.9638,1.9668,1.9637,1.9642,11834,52,0
60,2021-04-09,0 days 14:27:00,1.9617,1.9642,1.9605,1.9636,11492,57,0
61,2021-04-09,0 days 14:26:00,1.9622,1.9622,1.9614,1.9616,11325,17,0
62,2021-04-09,0 days 14:25:00,1.9618,1.962,1.9618,1.962,11244,18,0
63,2021-04-09,0 days 14:24:00,1.9617,1.9624,1.9616,1.9621,10933,16,0
64,2021-04-09,0 days 14:23:00,1.9607,1.9619,1.96,1.9605,10859,19,0
65,2021-04-09,0 days 14:22:00,1.9594,1.9597,1.9592,1.9596,10656,5,0
66,2021-04-09,0 days 14:21:00,1.9583,1.9592,1.9583,1.9592,10552,3,0
67,2021-04-08,0 days 14:39:00,1.9606,1.9606,1.9606,1.9606,12497,1,0
68,2021-04-08,0 days 14:37:00,1.9608,1.9608,1.9604,1.9604,12479,3,0
69,2021-04-08,0 days 14:36:00,1.9607,1.9607,1.9607,1.9607,12448,1,0
70,2021-04-08,0 days 14:34:00,1.9598,1.9598,1.9598,1.9598,12438,1,0
71,2021-04-08,0 days 14:32:00,1.9597,1.9597,1.9597,1.9597,12436,1,0
72,2021-04-08,0 days 14:31:00,1.9598,1.9598,1.9598,1.9598,12397,1,0
73,2021-04-08,0 days 14:30:00,1.9596,1.9603,1.9594,1.9602,12391,14,0
74,2021-04-08,0 days 14:29:00,1.9576,1.9592,1.9576,1.9592,12119,4,0
75,2021-04-08,0 days 14:28:00,1.9587,1.9591,1.9567,1.9567,11948,9,0
76,2021-04-08,0 days 14:27:00,1.9594,1.9594,1.9594,1.9594,11780,1,0
77,2021-04-08,0 days 14:26:00,1.9589,1.9595,1.9587,1.959,11759,12,0
78,2021-04-08,0 days 14:25:00,1.957,1.9585,1.957,1.9585,11542,27,0
79,2021-04-08,0 days 14:24:00,1.9581,1.9593,1.9572,1.9572,11462,13,0
80,2021-04-08,0 days 14:22:00,1.9575,1.9575,1.9575,1.9575,11376,1,0
81,2021-04-08,0 days 14:21:00,1.9569,1.9575,1.9569,1.9575,11362,19,0
82,2021-04-07,0 days 14:39:00,1.9471,1.9475,1.9471,1.9475,10475,2,0
83,2021-04-07,0 days 14:38:00,1.948,1.948,1.948,1.948,10473,1,0
84,2021-04-07,0 days 14:37:00,1.9462,1.9462,1.9462,1.9462,10460,3,0
85,2021-04-07,0 days 14:36:00,1.9485,1.9485,1.9485,1.9485,10447,1,0
86,2021-04-07,0 days 14:35:00,1.9498,1.9498,1.9486,1.9487,10446,5,0
87,2021-04-07,0 days 14:31:00,1.9511,1.9525,1.9508,1.9512,10358,5,0
88,2021-04-07,0 days 14:30:00,1.9519,1.9519,1.9512,1.9516,10326,12,0
89,2021-04-07,0 days 14:29:00,1.9539,1.9539,1.9514,1.9521,10223,19,0
90,2021-04-07,0 days 14:28:00,1.9547,1.9561,1.9539,1.9539,10098,14,0
91,2021-04-07,0 days 14:27:00,1.9543,1.9543,1.9543,1.9543,10043,1,0
92,2021-04-07,0 days 14:26:00,1.953,1.9549,1.953,1.954,10025,6,0
93,2021-04-07,0 days 14:25:00,1.9533,1.9539,1.9527,1.9535,10010,39,0
94,2021-04-07,0 days 14:24:00,1.9528,1.9545,1.9523,1.9543,9960,12,0
95,2021-04-07,0 days 14:23:00,1.9501,1.9513,1.9501,1.9513,9930,18,0
96,2021-04-07,0 days 14:22:00,1.9496,1.9504,1.9492,1.9504,9908,19,0
97,2021-04-07,0 days 14:21:00,1.9496,1.9496,1.9493,1.9493,9758,2,0
98,2021-04-06,0 days 14:40:00,1.961,1.9615,1.961,1.9615,11527,4,0
99,2021-04-06,0 days 14:39:00,1.9607,1.9607,1.9607,1.9607,11521,1,0
100,2021-04-06,0 days 14:38:00,1.96,1.9603,1.96,1.9603,11501,3,0
101,2021-04-06,0 days 14:37:00,1.9636,1.9636,1.9617,1.9617,11484,4,0
102,2021-04-06,0 days 14:36:00,1.9641,1.9641,1.9641,1.9641,11421,1,0
103,2021-04-06,0 days 14:35:00,1.9668,1.9668,1.9668,1.9668,11373,1,0
104,2021-04-06,0 days 14:34:00,1.967,1.9671,1.9668,1.9671,11370,3,0
105,2021-04-06,0 days 14:33:00,1.9649,1.9656,1.9649,1.9656,11362,6,0
106,2021-04-06,0 days 14:32:00,1.9633,1.964,1.9633,1.964,11332,3,0
107,2021-04-06,0 days 14:31:00,1.9641,1.9644,1.964,1.964,11306,4,0
108,2021-04-06,0 days 14:30:00,1.9661,1.9661,1.9637,1.9637,11279,14,0
109,2021-04-06,0 days 14:29:00,1.9656,1.9699,1.9651,1.9656,11133,27,0
110,2021-04-06,0 days 14:28:00,1.9683,1.9687,1.964,1.9643,10843,30,0
111,2021-04-06,0 days 14:27:00,1.9706,1.9711,1.9706,1.9711,10636,3,0
112,2021-04-06,0 days 14:26:00,1.9724,1.9724,1.9704,1.9704,10557,2,0
113,2021-04-06,0 days 14:25:00,1.9734,1.9749,1.9733,1.9749,10456,4,0
114,2021-04-06,0 days 14:24:00,1.9747,1.9747,1.9728,1.9728,10403,2,0
115,2021-04-06,0 days 14:23:00,1.9731,1.9731,1.9731,1.9731,10394,1,0
116,2021-04-06,0 days 14:22:00,1.9725,1.9725,1.9725,1.9725,10368,1,0
117,2021-04-06,0 days 14:21:00,1.976,1.976,1.973,1.973,10318,41,0
118,2021-04-05,0 days 14:39:00,1.9689,1.9701,1.9689,1.9701,13312,3,0
119,2021-04-05,0 days 14:37:00,1.9688,1.9692,1.9688,1.9692,13255,4,0
120,2021-04-05,0 days 14:36:00,1.9683,1.9683,1.9683,1.9683,13227,1,0
121,2021-04-05,0 days 14:35:00,1.9675,1.9675,1.967,1.9673,13226,4,0
122,2021-04-05,0 days 14:34:00,1.9676,1.9676,1.9676,1.9676,13187,1,0
123,2021-04-05,0 days 14:33:00,1.968,1.968,1.9673,1.9673,13142,2,0
124,2021-04-05,0 days 14:32:00,1.9675,1.9681,1.9675,1.9679,12991,3,0
125,2021-04-05,0 days 14:31:00,1.9647,1.966,1.9647,1.9657,12944,8,0
126,2021-04-05,0 days 14:30:00,1.9608,1.9638,1.9607,1.9638,12864,6,0
127,2021-04-05,0 days 14:29:00,1.9583,1.9607,1.9583,1.9607,12756,4,0
128,2021-04-05,0 days 14:28:00,1.9581,1.9588,1.9563,1.9582,12488,14,0
129,2021-04-05,0 days 14:27:00,1.9605,1.9606,1.9579,1.9579,12324,8,0
130,2021-04-05,0 days 14:26:00,1.9592,1.9625,1.9592,1.9623,12171,8,0
131,2021-04-05,0 days 14:25:00,1.9585,1.9585,1.9585,1.9585,12018,1,0
132,2021-04-05,0 days 14:24:00,1.9612,1.9612,1.9612,1.9612,11989,1,0
133,2021-04-05,0 days 14:23:00,1.9571,1.9584,1.9571,1.9584,11965,2,0
134,2021-04-05,0 days 14:22:00,1.9596,1.9605,1.9596,1.9602,11897,3,0
135,2021-04-05,0 days 14:21:00,1.9605,1.9628,1.9605,1.962,11855,10,0
136,2021-04-01,0 days 14:39:00,2.0121,2.0122,2.0121,2.0122,16840,3,0
137,2021-04-01,0 days 14:38:00,2.0113,2.0121,2.0113,2.0121,16813,4,0
138,2021-04-01,0 days 14:37:00,2.0115,2.0116,2.0111,2.0112,16809,11,0
139,2021-04-01,0 days 14:36:00,2.0114,2.0137,2.0108,2.0124,16777,23,0
140,2021-04-01,0 days 14:35:00,2.0113,2.0115,2.0104,2.0111,16725,6,0
141,2021-04-01,0 days 14:34:00,2.0133,2.0133,2.0114,2.0114,16703,6,0
142,2021-04-01,0 days 14:33:00,2.016,2.016,2.0134,2.0135,16666,9,0
143,2021-04-01,0 days 14:32:00,2.0142,2.0149,2.0142,2.0149,16630,4,0
144,2021-04-01,0 days 14:31:00,2.0203,2.0203,2.0149,2.0149,16620,20,0
145,2021-04-01,0 days 14:30:00,2.0211,2.0232,2.0199,2.0207,16554,32,0
146,2021-04-01,0 days 14:29:00,2.0254,2.0256,2.0208,2.0226,16424,34,0
147,2021-04-01,0 days 14:28:00,2.0261,2.0261,2.0236,2.0259,16237,16,0
148,2021-04-01,0 days 14:27:00,2.0217,2.0247,2.0217,2.0247,15977,15,0
149,2021-04-01,0 days 14:26:00,2.0247,2.025,2.0224,2.0224,15810,17,0
150,2021-04-01,0 days 14:25:00,2.0234,2.0238,2.0218,2.0223,15745,14,0
151,2021-04-01,0 days 14:24:00,2.0259,2.0271,2.0243,2.0243,15718,21,0
152,2021-04-01,0 days 14:23:00,2.024,2.0269,2.024,2.0269,15658,6,0
153,2021-04-01,0 days 14:21:00,2.0261,2.0265,2.0243,2.0243,15599,13,0
154,2021-03-31,0 days 14:40:00,1.9556,1.956,1.9556,1.956,13848,2,0
155,2021-03-31,0 days 14:38:00,1.9578,1.96,1.9578,1.9599,13778,9,0
156,2021-03-31,0 days 14:35:00,1.9631,1.9632,1.9581,1.9581,13711,7,0
157,2021-03-31,0 days 14:33:00,1.9633,1.9641,1.9633,1.9641,13593,2,0
158,2021-03-31,0 days 14:32:00,1.9621,1.9634,1.9621,1.9626,13580,8,0
159,2021-03-31,0 days 14:31:00,1.959,1.9605,1.959,1.9605,13434,20,0
160,2021-03-31,0 days 14:30:00,1.9607,1.962,1.958,1.9586,13386,38,0
161,2021-03-31,0 days 14:29:00,1.9543,1.9623,1.9543,1.9592,13071,50,0
162,2021-03-31,0 days 14:28:00,1.9584,1.9584,1.9508,1.9515,12585,30,0
163,2021-03-31,0 days 14:27:00,1.9584,1.9598,1.9561,1.9585,12387,12,0
164,2021-03-31,0 days 14:26:00,1.9563,1.9611,1.9563,1.9601,12271,28,0
165,2021-03-31,0 days 14:25:00,1.957,1.957,1.9512,1.9553,12145,14,0
166,2021-03-31,0 days 14:24:00,1.9612,1.9612,1.957,1.957,12078,25,0
167,2021-03-31,0 days 14:23:00,1.9666,1.9666,1.9608,1.962,11987,22,0
168,2021-03-31,0 days 14:22:00,1.9684,1.9687,1.9672,1.9683,11852,8,0
169,2021-03-31,0 days 14:21:00,1.9682,1.9691,1.9666,1.9691,11714,9,0
170,2021-03-29,0 days 14:29:00,1.994,1.994,1.994,1.994,700,2,0
171,2021-03-29,0 days 14:28:00,1.9934,1.9934,1.9928,1.9929,698,13,0
172,2021-03-26,0 days 14:29:00,1.9664,1.9664,1.9664,1.9664,1079,1,0
173,2021-03-26,0 days 14:28:00,1.9701,1.9701,1.9695,1.9695,1075,2,0
