,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 14:40:00,66.48,66.49,66.48,66.49,34270,9,0
1,2021-04-14,0 days 14:39:00,66.45,66.48,66.45,66.48,34247,7,0
2,2021-04-14,0 days 14:38:00,66.48,66.49,66.48,66.49,34238,3,0
3,2021-04-14,0 days 14:37:00,66.5,66.51,66.49,66.49,34235,5,0
4,2021-04-14,0 days 14:36:00,66.45,66.47,66.45,66.47,34210,8,0
5,2021-04-14,0 days 14:35:00,66.47,66.47,66.46,66.46,34167,8,0
6,2021-04-14,0 days 14:34:00,66.51,66.51,66.47,66.47,34147,10,0
7,2021-04-14,0 days 14:33:00,66.52,66.53,66.51,66.51,34095,14,0
8,2021-04-14,0 days 14:32:00,66.54,66.55,66.52,66.52,34031,23,0
9,2021-04-14,0 days 14:31:00,66.6,66.61,66.54,66.56,33947,93,0
10,2021-04-14,0 days 14:30:00,66.56,66.64,66.56,66.62,33727,117,0
11,2021-04-14,0 days 14:29:00,66.52,66.58,66.51,66.57,33341,151,0
12,2021-04-14,0 days 14:28:00,66.57,66.6,66.5,66.5,33041,139,0
13,2021-04-14,0 days 14:27:00,66.51,66.55,66.5,66.55,32864,24,0
14,2021-04-14,0 days 14:26:00,66.56,66.57,66.48,66.5,32802,191,0
15,2021-04-14,0 days 14:24:00,66.56,66.6,66.56,66.58,32532,27,0
16,2021-04-14,0 days 14:23:00,66.63,66.63,66.58,66.58,32460,16,0
17,2021-04-14,0 days 14:22:00,66.56,66.61,66.56,66.6,32359,23,0
18,2021-04-14,0 days 14:21:00,66.56,66.59,66.55,66.56,32293,47,0
19,2021-04-13,0 days 14:40:00,63.84,63.85,63.84,63.85,25002,2,0
20,2021-04-13,0 days 14:39:00,63.82,63.83,63.82,63.83,24996,2,0
21,2021-04-13,0 days 14:38:00,63.83,63.83,63.82,63.82,24992,6,0
22,2021-04-13,0 days 14:37:00,63.79,63.8,63.79,63.8,24977,8,0
23,2021-04-13,0 days 14:34:00,63.83,63.84,63.82,63.82,24955,15,0
24,2021-04-13,0 days 14:33:00,63.76,63.82,63.76,63.82,24917,32,0
25,2021-04-13,0 days 14:32:00,63.76,63.76,63.74,63.76,24823,19,0
26,2021-04-13,0 days 14:31:00,63.69,63.77,63.69,63.77,24790,28,0
27,2021-04-13,0 days 14:30:00,63.68,63.7,63.66,63.68,24688,93,0
28,2021-04-13,0 days 14:29:00,63.71,63.71,63.63,63.67,24454,169,0
29,2021-04-13,0 days 14:28:00,63.71,63.73,63.69,63.72,24034,66,0
30,2021-04-13,0 days 14:27:00,63.68,63.7,63.66,63.7,23834,28,0
31,2021-04-13,0 days 14:26:00,63.73,63.73,63.66,63.67,23742,46,0
32,2021-04-13,0 days 14:25:00,63.74,63.78,63.73,63.75,23543,58,0
33,2021-04-13,0 days 14:24:00,63.75,63.76,63.74,63.74,23291,7,0
34,2021-04-13,0 days 14:23:00,63.82,63.82,63.81,63.81,23250,13,0
