,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 14:40:00,63.03,63.04,63.01,63.04,356710,123,0
1,2021-04-14,0 days 14:39:00,62.99,63.04,62.99,63.03,356578,97,0
2,2021-04-14,0 days 14:38:00,63.03,63.03,62.99,62.99,356479,174,0
3,2021-04-14,0 days 14:37:00,63.04,63.08,63.03,63.04,356266,192,0
4,2021-04-14,0 days 14:36:00,62.99,63.05,62.99,63.04,356041,289,0
5,2021-04-14,0 days 14:35:00,63.04,63.04,62.97,62.98,355134,427,0
6,2021-04-14,0 days 14:34:00,63.06,63.06,63.02,63.04,354688,340,0
7,2021-04-14,0 days 14:33:00,63.07,63.09,63.06,63.06,353019,364,0
8,2021-04-14,0 days 14:32:00,63.12,63.13,63.05,63.08,352245,546,0
9,2021-04-14,0 days 14:31:00,63.18,63.18,63.11,63.12,349027,1520,0
10,2021-04-14,0 days 14:30:00,63.15,63.21,63.13,63.18,347177,3074,0
11,2021-04-14,0 days 14:29:00,63.05,63.16,63.05,63.15,338085,2631,0
12,2021-04-14,0 days 14:28:00,63.1,63.14,63.05,63.06,330989,784,0
13,2021-04-14,0 days 14:27:00,63.05,63.11,63.05,63.09,328452,636,0
14,2021-04-14,0 days 14:26:00,63.11,63.13,63.01,63.05,327122,1133,0
15,2021-04-14,0 days 14:25:00,63.14,63.15,63.11,63.12,325513,159,0
16,2021-04-14,0 days 14:24:00,63.14,63.15,63.11,63.14,325009,267,0
17,2021-04-14,0 days 14:23:00,63.15,63.19,63.13,63.14,324677,181,0
18,2021-04-14,0 days 14:22:00,63.09,63.15,63.08,63.14,322088,326,0
19,2021-04-14,0 days 14:21:00,63.16,63.17,63.08,63.08,321635,381,0
20,2021-04-13,0 days 14:40:00,60.32,60.33,60.32,60.32,290065,141,0
21,2021-04-13,0 days 14:39:00,60.31,60.33,60.31,60.31,289420,83,0
22,2021-04-13,0 days 14:38:00,60.29,60.32,60.29,60.31,288499,165,0
23,2021-04-13,0 days 14:37:00,60.25,60.29,60.25,60.29,288328,162,0
24,2021-04-13,0 days 14:36:00,60.26,60.27,60.25,60.26,287798,70,0
25,2021-04-13,0 days 14:35:00,60.28,60.28,60.24,60.27,286947,148,0
26,2021-04-13,0 days 14:34:00,60.3,60.32,60.28,60.29,286459,316,0
27,2021-04-13,0 days 14:33:00,60.25,60.31,60.24,60.31,285892,335,0
28,2021-04-13,0 days 14:32:00,60.26,60.27,60.22,60.25,285510,283,0
29,2021-04-13,0 days 14:31:00,60.19,60.26,60.18,60.26,284384,991,0
30,2021-04-13,0 days 14:30:00,60.18,60.2,60.17,60.18,281453,2157,0
31,2021-04-13,0 days 14:29:00,60.21,60.23,60.14,60.18,277959,2029,0
32,2021-04-13,0 days 14:28:00,60.22,60.22,60.18,60.22,273358,457,0
33,2021-04-13,0 days 14:27:00,60.16,60.22,60.13,60.21,262848,375,0
34,2021-04-13,0 days 14:26:00,60.2,60.21,60.13,60.15,261578,743,0
35,2021-04-13,0 days 14:25:00,60.23,60.27,60.21,60.21,260546,656,0
36,2021-04-13,0 days 14:24:00,60.27,60.27,60.22,60.22,258992,228,0
37,2021-04-13,0 days 14:23:00,60.3,60.31,60.27,60.27,258623,271,0
38,2021-04-13,0 days 14:22:00,60.29,60.31,60.24,60.29,258183,269,0
39,2021-04-13,0 days 14:21:00,60.29,60.31,60.27,60.28,257773,408,0
40,2021-04-12,0 days 14:40:00,59.61,59.63,59.61,59.62,361407,60,0
41,2021-04-12,0 days 14:39:00,59.63,59.67,59.61,59.62,361328,227,0
42,2021-04-12,0 days 14:38:00,59.61,59.63,59.61,59.63,361093,163,0
43,2021-04-12,0 days 14:37:00,59.61,59.62,59.6,59.61,360928,118,0
44,2021-04-12,0 days 14:36:00,59.59,59.62,59.58,59.61,360810,185,0
