,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-15,0 days 13:40:00,1766.6,1766.7,1766.5,1766.6,179773,46,0
1,2021-04-15,0 days 13:39:00,1766.3,1766.6,1766.2,1766.5,179727,83,0
2,2021-04-15,0 days 13:38:00,1766.5,1766.6,1766.3,1766.3,179644,82,0
3,2021-04-15,0 days 13:37:00,1766.5,1766.6,1766.4,1766.6,179562,29,0
4,2021-04-15,0 days 13:36:00,1766.2,1766.6,1766.2,1766.5,179533,105,0
5,2021-04-15,0 days 13:35:00,1766.3,1766.3,1766.0,1766.2,179428,59,0
6,2021-04-15,0 days 13:34:00,1766.4,1766.4,1766.0,1766.2,179369,60,0
7,2021-04-15,0 days 13:33:00,1766.4,1766.7,1766.1,1766.4,179309,111,0
8,2021-04-15,0 days 13:32:00,1766.2,1766.4,1765.9,1766.4,179198,274,0
9,2021-04-15,0 days 13:31:00,1766.5,1766.7,1766.2,1766.2,178924,297,0
10,2021-04-15,0 days 13:30:00,1766.6,1767.2,1766.4,1766.5,178627,1220,0
11,2021-04-15,0 days 13:29:00,1766.4,1766.8,1766.2,1766.7,177358,233,0
12,2021-04-15,0 days 13:28:00,1766.5,1766.6,1766.2,1766.4,177118,131,0
13,2021-04-15,0 days 13:27:00,1766.3,1766.6,1766.3,1766.5,176983,162,0
14,2021-04-15,0 days 13:26:00,1766.8,1766.9,1766.0,1766.3,176821,423,0
15,2021-04-15,0 days 13:25:00,1767.2,1767.4,1766.7,1766.8,176369,239,0
16,2021-04-15,0 days 13:24:00,1767.0,1767.3,1767.0,1767.1,176130,73,0
17,2021-04-15,0 days 13:23:00,1767.2,1767.3,1766.9,1767.0,176057,91,0
18,2021-04-15,0 days 13:22:00,1767.1,1767.5,1766.8,1767.3,175962,196,0
19,2021-04-15,0 days 13:21:00,1767.2,1767.4,1767.0,1767.1,175766,115,0
20,2021-04-14,0 days 13:40:00,1735.6,1735.6,1735.3,1735.3,133295,43,0
21,2021-04-14,0 days 13:39:00,1735.4,1735.6,1735.4,1735.6,133252,43,0
22,2021-04-14,0 days 13:38:00,1735.5,1735.5,1735.2,1735.4,133209,183,0
23,2021-04-14,0 days 13:37:00,1735.3,1735.4,1735.1,1735.4,133026,57,0
24,2021-04-14,0 days 13:36:00,1735.3,1735.5,1735.1,1735.2,132969,167,0
25,2021-04-14,0 days 13:35:00,1735.3,1735.5,1735.2,1735.3,132802,73,0
26,2021-04-14,0 days 13:34:00,1735.5,1735.5,1735.0,1735.2,132729,222,0
27,2021-04-14,0 days 13:33:00,1735.7,1735.7,1735.6,1735.6,132475,56,0
28,2021-04-14,0 days 13:32:00,1736.2,1736.2,1735.7,1735.7,132419,120,0
29,2021-04-14,0 days 13:31:00,1736.5,1736.8,1736.0,1736.2,132298,186,0
30,2021-04-14,0 days 13:30:00,1735.7,1736.7,1735.6,1736.5,132021,743,0
31,2021-04-14,0 days 13:29:00,1735.7,1735.8,1735.6,1735.6,130269,106,0
32,2021-04-14,0 days 13:28:00,1735.7,1735.9,1735.5,1735.7,130162,160,0
33,2021-04-14,0 days 13:27:00,1736.1,1736.2,1735.7,1735.7,130001,178,0
34,2021-04-14,0 days 13:26:00,1736.4,1736.5,1736.1,1736.1,129822,142,0
