,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-15,0 days 13:10:00,4.218,4.218,4.217,4.217,98852,44,0
1,2021-04-15,0 days 13:09:00,4.218,4.2185,4.2175,4.218,98803,35,0
2,2021-04-15,0 days 13:08:00,4.2205,4.2205,4.218,4.2185,98761,52,0
3,2021-04-15,0 days 13:07:00,4.221,4.221,4.22,4.22,98703,33,0
4,2021-04-15,0 days 13:06:00,4.221,4.2215,4.221,4.2215,98661,31,0
5,2021-04-15,0 days 13:05:00,4.2195,4.2215,4.2195,4.2215,98623,62,0
6,2021-04-15,0 days 13:04:00,4.2185,4.2195,4.2185,4.2195,98542,58,0
7,2021-04-15,0 days 13:03:00,4.218,4.2185,4.217,4.2185,97900,52,0
8,2021-04-15,0 days 13:02:00,4.2215,4.2215,4.218,4.2185,97839,74,0
9,2021-04-15,0 days 13:01:00,4.219,4.2215,4.2185,4.2215,97755,298,0
10,2021-04-15,0 days 13:00:00,4.218,4.2195,4.216,4.2185,97431,470,0
11,2021-04-15,0 days 12:59:00,4.218,4.2185,4.217,4.2185,96584,163,0
12,2021-04-15,0 days 12:58:00,4.2195,4.22,4.217,4.218,96381,92,0
13,2021-04-15,0 days 12:57:00,4.2175,4.2195,4.2175,4.219,96281,111,0
14,2021-04-15,0 days 12:56:00,4.2155,4.218,4.215,4.2175,96131,139,0
15,2021-04-15,0 days 12:55:00,4.216,4.217,4.2155,4.216,95977,106,0
16,2021-04-15,0 days 12:54:00,4.2165,4.2165,4.215,4.2155,95833,47,0
17,2021-04-15,0 days 12:53:00,4.2185,4.2185,4.216,4.216,95688,143,0
18,2021-04-15,0 days 12:52:00,4.22,4.2205,4.2175,4.2185,94992,84,0
19,2021-04-15,0 days 12:51:00,4.218,4.22,4.218,4.22,94885,198,0
20,2021-04-14,0 days 13:10:00,4.1255,4.1265,4.1255,4.126,89462,38,0
21,2021-04-14,0 days 13:09:00,4.125,4.1255,4.1235,4.1255,89424,84,0
22,2021-04-14,0 days 13:08:00,4.1255,4.1255,4.1245,4.125,89340,54,0
23,2021-04-14,0 days 13:07:00,4.1255,4.1255,4.125,4.1255,89278,20,0
24,2021-04-14,0 days 13:06:00,4.1245,4.1255,4.1245,4.1255,89093,20,0
25,2021-04-14,0 days 13:05:00,4.126,4.126,4.1245,4.1245,89052,67,0
26,2021-04-14,0 days 13:04:00,4.1265,4.1265,4.1265,4.1265,88637,11,0
27,2021-04-14,0 days 13:03:00,4.126,4.127,4.125,4.1265,88606,55,0
28,2021-04-14,0 days 13:02:00,4.1275,4.128,4.1255,4.1265,88512,142,0
29,2021-04-14,0 days 13:01:00,4.129,4.1295,4.1275,4.128,88310,212,0
30,2021-04-14,0 days 13:00:00,4.127,4.1305,4.126,4.129,87932,813,0
31,2021-04-14,0 days 12:59:00,4.124,4.1265,4.1235,4.1265,83677,239,0
32,2021-04-14,0 days 12:58:00,4.1245,4.1255,4.124,4.124,83259,107,0
33,2021-04-14,0 days 12:57:00,4.1255,4.1265,4.125,4.125,83075,65,0
34,2021-04-14,0 days 12:56:00,4.1275,4.1275,4.1255,4.126,82933,101,0
35,2021-04-14,0 days 12:55:00,4.127,4.1275,4.1265,4.127,82741,36,0
36,2021-04-14,0 days 12:54:00,4.1275,4.1275,4.127,4.127,82687,43,0
37,2021-04-14,0 days 12:53:00,4.127,4.128,4.1265,4.1275,82621,65,0
38,2021-04-14,0 days 12:52:00,4.125,4.1275,4.1245,4.1275,82086,119,0
39,2021-04-14,0 days 12:51:00,4.1255,4.126,4.1255,4.1255,81951,51,0
40,2021-04-13,0 days 13:10:00,4.0345,4.0355,4.0345,4.035,63004,12,0
41,2021-04-13,0 days 13:09:00,4.035,4.035,4.034,4.0345,62990,45,0
42,2021-04-13,0 days 13:08:00,4.036,4.0365,4.034,4.035,62945,156,0
43,2021-04-13,0 days 13:07:00,4.037,4.0375,4.0365,4.0365,62789,111,0
44,2021-04-13,0 days 13:06:00,4.037,4.0385,4.037,4.037,62675,91,0
45,2021-04-13,0 days 13:05:00,4.0355,4.0365,4.0355,4.0365,62570,45,0
46,2021-04-13,0 days 13:04:00,4.0345,4.036,4.0345,4.0355,62515,39,0
47,2021-04-13,0 days 13:03:00,4.033,4.0345,4.033,4.034,62443,93,0
48,2021-04-13,0 days 13:02:00,4.032,4.033,4.032,4.0325,62325,34,0
49,2021-04-13,0 days 13:01:00,4.032,4.032,4.031,4.0315,62218,132,0
50,2021-04-13,0 days 13:00:00,4.03,4.033,4.03,4.032,61973,402,0
51,2021-04-13,0 days 12:59:00,4.0285,4.0305,4.0285,4.0305,59000,100,0
52,2021-04-13,0 days 12:58:00,4.029,4.0295,4.028,4.028,58687,121,0
53,2021-04-13,0 days 12:57:00,4.0285,4.029,4.028,4.0285,58483,36,0
54,2021-04-13,0 days 12:56:00,4.029,4.029,4.028,4.0285,58375,51,0
55,2021-04-13,0 days 12:55:00,4.028,4.0295,4.028,4.0295,58268,18,0
56,2021-04-13,0 days 12:54:00,4.028,4.0285,4.028,4.028,58227,38,0
57,2021-04-13,0 days 12:53:00,4.0285,4.0285,4.027,4.0285,58174,67,0
58,2021-04-13,0 days 12:52:00,4.0285,4.029,4.028,4.0285,58090,17,0
59,2021-04-13,0 days 12:51:00,4.029,4.0295,4.0285,4.029,58055,18,0
60,2021-04-12,0 days 13:10:00,4.02,4.02,4.0195,4.0195,65558,2,0
61,2021-04-12,0 days 13:09:00,4.0195,4.021,4.0195,4.02,65553,48,0
62,2021-04-12,0 days 13:08:00,4.0215,4.0215,4.0195,4.0195,65501,57,0
63,2021-04-12,0 days 13:07:00,4.0215,4.0215,4.0215,4.0215,65441,3,0
64,2021-04-12,0 days 13:06:00,4.022,4.022,4.021,4.0215,65435,35,0
65,2021-04-12,0 days 13:05:00,4.021,4.0225,4.0205,4.0225,65386,73,0
66,2021-04-12,0 days 13:04:00,4.0175,4.021,4.017,4.021,65297,99,0
67,2021-04-12,0 days 13:03:00,4.0175,4.0175,4.0155,4.0165,65191,69,0
68,2021-04-12,0 days 13:02:00,4.018,4.018,4.0175,4.0175,65089,33,0
69,2021-04-12,0 days 13:01:00,4.019,4.02,4.018,4.0185,65023,119,0
70,2021-04-12,0 days 13:00:00,4.019,4.02,4.0175,4.0185,64743,509,0
71,2021-04-12,0 days 12:59:00,4.019,4.0195,4.018,4.019,61545,103,0
72,2021-04-12,0 days 12:58:00,4.019,4.019,4.0175,4.019,61312,129,0
73,2021-04-12,0 days 12:57:00,4.0195,4.0205,4.019,4.0195,61066,98,0
74,2021-04-12,0 days 12:56:00,4.0175,4.019,4.017,4.019,60931,102,0
75,2021-04-12,0 days 12:55:00,4.0175,4.018,4.0175,4.0175,60688,17,0
76,2021-04-12,0 days 12:54:00,4.018,4.018,4.017,4.0175,60584,17,0
77,2021-04-12,0 days 12:53:00,4.0185,4.0195,4.018,4.018,60526,54,0
78,2021-04-12,0 days 12:52:00,4.0185,4.019,4.0175,4.0185,60420,206,0
79,2021-04-12,0 days 12:51:00,4.0175,4.019,4.0175,4.0185,60196,334,0
80,2021-04-09,0 days 13:10:00,4.0445,4.0445,4.0435,4.0435,57414,40,0
81,2021-04-09,0 days 13:09:00,4.046,4.046,4.044,4.0445,57374,36,0
82,2021-04-09,0 days 13:08:00,4.0455,4.0455,4.0455,4.0455,57319,13,0
83,2021-04-09,0 days 13:07:00,4.0455,4.0455,4.0455,4.0455,57306,1,0
84,2021-04-09,0 days 13:06:00,4.045,4.046,4.045,4.0455,57305,16,0
85,2021-04-09,0 days 13:05:00,4.043,4.0465,4.043,4.046,57280,162,0
86,2021-04-09,0 days 13:04:00,4.0435,4.0435,4.0425,4.043,57096,30,0
87,2021-04-09,0 days 13:03:00,4.0435,4.0435,4.0425,4.043,57058,41,0
88,2021-04-09,0 days 13:02:00,4.0435,4.0435,4.043,4.0435,57002,40,0
89,2021-04-09,0 days 13:01:00,4.041,4.0435,4.04,4.0435,56946,139,0
90,2021-04-09,0 days 13:00:00,4.037,4.042,4.036,4.0415,56748,690,0
91,2021-04-09,0 days 12:59:00,4.037,4.0385,4.0365,4.037,54711,143,0
92,2021-04-09,0 days 12:58:00,4.0395,4.0395,4.037,4.0375,54391,77,0
93,2021-04-09,0 days 12:57:00,4.04,4.0405,4.039,4.04,54282,47,0
94,2021-04-09,0 days 12:56:00,4.0365,4.0405,4.036,4.04,54197,153,0
95,2021-04-09,0 days 12:55:00,4.038,4.038,4.036,4.036,54006,131,0
96,2021-04-09,0 days 12:54:00,4.0395,4.04,4.0375,4.0385,53851,129,0
97,2021-04-09,0 days 12:53:00,4.041,4.041,4.039,4.04,53668,128,0
98,2021-04-09,0 days 12:52:00,4.0415,4.0415,4.0405,4.041,53527,65,0
99,2021-04-09,0 days 12:51:00,4.0425,4.0425,4.0405,4.0415,53433,117,0
100,2021-04-08,0 days 13:10:00,4.094,4.094,4.094,4.094,63020,7,0
101,2021-04-08,0 days 13:09:00,4.095,4.095,4.094,4.094,63013,51,0
102,2021-04-08,0 days 13:08:00,4.095,4.095,4.095,4.095,62962,2,0
103,2021-04-08,0 days 13:07:00,4.095,4.095,4.095,4.095,62958,3,0
104,2021-04-08,0 days 13:06:00,4.096,4.096,4.095,4.095,62951,23,0
105,2021-04-08,0 days 13:05:00,4.096,4.096,4.095,4.0955,62920,39,0
106,2021-04-08,0 days 13:04:00,4.096,4.097,4.0955,4.096,62876,69,0
107,2021-04-08,0 days 13:03:00,4.0955,4.0965,4.0955,4.096,62770,26,0
108,2021-04-08,0 days 13:02:00,4.095,4.0965,4.0945,4.0955,62405,51,0
109,2021-04-08,0 days 13:01:00,4.0945,4.095,4.094,4.0945,62330,96,0
110,2021-04-08,0 days 13:00:00,4.094,4.0955,4.093,4.094,61694,386,0
111,2021-04-08,0 days 12:59:00,4.093,4.095,4.093,4.094,59443,98,0
112,2021-04-08,0 days 12:58:00,4.091,4.0935,4.091,4.093,59256,83,0
113,2021-04-08,0 days 12:57:00,4.09,4.091,4.0895,4.0905,59039,69,0
114,2021-04-08,0 days 12:56:00,4.0925,4.093,4.09,4.09,58942,50,0
115,2021-04-08,0 days 12:55:00,4.0925,4.0935,4.092,4.093,58861,17,0
116,2021-04-08,0 days 12:54:00,4.093,4.093,4.091,4.0925,58836,93,0
117,2021-04-08,0 days 12:53:00,4.093,4.094,4.093,4.0935,58651,16,0
118,2021-04-08,0 days 12:52:00,4.0925,4.093,4.0925,4.093,58626,20,0
119,2021-04-08,0 days 12:51:00,4.093,4.094,4.0925,4.0925,58597,45,0
120,2021-04-07,0 days 13:10:00,4.0575,4.058,4.055,4.0555,61678,276,0
121,2021-04-07,0 days 13:09:00,4.057,4.058,4.057,4.0575,61401,181,0
122,2021-04-07,0 days 13:08:00,4.057,4.058,4.056,4.0575,61220,373,0
123,2021-04-07,0 days 13:07:00,4.057,4.057,4.0565,4.0565,60845,11,0
124,2021-04-07,0 days 13:06:00,4.0555,4.056,4.0555,4.056,60832,9,0
125,2021-04-07,0 days 13:05:00,4.0545,4.0555,4.054,4.0555,60823,31,0
126,2021-04-07,0 days 13:04:00,4.0565,4.0575,4.054,4.054,60792,127,0
127,2021-04-07,0 days 13:03:00,4.0515,4.057,4.0515,4.056,60664,116,0
128,2021-04-07,0 days 13:02:00,4.0525,4.053,4.0515,4.052,60548,161,0
129,2021-04-07,0 days 13:01:00,4.053,4.055,4.052,4.0525,59910,159,0
130,2021-04-07,0 days 13:00:00,4.054,4.055,4.053,4.053,59738,342,0
131,2021-04-07,0 days 12:59:00,4.052,4.0545,4.052,4.054,58924,81,0
132,2021-04-07,0 days 12:58:00,4.0515,4.053,4.0515,4.0525,58617,63,0
133,2021-04-07,0 days 12:57:00,4.0505,4.0525,4.05,4.051,58428,88,0
134,2021-04-07,0 days 12:56:00,4.052,4.0525,4.05,4.0505,58279,140,0
135,2021-04-07,0 days 12:55:00,4.0525,4.054,4.0515,4.0515,58139,62,0
136,2021-04-07,0 days 12:54:00,4.0525,4.0525,4.051,4.052,58073,71,0
137,2021-04-07,0 days 12:53:00,4.0535,4.0535,4.0525,4.053,57990,27,0
138,2021-04-07,0 days 12:52:00,4.052,4.0535,4.052,4.0535,57963,51,0
139,2021-04-07,0 days 12:51:00,4.053,4.0535,4.0515,4.0515,57906,60,0
140,2021-04-06,0 days 13:10:00,4.1135,4.1135,4.113,4.113,74687,10,0
141,2021-04-06,0 days 13:09:00,4.114,4.114,4.114,4.114,74677,5,0
