,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 14:40:00,1.8867,1.8869,1.8863,1.8863,43318,28,0
1,2021-04-14,0 days 14:39:00,1.8864,1.8867,1.8864,1.8867,43095,20,0
2,2021-04-14,0 days 14:38:00,1.8871,1.8872,1.886,1.886,43075,60,0
3,2021-04-14,0 days 14:37:00,1.8874,1.8879,1.8869,1.8872,42994,28,0
4,2021-04-14,0 days 14:36:00,1.8865,1.8871,1.8865,1.887,42964,21,0
5,2021-04-14,0 days 14:35:00,1.8875,1.8875,1.886,1.8865,42927,40,0
6,2021-04-14,0 days 14:34:00,1.8882,1.8883,1.8872,1.8879,42598,46,0
7,2021-04-14,0 days 14:33:00,1.8883,1.8888,1.8882,1.8884,42505,57,0
8,2021-04-14,0 days 14:32:00,1.8888,1.8889,1.8876,1.8882,42384,88,0
9,2021-04-14,0 days 14:31:00,1.8911,1.8912,1.8882,1.8889,42274,327,0
10,2021-04-14,0 days 14:30:00,1.8898,1.8918,1.8895,1.8912,41713,1268,0
11,2021-04-14,0 days 14:29:00,1.887,1.8902,1.887,1.8898,38811,1207,0
12,2021-04-14,0 days 14:28:00,1.8879,1.8886,1.8868,1.8874,36273,235,0
13,2021-04-14,0 days 14:27:00,1.8871,1.8879,1.8871,1.8878,35871,91,0
14,2021-04-14,0 days 14:26:00,1.8875,1.8884,1.8864,1.8871,35712,186,0
15,2021-04-14,0 days 14:25:00,1.8884,1.8884,1.8874,1.8875,35468,46,0
16,2021-04-14,0 days 14:24:00,1.8887,1.8887,1.888,1.8883,35417,46,0
17,2021-04-14,0 days 14:23:00,1.8891,1.8898,1.8883,1.8883,35312,64,0
18,2021-04-14,0 days 14:22:00,1.8881,1.8894,1.8881,1.889,35233,66,0
19,2021-04-14,0 days 14:21:00,1.8893,1.8898,1.8879,1.8879,34977,82,0
20,2021-04-13,0 days 14:40:00,1.8177,1.8178,1.8173,1.8173,36676,17,0
21,2021-04-13,0 days 14:39:00,1.8173,1.8174,1.8171,1.8171,36604,12,0
22,2021-04-13,0 days 14:38:00,1.8168,1.8173,1.8168,1.8173,36574,5,0
23,2021-04-13,0 days 14:37:00,1.8159,1.8169,1.8159,1.8167,36560,22,0
24,2021-04-13,0 days 14:36:00,1.8164,1.8164,1.8161,1.8162,36538,3,0
25,2021-04-13,0 days 14:35:00,1.817,1.817,1.8162,1.8163,36500,19,0
26,2021-04-13,0 days 14:34:00,1.8175,1.8178,1.8171,1.8173,36477,29,0
27,2021-04-13,0 days 14:33:00,1.816,1.8176,1.8158,1.8176,36446,102,0
28,2021-04-13,0 days 14:32:00,1.816,1.8162,1.8157,1.8161,36327,43,0
29,2021-04-13,0 days 14:31:00,1.8151,1.8163,1.8147,1.8163,36268,179,0
30,2021-04-13,0 days 14:30:00,1.8144,1.8157,1.814,1.8151,36027,1127,0
31,2021-04-13,0 days 14:29:00,1.8141,1.815,1.813,1.8145,33322,983,0
32,2021-04-13,0 days 14:28:00,1.8151,1.8155,1.8138,1.8139,31197,218,0
33,2021-04-13,0 days 14:27:00,1.8136,1.8149,1.8131,1.8149,30752,106,0
34,2021-04-13,0 days 14:26:00,1.8151,1.8151,1.8133,1.8135,30583,177,0
35,2021-04-13,0 days 14:25:00,1.8153,1.8161,1.8146,1.8151,30356,137,0
36,2021-04-13,0 days 14:24:00,1.8164,1.8164,1.8151,1.8151,30115,34,0
37,2021-04-13,0 days 14:23:00,1.8169,1.8171,1.8162,1.8165,29960,59,0
38,2021-04-13,0 days 14:22:00,1.8162,1.8174,1.8154,1.8168,29580,112,0
39,2021-04-13,0 days 14:21:00,1.8162,1.8171,1.816,1.8163,29460,74,0
40,2021-04-12,0 days 14:40:00,1.8076,1.8079,1.8076,1.8079,41041,4,0
41,2021-04-12,0 days 14:39:00,1.8074,1.8081,1.8072,1.8072,41030,18,0
42,2021-04-12,0 days 14:38:00,1.807,1.808,1.8068,1.8072,40897,82,0
43,2021-04-12,0 days 14:37:00,1.8066,1.807,1.8066,1.807,40807,20,0
44,2021-04-12,0 days 14:36:00,1.806,1.8069,1.8059,1.8067,40786,33,0
45,2021-04-12,0 days 14:35:00,1.8065,1.8065,1.8059,1.8061,40751,55,0
46,2021-04-12,0 days 14:34:00,1.8067,1.8072,1.8064,1.8065,40680,87,0
47,2021-04-12,0 days 14:33:00,1.808,1.8083,1.8066,1.8066,40446,116,0
48,2021-04-12,0 days 14:32:00,1.8078,1.8082,1.8073,1.8079,40323,68,0
49,2021-04-12,0 days 14:31:00,1.8071,1.8082,1.8067,1.8079,40240,205,0
50,2021-04-12,0 days 14:30:00,1.8075,1.8083,1.8069,1.807,39950,945,0
51,2021-04-12,0 days 14:29:00,1.8089,1.81,1.8069,1.8074,37787,1111,0
52,2021-04-12,0 days 14:28:00,1.8102,1.8115,1.8084,1.8086,34942,220,0
53,2021-04-12,0 days 14:27:00,1.8098,1.8104,1.8094,1.81,34441,144,0
54,2021-04-12,0 days 14:26:00,1.8104,1.8104,1.8088,1.8097,34144,110,0
55,2021-04-12,0 days 14:25:00,1.8094,1.8107,1.8089,1.8102,33979,128,0
56,2021-04-12,0 days 14:24:00,1.8097,1.8104,1.8092,1.8096,33745,40,0
57,2021-04-12,0 days 14:23:00,1.8098,1.8102,1.8088,1.8098,33585,80,0
58,2021-04-12,0 days 14:22:00,1.8091,1.8102,1.8091,1.8102,33469,43,0
59,2021-04-12,0 days 14:21:00,1.8101,1.8103,1.8089,1.8091,33237,128,0
60,2021-04-09,0 days 14:40:00,1.8094,1.8098,1.8092,1.8092,32874,28,0
61,2021-04-09,0 days 14:39:00,1.8093,1.8099,1.8093,1.8095,32791,16,0
62,2021-04-09,0 days 14:38:00,1.8092,1.8095,1.8092,1.8095,32775,13,0
63,2021-04-09,0 days 14:37:00,1.8087,1.8091,1.8085,1.809,32743,13,0
64,2021-04-09,0 days 14:36:00,1.8095,1.8096,1.8086,1.8087,32630,15,0
65,2021-04-09,0 days 14:35:00,1.809,1.8096,1.809,1.8092,32609,21,0
66,2021-04-09,0 days 14:34:00,1.8096,1.8099,1.8087,1.8092,32587,34,0
67,2021-04-09,0 days 14:33:00,1.8096,1.8102,1.8091,1.8102,32497,35,0
68,2021-04-09,0 days 14:32:00,1.8101,1.8107,1.8094,1.8098,32452,44,0
69,2021-04-09,0 days 14:31:00,1.8069,1.8101,1.8061,1.8099,32150,156,0
70,2021-04-09,0 days 14:30:00,1.8086,1.8087,1.8069,1.8071,31795,752,0
71,2021-04-09,0 days 14:29:00,1.8095,1.8095,1.8056,1.8084,30118,800,0
72,2021-04-09,0 days 14:28:00,1.809,1.8128,1.8081,1.8091,28472,648,0
73,2021-04-09,0 days 14:27:00,1.8065,1.809,1.8052,1.809,27320,325,0
74,2021-04-09,0 days 14:26:00,1.8061,1.8068,1.8059,1.8063,26585,81,0
75,2021-04-09,0 days 14:25:00,1.806,1.8066,1.8054,1.8057,26463,54,0
76,2021-04-09,0 days 14:24:00,1.8059,1.8065,1.8057,1.806,26356,40,0
77,2021-04-09,0 days 14:23:00,1.8059,1.8067,1.8054,1.8059,26210,50,0
78,2021-04-09,0 days 14:22:00,1.8056,1.8064,1.8051,1.8058,26063,52,0
79,2021-04-09,0 days 14:21:00,1.8051,1.8058,1.8047,1.8055,25886,73,0
80,2021-04-08,0 days 14:40:00,1.811,1.8112,1.8107,1.8109,30171,23,0
81,2021-04-08,0 days 14:39:00,1.8105,1.8113,1.8105,1.8111,30112,20,0
82,2021-04-08,0 days 14:38:00,1.8102,1.8109,1.8102,1.8109,30078,16,0
83,2021-04-08,0 days 14:37:00,1.8104,1.8106,1.8101,1.8104,30062,68,0
84,2021-04-08,0 days 14:36:00,1.8088,1.8101,1.8084,1.8101,29974,107,0
85,2021-04-08,0 days 14:35:00,1.8088,1.8094,1.8083,1.809,29864,58,0
86,2021-04-08,0 days 14:34:00,1.8085,1.8091,1.8079,1.8091,29780,67,0
87,2021-04-08,0 days 14:33:00,1.8089,1.8092,1.8086,1.8086,29677,31,0
88,2021-04-08,0 days 14:32:00,1.8092,1.8097,1.8091,1.8091,29603,41,0
89,2021-04-08,0 days 14:31:00,1.8097,1.8097,1.808,1.8094,29544,309,0
90,2021-04-08,0 days 14:30:00,1.81,1.8104,1.8094,1.8099,29157,748,0
91,2021-04-08,0 days 14:29:00,1.8089,1.8103,1.8088,1.8101,27157,654,0
92,2021-04-08,0 days 14:28:00,1.8102,1.8103,1.8083,1.8087,25584,177,0
93,2021-04-08,0 days 14:27:00,1.8099,1.8104,1.8095,1.8101,25092,171,0
94,2021-04-08,0 days 14:26:00,1.8093,1.8099,1.8088,1.8097,24835,99,0
95,2021-04-08,0 days 14:25:00,1.8091,1.8092,1.8079,1.809,24681,80,0
96,2021-04-08,0 days 14:24:00,1.8091,1.8099,1.8085,1.8093,24534,63,0
97,2021-04-08,0 days 14:23:00,1.8091,1.8093,1.8081,1.8091,24462,46,0
98,2021-04-08,0 days 14:22:00,1.8089,1.8092,1.8087,1.8088,24412,54,0
99,2021-04-08,0 days 14:21:00,1.8087,1.8091,1.808,1.8087,24294,115,0
100,2021-04-07,0 days 14:40:00,1.7996,1.8001,1.7993,1.7998,36427,10,0
101,2021-04-07,0 days 14:39:00,1.8015,1.8015,1.7999,1.8002,36408,39,0
102,2021-04-07,0 days 14:38:00,1.8008,1.8021,1.8008,1.8016,36220,53,0
103,2021-04-07,0 days 14:37:00,1.802,1.802,1.8001,1.8008,36160,24,0
104,2021-04-07,0 days 14:36:00,1.8026,1.8026,1.8017,1.8021,36134,40,0
105,2021-04-07,0 days 14:35:00,1.8035,1.8037,1.8029,1.803,36092,47,0
106,2021-04-07,0 days 14:34:00,1.8052,1.8053,1.8039,1.804,36030,44,0
107,2021-04-07,0 days 14:33:00,1.8062,1.8063,1.805,1.8052,35953,93,0
108,2021-04-07,0 days 14:32:00,1.8065,1.807,1.8063,1.807,35767,28,0
109,2021-04-07,0 days 14:31:00,1.8067,1.8077,1.806,1.8066,35521,209,0
110,2021-04-07,0 days 14:30:00,1.8082,1.8084,1.8066,1.8066,35260,754,0
111,2021-04-07,0 days 14:29:00,1.8097,1.8098,1.8074,1.8081,34106,662,0
112,2021-04-07,0 days 14:28:00,1.8091,1.8107,1.809,1.8096,33155,273,0
113,2021-04-07,0 days 14:27:00,1.8095,1.8096,1.8086,1.8091,32788,159,0
114,2021-04-07,0 days 14:26:00,1.808,1.8093,1.8068,1.8093,32587,286,0
115,2021-04-07,0 days 14:25:00,1.8078,1.808,1.8065,1.8078,32262,220,0
116,2021-04-07,0 days 14:24:00,1.8069,1.8082,1.8063,1.8078,31971,131,0
117,2021-04-07,0 days 14:23:00,1.806,1.8071,1.8057,1.807,31784,130,0
118,2021-04-07,0 days 14:22:00,1.8054,1.8063,1.8048,1.8059,31614,134,0
119,2021-04-07,0 days 14:21:00,1.8052,1.8056,1.804,1.8051,31193,217,0
120,2021-04-06,0 days 14:40:00,1.7926,1.7937,1.7923,1.7933,33754,32,0
121,2021-04-06,0 days 14:39:00,1.7925,1.7925,1.7924,1.7924,33707,2,0
122,2021-04-06,0 days 14:38:00,1.7924,1.7925,1.7919,1.7921,33705,11,0
123,2021-04-06,0 days 14:37:00,1.793,1.793,1.7921,1.7921,33694,17,0
124,2021-04-06,0 days 14:36:00,1.7938,1.7938,1.793,1.793,33654,10,0
125,2021-04-06,0 days 14:35:00,1.795,1.7951,1.7938,1.7938,33644,10,0
126,2021-04-06,0 days 14:34:00,1.7938,1.7953,1.7938,1.795,33633,49,0
127,2021-04-06,0 days 14:33:00,1.7924,1.7941,1.7924,1.7938,33574,74,0
128,2021-04-06,0 days 14:32:00,1.7925,1.7935,1.792,1.7926,33500,82,0
129,2021-04-06,0 days 14:31:00,1.7938,1.7939,1.7924,1.7925,33303,175,0
