,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 14:40:00,2.624,2.624,2.623,2.624,103614,25,0
1,2021-04-14,0 days 14:39:00,2.624,2.625,2.624,2.624,103566,56,0
2,2021-04-14,0 days 14:38:00,2.623,2.624,2.623,2.624,103501,85,0
3,2021-04-14,0 days 14:37:00,2.623,2.623,2.622,2.622,103315,39,0
4,2021-04-14,0 days 14:36:00,2.622,2.623,2.622,2.623,103232,11,0
5,2021-04-14,0 days 14:35:00,2.622,2.623,2.621,2.622,103215,185,0
6,2021-04-14,0 days 14:34:00,2.621,2.622,2.621,2.622,102815,94,0
7,2021-04-14,0 days 14:33:00,2.621,2.622,2.62,2.621,102466,233,0
8,2021-04-14,0 days 14:32:00,2.619,2.621,2.619,2.62,101948,153,0
9,2021-04-14,0 days 14:31:00,2.618,2.621,2.618,2.62,101418,751,0
10,2021-04-14,0 days 14:30:00,2.618,2.621,2.616,2.619,99145,1123,0
11,2021-04-14,0 days 14:29:00,2.614,2.619,2.614,2.617,95327,1008,0
12,2021-04-14,0 days 14:28:00,2.616,2.616,2.613,2.613,91093,108,0
13,2021-04-14,0 days 14:27:00,2.616,2.617,2.615,2.617,90407,30,0
14,2021-04-14,0 days 14:26:00,2.616,2.616,2.614,2.615,90192,121,0
15,2021-04-14,0 days 14:25:00,2.615,2.615,2.614,2.615,89896,51,0
16,2021-04-14,0 days 14:24:00,2.617,2.618,2.615,2.615,89626,107,0
17,2021-04-14,0 days 14:23:00,2.617,2.617,2.616,2.617,89296,62,0
18,2021-04-14,0 days 14:22:00,2.617,2.617,2.617,2.617,89087,72,0
19,2021-04-14,0 days 14:21:00,2.619,2.619,2.615,2.616,88910,133,0
20,2021-04-13,0 days 14:40:00,2.628,2.629,2.627,2.628,136544,290,0
21,2021-04-13,0 days 14:39:00,2.627,2.627,2.626,2.627,136052,35,0
22,2021-04-13,0 days 14:38:00,2.628,2.628,2.627,2.628,135998,14,0
23,2021-04-13,0 days 14:37:00,2.626,2.627,2.625,2.627,135859,49,0
24,2021-04-13,0 days 14:36:00,2.626,2.628,2.625,2.626,135794,254,0
25,2021-04-13,0 days 14:35:00,2.624,2.626,2.623,2.626,135495,173,0
26,2021-04-13,0 days 14:34:00,2.623,2.624,2.623,2.624,134209,33,0
27,2021-04-13,0 days 14:33:00,2.623,2.624,2.622,2.623,134176,113,0
28,2021-04-13,0 days 14:32:00,2.623,2.625,2.621,2.624,134014,335,0
29,2021-04-13,0 days 14:31:00,2.615,2.624,2.615,2.623,133591,558,0
30,2021-04-13,0 days 14:30:00,2.621,2.622,2.614,2.615,130880,1891,0
31,2021-04-13,0 days 14:29:00,2.621,2.622,2.618,2.621,124693,1156,0
32,2021-04-13,0 days 14:28:00,2.621,2.625,2.619,2.62,119828,605,0
33,2021-04-13,0 days 14:27:00,2.616,2.622,2.616,2.621,118883,562,0
34,2021-04-13,0 days 14:26:00,2.62,2.62,2.616,2.616,117191,482,0
35,2021-04-13,0 days 14:25:00,2.622,2.622,2.619,2.619,116351,162,0
36,2021-04-13,0 days 14:24:00,2.622,2.624,2.622,2.622,115984,186,0
37,2021-04-13,0 days 14:23:00,2.623,2.624,2.622,2.623,115209,203,0
38,2021-04-13,0 days 14:22:00,2.623,2.624,2.621,2.623,114480,112,0
39,2021-04-13,0 days 14:21:00,2.625,2.626,2.622,2.623,114311,265,0
40,2021-04-12,0 days 14:40:00,2.56,2.56,2.56,2.56,117045,1,0
41,2021-04-12,0 days 14:39:00,2.56,2.561,2.56,2.56,117044,4,0
42,2021-04-12,0 days 14:38:00,2.561,2.561,2.56,2.561,116932,83,0
43,2021-04-12,0 days 14:37:00,2.561,2.561,2.56,2.561,116817,76,0
44,2021-04-12,0 days 14:36:00,2.56,2.56,2.56,2.56,116196,12,0
45,2021-04-12,0 days 14:35:00,2.56,2.561,2.56,2.561,116158,6,0
46,2021-04-12,0 days 14:34:00,2.56,2.561,2.56,2.561,116026,201,0
47,2021-04-12,0 days 14:33:00,2.56,2.561,2.56,2.56,115650,402,0
48,2021-04-12,0 days 14:32:00,2.562,2.562,2.56,2.561,114919,240,0
49,2021-04-12,0 days 14:31:00,2.562,2.563,2.56,2.562,114246,466,0
50,2021-04-12,0 days 14:30:00,2.56,2.561,2.56,2.561,111829,1476,0
51,2021-04-12,0 days 14:29:00,2.562,2.562,2.56,2.561,107318,666,0
52,2021-04-12,0 days 14:28:00,2.557,2.561,2.557,2.561,103453,241,0
53,2021-04-12,0 days 14:27:00,2.554,2.558,2.554,2.557,102931,171,0
54,2021-04-12,0 days 14:26:00,2.558,2.559,2.552,2.554,102223,394,0
55,2021-04-12,0 days 14:25:00,2.558,2.559,2.557,2.558,100819,132,0
56,2021-04-12,0 days 14:24:00,2.558,2.561,2.558,2.559,100164,213,0
57,2021-04-12,0 days 14:23:00,2.565,2.565,2.553,2.557,99833,1474,0
58,2021-04-12,0 days 14:22:00,2.565,2.567,2.564,2.565,96739,84,0
59,2021-04-12,0 days 14:21:00,2.57,2.571,2.563,2.564,95951,455,0
60,2021-04-09,0 days 14:40:00,2.533,2.534,2.533,2.534,92539,22,0
61,2021-04-09,0 days 14:39:00,2.532,2.533,2.532,2.533,92501,50,0
62,2021-04-09,0 days 14:38:00,2.533,2.533,2.531,2.532,92451,25,0
63,2021-04-09,0 days 14:37:00,2.532,2.534,2.532,2.533,92425,283,0
64,2021-04-09,0 days 14:36:00,2.53,2.531,2.53,2.531,91859,28,0
65,2021-04-09,0 days 14:35:00,2.53,2.532,2.53,2.531,91570,110,0
66,2021-04-09,0 days 14:34:00,2.529,2.532,2.529,2.531,90319,327,0
67,2021-04-09,0 days 14:33:00,2.529,2.531,2.528,2.529,89900,263,0
68,2021-04-09,0 days 14:32:00,2.529,2.53,2.529,2.529,89344,135,0
69,2021-04-09,0 days 14:31:00,2.526,2.53,2.525,2.529,88729,281,0
70,2021-04-09,0 days 14:30:00,2.525,2.527,2.524,2.526,87978,1648,0
71,2021-04-09,0 days 14:29:00,2.534,2.534,2.524,2.525,82354,1421,0
72,2021-04-09,0 days 14:28:00,2.531,2.536,2.531,2.535,76560,301,0
73,2021-04-09,0 days 14:27:00,2.529,2.532,2.527,2.531,74978,187,0
74,2021-04-09,0 days 14:26:00,2.529,2.53,2.528,2.529,74607,75,0
75,2021-04-09,0 days 14:25:00,2.531,2.531,2.529,2.53,74369,63,0
76,2021-04-09,0 days 14:24:00,2.527,2.535,2.527,2.531,74272,381,0
77,2021-04-09,0 days 14:23:00,2.527,2.529,2.527,2.528,72879,103,0
78,2021-04-09,0 days 14:22:00,2.529,2.53,2.528,2.528,72450,41,0
79,2021-04-09,0 days 14:21:00,2.529,2.531,2.529,2.529,72373,114,0
80,2021-04-08,0 days 14:40:00,2.524,2.526,2.522,2.523,112124,203,0
81,2021-04-08,0 days 14:39:00,2.523,2.524,2.523,2.524,111899,42,0
82,2021-04-08,0 days 14:38:00,2.523,2.524,2.522,2.524,111854,106,0
83,2021-04-08,0 days 14:37:00,2.522,2.523,2.522,2.522,111274,128,0
84,2021-04-08,0 days 14:36:00,2.522,2.523,2.521,2.522,111085,85,0
85,2021-04-08,0 days 14:35:00,2.521,2.522,2.521,2.521,110591,33,0
86,2021-04-08,0 days 14:34:00,2.52,2.521,2.52,2.521,110169,41,0
87,2021-04-08,0 days 14:33:00,2.52,2.522,2.52,2.521,109919,146,0
88,2021-04-08,0 days 14:32:00,2.519,2.521,2.519,2.521,109703,184,0
89,2021-04-08,0 days 14:31:00,2.524,2.525,2.518,2.52,109237,1000,0
90,2021-04-08,0 days 14:30:00,2.524,2.525,2.521,2.524,107550,2292,0
91,2021-04-08,0 days 14:29:00,2.515,2.525,2.515,2.524,102527,2592,0
92,2021-04-08,0 days 14:28:00,2.511,2.515,2.508,2.515,94642,464,0
93,2021-04-08,0 days 14:27:00,2.508,2.514,2.507,2.511,93575,295,0
94,2021-04-08,0 days 14:26:00,2.509,2.509,2.506,2.508,93128,253,0
95,2021-04-08,0 days 14:25:00,2.508,2.508,2.506,2.508,91892,84,0
96,2021-04-08,0 days 14:24:00,2.508,2.509,2.507,2.507,91478,107,0
97,2021-04-08,0 days 14:23:00,2.508,2.508,2.506,2.508,90958,293,0
98,2021-04-08,0 days 14:22:00,2.51,2.51,2.506,2.507,89875,188,0
99,2021-04-08,0 days 14:21:00,2.509,2.511,2.509,2.509,89524,131,0
100,2021-04-07,0 days 14:40:00,2.516,2.517,2.516,2.516,119329,76,0
101,2021-04-07,0 days 14:39:00,2.516,2.517,2.515,2.515,119241,69,0
102,2021-04-07,0 days 14:38:00,2.516,2.517,2.515,2.516,119153,140,0
103,2021-04-07,0 days 14:37:00,2.516,2.517,2.516,2.516,118996,21,0
104,2021-04-07,0 days 14:36:00,2.515,2.516,2.515,2.516,118964,186,0
105,2021-04-07,0 days 14:35:00,2.518,2.518,2.515,2.515,118761,303,0
106,2021-04-07,0 days 14:34:00,2.521,2.521,2.518,2.518,118381,134,0
107,2021-04-07,0 days 14:33:00,2.521,2.521,2.521,2.521,118090,71,0
108,2021-04-07,0 days 14:32:00,2.521,2.522,2.52,2.522,117996,91,0
109,2021-04-07,0 days 14:31:00,2.519,2.523,2.517,2.521,117896,815,0
110,2021-04-07,0 days 14:30:00,2.521,2.521,2.518,2.519,117003,1671,0
111,2021-04-07,0 days 14:29:00,2.525,2.527,2.518,2.52,113309,1814,0
112,2021-04-07,0 days 14:28:00,2.532,2.532,2.524,2.525,110277,478,0
113,2021-04-07,0 days 14:27:00,2.529,2.533,2.529,2.533,109530,518,0
114,2021-04-07,0 days 14:26:00,2.527,2.53,2.527,2.53,108840,360,0
115,2021-04-07,0 days 14:25:00,2.525,2.529,2.525,2.526,108333,361,0
116,2021-04-07,0 days 14:24:00,2.528,2.529,2.525,2.526,107886,315,0
117,2021-04-07,0 days 14:23:00,2.528,2.529,2.527,2.528,107522,125,0
118,2021-04-07,0 days 14:22:00,2.527,2.529,2.527,2.529,107322,175,0
119,2021-04-07,0 days 14:21:00,2.527,2.529,2.526,2.528,107029,215,0
120,2021-04-06,0 days 14:40:00,2.455,2.456,2.455,2.456,125872,148,0
121,2021-04-06,0 days 14:39:00,2.456,2.456,2.456,2.456,125574,2,0
122,2021-04-06,0 days 14:38:00,2.457,2.458,2.456,2.456,125554,238,0
123,2021-04-06,0 days 14:37:00,2.457,2.458,2.456,2.457,125240,249,0
124,2021-04-06,0 days 14:36:00,2.456,2.457,2.455,2.456,124934,244,0
125,2021-04-06,0 days 14:35:00,2.457,2.457,2.455,2.455,124625,168,0
126,2021-04-06,0 days 14:34:00,2.455,2.458,2.455,2.458,124429,292,0
127,2021-04-06,0 days 14:33:00,2.455,2.455,2.454,2.455,124060,45,0
128,2021-04-06,0 days 14:32:00,2.455,2.456,2.454,2.454,123900,268,0
129,2021-04-06,0 days 14:31:00,2.458,2.459,2.455,2.455,123605,965,0
130,2021-04-06,0 days 14:30:00,2.455,2.458,2.455,2.457,121905,2203,0
131,2021-04-06,0 days 14:29:00,2.458,2.458,2.453,2.456,117407,1744,0
132,2021-04-06,0 days 14:28:00,2.461,2.461,2.456,2.458,114142,1698,0
133,2021-04-06,0 days 14:27:00,2.463,2.465,2.461,2.462,111294,362,0
134,2021-04-06,0 days 14:26:00,2.464,2.465,2.462,2.464,110831,361,0
135,2021-04-06,0 days 14:25:00,2.464,2.465,2.463,2.463,110323,121,0
136,2021-04-06,0 days 14:24:00,2.463,2.465,2.463,2.464,109921,108,0
137,2021-04-06,0 days 14:23:00,2.464,2.464,2.462,2.464,109591,362,0
138,2021-04-06,0 days 14:22:00,2.468,2.469,2.462,2.463,109121,402,0
139,2021-04-06,0 days 14:21:00,2.469,2.47,2.468,2.469,108303,101,0
140,2021-04-05,0 days 14:40:00,2.51,2.511,2.51,2.51,131726,20,0
141,2021-04-05,0 days 14:39:00,2.512,2.512,2.51,2.51,131704,51,0
142,2021-04-05,0 days 14:38:00,2.512,2.512,2.511,2.512,131652,6,0
143,2021-04-05,0 days 14:37:00,2.511,2.512,2.51,2.511,131481,107,0
144,2021-04-05,0 days 14:36:00,2.51,2.511,2.51,2.51,131070,82,0
145,2021-04-05,0 days 14:35:00,2.511,2.511,2.51,2.51,130985,150,0
146,2021-04-05,0 days 14:34:00,2.511,2.511,2.511,2.511,130815,45,0
147,2021-04-05,0 days 14:33:00,2.512,2.512,2.51,2.51,130728,127,0
148,2021-04-05,0 days 14:32:00,2.512,2.513,2.51,2.511,130600,279,0
149,2021-04-05,0 days 14:31:00,2.508,2.513,2.508,2.513,130313,854,0
150,2021-04-05,0 days 14:30:00,2.512,2.513,2.507,2.509,129355,1430,0
151,2021-04-05,0 days 14:29:00,2.513,2.515,2.511,2.512,126102,954,0
152,2021-04-05,0 days 14:28:00,2.514,2.514,2.512,2.514,123686,248,0
153,2021-04-05,0 days 14:27:00,2.516,2.517,2.513,2.513,122525,289,0
154,2021-04-05,0 days 14:26:00,2.512,2.515,2.511,2.515,121929,269,0
155,2021-04-05,0 days 14:25:00,2.512,2.513,2.511,2.512,121622,183,0
156,2021-04-05,0 days 14:24:00,2.514,2.514,2.511,2.511,121396,168,0
157,2021-04-05,0 days 14:23:00,2.512,2.515,2.512,2.514,120715,138,0
158,2021-04-05,0 days 14:22:00,2.513,2.513,2.511,2.512,120503,142,0
159,2021-04-05,0 days 14:21:00,2.514,2.514,2.512,2.512,120356,288,0
160,2021-04-01,0 days 14:40:00,2.644,2.644,2.643,2.644,104078,21,0
161,2021-04-01,0 days 14:39:00,2.643,2.644,2.643,2.644,104057,10,0
162,2021-04-01,0 days 14:38:00,2.643,2.644,2.643,2.643,104047,27,0
163,2021-04-01,0 days 14:37:00,2.643,2.644,2.642,2.643,104013,72,0
164,2021-04-01,0 days 14:36:00,2.642,2.644,2.642,2.643,103929,132,0
165,2021-04-01,0 days 14:35:00,2.642,2.642,2.641,2.642,103752,42,0
166,2021-04-01,0 days 14:34:00,2.64,2.642,2.64,2.642,103709,30,0
167,2021-04-01,0 days 14:33:00,2.64,2.642,2.64,2.641,103678,133,0
168,2021-04-01,0 days 14:32:00,2.64,2.641,2.639,2.64,103534,115,0
169,2021-04-01,0 days 14:31:00,2.64,2.641,2.638,2.641,103403,385,0
170,2021-04-01,0 days 14:30:00,2.638,2.641,2.637,2.641,102725,1003,0
171,2021-04-01,0 days 14:29:00,2.638,2.64,2.636,2.638,101174,1100,0
172,2021-04-01,0 days 14:28:00,2.638,2.641,2.638,2.638,98576,265,0
173,2021-04-01,0 days 14:27:00,2.635,2.639,2.635,2.639,97775,105,0
174,2021-04-01,0 days 14:26:00,2.636,2.637,2.635,2.636,97548,92,0
175,2021-04-01,0 days 14:25:00,2.635,2.636,2.635,2.635,97372,68,0
176,2021-04-01,0 days 14:24:00,2.636,2.637,2.636,2.636,97259,43,0
177,2021-04-01,0 days 14:23:00,2.635,2.636,2.633,2.636,97190,102,0
178,2021-04-01,0 days 14:22:00,2.636,2.636,2.634,2.635,96833,55,0
179,2021-04-01,0 days 14:21:00,2.635,2.636,2.635,2.636,96755,106,0
180,2021-03-31,0 days 14:40:00,2.611,2.611,2.61,2.61,82955,6,0
181,2021-03-31,0 days 14:39:00,2.611,2.611,2.61,2.61,82949,23,0
182,2021-03-31,0 days 14:38:00,2.611,2.612,2.611,2.611,82913,35,0
183,2021-03-31,0 days 14:37:00,2.612,2.613,2.61,2.611,82876,63,0
184,2021-03-31,0 days 14:36:00,2.611,2.612,2.611,2.612,82795,19,0
185,2021-03-31,0 days 14:35:00,2.61,2.611,2.61,2.611,82768,42,0
186,2021-03-31,0 days 14:34:00,2.612,2.612,2.61,2.61,82721,73,0
187,2021-03-31,0 days 14:33:00,2.612,2.614,2.612,2.613,82635,140,0
188,2021-03-31,0 days 14:32:00,2.607,2.611,2.607,2.611,82425,92,0
189,2021-03-31,0 days 14:31:00,2.605,2.607,2.605,2.607,82172,259,0
190,2021-03-31,0 days 14:30:00,2.607,2.609,2.604,2.605,80992,1183,0
191,2021-03-31,0 days 14:29:00,2.609,2.612,2.607,2.607,79088,929,0
192,2021-03-31,0 days 14:28:00,2.61,2.61,2.609,2.61,76878,75,0
193,2021-03-31,0 days 14:27:00,2.609,2.609,2.608,2.609,76262,104,0
194,2021-03-31,0 days 14:26:00,2.607,2.608,2.607,2.608,76137,81,0
195,2021-03-31,0 days 14:25:00,2.608,2.608,2.607,2.607,75843,45,0
196,2021-03-31,0 days 14:24:00,2.609,2.609,2.607,2.608,75781,104,0
197,2021-03-31,0 days 14:23:00,2.61,2.61,2.607,2.608,75472,128,0
198,2021-03-31,0 days 14:22:00,2.611,2.611,2.61,2.61,74815,39,0
199,2021-03-31,0 days 14:21:00,2.611,2.613,2.61,2.611,74717,186,0
200,2021-03-30,0 days 14:40:00,2.616,2.616,2.616,2.616,92274,18,0
201,2021-03-30,0 days 14:39:00,2.616,2.616,2.616,2.616,92240,14,0
202,2021-03-30,0 days 14:38:00,2.618,2.618,2.616,2.616,92226,67,0
203,2021-03-30,0 days 14:37:00,2.618,2.618,2.617,2.617,92159,9,0
204,2021-03-30,0 days 14:36:00,2.617,2.618,2.617,2.618,92149,18,0
205,2021-03-30,0 days 14:35:00,2.617,2.618,2.615,2.618,92131,95,0
206,2021-03-30,0 days 14:34:00,2.622,2.622,2.617,2.617,92028,171,0
207,2021-03-30,0 days 14:33:00,2.622,2.622,2.621,2.621,91700,40,0
208,2021-03-30,0 days 14:32:00,2.621,2.622,2.62,2.622,91651,153,0
209,2021-03-30,0 days 14:31:00,2.622,2.623,2.62,2.621,91467,258,0
210,2021-03-30,0 days 14:30:00,2.624,2.625,2.62,2.621,90887,1263,0
211,2021-03-30,0 days 14:29:00,2.621,2.625,2.618,2.624,88899,1320,0
212,2021-03-30,0 days 14:28:00,2.626,2.626,2.62,2.621,87020,340,0
213,2021-03-30,0 days 14:27:00,2.627,2.628,2.625,2.626,86644,280,0
214,2021-03-30,0 days 14:26:00,2.626,2.628,2.626,2.626,86312,172,0
215,2021-03-30,0 days 14:25:00,2.624,2.626,2.624,2.625,86137,142,0
216,2021-03-30,0 days 14:24:00,2.624,2.624,2.623,2.624,85981,43,0
