,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-15,0 days 13:08:00,2740.0,2740.0,2738.5,2738.5,1411,10,0
1,2021-04-15,0 days 13:04:00,2738.0,2738.0,2738.0,2738.0,1401,1,0
2,2021-04-15,0 days 13:03:00,2736.5,2736.5,2736.5,2736.5,1400,1,0
3,2021-04-15,0 days 13:00:00,2740.0,2740.5,2737.5,2740.0,1399,21,0
4,2021-04-15,0 days 12:59:00,2737.0,2740.0,2737.0,2739.0,1378,19,0
5,2021-04-15,0 days 12:58:00,2735.0,2735.0,2735.0,2735.0,1359,1,0
6,2021-04-15,0 days 12:57:00,2736.5,2736.5,2736.5,2736.5,1358,1,0
7,2021-04-15,0 days 12:56:00,2738.5,2740.5,2734.5,2734.5,1357,18,0
8,2021-04-14,0 days 13:15:00,2684.0,2684.0,2684.0,2684.0,1162,2,0
9,2021-04-14,0 days 13:13:00,2684.0,2684.0,2684.0,2684.0,1160,1,0
10,2021-04-14,0 days 13:12:00,2682.0,2682.0,2682.0,2682.0,1159,1,0
11,2021-04-14,0 days 13:11:00,2680.0,2680.0,2680.0,2680.0,1158,1,0
12,2021-04-14,0 days 13:05:00,2680.0,2680.0,2680.0,2680.0,1155,1,0
13,2021-04-14,0 days 13:01:00,2679.0,2680.5,2678.5,2680.0,1154,7,0
14,2021-04-14,0 days 13:00:00,2681.0,2682.0,2678.0,2679.5,1147,31,0
15,2021-04-14,0 days 12:59:00,2679.0,2680.0,2675.0,2679.5,1116,16,0
16,2021-04-14,0 days 12:58:00,2680.0,2680.5,2677.0,2677.0,1100,18,0
17,2021-04-14,0 days 12:56:00,2682.0,2682.0,2680.0,2680.0,1082,2,0
18,2021-04-13,0 days 13:15:00,2697.5,2697.5,2697.5,2697.5,1438,1,0
19,2021-04-13,0 days 13:03:00,2696.0,2696.0,2693.5,2693.5,1437,8,0
20,2021-04-13,0 days 13:01:00,2697.5,2698.0,2696.0,2696.0,1428,8,0
21,2021-04-13,0 days 13:00:00,2695.0,2698.0,2695.0,2696.5,1420,23,0
22,2021-04-13,0 days 12:59:00,2694.5,2698.0,2692.5,2695.5,1397,22,0
23,2021-04-13,0 days 12:57:00,2694.0,2694.0,2694.0,2694.0,1375,1,0
24,2021-04-12,0 days 13:15:00,2664.0,2664.0,2664.0,2664.0,1485,1,0
25,2021-04-12,0 days 13:13:00,2666.0,2667.0,2666.0,2667.0,1484,2,0
26,2021-04-12,0 days 13:12:00,2666.5,2666.5,2666.5,2666.5,1482,1,0
27,2021-04-12,0 days 13:10:00,2667.0,2668.0,2667.0,2668.0,1481,5,0
28,2021-04-12,0 days 13:07:00,2664.0,2664.0,2664.0,2664.0,1476,1,0
29,2021-04-12,0 days 13:05:00,2668.5,2670.0,2668.5,2668.5,1475,5,0
30,2021-04-12,0 days 13:01:00,2670.0,2671.5,2668.5,2668.5,1470,6,0
31,2021-04-12,0 days 13:00:00,2674.0,2674.0,2667.5,2669.5,1464,27,0
32,2021-04-12,0 days 12:59:00,2678.0,2678.0,2669.0,2675.0,1422,42,0
33,2021-04-12,0 days 12:58:00,2676.0,2679.0,2675.0,2679.0,1359,16,0
34,2021-04-12,0 days 12:57:00,2680.0,2682.0,2680.0,2681.0,1343,5,0
35,2021-04-12,0 days 12:56:00,2678.5,2679.5,2678.5,2679.5,1338,2,0
