,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-15,0 days 13:15:00,1200.3,1200.3,1199.8,1199.8,11342,9,0
1,2021-04-15,0 days 13:14:00,1200.4,1200.5,1200.2,1200.5,11333,14,0
2,2021-04-15,0 days 13:13:00,1200.7,1200.7,1200.4,1200.5,11319,9,0
3,2021-04-15,0 days 13:12:00,1200.6,1200.8,1200.6,1200.7,11310,7,0
4,2021-04-15,0 days 13:11:00,1201.1,1201.2,1200.3,1200.6,11303,13,0
5,2021-04-15,0 days 13:10:00,1201.1,1201.5,1200.7,1200.7,11290,21,0
6,2021-04-15,0 days 13:09:00,1200.9,1201.3,1200.9,1201.1,11269,8,0
7,2021-04-15,0 days 13:08:00,1200.5,1201.3,1200.3,1201.3,11261,24,0
8,2021-04-15,0 days 13:07:00,1201.1,1201.5,1200.3,1200.3,11237,17,0
9,2021-04-15,0 days 13:06:00,1201.4,1201.6,1201.1,1201.1,11220,41,0
10,2021-04-15,0 days 13:05:00,1200.3,1202.0,1199.9,1201.2,11179,162,0
11,2021-04-15,0 days 13:04:00,1197.5,1200.5,1197.0,1200.0,11016,119,0
12,2021-04-15,0 days 13:03:00,1196.4,1197.5,1196.4,1197.3,10897,39,0
13,2021-04-15,0 days 13:02:00,1197.7,1197.7,1196.4,1196.6,10858,21,0
14,2021-04-15,0 days 13:01:00,1198.6,1198.6,1197.7,1197.8,10837,39,0
15,2021-04-15,0 days 13:00:00,1198.8,1198.8,1198.4,1198.6,10798,5,0
16,2021-04-15,0 days 12:59:00,1198.9,1198.9,1198.9,1198.9,10793,1,0
17,2021-04-15,0 days 12:58:00,1199.3,1199.3,1199.0,1199.0,10792,3,0
18,2021-04-15,0 days 12:57:00,1198.9,1199.2,1198.9,1199.2,10789,4,0
19,2021-04-15,0 days 12:56:00,1198.9,1199.5,1198.8,1198.8,10785,14,0
20,2021-04-14,0 days 13:15:00,1177.8,1177.8,1177.1,1177.7,12503,28,0
21,2021-04-14,0 days 13:14:00,1178.5,1178.5,1178.5,1178.5,12475,1,0
22,2021-04-14,0 days 13:13:00,1177.8,1178.2,1177.8,1178.2,12474,10,0
23,2021-04-14,0 days 13:12:00,1177.4,1177.8,1177.4,1177.7,12464,10,0
24,2021-04-14,0 days 13:11:00,1177.6,1177.6,1177.6,1177.6,12454,1,0
25,2021-04-14,0 days 13:10:00,1177.1,1177.5,1177.1,1177.2,12453,9,0
26,2021-04-14,0 days 13:09:00,1177.0,1177.0,1177.0,1177.0,12444,2,0
27,2021-04-14,0 days 13:07:00,1176.8,1177.4,1176.8,1177.0,12442,7,0
28,2021-04-14,0 days 13:06:00,1176.9,1177.1,1176.5,1176.8,12435,9,0
29,2021-04-14,0 days 13:05:00,1176.6,1177.8,1176.5,1177.4,12425,74,0
30,2021-04-14,0 days 13:04:00,1176.5,1178.4,1176.5,1176.7,12349,103,0
31,2021-04-14,0 days 13:03:00,1176.9,1178.2,1176.9,1176.9,12242,82,0
32,2021-04-14,0 days 13:02:00,1176.5,1176.5,1176.4,1176.4,12160,3,0
33,2021-04-14,0 days 13:01:00,1175.0,1176.6,1175.0,1176.6,12156,22,0
34,2021-04-14,0 days 13:00:00,1175.7,1175.9,1175.1,1175.6,12134,14,0
35,2021-04-14,0 days 12:59:00,1175.5,1175.7,1175.1,1175.6,12120,26,0
36,2021-04-14,0 days 12:58:00,1177.1,1177.4,1175.7,1175.7,12094,32,0
37,2021-04-14,0 days 12:57:00,1177.1,1177.1,1176.6,1176.9,12062,3,0
38,2021-04-14,0 days 12:56:00,1176.6,1176.9,1176.6,1176.9,12059,4,0
39,2021-04-13,0 days 13:15:00,1156.3,1156.9,1156.3,1156.9,17252,4,0
40,2021-04-13,0 days 13:14:00,1156.1,1156.7,1156.1,1156.7,17248,12,0
41,2021-04-13,0 days 13:13:00,1156.2,1156.5,1156.0,1156.4,17236,14,0
42,2021-04-13,0 days 13:12:00,1156.7,1157.0,1156.2,1156.4,17222,27,0
43,2021-04-13,0 days 13:11:00,1156.5,1157.0,1156.5,1156.6,17195,15,0
44,2021-04-13,0 days 13:10:00,1156.7,1156.7,1156.2,1156.7,17180,24,0
45,2021-04-13,0 days 13:09:00,1156.7,1157.1,1156.4,1156.4,17156,34,0
46,2021-04-13,0 days 13:08:00,1156.5,1157.3,1156.3,1156.8,17122,58,0
47,2021-04-13,0 days 13:07:00,1157.2,1157.4,1156.7,1156.7,17064,27,0
48,2021-04-13,0 days 13:06:00,1157.1,1157.7,1156.8,1157.0,17037,90,0
49,2021-04-13,0 days 13:05:00,1157.7,1158.2,1156.8,1156.9,16947,172,0
50,2021-04-13,0 days 13:04:00,1157.0,1157.8,1156.3,1157.8,16770,213,0
51,2021-04-13,0 days 13:03:00,1157.1,1158.2,1156.7,1157.5,16554,79,0
52,2021-04-13,0 days 13:02:00,1156.5,1157.2,1155.6,1156.6,16475,82,0
53,2021-04-13,0 days 13:01:00,1156.6,1157.3,1156.1,1156.3,16393,44,0
54,2021-04-13,0 days 13:00:00,1155.8,1156.5,1155.6,1156.4,16348,26,0
55,2021-04-13,0 days 12:59:00,1155.6,1156.2,1155.6,1155.8,16322,31,0
56,2021-04-13,0 days 12:58:00,1156.1,1156.1,1155.6,1155.6,16291,35,0
57,2021-04-13,0 days 12:57:00,1156.8,1156.9,1155.9,1156.0,16256,20,0
58,2021-04-13,0 days 12:56:00,1156.3,1156.8,1156.0,1156.7,16236,21,0
59,2021-04-12,0 days 13:15:00,1174.7,1174.7,1174.3,1174.3,11077,2,0
60,2021-04-12,0 days 13:14:00,1173.7,1174.2,1173.0,1174.2,11075,18,0
61,2021-04-12,0 days 13:13:00,1174.1,1174.1,1173.0,1173.6,11057,11,0
62,2021-04-12,0 days 13:12:00,1173.3,1173.5,1173.3,1173.3,11046,3,0
63,2021-04-12,0 days 13:11:00,1173.8,1173.8,1173.8,1173.8,11043,4,0
64,2021-04-12,0 days 13:10:00,1174.7,1174.7,1174.5,1174.5,11039,2,0
65,2021-04-12,0 days 13:09:00,1174.8,1175.0,1174.8,1175.0,11037,2,0
66,2021-04-12,0 days 13:08:00,1175.2,1175.2,1175.0,1175.0,11035,4,0
67,2021-04-12,0 days 13:07:00,1174.7,1175.8,1174.7,1175.1,11031,8,0
68,2021-04-12,0 days 13:06:00,1174.5,1174.6,1174.0,1174.6,11023,39,0
69,2021-04-12,0 days 13:05:00,1175.9,1176.1,1173.3,1174.1,10983,201,0
70,2021-04-12,0 days 13:04:00,1174.5,1176.2,1173.7,1176.0,10767,89,0
71,2021-04-12,0 days 13:03:00,1175.0,1175.4,1173.7,1173.7,10675,46,0
72,2021-04-12,0 days 13:02:00,1175.7,1175.7,1174.8,1174.8,10629,13,0
