,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-14,0 days 14:40:00,2.0322,2.0322,2.0317,2.0317,59216,51,0
1,2021-04-14,0 days 14:39:00,2.0324,2.0329,2.0323,2.0324,59143,30,0
2,2021-04-14,0 days 14:38:00,2.0327,2.0334,2.0324,2.0328,59003,27,0
3,2021-04-14,0 days 14:37:00,2.0334,2.0334,2.0327,2.0332,58915,24,0
4,2021-04-14,0 days 14:36:00,2.0329,2.0335,2.0327,2.033,58858,17,0
5,2021-04-14,0 days 14:35:00,2.0342,2.0342,2.0321,2.0328,58780,26,0
6,2021-04-14,0 days 14:34:00,2.0342,2.0347,2.0338,2.0345,58714,39,0
7,2021-04-14,0 days 14:33:00,2.0352,2.0356,2.0342,2.0342,58537,69,0
8,2021-04-14,0 days 14:32:00,2.0354,2.0356,2.0341,2.0348,58393,73,0
9,2021-04-14,0 days 14:31:00,2.0367,2.0367,2.0349,2.0358,58024,213,0
10,2021-04-14,0 days 14:30:00,2.0348,2.0373,2.0345,2.0367,57538,826,0
11,2021-04-14,0 days 14:29:00,2.0351,2.0363,2.0328,2.0352,54987,801,0
12,2021-04-14,0 days 14:28:00,2.0384,2.0391,2.035,2.035,52654,174,0
13,2021-04-14,0 days 14:27:00,2.0375,2.0388,2.0375,2.0381,51771,88,0
14,2021-04-14,0 days 14:26:00,2.0382,2.0385,2.0363,2.0379,51495,192,0
15,2021-04-14,0 days 14:25:00,2.0403,2.0403,2.038,2.038,50987,41,0
16,2021-04-14,0 days 14:24:00,2.0406,2.0408,2.0397,2.04,50433,26,0
17,2021-04-14,0 days 14:23:00,2.0414,2.0417,2.0402,2.0402,50224,33,0
18,2021-04-14,0 days 14:22:00,2.0395,2.0417,2.0395,2.0411,50054,59,0
19,2021-04-14,0 days 14:21:00,2.0411,2.0417,2.039,2.039,49713,74,0
20,2021-04-13,0 days 14:40:00,1.978,1.9786,1.978,1.9786,47039,5,0
21,2021-04-13,0 days 14:39:00,1.978,1.978,1.9776,1.9778,46992,11,0
22,2021-04-13,0 days 14:38:00,1.9777,1.9786,1.9777,1.9784,46970,70,0
23,2021-04-13,0 days 14:37:00,1.9764,1.9777,1.9764,1.9777,46830,16,0
24,2021-04-13,0 days 14:36:00,1.9766,1.9766,1.9765,1.9765,46773,6,0
25,2021-04-13,0 days 14:35:00,1.977,1.977,1.976,1.9764,46743,59,0
