,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-15,0 days 13:35:00,25.935,25.935,25.93,25.935,65610,33,0
1,2021-04-15,0 days 13:34:00,25.94,25.94,25.93,25.935,65577,76,0
2,2021-04-15,0 days 13:33:00,25.94,25.945,25.94,25.945,65501,34,0
3,2021-04-15,0 days 13:32:00,25.94,25.945,25.935,25.945,65467,53,0
4,2021-04-15,0 days 13:31:00,25.94,25.955,25.94,25.945,65411,124,0
5,2021-04-15,0 days 13:30:00,25.955,25.96,25.945,25.945,65286,119,0
6,2021-04-15,0 days 13:29:00,25.955,25.96,25.95,25.955,65166,103,0
7,2021-04-15,0 days 13:28:00,25.955,25.96,25.95,25.95,65062,137,0
8,2021-04-15,0 days 13:27:00,25.955,25.96,25.95,25.96,64924,141,0
9,2021-04-15,0 days 13:26:00,25.96,25.96,25.95,25.955,64783,221,0
10,2021-04-15,0 days 13:25:00,25.975,25.98,25.95,25.955,64530,743,0
11,2021-04-15,0 days 13:24:00,25.985,25.995,25.98,25.98,63265,258,0
12,2021-04-15,0 days 13:23:00,25.99,25.99,25.98,25.98,62990,25,0
13,2021-04-15,0 days 13:22:00,25.98,25.995,25.975,25.99,62965,101,0
14,2021-04-15,0 days 13:21:00,25.99,25.995,25.975,25.975,62864,85,0
15,2021-04-15,0 days 13:20:00,25.99,25.99,25.98,25.99,62779,79,0
16,2021-04-15,0 days 13:19:00,25.985,25.99,25.98,25.99,62635,31,0
17,2021-04-15,0 days 13:18:00,25.99,25.99,25.98,25.985,62504,27,0
18,2021-04-15,0 days 13:17:00,25.99,25.995,25.985,25.99,62477,53,0
19,2021-04-15,0 days 13:16:00,25.985,25.99,25.985,25.985,62419,56,0
20,2021-04-14,0 days 13:35:00,25.46,25.465,25.46,25.465,48330,14,0
21,2021-04-14,0 days 13:34:00,25.47,25.47,25.46,25.46,48316,102,0
22,2021-04-14,0 days 13:33:00,25.475,25.48,25.47,25.47,48204,32,0
23,2021-04-14,0 days 13:32:00,25.48,25.485,25.47,25.48,48172,115,0
24,2021-04-14,0 days 13:31:00,25.495,25.5,25.48,25.48,47956,109,0
25,2021-04-14,0 days 13:30:00,25.5,25.505,25.495,25.5,47843,137,0
26,2021-04-14,0 days 13:29:00,25.505,25.505,25.495,25.5,47702,54,0
27,2021-04-14,0 days 13:28:00,25.51,25.51,25.5,25.505,47644,104,0
28,2021-04-14,0 days 13:27:00,25.52,25.525,25.51,25.51,47070,306,0
29,2021-04-14,0 days 13:26:00,25.54,25.54,25.52,25.52,46759,257,0
30,2021-04-14,0 days 13:25:00,25.495,25.54,25.495,25.535,46474,1050,0
31,2021-04-14,0 days 13:24:00,25.475,25.5,25.475,25.495,43025,160,0
32,2021-04-14,0 days 13:23:00,25.485,25.485,25.47,25.47,42675,52,0
33,2021-04-14,0 days 13:22:00,25.465,25.48,25.465,25.48,42623,115,0
34,2021-04-14,0 days 13:21:00,25.46,25.465,25.455,25.465,42508,99,0
35,2021-04-14,0 days 13:20:00,25.455,25.465,25.455,25.46,42409,74,0
36,2021-04-14,0 days 13:19:00,25.455,25.455,25.455,25.455,42335,32,0
37,2021-04-14,0 days 13:18:00,25.44,25.455,25.44,25.455,42301,23,0
38,2021-04-14,0 days 13:17:00,25.45,25.45,25.44,25.44,42277,49,0
39,2021-04-14,0 days 13:16:00,25.45,25.45,25.45,25.45,41676,25,0
40,2021-04-13,0 days 13:35:00,25.4,25.415,25.395,25.415,68473,30,0
41,2021-04-13,0 days 13:34:00,25.4,25.4,25.4,25.4,68443,23,0
42,2021-04-13,0 days 13:33:00,25.39,25.4,25.385,25.4,68420,134,0
43,2021-04-13,0 days 13:32:00,25.39,25.395,25.385,25.395,68286,53,0
44,2021-04-13,0 days 13:31:00,25.41,25.415,25.385,25.395,68132,179,0
45,2021-04-13,0 days 13:30:00,25.41,25.415,25.405,25.41,67929,100,0
46,2021-04-13,0 days 13:29:00,25.405,25.41,25.395,25.41,67825,82,0
47,2021-04-13,0 days 13:28:00,25.42,25.42,25.405,25.405,67735,76,0
48,2021-04-13,0 days 13:27:00,25.405,25.42,25.405,25.42,67657,193,0
49,2021-04-13,0 days 13:26:00,25.415,25.42,25.405,25.405,66865,261,0
50,2021-04-13,0 days 13:25:00,25.45,25.455,25.41,25.41,66491,404,0
51,2021-04-13,0 days 13:24:00,25.44,25.45,25.43,25.45,64753,130,0
52,2021-04-13,0 days 13:23:00,25.45,25.455,25.435,25.44,63997,52,0
53,2021-04-13,0 days 13:22:00,25.435,25.45,25.43,25.445,63352,100,0
54,2021-04-13,0 days 13:21:00,25.45,25.45,25.435,25.44,63235,114,0
55,2021-04-13,0 days 13:20:00,25.46,25.46,25.45,25.45,63106,64,0
56,2021-04-13,0 days 13:19:00,25.45,25.455,25.45,25.455,63024,18,0
57,2021-04-13,0 days 13:18:00,25.45,25.455,25.445,25.45,62994,42,0
58,2021-04-13,0 days 13:17:00,25.46,25.46,25.445,25.455,62938,57,0
59,2021-04-13,0 days 13:16:00,25.455,25.46,25.45,25.46,62866,52,0
60,2021-04-12,0 days 13:35:00,24.865,24.87,24.865,24.865,56445,24,0
61,2021-04-12,0 days 13:34:00,24.86,24.865,24.86,24.865,56421,17,0
62,2021-04-12,0 days 13:33:00,24.87,24.87,24.865,24.865,56403,24,0
63,2021-04-12,0 days 13:32:00,24.87,24.87,24.865,24.87,56379,51,0
64,2021-04-12,0 days 13:31:00,24.87,24.87,24.86,24.87,56327,75,0
65,2021-04-12,0 days 13:30:00,24.86,24.875,24.86,24.87,56252,56,0
66,2021-04-12,0 days 13:29:00,24.865,24.87,24.865,24.865,56195,64,0
67,2021-04-12,0 days 13:28:00,24.875,24.88,24.865,24.865,55829,83,0
68,2021-04-12,0 days 13:27:00,24.87,24.875,24.87,24.87,55746,59,0
69,2021-04-12,0 days 13:26:00,24.875,24.885,24.87,24.87,55680,198,0
70,2021-04-12,0 days 13:25:00,24.86,24.88,24.85,24.87,55449,561,0
71,2021-04-12,0 days 13:24:00,24.85,24.855,24.85,24.855,52008,67,0
72,2021-04-12,0 days 13:23:00,24.845,24.85,24.84,24.85,51794,27,0
73,2021-04-12,0 days 13:22:00,24.85,24.86,24.845,24.845,51764,76,0
74,2021-04-12,0 days 13:21:00,24.84,24.845,24.835,24.845,51683,46,0
75,2021-04-12,0 days 13:20:00,24.835,24.84,24.835,24.84,51623,39,0
76,2021-04-12,0 days 13:19:00,24.835,24.835,24.83,24.835,51580,69,0
77,2021-04-12,0 days 13:18:00,24.83,24.835,24.83,24.835,51511,43,0
78,2021-04-12,0 days 13:17:00,24.825,24.835,24.82,24.83,51466,34,0
79,2021-04-12,0 days 13:16:00,24.825,24.825,24.825,24.825,51430,44,0
80,2021-04-09,0 days 13:35:00,25.3,25.3,25.295,25.295,53399,9,0
81,2021-04-09,0 days 13:34:00,25.305,25.31,25.3,25.3,53380,15,0
82,2021-04-09,0 days 13:33:00,25.305,25.305,25.3,25.3,53359,11,0
83,2021-04-09,0 days 13:32:00,25.295,25.31,25.295,25.31,53345,29,0
84,2021-04-09,0 days 13:31:00,25.295,25.295,25.29,25.29,53316,48,0
85,2021-04-09,0 days 13:30:00,25.31,25.31,25.29,25.295,53268,68,0
86,2021-04-09,0 days 13:29:00,25.305,25.31,25.305,25.31,53200,37,0
87,2021-04-09,0 days 13:28:00,25.31,25.315,25.3,25.305,53152,79,0
88,2021-04-09,0 days 13:27:00,25.32,25.32,25.31,25.31,53059,116,0
89,2021-04-09,0 days 13:26:00,25.325,25.325,25.32,25.325,52892,66,0
90,2021-04-09,0 days 13:25:00,25.335,25.335,25.315,25.325,52292,439,0
91,2021-04-09,0 days 13:24:00,25.34,25.345,25.335,25.335,50263,82,0
92,2021-04-09,0 days 13:23:00,25.335,25.345,25.335,25.345,50032,33,0
93,2021-04-09,0 days 13:22:00,25.345,25.345,25.335,25.335,49940,35,0
94,2021-04-09,0 days 13:21:00,25.34,25.34,25.335,25.34,49823,34,0
95,2021-04-09,0 days 13:20:00,25.34,25.34,25.34,25.34,49708,8,0
96,2021-04-09,0 days 13:19:00,25.335,25.345,25.335,25.34,49691,53,0
97,2021-04-09,0 days 13:18:00,25.33,25.33,25.33,25.33,49629,11,0
98,2021-04-09,0 days 13:17:00,25.325,25.325,25.325,25.325,49608,14,0
99,2021-04-09,0 days 13:16:00,25.325,25.33,25.325,25.325,49565,38,0
100,2021-04-08,0 days 13:35:00,25.56,25.565,25.56,25.565,55984,19,0
101,2021-04-08,0 days 13:34:00,25.56,25.56,25.56,25.56,55964,7,0
102,2021-04-08,0 days 13:33:00,25.56,25.565,25.56,25.565,55957,20,0
103,2021-04-08,0 days 13:32:00,25.555,25.565,25.555,25.565,55936,17,0
104,2021-04-08,0 days 13:31:00,25.57,25.57,25.56,25.56,55859,75,0
105,2021-04-08,0 days 13:30:00,25.565,25.575,25.565,25.57,55391,74,0
106,2021-04-08,0 days 13:29:00,25.57,25.57,25.565,25.565,55280,35,0
