entry_momentum,exit_momentum,exit_pnl,momentum_threshold,total_days,days_traded,days_traded %,total_pnl,mean_pnl,max pnl,max pnl date,min pnl,min pnl date,std pnl,sharpe_ratio,Win %,# of Winners,mean_pnl_winners,mean_pnl_losers,avg $ move,avg tick move,ticker
-7,-2,4,0.0302%,821,78,9.5%,$565.0,$7.2,$180.0,2020-05-29,$-90.0,2019-06-19,$40.9,2.8,55.1%,43,$30.2,$-27.6,$0.0,1.4,@AD#
-9,-3,10,-0.0316%,821,76,9.3%,$805.0,$10.6,$230.0,2020-03-20,$-110.0,2019-01-15,$57.2,2.9,55.3%,42,$41.9,$-40.2,$0.0,2.1,@AD#
-7,-6,5,0.0146%,821,76,9.3%,$770.0,$10.1,$140.0,2020-03-27,$-220.0,2018-12-19,$51.9,3.1,55.3%,42,$34.8,$-34.6,$0.0,2.0,@AD#
-9,-2,3,0.0398%,821,76,9.3%,$670.0,$8.8,$230.0,2020-05-29,$-70.0,2019-06-19,$42.6,3.3,55.3%,42,$27.4,$-25.0,$0.0,1.8,@AD#
-7,-6,9,0.0146%,821,71,8.6%,"$1,190.0",$16.8,$200.0,2020-06-12,$-140.0,2018-12-19,$59.2,4.5,56.3%,40,$44.1,$-36.9,$0.0,3.4,@AD#
-6,-5,3,-0.0687%,819,80,9.8%,$600.0,$7.5,$186.0,2021-03-29,$-204.0,2021-04-01,$56.7,2.1,57.5%,46,$39.9,$-41.1,$0.0,1.2,@BO#
-4,-3,0,-0.0775%,819,81,9.9%,$756.0,$9.3,$144.0,2020-03-17,$-114.0,2018-08-31,$46.0,3.2,59.3%,48,$34.8,$-34.0,$0.0,1.6,@BO#
-4,-2,-1,-0.1214%,819,81,9.9%,$384.0,$4.7,$90.0,2021-03-29,$-60.0,2020-02-28,$23.0,3.3,58.0%,47,$17.1,$-17.4,$0.0,0.8,@BO#
-6,-2,-1,-0.1463%,819,82,10.0%,$444.0,$5.4,$102.0,2021-04-08,$-60.0,2020-02-28,$26.1,3.3,56.1%,46,$18.5,$-18.4,$0.0,0.9,@BO#
-10,-2,-1,-0.1983%,819,81,9.9%,$468.0,$5.8,$90.0,2021-03-29,$-60.0,2020-02-28,$26.1,3.5,58.0%,47,$20.1,$-18.6,$0.0,1.0,@BO#
-7,-5,3,-0.0157%,821,81,9.9%,$718.7,$8.9,$256.2,2020-07-29,$-243.8,2020-03-26,$66.8,2.1,55.6%,45,$39.1,$-39.9,$0.0,1.4,@BP#
-7,-5,5,-0.0157%,821,81,9.9%,$787.5,$9.7,$325.0,2019-01-29,$-243.8,2019-01-15,$72.1,2.1,55.6%,45,$42.2,$-45.4,$0.0,1.6,@BP#
-7,-5,9,-0.0157%,821,80,9.7%,$781.3,$9.8,$287.5,2019-01-29,$-300.0,2019-01-15,$72.0,2.2,57.5%,46,$43.9,$-50.2,$0.0,1.6,@BP#
-7,-5,6,-0.0157%,821,81,9.9%,$812.5,$10.0,$312.5,2019-01-29,$-287.5,2019-01-15,$73.6,2.2,56.8%,46,$44.5,$-48.5,$0.0,1.6,@BP#
-7,-5,8,-0.0080%,821,155,18.9%,"$1,175.0",$7.6,$318.8,2019-01-29,$-250.0,2019-01-15,$55.6,2.2,56.1%,87,$34.9,$-35.6,$0.0,1.2,@BP#
-7,-6,4,-0.0146%,821,80,9.7%,$781.2,$9.8,$331.3,2019-01-29,$-200.0,2020-09-16,$71.3,2.2,57.5%,46,$41.1,$-42.5,$0.0,1.6,@BP#
-8,-5,10,-0.0226%,821,81,9.9%,$818.8,$10.1,$293.8,2019-01-29,$-281.2,2019-01-15,$73.6,2.2,55.6%,45,$47.1,$-49.6,$0.0,1.6,@BP#
-6,-3,-1,0.0243%,821,81,9.9%,$293.8,$3.6,$62.5,2018-01-25,$-100.0,2020-03-23,$26.2,2.2,58.0%,47,$17.3,$-25.2,$0.0,0.6,@BP#
-7,-4,10,-0.0232%,821,80,9.7%,$806.3,$10.1,$200.0,2019-01-29,$-325.0,2019-01-15,$68.4,2.3,56.2%,45,$44.8,$-42.0,$0.0,1.6,@BP#
-7,-4,8,-0.0232%,821,81,9.9%,$806.3,$10.0,$225.0,2019-01-29,$-293.7,2019-01-15,$63.7,2.5,56.8%,46,$39.2,$-42.5,$0.0,1.6,@BP#
-6,-5,3,-0.0147%,821,81,9.9%,$837.5,$10.3,$256.2,2020-07-29,$-243.8,2020-03-26,$63.3,2.6,56.8%,46,$33.4,$-38.5,$0.0,1.7,@BP#
-7,-5,8,-0.0157%,821,79,9.6%,$950.0,$12.0,$318.8,2019-01-29,$-250.0,2019-01-15,$72.0,2.7,62.0%,49,$44.4,$-50.2,$0.0,1.9,@BP#
-6,-5,0,-0.0147%,821,81,9.9%,$693.7,$8.6,$193.8,2020-07-29,$-212.5,2019-01-15,$51.1,2.7,60.5%,49,$29.9,$-36.5,$0.0,1.4,@BP#
-9,-5,5,-0.0243%,821,81,9.9%,"$1,006.3",$12.4,$325.0,2019-01-29,$-243.8,2019-01-15,$70.9,2.8,56.8%,46,$40.9,$-47.8,$0.0,2.0,@BP#
-6,-5,1,-0.0147%,821,81,9.9%,$731.3,$9.0,$231.3,2020-07-29,$-193.7,2019-01-15,$50.9,2.8,55.6%,45,$33.2,$-27.9,$0.0,1.4,@BP#
-6,-5,5,-0.0147%,821,80,9.7%,$987.5,$12.3,$325.0,2019-01-29,$-243.8,2019-01-15,$68.7,2.9,62.5%,50,$40.0,$-41.9,$0.0,2.0,@BP#
-7,-5,4,-0.0157%,821,80,9.7%,"$1,012.5",$12.7,$306.3,2019-01-29,$-206.3,2019-01-15,$69.7,2.9,58.8%,47,$41.9,$-44.7,$0.0,2.0,@BP#
-9,-5,4,-0.0243%,821,82,10.0%,"$1,050.0",$12.8,$306.3,2019-01-29,$-206.3,2019-01-15,$68.8,3.0,56.1%,46,$41.2,$-45.1,$0.0,2.0,@BP#
-6,-5,6,-0.0147%,821,81,9.9%,"$1,068.7",$13.2,$312.5,2019-01-29,$-287.5,2019-01-15,$69.8,3.0,59.3%,48,$43.9,$-41.8,$0.0,2.1,@BP#
-6,-5,4,-0.0147%,821,80,9.7%,"$1,081.2",$13.5,$306.3,2019-01-29,$-206.3,2019-01-15,$65.1,3.3,61.3%,49,$39.9,$-38.2,$0.0,2.2,@BP#
-9,-5,10,-0.0243%,821,81,9.9%,"$1,162.5",$14.4,$293.8,2019-01-29,$-281.2,2019-01-15,$68.8,3.3,55.6%,45,$46.8,$-40.8,$0.0,2.3,@BP#
-6,-5,7,-0.0147%,821,81,9.9%,"$1,106.3",$13.7,$300.0,2019-01-29,$-231.3,2019-01-15,$63.8,3.4,58.0%,47,$40.6,$-40.3,$0.0,2.2,@BP#
-9,-5,6,-0.0243%,821,81,9.9%,"$1,275.0",$15.7,$312.5,2019-01-29,$-287.5,2019-01-15,$71.4,3.5,55.6%,45,$47.2,$-43.7,$0.0,2.5,@BP#
-6,-5,9,-0.0147%,821,79,9.6%,"$1,237.5",$15.7,$287.5,2019-01-29,$-300.0,2019-01-15,$69.2,3.6,59.5%,47,$46.8,$-41.1,$0.0,2.5,@BP#
-6,-5,10,-0.0147%,821,79,9.6%,"$1,312.5",$16.6,$293.8,2019-01-29,$-281.2,2019-01-15,$70.8,3.7,59.5%,47,$46.2,$-43.7,$0.0,2.7,@BP#
-6,-5,8,-0.0147%,821,79,9.6%,"$1,250.0",$15.8,$318.8,2019-01-29,$-250.0,2019-01-15,$66.9,3.8,60.8%,48,$44.8,$-40.0,$0.0,2.5,@BP#
-9,-8,-5,0.0143%,821,80,9.7%,$600.0,$7.5,$112.5,2020-03-31,$-56.2,2018-12-27,$27.7,4.3,56.2%,45,$19.6,$-17.5,$0.0,1.2,@BP#
-9,-2,6,-0.0363%,821,81,9.9%,"$1,100.0",$13.6,$162.5,2019-01-29,$-143.7,2020-09-16,$46.8,4.6,56.8%,46,$37.0,$-26.3,$0.0,2.2,@BP#
-9,-8,-2,0.0143%,821,81,9.9%,"$1,131.3",$14.0,$206.2,2020-03-31,$-62.5,2018-12-27,$39.6,5.6,55.6%,45,$32.4,$-17.3,$0.0,2.2,@BP#
-10,-8,-2,-0.0894%,819,82,10.0%,$787.5,$9.6,$100.0,2021-01-29,$-100.0,2021-02-10,$37.3,4.1,58.5%,48,$27.9,$-32.0,$0.2,0.8,@C#
