,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 15:00:00,0.76655,0.76675,0.7665,0.76665,71949,1041,0
1,2021-04-06,0 days 14:59:00,0.76655,0.76655,0.7665,0.7665,70908,62,0
2,2021-04-06,0 days 14:58:00,0.7666,0.7666,0.76655,0.76655,70846,20,0
3,2021-04-06,0 days 14:57:00,0.7667,0.7667,0.76665,0.76665,70826,10,0
4,2021-04-06,0 days 14:56:00,0.76675,0.76675,0.7667,0.7667,70816,13,0
5,2021-04-05,0 days 15:00:00,0.76555,0.76565,0.7655,0.7656,43349,539,0
6,2021-04-05,0 days 14:59:00,0.76545,0.7655,0.76545,0.7655,42810,16,0
7,2021-04-05,0 days 14:58:00,0.7654,0.7655,0.7654,0.76545,42794,67,0
8,2021-04-05,0 days 14:57:00,0.76535,0.7654,0.76535,0.76535,42727,6,0
9,2021-04-05,0 days 14:56:00,0.7654,0.7654,0.76535,0.76535,42721,15,0
10,2021-04-01,0 days 15:00:00,0.7619,0.762,0.76175,0.7618,92948,610,0
11,2021-04-01,0 days 14:59:00,0.76195,0.76195,0.76185,0.7619,92338,66,0
12,2021-04-01,0 days 14:58:00,0.76195,0.762,0.76195,0.762,92272,22,0
13,2021-04-01,0 days 14:57:00,0.762,0.762,0.76195,0.76195,92250,76,0
14,2021-04-01,0 days 14:56:00,0.76195,0.76205,0.76195,0.76205,92174,94,0
15,2021-03-31,0 days 15:00:00,0.7603,0.7603,0.76,0.76025,80314,662,0
16,2021-03-31,0 days 14:59:00,0.76055,0.76055,0.7602,0.76025,79452,283,0
17,2021-03-31,0 days 14:58:00,0.76065,0.76065,0.76055,0.76055,79169,83,0
18,2021-03-31,0 days 14:57:00,0.7605,0.7607,0.7605,0.76065,79086,64,0
19,2021-03-31,0 days 14:56:00,0.76055,0.7606,0.7605,0.76055,79022,25,0
20,2021-03-30,0 days 15:00:00,0.7594,0.75945,0.7592,0.7592,75756,590,0
21,2021-03-30,0 days 14:59:00,0.7592,0.7594,0.7592,0.7594,75166,185,0
22,2021-03-30,0 days 14:58:00,0.7592,0.7593,0.7592,0.7592,74981,190,0
23,2021-03-30,0 days 14:57:00,0.75915,0.75925,0.75915,0.75925,74791,24,0
24,2021-03-30,0 days 14:56:00,0.75905,0.75915,0.75905,0.75915,74767,65,0
25,2021-03-29,0 days 15:00:00,0.7633,0.7633,0.76305,0.76315,69985,607,0
26,2021-03-29,0 days 14:59:00,0.7633,0.76335,0.7633,0.76335,69378,66,0
27,2021-03-29,0 days 14:58:00,0.7633,0.76335,0.76325,0.7633,69312,68,0
28,2021-03-29,0 days 14:57:00,0.7634,0.7634,0.76335,0.76335,69244,25,0
29,2021-03-29,0 days 14:56:00,0.76335,0.7634,0.76335,0.76335,69219,24,0
30,2021-03-26,0 days 15:00:00,0.7626,0.7627,0.76245,0.76245,72524,626,0
31,2021-03-26,0 days 14:59:00,0.7625,0.76265,0.7625,0.7626,71898,54,0
32,2021-03-26,0 days 14:58:00,0.7624,0.7626,0.7624,0.7625,71844,31,0
33,2021-03-26,0 days 14:57:00,0.7624,0.76245,0.7623,0.76235,71813,50,0
34,2021-03-26,0 days 14:56:00,0.76245,0.76245,0.7624,0.76245,71763,55,0
35,2021-03-25,0 days 15:00:00,0.7585,0.7586,0.7583,0.75845,87148,429,0
36,2021-03-25,0 days 14:59:00,0.7585,0.75855,0.75845,0.7585,86719,60,0
37,2021-03-25,0 days 14:58:00,0.75845,0.75855,0.7584,0.7585,86659,56,0
38,2021-03-25,0 days 14:57:00,0.7585,0.75855,0.7584,0.75845,86603,41,0
39,2021-03-25,0 days 14:56:00,0.75885,0.75885,0.75845,0.7585,86562,126,0
40,2021-03-24,0 days 15:00:00,0.76025,0.7604,0.75985,0.75985,90386,916,0
41,2021-03-24,0 days 14:59:00,0.7601,0.76025,0.7601,0.76025,89470,25,0
42,2021-03-24,0 days 14:58:00,0.7601,0.7602,0.7601,0.7601,89445,48,0
43,2021-03-24,0 days 14:57:00,0.76,0.76015,0.75995,0.76005,89397,109,0
44,2021-03-24,0 days 14:56:00,0.75985,0.76005,0.7598,0.76005,89288,100,0
45,2021-03-23,0 days 15:00:00,0.7646,0.7648,0.7645,0.7645,96517,729,0
46,2021-03-23,0 days 14:59:00,0.76465,0.76465,0.7645,0.76455,95788,156,0
47,2021-03-23,0 days 14:58:00,0.765,0.765,0.76465,0.7647,95632,163,0
48,2021-03-23,0 days 14:57:00,0.7649,0.76495,0.76485,0.76495,95466,124,0
49,2021-03-23,0 days 14:56:00,0.7652,0.7652,0.76495,0.76495,95342,222,0
50,2021-03-22,0 days 15:00:00,0.77565,0.7757,0.77555,0.77565,60566,229,0
51,2021-03-22,0 days 14:59:00,0.7757,0.77575,0.77565,0.7757,60337,32,0
52,2021-03-22,0 days 14:58:00,0.7757,0.7757,0.7757,0.7757,60305,21,0
53,2021-03-22,0 days 14:57:00,0.77565,0.7757,0.77565,0.7757,60284,34,0
54,2021-03-22,0 days 14:56:00,0.7757,0.77575,0.7757,0.7757,60250,131,0
