,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 14:15:00,53.9,54.01,53.8,53.96,38177,1081,0
1,2021-04-06,0 days 14:14:00,53.73,53.92,53.73,53.89,36237,158,0
2,2021-04-06,0 days 14:13:00,53.68,53.73,53.68,53.72,35970,82,0
3,2021-04-06,0 days 14:12:00,53.69,53.69,53.65,53.68,35737,29,0
4,2021-04-06,0 days 14:11:00,53.66,53.7,53.66,53.69,35567,34,0
5,2021-04-05,0 days 14:15:00,52.82,52.85,52.77,52.81,28081,832,0
6,2021-04-05,0 days 14:14:00,52.81,52.84,52.79,52.82,26517,139,0
7,2021-04-05,0 days 14:13:00,52.77,52.82,52.75,52.81,26232,141,0
8,2021-04-05,0 days 14:12:00,52.85,52.86,52.74,52.76,25972,152,0
9,2021-04-05,0 days 14:11:00,52.81,52.86,52.81,52.85,25574,136,0
10,2021-04-01,0 days 14:15:00,52.03,52.26,52.0,52.23,36995,701,0
11,2021-04-01,0 days 14:14:00,52.13,52.13,51.99,52.0,35861,163,0
12,2021-04-01,0 days 14:13:00,52.1,52.12,52.06,52.11,35622,35,0
13,2021-04-01,0 days 14:12:00,52.15,52.15,52.06,52.12,35511,119,0
14,2021-04-01,0 days 14:11:00,52.14,52.22,52.11,52.15,35288,113,0
15,2021-03-31,0 days 14:15:00,52.94,52.95,52.76,52.91,54947,1441,0
16,2021-03-31,0 days 14:14:00,52.89,52.94,52.86,52.94,52232,96,0
17,2021-03-31,0 days 14:13:00,52.85,52.92,52.85,52.92,52071,170,0
18,2021-03-31,0 days 14:12:00,52.87,52.89,52.83,52.87,51875,186,0
19,2021-03-31,0 days 14:11:00,52.77,52.87,52.76,52.86,51649,129,0
20,2021-03-30,0 days 14:15:00,50.46,50.46,50.46,50.46,45815,3,0
21,2021-03-30,0 days 14:14:00,50.46,50.46,50.46,50.46,45382,9,0
22,2021-03-30,0 days 14:12:00,50.46,50.46,50.46,50.46,45253,22,0
23,2021-03-30,0 days 14:11:00,50.46,50.46,50.46,50.46,45135,80,0
24,2021-03-29,0 days 14:15:00,53.0,53.06,52.85,52.96,61092,1481,0
25,2021-03-29,0 days 14:14:00,53.15,53.21,52.99,53.01,58724,644,0
26,2021-03-29,0 days 14:13:00,53.17,53.2,53.05,53.16,57726,542,0
27,2021-03-29,0 days 14:12:00,53.24,53.27,53.18,53.19,57008,367,0
28,2021-03-29,0 days 14:11:00,53.28,53.37,53.22,53.25,56612,272,0
29,2021-03-26,0 days 14:15:00,52.48,52.48,52.48,52.48,70027,247,0
30,2021-03-26,0 days 14:14:00,52.48,52.48,52.48,52.48,69306,175,0
31,2021-03-26,0 days 14:13:00,52.48,52.48,52.48,52.48,68913,161,0
32,2021-03-26,0 days 14:12:00,52.48,52.48,52.48,52.48,68686,12,0
33,2021-03-26,0 days 14:11:00,52.48,52.48,52.48,52.48,68589,1,0
34,2021-03-25,0 days 14:15:00,54.98,54.98,54.98,54.98,63621,11,0
35,2021-03-25,0 days 14:14:00,54.98,54.98,54.98,54.98,63392,159,0
36,2021-03-25,0 days 14:13:00,54.98,54.98,54.98,54.98,63166,176,0
37,2021-03-25,0 days 14:12:00,54.98,54.98,54.98,54.98,62840,7,0
38,2021-03-25,0 days 14:11:00,54.98,54.98,54.98,54.98,62703,79,0
39,2021-03-24,0 days 14:15:00,57.46,57.51,57.45,57.47,44328,1443,0
40,2021-03-24,0 days 14:14:00,57.48,57.49,57.44,57.46,42544,353,0
41,2021-03-24,0 days 14:13:00,57.51,57.51,57.46,57.48,42097,162,0
42,2021-03-24,0 days 14:12:00,57.5,57.51,57.47,57.51,41917,166,0
43,2021-03-24,0 days 14:11:00,57.5,57.52,57.47,57.49,41739,233,0
44,2021-03-23,0 days 14:15:00,57.12,57.13,56.95,57.0,70881,1560,0
45,2021-03-23,0 days 14:14:00,57.18,57.2,57.09,57.12,69029,426,0
46,2021-03-23,0 days 14:13:00,57.25,57.25,57.13,57.17,68536,169,0
47,2021-03-23,0 days 14:12:00,57.27,57.29,57.22,57.25,68349,107,0
48,2021-03-23,0 days 14:11:00,57.24,57.28,57.19,57.28,68192,334,0
49,2021-03-22,0 days 14:15:00,56.37,56.37,56.37,56.37,62000,21,0
50,2021-03-22,0 days 14:14:00,56.37,56.37,56.37,56.37,61470,3,0
51,2021-03-22,0 days 14:13:00,56.37,56.37,56.37,56.37,61288,19,0
52,2021-03-22,0 days 14:11:00,56.37,56.37,56.37,56.37,60868,73,0
53,2021-03-19,0 days 14:15:00,53.77,53.92,53.76,53.85,49784,1090,0
54,2021-03-19,0 days 14:14:00,53.8,53.81,53.75,53.77,48195,449,0
55,2021-03-19,0 days 14:13:00,53.82,53.82,53.8,53.8,47726,32,0
56,2021-03-19,0 days 14:12:00,53.83,53.84,53.81,53.83,47670,110,0
57,2021-03-19,0 days 14:11:00,53.83,53.85,53.81,53.83,47505,99,0
58,2021-03-18,0 days 14:15:00,53.53,53.55,53.46,53.48,65020,1092,0
59,2021-03-18,0 days 14:14:00,53.45,53.57,53.45,53.54,63431,494,0
60,2021-03-18,0 days 14:13:00,53.26,53.45,53.26,53.44,62792,544,0
61,2021-03-18,0 days 14:12:00,53.23,53.26,53.15,53.26,62208,694,0
62,2021-03-18,0 days 14:11:00,53.27,53.28,53.22,53.22,61383,274,0
63,2021-03-17,0 days 14:15:00,54.66,54.67,54.56,54.56,48017,1005,0
64,2021-03-17,0 days 14:14:00,54.71,54.75,54.64,54.67,46776,320,0
65,2021-03-17,0 days 14:13:00,54.74,54.75,54.69,54.71,46407,206,0
66,2021-03-17,0 days 14:12:00,54.76,54.79,54.66,54.72,46172,303,0
67,2021-03-17,0 days 14:11:00,54.8,54.81,54.75,54.77,45809,195,0
68,2021-03-16,0 days 14:15:00,55.08,55.13,55.07,55.1,51300,570,0
69,2021-03-16,0 days 14:14:00,55.07,55.09,55.06,55.08,50521,140,0
70,2021-03-16,0 days 14:13:00,55.07,55.08,55.05,55.07,50376,108,0
71,2021-03-16,0 days 14:12:00,55.09,55.12,55.06,55.06,50227,137,0
72,2021-03-16,0 days 14:11:00,55.06,55.1,55.06,55.09,50082,83,0
73,2021-03-15,0 days 14:15:00,55.12,55.13,55.06,55.08,47555,949,0
74,2021-03-15,0 days 14:14:00,55.11,55.14,55.1,55.12,46428,293,0
75,2021-03-15,0 days 14:13:00,55.11,55.15,55.11,55.11,46102,130,0
76,2021-03-15,0 days 14:12:00,55.12,55.15,55.1,55.11,45968,253,0
77,2021-03-15,0 days 14:11:00,55.1,55.12,55.1,55.11,45685,291,0
78,2021-03-12,0 days 14:15:00,55.41,55.43,55.3,55.39,59191,1284,0
79,2021-03-12,0 days 14:14:00,55.44,55.46,55.38,55.41,57552,189,0
80,2021-03-12,0 days 14:13:00,55.49,55.5,55.44,55.44,57302,107,0
81,2021-03-12,0 days 14:12:00,55.46,55.5,55.44,55.48,57189,172,0
82,2021-03-12,0 days 14:11:00,55.45,55.48,55.43,55.45,56904,239,0
83,2021-03-11,0 days 14:15:00,54.62,54.65,54.55,54.59,57221,1934,0
84,2021-03-11,0 days 14:14:00,54.7,54.71,54.63,54.63,53969,260,0
85,2021-03-11,0 days 14:13:00,54.69,54.7,54.65,54.7,53542,413,0
86,2021-03-11,0 days 14:12:00,54.72,54.72,54.67,54.7,52950,142,0
87,2021-03-11,0 days 14:11:00,54.71,54.72,54.7,54.71,52651,128,0
88,2021-03-10,0 days 14:15:00,53.46,53.57,53.45,53.53,62276,1138,0
89,2021-03-10,0 days 14:14:00,53.4,53.46,53.4,53.45,59775,232,0
90,2021-03-10,0 days 14:13:00,53.48,53.48,53.39,53.4,59352,439,0
91,2021-03-10,0 days 14:12:00,53.47,53.5,53.46,53.5,58878,45,0
92,2021-03-10,0 days 14:11:00,53.48,53.49,53.43,53.47,58823,173,0
93,2021-03-09,0 days 14:15:00,53.52,53.58,53.48,53.54,66743,1048,0
94,2021-03-09,0 days 14:14:00,53.54,53.54,53.48,53.52,64647,222,0
95,2021-03-09,0 days 14:13:00,53.51,53.54,53.5,53.53,64194,148,0
96,2021-03-09,0 days 14:12:00,53.53,53.55,53.51,53.51,64011,126,0
97,2021-03-09,0 days 14:11:00,53.46,53.55,53.45,53.55,63883,326,0
98,2021-03-08,0 days 14:15:00,52.4,52.52,52.36,52.5,54631,820,0
99,2021-03-08,0 days 14:14:00,52.43,52.47,52.37,52.41,52626,262,0
100,2021-03-08,0 days 14:13:00,52.41,52.44,52.35,52.41,52284,570,0
101,2021-03-08,0 days 14:12:00,52.46,52.48,52.4,52.42,51698,318,0
102,2021-03-08,0 days 14:11:00,52.47,52.48,52.44,52.48,51171,120,0
103,2021-03-05,0 days 14:15:00,51.83,51.84,51.76,51.76,52260,1691,0
104,2021-03-05,0 days 14:14:00,51.83,51.87,51.83,51.85,49574,364,0
105,2021-03-05,0 days 14:13:00,51.84,51.86,51.83,51.84,49006,165,0
106,2021-03-05,0 days 14:12:00,51.88,51.88,51.84,51.84,48798,201,0
107,2021-03-05,0 days 14:11:00,51.84,51.88,51.84,51.88,48570,146,0
