,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 15:00:00,1.3824,1.3826,1.3824,1.3826,83675,661,0
1,2021-04-06,0 days 14:59:00,1.3824,1.3825,1.3823,1.3825,83014,90,0
2,2021-04-06,0 days 14:58:00,1.3825,1.3825,1.3823,1.3824,82924,92,0
3,2021-04-06,0 days 14:57:00,1.3826,1.3826,1.3826,1.3826,82832,34,0
4,2021-04-06,0 days 14:56:00,1.3827,1.3827,1.3825,1.3826,82798,46,0
5,2021-04-05,0 days 15:00:00,1.3906,1.3909,1.3905,1.3908,38743,653,0
6,2021-04-05,0 days 14:59:00,1.3906,1.3908,1.3906,1.3907,38090,36,0
7,2021-04-05,0 days 14:58:00,1.3905,1.3907,1.3905,1.3907,38054,51,0
8,2021-04-05,0 days 14:57:00,1.3906,1.3906,1.3906,1.3906,38003,23,0
9,2021-04-05,0 days 14:56:00,1.3906,1.3906,1.3905,1.3906,37980,29,0
10,2021-04-01,0 days 15:00:00,1.3836,1.3836,1.3833,1.3834,66849,622,0
11,2021-04-01,0 days 14:59:00,1.3835,1.3835,1.3834,1.3834,66227,70,0
12,2021-04-01,0 days 14:58:00,1.3835,1.3836,1.3834,1.3836,66157,77,0
13,2021-04-01,0 days 14:57:00,1.3837,1.3838,1.3836,1.3836,66080,50,0
14,2021-04-01,0 days 14:56:00,1.3837,1.3838,1.3836,1.3837,66030,34,0
15,2021-03-31,0 days 15:00:00,1.3784,1.3785,1.3779,1.3781,77006,720,0
16,2021-03-31,0 days 14:59:00,1.3787,1.3787,1.3783,1.3783,76286,98,0
17,2021-03-31,0 days 14:58:00,1.3788,1.3788,1.3786,1.3788,76188,98,0
18,2021-03-31,0 days 14:57:00,1.3785,1.3788,1.3785,1.3787,76090,120,0
19,2021-03-31,0 days 14:56:00,1.3786,1.3787,1.3786,1.3787,75970,75,0
20,2021-03-30,0 days 15:00:00,1.3727,1.3728,1.3724,1.3725,60911,655,0
21,2021-03-30,0 days 14:59:00,1.3724,1.3727,1.3724,1.3727,60256,42,0
22,2021-03-30,0 days 14:58:00,1.3725,1.3726,1.3724,1.3724,60214,59,0
23,2021-03-30,0 days 14:57:00,1.3725,1.3725,1.3725,1.3725,60155,5,0
24,2021-03-30,0 days 14:56:00,1.3722,1.3724,1.3722,1.3724,60150,65,0
25,2021-03-29,0 days 15:00:00,1.3767,1.3767,1.3763,1.3763,80053,692,0
26,2021-03-29,0 days 14:59:00,1.3767,1.3768,1.3767,1.3768,79361,125,0
27,2021-03-29,0 days 14:58:00,1.3767,1.3768,1.3767,1.3767,79236,181,0
28,2021-03-29,0 days 14:57:00,1.3768,1.3769,1.3767,1.3768,79055,96,0
29,2021-03-29,0 days 14:56:00,1.3765,1.3768,1.3764,1.3767,78809,468,0
30,2021-03-26,0 days 15:00:00,1.379,1.379,1.3787,1.3787,69675,323,0
31,2021-03-26,0 days 14:59:00,1.3788,1.379,1.3787,1.3789,69352,179,0
32,2021-03-26,0 days 14:58:00,1.3786,1.379,1.3786,1.3789,69173,54,0
33,2021-03-26,0 days 14:57:00,1.3788,1.3788,1.3786,1.3787,69119,16,0
34,2021-03-26,0 days 14:56:00,1.3786,1.3787,1.3786,1.3787,69103,26,0
35,2021-03-25,0 days 15:00:00,1.3745,1.3745,1.3742,1.3743,74316,445,0
36,2021-03-25,0 days 14:59:00,1.3744,1.3745,1.3744,1.3745,73871,85,0
37,2021-03-25,0 days 14:58:00,1.3743,1.3745,1.3743,1.3743,73786,153,0
38,2021-03-25,0 days 14:57:00,1.3743,1.3743,1.3742,1.3742,73633,44,0
39,2021-03-25,0 days 14:56:00,1.3746,1.3746,1.3743,1.3743,73589,155,0
40,2021-03-24,0 days 15:00:00,1.3699,1.3699,1.3695,1.3696,71506,345,0
41,2021-03-24,0 days 14:59:00,1.3698,1.3699,1.3697,1.3699,71161,56,0
42,2021-03-24,0 days 14:58:00,1.3697,1.3699,1.3696,1.3698,71105,59,0
43,2021-03-24,0 days 14:57:00,1.3698,1.3698,1.3697,1.3697,71046,97,0
44,2021-03-24,0 days 14:56:00,1.3695,1.3698,1.3695,1.3698,70949,85,0
45,2021-03-23,0 days 15:00:00,1.3764,1.3766,1.3761,1.3762,85027,509,0
46,2021-03-23,0 days 14:59:00,1.3763,1.3764,1.3762,1.3764,84518,71,0
47,2021-03-23,0 days 14:58:00,1.3764,1.3764,1.3763,1.3763,84447,92,0
48,2021-03-23,0 days 14:57:00,1.3764,1.3765,1.3764,1.3765,84355,26,0
49,2021-03-23,0 days 14:56:00,1.3767,1.3767,1.3764,1.3765,84329,65,0
50,2021-03-22,0 days 15:00:00,1.3871,1.3871,1.3867,1.3869,59747,322,0
51,2021-03-22,0 days 14:59:00,1.3869,1.3872,1.3869,1.3871,59425,88,0
52,2021-03-22,0 days 14:58:00,1.3869,1.3871,1.3869,1.387,59337,83,0
53,2021-03-22,0 days 14:57:00,1.3869,1.387,1.3869,1.3869,59254,81,0
54,2021-03-22,0 days 14:56:00,1.387,1.3871,1.387,1.387,59173,89,0
55,2021-03-19,0 days 15:00:00,1.3875,1.3877,1.3874,1.3875,95993,276,0
56,2021-03-19,0 days 14:59:00,1.3872,1.3875,1.3872,1.3874,95654,120,0
57,2021-03-19,0 days 14:58:00,1.3873,1.3873,1.3871,1.3871,95534,118,0
58,2021-03-19,0 days 14:57:00,1.3874,1.3874,1.3872,1.3872,95416,103,0
59,2021-03-19,0 days 14:56:00,1.3874,1.3875,1.3873,1.3874,95313,150,0
60,2021-03-18,0 days 15:00:00,1.3933,1.3934,1.3931,1.3934,95518,314,0
61,2021-03-18,0 days 14:59:00,1.3938,1.3938,1.3934,1.3934,95204,92,0
62,2021-03-18,0 days 14:58:00,1.3936,1.3938,1.3936,1.3938,95112,79,0
63,2021-03-18,0 days 14:57:00,1.3935,1.3936,1.3934,1.3936,95033,48,0
64,2021-03-18,0 days 14:56:00,1.3935,1.3935,1.3934,1.3934,94985,54,0
65,2021-03-17,0 days 15:00:00,1.3947,1.3951,1.3946,1.3949,64175,669,0
66,2021-03-17,0 days 14:59:00,1.3948,1.395,1.3946,1.3946,63506,222,0
67,2021-03-17,0 days 14:58:00,1.3946,1.3948,1.3942,1.3948,63284,226,0
68,2021-03-17,0 days 14:57:00,1.3945,1.3949,1.3944,1.3947,63058,86,0
69,2021-03-17,0 days 14:56:00,1.3947,1.3949,1.3945,1.3946,62972,156,0
70,2021-03-16,0 days 15:00:00,1.3899,1.3902,1.3899,1.3899,64102,463,0
71,2021-03-16,0 days 14:59:00,1.39,1.39,1.3898,1.3899,63639,46,0
72,2021-03-16,0 days 14:58:00,1.3902,1.3902,1.39,1.3901,63593,60,0
73,2021-03-16,0 days 14:57:00,1.3901,1.3902,1.3901,1.3901,63533,26,0
