,date,time,open_p,high_p,low_p,close_p,tot_vlm,prd_vlm,num_trds
0,2021-04-06,0 days 14:15:00,554.25,555.0,553.5,555.0,103612,1873,0
1,2021-04-06,0 days 14:14:00,554.0,554.5,553.5,554.25,101302,517,0
2,2021-04-06,0 days 14:13:00,552.75,554.0,552.75,554.0,99650,388,0
3,2021-04-06,0 days 14:12:00,553.0,553.0,552.75,552.75,99034,130,0
4,2021-04-06,0 days 14:11:00,552.5,553.0,552.5,553.0,98623,168,0
5,2021-04-05,0 days 14:15:00,553.25,553.5,552.75,553.0,120333,2578,0
6,2021-04-05,0 days 14:14:00,554.0,554.0,553.5,553.5,115907,604,0
7,2021-04-05,0 days 14:13:00,553.5,554.25,553.5,554.0,114240,567,0
8,2021-04-05,0 days 14:12:00,553.75,553.75,553.25,553.5,113116,412,0
9,2021-04-05,0 days 14:11:00,554.5,554.5,553.5,553.75,112662,395,0
10,2021-04-01,0 days 14:15:00,560.5,561.25,558.5,560.25,226335,5295,0
11,2021-04-01,0 days 14:14:00,562.5,562.5,560.75,560.75,219939,1264,0
12,2021-04-01,0 days 14:13:00,562.0,562.75,562.0,562.75,218003,359,0
13,2021-04-01,0 days 14:12:00,562.5,562.5,562.0,562.25,217443,208,0
14,2021-04-01,0 days 14:11:00,561.25,562.5,561.25,562.5,216820,411,0
15,2021-03-31,0 days 14:15:00,564.25,564.25,564.25,564.25,125588,73,0
16,2021-03-31,0 days 14:14:00,564.25,564.25,564.25,564.25,124442,6,0
17,2021-03-31,0 days 14:13:00,564.25,564.25,564.25,564.25,124016,33,0
18,2021-03-31,0 days 14:12:00,564.25,564.25,564.25,564.25,123605,22,0
19,2021-03-31,0 days 14:11:00,564.25,564.25,564.25,564.25,123401,330,0
20,2021-03-30,0 days 14:15:00,538.75,539.5,538.25,539.5,111971,2828,0
21,2021-03-30,0 days 14:14:00,539.5,539.5,538.75,538.75,108578,1331,0
22,2021-03-30,0 days 14:13:00,540.0,540.0,539.25,539.5,106998,374,0
23,2021-03-30,0 days 14:12:00,539.75,540.0,539.5,539.75,106612,112,0
24,2021-03-30,0 days 14:11:00,538.75,539.75,538.75,539.5,106489,588,0
25,2021-03-29,0 days 14:15:00,546.25,547.25,546.0,547.25,102254,3850,0
26,2021-03-29,0 days 14:14:00,546.75,547.0,546.0,546.25,97783,778,0
27,2021-03-29,0 days 14:13:00,546.75,546.75,546.25,546.5,96965,261,0
28,2021-03-29,0 days 14:12:00,546.25,546.75,546.0,546.5,96689,883,0
29,2021-03-29,0 days 14:11:00,545.75,546.25,545.75,546.25,95755,469,0
30,2021-03-26,0 days 14:15:00,551.75,553.0,551.75,552.5,106621,2656,0
31,2021-03-26,0 days 14:14:00,552.0,552.25,551.75,551.75,103553,609,0
32,2021-03-26,0 days 14:13:00,551.5,552.0,551.25,551.75,102746,290,0
33,2021-03-26,0 days 14:12:00,551.75,551.75,551.25,551.5,102349,279,0
34,2021-03-26,0 days 14:11:00,552.0,552.25,551.5,551.5,101866,633,0
35,2021-03-25,0 days 14:15:00,546.75,547.0,546.0,546.5,128390,2746,0
36,2021-03-25,0 days 14:14:00,546.75,547.25,546.5,547.0,125431,502,0
